id,created_at,text
1247313451300651009,2020-04-07 00:01:15,"My heart is heavy this evening as I mourn the loss of my friend, Senator Jack Hill. Jack was truly the epitome of a kind soul. He leaves behind a remarkable legacy of steadfast leadership and public service. Lisa and I are praying for Jack’s wife, Ruth Ann, and his loved ones."
1247216691836305408,2020-04-06 17:36:46,"While we're unable to gather in person, many churches are celebrating #HolyWeek online.
 
My home church, @LakewoodLife, is offering daily bible studies in addition to Maundy Thursday, Good Friday, and Easter Sunday services.

Click below for more ↓
https://t.co/vKcJLg4xpo"
1247158173330530304,2020-04-06 13:44:14,"Speaker Pelosi and Adam Schiff attempt to turn every situation into an opportunity to investigate @realDonaldTrump.
 
Why don’t they instead focus on actually helping the American people? Our health care officials, our hospitals, and our small businesses need our help. https://t.co/k4eoTRuzQu"
1246531808436592645,2020-04-04 20:15:17,"Even though we can’t gather in person, many church communities are still worshipping together through live streaming.

This Sunday, I’ll be tuning into Pastor Benny Tate’s message, “Signs of the Times” from @rockspringslive. Join us live at https://t.co/2mVVA8YxWp."
1246165018481229825,2020-04-03 19:57:47,"RT @WhiteHouse: ""We will not abandon small businesses or their employees in this unprecedented emergency,"" @GOPLeader writes. ""The Paycheck…"
1246133581455523841,2020-04-03 17:52:52,"As Georgia’s shelter-in-place goes into effect today, I want to remind Georgians that we are #InItTogether.

This action is being taken to #SlowTheSpread of #COVIDー19, but this is NOT a reason to panic.

Find answers to your questions here ↓
https://t.co/QvWYBb6kRR"
1246092379280625665,2020-04-03 15:09:09,"🚨 NEW → Today, small businesses can start applying for the Paycheck Protection Program.

This #CARESAct program provides forgivable loans to businesses paying their employees during #COVID19.

Learn more here →
https://t.co/Jyx5PaV8PA https://t.co/6uFxlA58vl"
1245808750952357890,2020-04-02 20:22:06,"Rather than calling for a commission to investigate @realDonaldTrump’s coronavirus response, Adam Schiff should focus on doing his job and look into China's role in the spread of #COVID19.

Maybe if he wasn’t so obsessed with impeachment, Congress could have acted sooner. https://t.co/xlxSQtl77f"
1245774563977375744,2020-04-02 18:06:16,"Having access to state-specific updates in the midst of #COVID19 is critical.
 
That’s why I wrote the @FCC advocating for immediate access to in-state programming for northeast Georgia’s orphan counties whose local news comes from neighboring states.
 
Read my letter here → https://t.co/NIEGwtVO6E"
1245762335463092225,2020-04-02 17:17:40,RT @realDonaldTrump: 30 DAYS TO SLOW THE SPREAD https://t.co/GIzwKSt5mq
1245723655927222274,2020-04-02 14:43:58,"NEW → @IRSnews and @USTreasury just announced Social Security beneficiaries will NOT need to file an abbreviated tax return to receive a stimulus payment. 

Instead, payments will be automatically deposited into their bank accounts. 

Read more here → https://t.co/tGNeewjWT3 https://t.co/x9aPosHcLs"
1245531120835399680,2020-04-02 01:58:54,".@UVALaw, this is absolutely shameful.

Every university should support their students’ commitments to serve in the Armed Forces, particularly in the midst of #COVIDー19, when our country needs them most.

You should reverse your decision immediately. https://t.co/enyE5JaFlF"
1245441840054259716,2020-04-01 20:04:08,"Today is #CensusDay!

While you #StayHome, take 10 minutes to make sure you and your family are counted in the #2020Census.

You can complete the census by phone, mail or online by clicking the link below. https://t.co/XLXAqJPAXi"
