id,created_at,text
1247210232960503808,2020-04-06 17:11:06,"Tomorrow morning at 9:00AM @GA_DCA, @gdecd, and @ugasbdc at the University of West Georgia are hosting a webinar to help small business owners navigate @SBAgov emergency loan programs. https://t.co/tFbMx2Tt35"
1246081007964631041,2020-04-03 14:23:58,Today small businesses can apply for the #PaycheckProtectionProgram through their SBA-approved lender. Visit https://t.co/rKTWbJBHaC for more information. Interested banks should email DelegatedAuthority@sba.gov to inquire about getting into the program. https://t.co/2km7089Emj
1245033000301211648,2020-03-31 16:59:33,"The CARES Act provides unprecedented resources to our healthcare system during these extraordinary times. It will get more resources into the hands of our healthcare providers quickly, expand access to care for #coronavirus patients, and support our public health response. https://t.co/yEYZ1UKxEa"
1244789077557248000,2020-03-31 00:50:17,RT @stevenmnuchin1: Americans will begin receiving economic impact payments in the next 3 weeks. Most people will receive these payments au…
1244709851927908356,2020-03-30 19:35:28,"Thank you to @Aflac Chairman Dan Amos and his wife, Kathelen, for their generous donation to Piedmont Columbus Regional to help accommodate more patients during the #coronavirus outbreak. 
https://t.co/qMAB7t0uk0"
1243211957072691209,2020-03-26 16:23:22,It’s great to see local businesses in #GA03 pitching in to help those in need during the #coronavirus outbreak. @wildleap in LaGrange is working to support service industry workers who have been impacted by COVID-19. https://t.co/t7FfKtPIzB
1242451347326357506,2020-03-24 14:00:59,"(4/4)
To submit a question for @SBAgov’s District Director Terri Denison or myself, please email your question to fergusoncasework@mail.house.gov. Please submit your questions by midnight, Tuesday, March 24."
1242451346579750912,2020-03-24 14:00:59,"(3/4)
Should a line be busy, please try another number from this list until you are connected into the conference:

+1 646 876 9923 
+1 312 626 6799 
+1 301 715 8592
+1 408 638 0968 
+1 669 900 6833
+1 346 248 7799 

Meeting ID: 824 238 689"
1242451345917054977,2020-03-24 14:00:59,"(2/4)
We’ll be providing the most up-to-date resources as we discuss the @SBAgov's targeted relief efforts and how they can help your small businesses. Participants can dial one of the following numbers to join the call."
1242451345153630209,2020-03-24 14:00:58,"(1/4)
Tomorrow, March 25th at 12:00PM EST, I will be co-hosting a call with Atlanta’s @SBAgov District Director Terri Denison. If you’re a small business owner from #GA03, I hope you will join this call."
