id,created_at,text
1247341683936763909,2020-04-07 01:53:26,Flying half way around the world to berate CAPT Crozier proves that @SECNAV is unfit to lead the brave men and women of the @USNavy. https://t.co/sl8ztKb2EY
1247331582626709505,2020-04-07 01:13:18,"Thank you for your kind words. Unfortunately, this is an original made by my husband and daughter. https://t.co/cVW2kQZVjZ"
1247279983640313856,2020-04-06 21:48:16,"Want to receive updates about COVID-19 and resources to help you through this health crisis? Sign up for our newsletter by clicking below! You can receive useful information ranging from small business FAQs to educational resources in your inbox.
https://t.co/WnMofSXb9g"
1247248170675056642,2020-04-06 19:41:51,"Today, @GovernorVA recommended that Virginians wear facemasks in public to slow the spread of COVID-19 by preventing contagions from being released in the air. It is critical that people still abide by social distancing, even when wearing a mask.  
https://t.co/Uj1AXivkmT"
1247223091513696256,2020-04-06 18:02:11,RT @GovernorVA: I'm sharing the latest updates on our continued response to #COVID19 in Virginia. Tune in here: https://t.co/Ixytf0VcKs
1247193510580826112,2020-04-06 16:04:39,TR Sailors are on the frontlines of this pandemic and of our nation’s defense in the Pacific. Acting @SECNAV remarks to the crew show that he is in no way fit to lead our Navy through this trying time. @EsperDoD should immediately fire him. https://t.co/aIn2MwnsTQ
1247148291927793664,2020-04-06 13:04:58,"As we kick off National Public Health Week, I am reminded of our health care workers who are working long hours to keep our country healthy. Especially during the COVID-19 pandemic, these brave men and women risk their health to provide top-notch care to their patients. https://t.co/7cRsejVGRK"
1246903504733683718,2020-04-05 20:52:16,"By signing up for our newsletter, you can receive helpful COVID-19 updates in your inbox. From Q&amp;As for small business owners to locations of food distribution sites, we are providing lots of content to help you navigate through this health crisis. https://t.co/WnMofSXb9g"
1246867092537827329,2020-04-05 18:27:35,Do you have questions regarding the COVID-19 stimulus payments? Be sure to check out our stimulus payment FAQ page that my team and I recently put together. You can view it by clicking below! https://t.co/xkIxr8RUDv
1246552499340955653,2020-04-04 21:37:30,"My heart was warmed when I heard of Kellam High School senior, Emma Boone, using money she saved for prom and spring break to buy food for her neighbors. Thoughtful and selfless efforts like these will make our community stronger as we overcome COVID-19. https://t.co/tg0ieJxUtw"
1246509590050725888,2020-04-04 18:46:59,"As we face the COVID-19 crisis, it is important to know your health status to keep yourself and others safe. Apple’s new screening tool is a helpful resource that provides guidance on testing and the next steps you should take. https://t.co/NRtza9Gykf"
1246443491829452801,2020-04-04 14:24:20,"With K-12 schools in the Commonwealth of Virginia closed for the remainder of the academic year, I compiled several free online learning resources. They contain lesson plans and teaching materials to help students continue to learn. Click the link below!
https://t.co/yefEDzMYVV"
1246202889435037696,2020-04-03 22:28:16,"During the COVID-19 crisis, my team and I are working to keep #VA02 informed about new developments and resources. Be sure to subscribe to our newsletter to receive the latest updates and information in your inbox!

https://t.co/WnMofSXb9g"
1246176138566778881,2020-04-03 20:41:58,"Today, let's take a moment to thank our teachers who are working hard to find creative ways to support and educate their students during this trying time. We will forever be grateful for the contributions our teachers make for our students. https://t.co/MWorFFzEmO"
1246145613357596673,2020-04-03 18:40:41,"This morning, I enjoyed volunteering with Newport News Commissioner of the Revenue Tiffany Boyle at @HRFoodBank's mobile pantry in Hampton! During the COVID-19 health emergency, we must join together to look out for each other and find ways to reduce food insecurity. https://t.co/rGpqpyS691"
1246110245245661184,2020-04-03 16:20:08,"Recently, @Apple collaborated with @CDCgov to develop an online screening tool to provide users with useful guidance. This includes information on symptoms, testing recommendations, social distancing, and when to contact a medical provider. 
https://t.co/IDMo98DM81"
1246063817869623297,2020-04-03 13:15:39,"Our office is hosting its second annual Congressional Art Competition. This is a chance for high school students to showcase their artistic talents. For more details and to learn about recent changes to the Competition in response to COVID-19, see below.
https://t.co/jdUv0WHy9i"
1245866494879096834,2020-04-03 00:11:34,I trust the Acting Secretary of the Navy is also guided by these principles and I hope this decision was based on these principles alone and not simply because the letter was leaked to the press. (2/2)
1245866463258275842,2020-04-03 00:11:26,I commend Captain Crozier’s plain spokenness and efforts to protect his crew. Protecting our service members during this coronavirus pandemic requires a balance between readiness and caution. (1/2) https://t.co/GTg0xCI6XG
1245836474794328066,2020-04-02 22:12:16,"I appreciate the Administration’s intent to finalize rules quickly, but it is critical that we get this right to prevent further hardship on small businesses and regional economies across America. (2/2)"
1245836473317933056,2020-04-02 22:12:16,It is unacceptable that the Administration’s guidance on the Paycheck Protection Program (PPP) will make it harder for small businesses and nonprofits to get the assistance they urgently need during this public health crisis. (1/2) https://t.co/fjWrUddAEc
1245829376970809344,2020-04-02 21:44:04,"From FAQs on stimulus payments to locations of food distribution sites, our daily emails provide Coastal Virginians with a wide range of useful information! Click below to sign up for the latest updates, guidance, and resources.

https://t.co/WnMofSXb9g"
1245808040965701642,2020-04-02 20:19:17,"I am excited to launch a webpage that will give constituents an abundance of information to help them navigate COVID-19. This is just one way my team and I are working to provide #VA02 with the most up-to-date information during this difficult time.
https://t.co/4DsNllPNUn"
1245797188279599106,2020-04-02 19:36:10,"Our #VA02 community is thankful for our police, firefighters, and emergency personnel who always stand ready to act to keep our community safe. Every day, these brave men and women risk their health and safety to serve Coastal Virginia. https://t.co/BnFOZla9Yp"
1245484286846873600,2020-04-01 22:52:48,"One of my responsibilities is keeping constituents informed during this public health emergency. Every day, I have been sending email updates with timely and helpful information regarding the COVID-19 pandemic. To sign up for these updates, click below!
https://t.co/WnMofSXb9g"
1245463136536268807,2020-04-01 21:28:45,"I urge all Virginians to participate in the 2020 Census. It will determine how billions of dollars are allocated to schools, hospitals, roads, and other critical services. Participating is quick and easy! Click below to submit your Census survey today.
https://t.co/VN43Mc64q7"
1245453598676451328,2020-04-01 20:50:51,"PSA: The @StateDept is advising all Americans to avoid all global travel due to the COVID-19 pandemic. Americans abroad should seek to return home immediately, unless they are prepared to remain abroad indefinitely. See below for more information.
https://t.co/vl084SdFdG"
1245410724408692738,2020-04-01 18:00:29,RT @GovernorVA: I'm holding a #COVID19 briefing with members of the Virginia Emergency Support Team. WATCH: https://t.co/3u4xwU4wxG
1245389681270886400,2020-04-01 16:36:52,"With @Apple and @CDCgov's new COVID-19 screening tool, you can learn about symptoms and the steps you should take to keep yourself and others safe and healthy. You can find this simple and easy-to-use tool by clicking below!
https://t.co/NRtza9Gykf"
1245376448631799808,2020-04-01 15:44:17,"It‘s critical to give health care providers the resources they need during this public health crisis. In early March, I voted to ensure a fully-funded COVID-19 response. I’m glad to see this funding will help our health care providers on the Eastern Shore.
https://t.co/PRCDpwFZxC"
1245104007552675848,2020-03-31 21:41:42,"Every day, my team and I are emailing updates and helpful information to keep Coastal Virginians safe and informed during the COVID-19 crisis. You can start receiving these updates today! Click below to sign up. 
https://t.co/WnMofSXb9g"
1245057478112563200,2020-03-31 18:36:49,"At 6 PM, Virginia Beach City Council is holding an online meeting to consider four resolutions on the COVID-19 crisis. Virginia Beach residents have the chance to submit a comment on the resolutions by 5:30 PM. Click below to learn how you can participate! https://t.co/Rt5QnAnadM"
1245030755027353601,2020-03-31 16:50:38,"It is important to know your health status to keep others safe and avoid spreading COVID-19. @Apple and @CDCgov developed a useful screening tool to help people be informed of their status and of the resources that are available. Click below to learn more!
https://t.co/IDMo98DM81"
1244994980722233347,2020-03-31 14:28:28,"I am heartbroken by the news of the passing of the first U.S. servicemember from COVID-19. My thoughts are with the guardsman's family, friends, and the entire @NJNationalGuard community during this difficult time. 

https://t.co/zCdLlARlW7"
1244742541372768257,2020-03-30 21:45:22,"Our team is providing regular email updates to keep you and your family informed during the COVID-19 crisis. These updates contain useful information ranging from resources for small business owners to guidance for veterans. Click below to sign up!
https://t.co/WnMofSXb9g"
1244716652081688586,2020-03-30 20:02:30,"This order also directs all institutions of higher education to stop in-person classes and instruction. Private campgrounds must close for short-term stays, and beaches will be closed statewide except for fishing and exercise. (3/3)"
1244716650118684672,2020-03-30 20:02:29,"Individuals may leave their residence to seek medical attention, work, care for family, obtain goods and services like groceries, or prescriptions, and engage in outdoor activity with strict social distancing requirements. (2/3)"
1244716648575258627,2020-03-30 20:02:29,"ICYMI: This afternoon Governor Northam issued Executive Order 55. This order directs all Virginians to stay home except in extremely limited circumstances. (1/3)
https://t.co/6TXl4bxN40"
1244673952846360577,2020-03-30 17:12:49,"Recently @Apple and @CDCgov created an online COVID-19 screening tool to help people learn their status and receive recommendations on the next steps. This tool is an important resource as we strive to keep others safe and reserve care for those in need.
https://t.co/IDMo98DM81"
1244633462763651072,2020-03-30 14:31:56,It is unacceptable when people take advantage of this public health crisis to overcharge Coastal Virginians for essential goods. You can report price gouging by calling the Virginia Consumer Protection Hotline at 800-552-9963. https://t.co/KoeeNdbset
