id,created_at,text
1247250240333393926,2020-04-06 19:50:04,Public Notice: The IRS will begin making payments to Americans through direct deposit mid-April &amp; has direct deposit information for individuals from 2018 or 2019 tax returns. Includes SSA beneficiaries who filed fed returns that included direct deposit. https://t.co/H5pEDkWVS4
1247235521128157187,2020-04-06 18:51:35,"#CARESAct: Health, Business and Unemployment Guide for New York's 13th Congressional District https://t.co/nJhZEuZYus"
1247225327002300416,2020-04-06 18:11:04,"If you need assistance in #NY13, my team is here to help connect you to resources, grants, food &amp; other assistance during this time of emergency.  #NewYorkTough

Call us today: (Harlem) 646-740-1911; (Washington Heights) 646-860-8010; (Bronx) 646-740-3632

https://t.co/jmhW6FEYEf"
1247225324578000898,2020-04-06 18:11:04,"This is more of what we already know, Blacks and Latinos are being hit the hardest by layoffs during the #CoronavirusPandemic with unemployment rates topping at 6.7 percent (up from 5.8 percent) and 6.0 percent (up from 4.4 percent), respectively. 

https://t.co/jmhW6FEYEf"
1247210131525427206,2020-04-06 17:10:42,#TakeItSeriously #StayHomeSaveLives https://t.co/N9HzwVLPPc
1247187045560221698,2020-04-06 15:38:57,"Free meals are being served at the following locations in Harlem. If you are in need of food due to the #COVID19Pandemic, please call these locations today for available FREE resources. 

#FreeMeals #Harlem #NY13 https://t.co/eXAWGyeS6R"
1247185819875639296,2020-04-06 15:34:05,"Free meals are being served at the following locations in the Bronx. If you are in need of food due to the #COVID19Pandemic, please call these locations today for available FREE resources. 

#FreeMeals #Bronx #NY13 https://t.co/yhgipXjGyC"
1247177461638578176,2020-04-06 15:00:52,"@SBAgov Asistencia de Emergencia por el Coronavirus para Pequeños Negocios: Casi todos los pequeños negocios en #NuevaYork están sufriendo debido a la crisis del coronavirus. https://t.co/owFpsRtKdB

Harlem: 646-740-1911
Washington Heights: 646-860-8010 
Bronx: 646-740-3632 https://t.co/tueQ9B7h9h"
1247157622207401985,2020-04-06 13:42:02,"Apply today for the @SBAgov Disaster Loan Assistance, Federal Disaster Loans for Businesses, Private Non-profits, Homeowners and Renters. Our communities will rebuild because we are #NewYorkTough. My office is here to help!

https://t.co/oUhaIyPvTs"
1246939118711508994,2020-04-05 23:13:47,"Our doctors, nurses, EMTs and all health care workers and medical personnel are on the frontline of our national and global fight against the coronavirus, and they need our help today, now more than ever during the #CoronavirusPandemic."
1246857100501889031,2020-04-05 17:47:52,RT @zabalaaldia: @RepEspaillat ofrece interesantes declaraciones acerca de la situación actual del Covid19 en la ciudad de New York. Destac…
1246813344373387264,2020-04-05 14:54:00,"Our nation is grateful to the doctors, nurses, EMTs and all of our medical health care professionals on the frontline of the fight against the #COVID19Pandemic - they are the true heroes. Show your gratitude &amp; #StayHomeSaveLives https://t.co/aPNTaabreu"
1246808175501889537,2020-04-05 14:33:28,"We are making a difference to help our communities recover. In the first five days of the Northern Manhattan Recovery Fund, 30+ grants have been issued to eligible businesses &amp; nonprofits totaling nearly $450,000.00. Funds are available. Apply today!

https://t.co/atCOCj3ulR"
1246516637534208004,2020-04-04 19:15:00,"“We cannot walk alone… We cannot turn back.” - Dr. Martin Luther King Jr. 
 
Even in times of crisis, we must remember that the fight for a better nation and world starts when we work TOGETHER. #MLK #IHaveADream
#RestInPower https://t.co/N1jWcWSXad"
1246511221181947904,2020-04-04 18:53:28,I’m praying for you and your entire family and pray for comfort during this time of bereavement. https://t.co/BEbgBf1Fwg
1246502516847771648,2020-04-04 18:18:53,"Apply today for the @SBAgov Disaster Loan Assistance, Federal Disaster Loans for Businesses, Private Non-profits, Homeowners and Renters. Our communities will rebuild and help is available along the way. My office is here to help!

https://t.co/oUhaIyPvTs"
1246494971466780675,2020-04-04 17:48:54,"Calling all businesses to apply today for grant funding to help our community recover economic hardships due to COVID-19 and to help our communities rebuild.

The New York Presbyterian Northern Manhattan Recovery Fund is open to all businesses. 

https://t.co/atCOCj3ulR"
1246248508740579332,2020-04-04 01:29:33,Thank you #BillWithers for sharing your talents with the world. May you Rest In Peace and may your songs be remembered and cherished forever. https://t.co/C043GV198T
1246245870930198535,2020-04-04 01:19:04,"#NewYork small businesses are suffering due to #COVID19 and @SBAgov has 2 emergency programs.

If you have questions applying, our office is here to help! (Harlem) 646-740-1911; (Washington Heights) 646-860-8010; (Bronx) 646-740-3632 https://t.co/krp5DGKMcw https://t.co/X4VW0C57Nc"
1246245157370040320,2020-04-04 01:16:14,A true progressive stands up during difficult times. Glad you're my Assemblywoman @CnDelarosa https://t.co/aI7Lj8raRO
