id,created_at,text
1247273387170377728,2020-04-06 21:22:03,"I'm looking forward to our next #TX07 Telephone Town Hall on Coronavirus this Thursday at 7:30PM! If you have questions about the different types of relief available to our community during this time, I'll have experts available to help.

RSVP here: https://t.co/VSAXYVLmME https://t.co/TTtYiQOW0l"
1247248845546930178,2020-04-06 19:44:32,"If you're one of the many who have been watching #TigerKing thinking it would be good to have laws against dangerous roadside zoos and abusive cub petting schemes, we have legislation for that: the #BigCatPublicSafetyAct. https://t.co/8s4INnb3dI"
1247243298386952194,2020-04-06 19:22:29,"RT @RepFletcher: Our #TX07 team has put together the #COVID19 Small Business Resource Guide, including info on:

🔹 Economic Injury Disaster…"
1247179559738499072,2020-04-06 15:09:13,"Due to the overwhelming number of calls coming in to the @TXWorkforce, they have asked that those with various area codes call in at different times. Looks like Tuesday, Thursday, and Saturday will be best for most in #TX07. https://t.co/RFlgqek9Nu"
1246930486741684230,2020-04-05 22:39:29,"RT @HoustonTX: This time may feel lonely, but you are not alone. 

If you or someone you know shows signs of stress for several days or wee…"
1246877145554714626,2020-04-05 19:07:32,"I’m calling on FEMA and HHS to increase the tests available in our region, but something we can all do is #StayHomeWorkSafe to flatten the curve."
1246877087480381440,2020-04-05 19:07:18,"As our local leaders have explained, the lack of testing means that the number of confirmed cases doesn’t reflect the reality our health care workers see as they work around-the-clock to treat those affected by #COVID19. 
https://t.co/qq9lbAzcXT"
1246833355158687745,2020-04-05 16:13:31,"While the CARES Act was an important step, it excluded dependents who are 17+, including college students, from receiving the $500 rebate. Glad to join @RepAngieCraig to cosponsor the All Dependent Children Count Act to expand the number of families eligible to receive relief. https://t.co/bSkgiQYxdl"
1246566838198325250,2020-04-04 22:34:28,"I have heard from too many in our community who have been unable to get the unemployment benefits they need as provided through the CARES Act. 

Today, I joined @JoaquinCastrotx in calling for more staff and resources for the @TXWorkforce to help our communities during this time. https://t.co/hkw54JXik1"
1246518966257926152,2020-04-04 19:24:15,"This is unacceptable. I’m already hearing from constituents who are having trouble applying for SBA relief.

Congress made it a priority to provide relief for small businesses negatively impacted by #COVID19 in the CARES Act. The SBA must address this.
https://t.co/Kqt13DyZ54"
1246490421964013568,2020-04-04 17:30:49,"Our Small Business Webinar was really informative—and full. If you have questions about resources available to small businesses, join me next Wednesday along with a rep from @SBAgov to answer your questions &amp; share info.

You must RSVP to participate: https://t.co/4IftNNZdDc https://t.co/5sPbSNy72F"
1246240508638306306,2020-04-04 00:57:45,"RT @HoustonHealth: #Houston #COVID19 data is now included in the @ReadyHarris dashboard! Now, people can get a full overview of what’s happ…"
1246188274168799233,2020-04-03 21:30:12,"Among the Americans repatriated from Peru was Lara, who we helped by keeping her informed of new developments &amp; letting her know that #TX07 had not forgotten her or her friends abroad. We're glad you're back!

Stuck abroad and need help? Let my team know: https://t.co/mj8TJfwTgT https://t.co/fSpQH2VTE7"
1246186795802529792,2020-04-03 21:24:19,"A thousand #COVID19 tests per day for one of the largest cities in the country simply is not enough. Today, along with @RepSylviaGarcia and @RepAlGreen, I called on FEMA and HHS to increase the amount available here. https://t.co/tV9Ntvta05"
1246140550270595072,2020-04-03 18:20:34,"In this moment of crisis, there should be no delays in providing our health care workers and their patients with the tools needed to fight #COVID19. I joined @RepMaloney in calling up on U.S. Trade Representative Robert Lighthizer to suspend tariffs on medical equipment. https://t.co/ceE7JPct7C"
1246082011913170944,2020-04-03 14:27:57,"Our #TX07 team has put together the #COVID19 Small Business Resource Guide, including info on:

🔹 Economic Injury Disaster Loans
🔹 Paycheck Protection Program

Click on the link to download the full document ⬇️ 
https://t.co/nnkdP9eoNl https://t.co/ACtgiOVp0L"
1245899401920471040,2020-04-03 02:22:19,RT @ReadyHarris: #COVID19 stressing you out? It’s normal to feel anxiety and stress during disasters. Contact a mental health provider or c…
1245887158365360129,2020-04-03 01:33:40,"RT @HouseDemocrats: From health care professionals to grocery store workers, janitorial staff to caretakers, first responders to postal wor…"
1245870968909606912,2020-04-03 00:29:20,Glad to join @RepSylviaGarcia in calling for vote-by-mail options in Texas to protect and ensure our democracy. https://t.co/D8gMt6l1lJ
1245843638204030976,2020-04-02 22:40:44,RT @hcphtx: Great resource from @UTHealth: Here’s how to stay safe from COVID-19 while running essential errands https://t.co/7QrFI2ctFh
1245745912929976320,2020-04-02 16:12:25,"My office has been working with many who need unemployment assistance. The TWC is very busy, but they are still responding. In Congress, we are working get them more resources to help.

Visit https://t.co/8I6aKNQn2i to get started. If you need help, call my office: (713) 353-8680 https://t.co/3z3GtfJ9cT"
1245549329185734656,2020-04-02 03:11:15,We need to do all we can to flatten the curve and keep our communities safe during #COVID19. I joined @RepFilemonVela and my Texas colleagues in calling upon Governor Abbott to enact a state-wide stay-at-home order. https://t.co/uQRNRT2VWP
1245487572094197760,2020-04-01 23:05:51,"With everything going on, it is more important than ever to communicate what we're working on and the resources our community has available. 

Sign up for my email newsletters at the link below to stay up to date. #TX07 https://t.co/jVJywDuaLQ"
1245454847832461315,2020-04-01 20:55:49,Today's the day: #CensusDay! Call (844) 330-2020 or go to https://t.co/gAaMLC3sNW to fill out the Census and be sure you are counted! https://t.co/KwDYKprd1Q
1245441774232973312,2020-04-01 20:03:52,"Due to overwhelming response, this webinar is already full. We will be announcing another webinar to follow in just a few days!

Let us know you're still interested: https://t.co/tLokLouDuq https://t.co/1wW9S28hdy"
1245382472071892993,2020-04-01 16:08:14,"RT @HoustonHealth: Today, we double our #COVID19 testing capacity by opening #Houston's second free community based testing site. (1/3) 

#…"
1245359224806391810,2020-04-01 14:35:51,You must RSVP by Friday at 9:00AM CT to participate: https://t.co/h1jNB6sPRm
1245359090680901632,2020-04-01 14:35:19,Do you have questions about resources available to small businesses during the #COVID19 crisis? I'll be holding a webinar on Friday with a representative from the U.S. Small Business Administration to answer your questions and share info. https://t.co/WVsqvyoei5
1245077572670689280,2020-03-31 19:56:40,One of the strengths of our community is our diversity. On this #TransVisibilityDay I am proud to show my support for trans people in #TX07. https://t.co/n2sNSVhpml
1244762131347767296,2020-03-30 23:03:13,"Thankful to report my #COVID19 test came back negative &amp; thankful to all who sent well wishes. Thinking of those fighting COVID-19 &amp; those caring for them. Will keep working remotely to get tests &amp; PPE &amp; resources we need in #TX07 and across the country. 

See my full statement: https://t.co/67xOHyvslV"
1244748934477684742,2020-03-30 22:10:46,"Several agencies now have #COVID19-specific programs. Click below for an ever-growing list of #COVID19 resources in #TX07, which my team has been using to help constituents and is now on my website for your use.
https://t.co/rPSwTWhfoj"
1244714994568232960,2020-03-30 19:55:55,"For all that you do to keep us healthy, for all that you are doing now on the frontlines of COVID-19, and for all the care you provide always: thank you. 
Happy #NationalDoctorsDay to all the physicians in #TX07 and everywhere. https://t.co/4cDl5PN85K"
1244698387833896960,2020-03-30 18:49:55,"We often think of the Census as a door-to-door operation, but it doesn't need to be.

Log onto https://t.co/QzPXJg57so and fill out your household's information—and then ask your family and friends all over the U.S. to do the same. https://t.co/cfb3uSoMGi"
1244273078957375490,2020-03-29 14:39:54,"RT @HoustonHealth: Our community based testing site is now available to anyone with #COVID19 symptoms of fever, cough &amp; difficulty breathin…"
1244017408173576195,2020-03-28 21:43:57,Useful illustration of why #StayHomeWorkSafe is so important.  #WeAreAllInThisTogether https://t.co/I80XgdFzBO
1243659177907666950,2020-03-27 22:00:28,"Companies looking to sell or donate medical supplies, equipment or services as part of the #COVID19 response, please follow the @FEMA link here: https://t.co/avfeSkWAmD"
1243613062743101440,2020-03-27 18:57:14,"Our communities are facing a public health emergency that impacts every aspect of our lives. I was proud to vote in support of the first two bills Congress passed in response to #COVID19, and I am proud to support the #CARESAct now.
https://t.co/E1Hkfc9KSO"
1243577931420622851,2020-03-27 16:37:38,"My team and I have been working with local and federal officials around the clock. We put together a resource guide with the most frequently requested information in #TX07.  

Here's the printable version: https://t.co/qJ9PLAH0oY https://t.co/cPUraXHDWA"
1243547352272683008,2020-03-27 14:36:07,"Those who made it home yesterday: I'm glad we could help you come back to your families &amp; your lives! Let's #StayHomeWorkSafe.

#TX07 friends still in Peru and other countries: we're with you, we're thinking of you, and we're still working to get you home. https://t.co/OtwN1UhKP2"
