id,created_at,text
1247234022943703042,2020-04-06 18:45:38,"As America combats #COVID19, the creation of a nonpartisan commission is a crucial additional step needed to analyze our nation’s response and better prepare our country in the future. 

I applaud @RodneyDavis for making this bill truly bipartisan.
https://t.co/lrHUjBwdQT"
1246950749914959873,2020-04-06 00:00:00,"America has 30 days to #SlowTheSpread! 

Join this all-of-America effort and help keep yourself, your family, and our communities safe and healthy! https://t.co/p4yduZhup7"
1246930259095818240,2020-04-05 22:38:35,"Great news → @POTUS has approved Oklahoma’s major disaster declaration—unlocking more tools and millions of dollars in federal funding to combat the #coronavirus and help people in need across our state.
https://t.co/I8IPRncDKm"
1246799754488504321,2020-04-05 14:00:00,"ICYMI: @SBAgov's Paycheck Protection Program is open!

SBA will forgive loans if all employees are kept on the payroll for eight weeks and the money is used for payroll, rent, mortgage interest, or utilities. https://t.co/Bn2ato8AU6"
1246512863318913025,2020-04-04 19:00:00,"Relief is coming to American families, farmers and ranchers, small businesses, and health care professionals thanks to the 𝘊𝘈𝘙𝘌𝘚 𝘈𝘤𝘵.

✅Direct payments to Americans
👨🏼‍🌾$9.5B to farmers &amp; ranchers
💵Assists small businesses
🏥Increases funding for health care https://t.co/z4pNS4aS2p"
1246452465626681351,2020-04-04 15:00:00,"Research and innovation at @okstate has led to a solution to increase #coronavirus testing in Oklahoma. 

Thank you @okstate for your efforts and for playing such a vital role in helping Oklahoma #FlattenTheCurve!
https://t.co/EfFO28gelh"
1246195774892969991,2020-04-03 22:00:00,"As we combat #COVID19, we must prioritize American oil &amp; gas producers and maintain our nation's leadership in energy production. 

I was proud to join @RepArrington, @SteveScalise &amp; 40 of my colleagues urging @POTUS to protect American energy producers.
https://t.co/7wdB1bMK70"
1246155011115057157,2020-04-03 19:18:01,RT @GovStitt: Access to testing for #COVID19 is a top priority. Oklahoma now has 19 drive-thru testing locations for the virus across the s…
1246113481444581376,2020-04-03 16:33:00,"🚨NEWS 🚨
Small businesses can now apply for the #PaycheckProtectionProgram. Contact your lender or Farm Credit institution!

𝐖𝐡𝐨 𝐢𝐬 𝐞𝐥𝐢𝐠𝐢𝐛𝐥𝐞?
✅ Small businesses w/ 500 employees or less
✅Farmers &amp; ranchers
✅501(c)(19) veteran organizations
✅501(c)(3) nonprofits https://t.co/xxsuFwE4R6"
1245863586892853249,2020-04-03 00:00:00,"Our nation's small businesses are facing an unprecedented economic disruption due to #COVID19 outbreak. The CARES Act contains $376 billion in relief for American workers and small businesses.

Learn how @SBAgov can help your small business ↓
https://t.co/5BfB9wEne9"
1245834248008933376,2020-04-02 22:03:25,"As America's electric, gas, and water utilities diligently protect their customers during this economic crisis, the @federalreserve must ensure that these companies have access to short-term credit. 

Read my letter to @federalreserve Chairman Jerome Powell ↓ https://t.co/iS0XuDzHzs"
1245782517875191808,2020-04-02 18:37:52,"Rural hospitals are vital to communities across Western Oklahoma. 

As our rural health care providers combat #COVID19, we must ensure that they receive the immediate support they need to continue caring for our communities.
https://t.co/NkEFVNtiAP"
1245727688960036864,2020-04-02 15:00:00,"Questions about the 𝐏𝐚𝐲𝐜𝐡𝐞𝐜𝐤 𝐏𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐨𝐧 𝐏𝐫𝐨𝐠𝐫𝐚𝐦? 

The Paycheck Protection Program helps millions of small businesses &amp; their workers by authorizing up to $349 billion toward job retention and certain other expenses. Learn more ↴
https://t.co/RIm6DaJami"
1245460401145479168,2020-04-01 21:17:53,"Today, I joined my colleagues requesting swift financial support for America’s cattle ranchers impacted by #COVID19 

America’s cattle ranchers are playing a critical role in domestic food security which is why they need resources included in the CARES Act. 

READ THE LETTER ↓ https://t.co/gpFJC0VHIa"
1245450881434292225,2020-04-01 20:40:04,"I want to commend @POTUS for appointing @kdroege to be the Acting Director of @NSF. Now, more than ever, the United States needs a strong, flexible, and productive research enterprise to help combat the novel coronavirus. https://t.co/6InBFkfcp3"
1245417534448427008,2020-04-01 18:27:33,"It's #CensusDay! 

The U.S. Census is a critical opportunity for rural Oklahomans to step up and be counted to ensure the future growth and prosperity of rural communities.

Respond to the #2020Census today! Visit https://t.co/0WbYws9ILJ for more information! https://t.co/r3nI1azvLl"
1245375133918859264,2020-04-01 15:39:04,"Yesterday, I spoke to @OKCFOX's @DanSnyderFOX25 to talk about the importance of social distancing, the strength of Oklahoma's food supply chain, and how the Administration is mobilizing efforts to protect Americans. 

We're all #InItTogether!
https://t.co/mPybLz3f9K"
1244713884814118912,2020-03-30 19:51:30,"While our nation battles #COVID19, our doctors have remained our communities’ unsung heroes- risking their own lives to save the lives of others. Day after day, America’s physicians prove that they remain the best in the world. 🇺🇸

Thank you for what you do! #NationalDoctorsDay"
1244403264403189760,2020-03-29 23:17:12,"IMPORTANT: @POTUS has extended the National Social Distancing Guidelines through April 30, 2020. 

We’re all #InItTogether to #SlowTheSpread! https://t.co/3kP3s77Td9"
1243905820062072833,2020-03-28 14:20:32,"I am saddened to hear the news of the passing of Senator Tom Coburn.  His impact on the state of Oklahoma and Washington, D.C. will be long-standing. The Coburn family will remain in mine and Lynda’s prayers."
1243591504750411785,2020-03-27 17:31:34,"Oklahomans- relief is on the horizon! 

𝑻𝒉𝒆 𝑪𝑨𝑹𝑬𝑺 𝑨𝒄𝒕 𝒑𝒓𝒐𝒗𝒊𝒅𝒆𝒔: 

✅Direct assistance for America's families &amp; workers
✅Much-needed support for Main Street businesses
✅Relief for America's farmers &amp; ranchers
https://t.co/jKOQiSBwLp"
1243266472756924417,2020-03-26 20:00:00,"GREAT NEWS → The @FCC is offering expanded bandwidth to Oklahoma's rural hospitals and public schools. 

Rural broadband is critical as public schools move to distance learning, more and more workers begin to telework, and hospitals expand telehealth. 
https://t.co/BRpIVpBGsL"
1243236274304995328,2020-03-26 18:00:00,"NEWS → @DHSgov extended the REAL ID enforcement deadline to October 1, 2021. 

As federal, state, &amp; local governments respond to the #coronavirus, @DHS_Wolf is ensuring that our state has the flexibility needed to meet the deadline while also focusing on the impact of #COVID19. https://t.co/BDFYB55dDk"
1243206311912890370,2020-03-26 16:00:57,"Help #SlowTheSpread of #COVID19 in your community!

Visit https://t.co/7iY6d6Ng9M for more information and be sure to practice the safety tips below ↓ https://t.co/GRWIO1CcBD"
1243022871804477441,2020-03-26 03:52:01,"Tonight, the Senate passed the CARES Act, providing much-needed relief to America's workers, families, and small businesses. 

I urge my House colleagues to immediately consider &amp; pass this bipartisan piece of legislation. 

READ MY FULL STATEMENT ↓
https://t.co/DE87cL37Iy"
1242895865221693449,2020-03-25 19:27:20,"In order to implement our state's best practices, @HealthyOklahoma has begun its rollout of satellite testing locations. 

The first 4 satellite testing locations will be open by the end of the week in @TulsaCounty, Oklahoma, Kay, and Pittsburg Counties. MORE INFO ↓ https://t.co/CWdBvnrA1o"
1242815820243382273,2020-03-25 14:09:16,"RT @GovStitt: Today we honor the life of Tech Sgt. Marshal Roberts, who made the ultimate sacrifice for our state and nation. As our fallen…"
1242573334962941962,2020-03-24 22:05:43,"Today, to protect the health and safety of all Oklahomans, @GovStitt announced that all nonessential businesses and non-critical infrastructures will be closed in Oklahoma counties with community spread of #COVID19. 

We must all work together to #StopTheSpread! https://t.co/7vyOCXAq1C"
1242541698124623872,2020-03-24 20:00:00,"Community health centers provide critical care to those who call rural Oklahoma home, and during the #COVID19 outbreak they have a vital role to play. 

@HHSGov has awarded $228,272 to 4 community health centers located in Western Oklahoma. Learn more ↓
https://t.co/d3wCRXo0rb"
1242501159505592322,2020-03-24 17:18:55,"Even during times of crises, America's farmers &amp; ranchers are #StillFarming to produce the safest, most abundant &amp; affordable food supply in the world.

Thank you to all of our farmers &amp; ranchers for continuing to feed &amp; fuel not only Oklahoma, but the world. #NationalAgDay https://t.co/NarwU4ihWR"
1242473748307087360,2020-03-24 15:30:00,"Last week @POTUS and @BetsyDeVosED provided financial relief to millions of student borrowers by suspending federal student loan payments and waiving interest on federal student loans.

LEARN MORE ↓ https://t.co/ciBsHzM1xX"
1242436001064239105,2020-03-24 13:00:00,"The American people do not need funding for climate change studies or reporting requirements on work-life balance activities. The American people need help now! 

It’s time for the Senate to pass the bipartisan drafted #CARESAct!
https://t.co/2xWCW39mjP"
1242246347056713728,2020-03-24 00:26:23,Have questions about the #coronavirus outbreak? Need tips on how to #SlowTheSpread? Check out @HealthyOklahoma's new Fact or Fiction page ↓ https://t.co/IclGvZ2b90
1242179381554040833,2020-03-23 20:00:17,"Now is NOT the time to play politics! 

Congress must pass the #CARESAct NOW!"
1242179379993739269,2020-03-23 20:00:17,"Students should be focused on staying healthy, not worrying about their growing loan balance. The #CARESAct provides much-needed flexibility for the leaders of our higher education institutions and the students who rely on federal student aid to pursue an education."
1242179378823548928,2020-03-23 20:00:17,"Flexibility to our nation's schools, students, and borrowers. 

The #CARESAct supports steps taken by @usedgov to support our school administrators, providing waivers to school districts that are necessary during the #coronavirus outbreak."
