id,created_at,text
1247330731946319872,2020-04-07 01:09:55,"RT @HouseGOP: The @USTreasury and @SBAgov’s #PaycheckProtectionProgram provides much-needed certainty and #SmallBizRelief.
 
If small busin…"
1247329103256195072,2020-04-07 01:03:27,"I grew up listening to the Cubs and Tigers on the radio. Cubs in the day, and the Tigers at night. Kaline was the envy of any outfield and is on everybody’s all-star list for every good reason. #RIPMrTiger https://t.co/2sd4A1BGDA"
1247328368883834881,2020-04-07 01:00:32,"Busy day to start the week. 

Had a conference call with @SteveScalise &amp; the bipartisan Problem Solvers Caucus. Positive call focused on the CARES Act &amp; the #PaycheckProtectionProgram.

Back at it tomorrow. #MI06 #InItTogether https://t.co/Hcaupxu7zb"
1247298276422037504,2020-04-06 23:00:57,"RT @CDCgov: Reduce spread of #COVID19. When in public, use a cloth face covering that 
✔️Reaches above nose &amp; below chin, completely coveri…"
1247298206863687680,2020-04-06 23:00:40,"RT @CDCgov: Too much news about the #COVID19 pandemic can be upsetting. Stay informed, but #takebreaks from news and social media. https://…"
1247284753776226310,2020-04-06 22:07:13,RT @IRSnews: Are you concerned about your staff? The new #IRS employee retention credit can help employers keep employees on their payroll.…
1247276274315407363,2020-04-06 21:33:31,"Sign-up to receive #MyKitchenTable email updates where I share the latest info I have on the coronavirus. To keep folks safe &amp; healthy, we need to continue share critical information.

https://t.co/vwtXHuMQy6 #MI06 #InItTogether"
1247275397122834439,2020-04-06 21:30:02,RT @RepFredUpton: Tomorrow I'm hosting a teletown hall on the coronavirus with @BerrienCountyMI Sheriff Paul Bailey &amp; Health Officer Nikki…
1247248229839835136,2020-04-06 19:42:05,"Incredible appreciation in #MI06 for those on the front lines of the battle against the coronavirus. 

Here are some of the signs that greeted staff at Borgess &amp; Bronson in Kzoo. 

THANK YOU nurses, doctors, first responders &amp; everyone on the front lines.

https://t.co/fXHZd81v0s https://t.co/CW9yUcGdzr"
1247224565421559820,2020-04-06 18:08:03,"Tomorrow I'm hosting a teletown hall on the coronavirus with @BerrienCountyMI Sheriff Paul Bailey &amp; Health Officer Nikki Britten. We'll also have someone from the @FTC share tips to avoid coronavirus scams. 

Hope you can join. #MI06 #InItTogether https://t.co/8ttNbnvGQq"
1247216894454759424,2020-04-06 17:37:34,"Thanks, Governor Whitmer. Our entire congressional delegation is on Team Michigan. We all need to leave party IDs at the door to fight this crisis. 

Let's keep going! #MI06 #InItTogether https://t.co/lMBqHfd2t5"
1247192693907783680,2020-04-06 16:01:24,RT @Kzoo_Gazette: WMU uses 3D printers to make face shields for health care workers https://t.co/9e2IkyIGu5
1247186084271882242,2020-04-06 15:35:08,Appalled to read over the weekend some state leaders are not imposing strict social distancing. Calling on all Governors to follow the CDC social distancing guidelines. This is a national emergency - get with the program. We need to flatten the curve. #MI06 #InItTogether
1247143332041588737,2020-04-06 12:45:15,"In Michigan, as of Sunday morning, nearly 1,900 lenders had processed almost 78,000 PPP loans totaling $22 billion.

To apply for the #PaycheckProtectionProgram, please visit https://t.co/TOEHe5SoUd.

If you need assistance, please call my office: https://t.co/V34ltAuVvX #MI06 https://t.co/vLK1EMqOAT"
1247121473896173577,2020-04-06 11:18:24,"Chatting at 7:30 with @MPShiels on @mibigshow about the coronavirus crisis.

This will be a big week. Stay home. Limit person to person contact. We need to flatten the curve. 

Tune in ➡️ https://t.co/icLQHGllZy #MI06 #InItTogether https://t.co/H290cI68ay"
1247117153066680324,2020-04-06 11:01:14,"LIVE now -&gt; joining @1077RKR to discuss the latest on the coronavirus crisis and what I'll be working on this week to help protect the well-being of workers, families, and businesses in SW MI.

Tune in: https://t.co/YxThxGePMU

#MI06 #InItTogether https://t.co/TY9BPl8D8p"
1246936952332603392,2020-04-05 23:05:11,RT @marcus4polytics: As Mayor of the City of Benton Harbor I truly appreciate each person that is doing their part by staying home and stay…
1246906799464333313,2020-04-05 21:05:22,"RT @CDCgov: Take action to slow the spread of #COVID19 by wearing a cloth face covering in public spaces, keeping at least 6 feet of physic…"
1246906779927293957,2020-04-05 21:05:17,"RT @CDCgov: If you’re 65 and older or have an underlying medical condition, learn how you can take steps to protect yourself from #coronavi…"
1246906724935774210,2020-04-05 21:05:04,"RT @KalamazooCity: As you enjoy the warmer spring weather, remember to keep six feet of distance and follow the Governor’s“Stay Home, Stay…"
1246506057897332737,2020-04-04 18:32:57,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1246503973047189506,2020-04-04 18:24:40,"RT @CDCgov: Feeling sick? Answer a few questions about your symptoms using Clara, CDC’s #Coronavirus Self-Checker, to help you decide if yo…"
1246453675343650819,2020-04-04 15:04:48,"In my Kitchen Table update last night, I shared this poem from Amelia Earhart - inspiration for the day ⤵️ #MI06 #InItTogether https://t.co/6tI3CBpBx8"
1246437821369516033,2020-04-04 14:01:48,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246437784182816769,2020-04-04 14:01:40,"RT @SBAgov: 4️⃣ #CARESAct funding options to help your #smallbusiness during #COVID19:  
▶️Paycheck Protection Program 
▶️$10K Economic Inj…"
1246241469586984961,2020-04-04 01:01:35,Spoke w/ our major health providers &amp; they tell me we are still 2-3 weeks away from peaking. STAY AT HOME.  Do not put your neighbors or strangers at risk. We all know friends and family on the front lines. We have got to stem the tide for everyone's sake. #MI06 #InItTogether
1246225284271136770,2020-04-03 23:57:16,"...As I have said from the very start, we need to leave political labels at the door and work with everyone who has a good idea to move forward. #MI06 #InItTogether"
1246225283411304450,2020-04-03 23:57:15,"...and with so many small &amp; large businesses with very legitimate questions on how to survive this pandemic, I know we made the right decision to pass the #CARESAct last week rather than wait another few days for needed relief..."
1246225281855225856,2020-04-03 23:57:15,"THREAD: It is hard to believe that less than a week has gone by since I made the drive back and forth to D.C. to ensure that the Congress passed the 3rd bill dealing with Coronavirus. As I talk with literally hundreds of colleagues, the Administration, national health experts..."
1246208660948295681,2020-04-03 22:51:12,.@WesternMichU makes us all proud! Watch how they are using 3D printers to produce face shields and masks for health care workers. https://t.co/Zw25LBqLXX #MI06 #InItTogether
1246179352775217152,2020-04-03 20:54:45,"RT @CDCgov: To slow the spread of #COVID19, stay at home except to get groceries, medications, or other essentials. Avoid outings you don’t…"
1246178016373465088,2020-04-03 20:49:26,"RT @DwntwnKalamazoo: Southwest Michigan First has put together a Financial Relief Quick Reference Guide. 

If you're a small business suffe…"
1246156376688164868,2020-04-03 19:23:27,"The #PaycheckProtectionProgram can help make sure employees get paychecks and small businesses can stay afloat. 

These are challenging times. Apply for assistance at https://t.co/oYuK3B5Eum #MI06 #InItTogether https://t.co/j3TcLvuBdj"
1246117205944737794,2020-04-03 16:47:48,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1246112444466020360,2020-04-03 16:28:53,"Today small businesses can apply for the #PaycheckProtectionProgram, which will help folks keep their businesses afloat and their employees on payroll.

Learn more by visiting https://t.co/wvNY05Zxfs. #MI06 #InItTogether https://t.co/SNVQafIDcF"
1246109203590197254,2020-04-03 16:16:00,"Picked up pizza last night for dinner. A number of small businesses are facing challenges during this time - let's support them if you can! 

Here are a number of takeout options in SW MI: https://t.co/7T4HysQGgm #MI06 #SWMIStrong https://t.co/hPE5WrSNOf"
1245841198708715520,2020-04-02 22:31:03,"Lots of calls today. Spoke on teletown halls with veterans, @swmfirst, and with state Rep. Pauline Wendzel and #MI06 constituents.

Working to get more PPE to Michigan’s health care workers, keep small businesses open, &amp; share important resources. #InItTogether 🇺🇸 https://t.co/d5GLcdXYeq"
1245795806080315393,2020-04-02 19:30:40,"RT @migov: Stay Home. Stay Safe. Save Lives. The state of Michigan &amp; @MichiganHHS report today, April 2, 2020, 1,457 new COVID-19 cases &amp; 8…"
1245795565910228994,2020-04-02 19:29:43,An important update - the IRS now clarifies that social security recipients will automatically receive stimulus checks without filing tax returns. https://t.co/zyxBFi2RVt #MI06
1245724713504079873,2020-04-02 14:48:10,"Earlier this week, we lost a wonderful friend and hero who we will never forget - Bud Baker.

This vicious virus did what even the ravages of war could not. Bud was one of our most decorated veterans and celebrated citizens in Berrien County, and he will be dearly missed. #MI06 https://t.co/hZw3twCCJH"
1245716858042486786,2020-04-02 14:16:57,RT @FTC: Watch for emails claiming to be from @CDCgov or experts saying they have info about the #Coronavirus. For the most up-to-date info…
1245716695957803016,2020-04-02 14:16:19,"In my Kitchen Table update yesterday, I mentioned how folks need to be aware of scams during the coronavirus crisis. I received a call like that earlier this week. 

If you get that call, hang up on those folks ASAP. #MI06 #InItTogether https://t.co/2wjt3ZON4p"
