id,created_at,text
1247322776081399813,2020-04-07 00:38:18,"Great joining @Avik on @FREOPP’s American Wonk podcast to discuss what Congress has done to combat the Coronavirus, what more can be done, and much more. Thanks for having me on! https://t.co/5yJhhCwoXa"
1246797973155131392,2020-04-05 13:52:55,"Northeast Wisconsin is an incredibly generous community. Brown County Public Health and I plan to continue the drive this week, and if you have extra supplies, please call my office or email WI08donations@gmail.com."
1246797969820659712,2020-04-05 13:52:55,"In just one week, NEW donated an incredible amount of PPE to local healthcare workers and first responders, including: 

-) Nearly 30,000 gloves
-) Over 30 masks
-) Nearly 150 protective suits/gowns 

On Friday, @BrownCoHealth and I organized the first pickup of these supplies. https://t.co/EyX2ZjJ1uS"
1246475676020064257,2020-04-04 16:32:14,"Yesterday I joined the WI delegation in calling on the USDA to support WI’s agriculture economy and: 

1️⃣ Implement cheese and dairy product purchases/incentives,
2️⃣ Stabilize the supply chain through CCC and Section 32 purchases
3️⃣ Reopen the Dairy Margin Coverage program https://t.co/FkeFdD1z7j"
1246446882446082053,2020-04-04 14:37:49,"The Paycheck Protection Program has made nearly $350 billion available to small businesses to help them get through these difficult times. If you have questions about the program or whether your small business qualifies, visit my resource page: https://t.co/i9sAZXVuN2 https://t.co/hx9S59lbTF"
1246201797670326272,2020-04-03 22:23:56,"The Coronavirus will challenge hospitals in every state, &amp; it’s critical the resources made available in the CARES Act are distributed accordingly. Today I led the WI delegation in calling on HHS to ensure WI hospitals receive their fair share of funds to get through this crisis. https://t.co/X6fVxh0Fq9"
1246156244282466304,2020-04-03 19:22:55,"The SBA will today begin accepting applications for the Paycheck Protection Program. If you have questions about the program and whether your business qualifies, see my FAQ page here: https://t.co/i9sAZXVuN2 https://t.co/hx9S59lbTF"
1246152826574831616,2020-04-03 19:09:20,"This interview with @WallStCynic (a great Wisconsinite) is one of the smartest and most level-headed conversations you’ll hear all week. Great insight on US-China relations, supply chain vulnerabilities, and CCP directed deception (starting at 20 min mark).https://t.co/EuARjwC2ct"
1246125344790392834,2020-04-03 17:20:08,"Big thank you to @NevilleMuseum for converting this year’s submissions to WI08’s Congressional Art Competition into a virtual exhibit. Every year I’m impressed by the talents NEW students, and this year was no exception. You can see the full exhibit here: https://t.co/aNaVxmevjl https://t.co/3iOxoaLjNk"
1246089226241871874,2020-04-03 14:56:37,"A reminder for NEW: @cspan will be airing Trevor’s video, “America’s Digital Divide,” throughout the day. As hard as it may be, take a break from online class, work, or your new favorite bingeworthy show and tune into C-Span to watch Trevor's video. It's great work! https://t.co/grEWAj1gAP"
1245890074824323078,2020-04-03 01:45:16,"As the Coronavirus continues to harm WI, it’s crucial we have the resources we need to win this fight. Proud to join @SenRonJohnson &amp; the WI delegation in writing in support of @GovEvers request for a Major Disaster Declaration &amp; the much needed federal dollars that come with it. https://t.co/Z06XPdlODa"
1245870955584319489,2020-04-03 00:29:17,@CainFLS @preveaceo Thanks for what you’re doing Cain! Please send an e-mail to WI08donations@gmail.com and my team and I will work to connect you with the right people.
