id,created_at,text
1247266527625326592,2020-04-06 20:54:47,"RT @connorobrienNH: Just got off the phone with Rep. John Garamendi (D-CA), who chairs the HASC Readiness panel. Add him to the list of law…"
1247262910948298754,2020-04-06 20:40:25,"2/2 Relieving Captain Crozier of his post was an irresponsible decision. It’s time for Acting Secretary Modly to go. This entire situation must be thoroughly investigated.

https://t.co/iMVnIhKhs4"
1247262909740339205,2020-04-06 20:40:25,1/2 My concern is for the well-being of the U.S.S Roosevelt crew. Acting Secretary Modly’s comments to the crew are deeply disturbing and outrageous. Modly’s remarks are beneath the integrity of his office and do nothing to advance the well-being of the crew.
1246478196213723136,2020-04-04 16:42:15,RT @alldenews: John Garamendi: We’re all in this together https://t.co/xn3rn5RLTY
1246138101497462784,2020-04-03 18:10:50,"For more information and links to necessary forms, please visit: https://t.co/jZJR5z1tNy"
1246138100629241857,2020-04-03 18:10:49,The Small Business Association’s Paycheck Protection Program link is live. The Paycheck Protection Program is a loan designed to provide a direct incentive for small businesses to keep their workers on the payroll.
1245459403517689857,2020-04-01 21:13:55,I’m live on @BloombergRadio with @kevcirilli discussing the news of the day. You can listen in below: https://t.co/7FNWgaEB8Q
1245426752115167238,2020-04-01 19:04:11,"You can respond to the Census: 
- Online by visiting https://t.co/DJEUbi9s4h.
-Over the phone by calling 1-800-330-2020
-Or by mail.
For more information about how you can respond to the Census please visit https://t.co/0g8EvOxS4y."
1245426750756204546,2020-04-01 19:04:10,"Today is #CensusDay. While many of us are spending more time with our families indoors, we can use this time to help your community get the resources it needs by completing the Census. https://t.co/1vXsoZzZio"
1244722721885429767,2020-03-30 20:26:37,"There are several health care workers in my family so I know firsthand the sacrifice that they are making for our nation.

To all of the doctors and health care workers: thank you for all that you do. We will continue to fight for the resources you need to get through this crisis"
1244722719591104514,2020-03-30 20:26:36,"Today is #NationalDoctorsDay. As we face the global coronavirus pandemic, doctors and health care workers have been on the front lines caring for the most sick and vulnerable among us. They risk their health and safety so that we can feel safe. https://t.co/FXTFtB1MCw"
1244645527234494464,2020-03-30 15:19:52,"RT @ucdavis: This quarter will be like no other we have seen here, but we know Aggies are resilient. Have a great first day of spring quart…"
1244276554710081537,2020-03-29 14:53:42,"RT @HouseDPCC: .@realdonaldtrump: Mr. Pres, this is abt getting $ to the American ppl as soon as possible, not abt getting credit. Don’t de…"
1243650511535996931,2020-03-27 21:26:02,RT @GavinNewsom: NEW: CA now has a statewide moratorium on residential evictions for those impacted by #COVID19. This will be in place unti…
1243573389534560256,2020-03-27 16:19:35,"Unfortunately, during this public health crisis, scammers are taking advantage of fears surrounding the coronavirus. Please follow the links below to find out how you can protect yourself against these scams:
https://t.co/x5WlzgWlgL  
https://t.co/MGBkSbzQB2"
1243243784592330754,2020-03-26 18:29:51,We all must do our part to stop the spread of COVID-19. Learn more at https://t.co/BvCgq4ov6b https://t.co/VUJ4GiJ0M8
1243187207537668097,2020-03-26 14:45:02,"Older adults and people with underlying health conditions, including cancer, may be at higher risk for more serious complications from #COVID19. It’s important for everyone to take precautions to keep the most vulnerable populations healthy. #CongressionalFamilies https://t.co/ywhQcf3FiF"
1242905851494633472,2020-03-25 20:07:01,"Significant news from @GavinNewsom for Californians with mortgages. Thank you for your leadership, Governor. https://t.co/knPppjM5YM"
1242892343948304389,2020-03-25 19:13:21,"Donating blood is a safe process and blood drives have the highest standards of safety and infection control. If you would like to donate blood, please make an appointment at https://t.co/3VW5Af9xAf"
1242892343172313099,2020-03-25 19:13:21,"If you are a healthy individual, it is important to donate blood as we face the coronavirus pandemic. Volunteer blood donors are the only source of blood for those in need and just one donation can save the lives of up to three people."
1242595131137708039,2020-03-24 23:32:20,"RT @NYGovCuomo: My mother is not expendable. Your mother is not expendable.

We will not put a dollar figure on human life. 

We can have a…"
1242595050292379648,2020-03-24 23:32:00,"RT @TheLeadCNN: Joe Biden praises Americans' response to coronavirus saying he's ""so darn proud to be an American.""

""We're now seeing the…"
1242532617049837570,2020-03-24 19:23:55,"To date, we have helped CA-03 constituents return home from Morocco and Guatemala. During this public health crisis, my priority is ensuring that all of my constituents are safe."
1242532614675800066,2020-03-24 19:23:55,I joined @RepJoeNeguse and 65 of my Democratic colleagues to ensure Secretary of State Pompeo takes action to bring home Americans that are stuck abroad during the coronavirus pandemic. https://t.co/NUAg7ASJeH
1242259830196310023,2020-03-24 01:19:58,The telephone town hall for my constituents on the novel coronavirus is beginning shortly. Please follow this link https://t.co/CevJ1Td2Os for a livestream. Participants can join the call by dialing (855) 962-1140.
1242188109196001280,2020-03-23 20:34:58,"As always, if you have any questions or concerns, please leave a message with my office and we will get back to you as soon as possible. https://t.co/VstJ9eMhgQ"
1242188092288708609,2020-03-23 20:34:54,"Below you will find resource fact sheets, broken down by county, as well as a state and federal fact sheet. https://t.co/euney4lg29"
1242188070188994561,2020-03-23 20:34:49,"As we face the coronavirus pandemic, I want to make sure that my constituents have access to all the resources they need to stay healthy and safe. https://t.co/xHaMU1PDUf"
1242153481022181382,2020-03-23 18:17:22,"RT @YoloCountyCA: Join in the telephone town hall, hosted by Congressman John Garamendi, tonight at 6:30pm to hear Yolo County Public Healt…"
1242150510532202496,2020-03-23 18:05:34,"It has saved tens of thousands of lives by providing strong incentives against readmission of patients. Now, more than ever, we know how important it is for every American to have access to quality health care."
1242150509433311241,2020-03-23 18:05:34,It allows children to stay on the health insurance plans of their parents until age 26. It bans charging women a higher premium for the same coverage. It expands Medicaid to cover more lower-income Americans.
1242150506887348232,2020-03-23 18:05:33,Today marks 10 years since the Affordable Care Act was signed into law. The ACA was the first bill I voted on when I was elected to Congress. The ACA bans discrimination on pre-existing conditions. https://t.co/pcpbLL1MHy
1242105356777656320,2020-03-23 15:06:08,"I will be joined by local health officials to listen to the community’s concerns and answer their questions related to the novel coronavirus.

Participants can join the call by dialing (855) 962-1140."
1242105356127477762,2020-03-23 15:06:08,"I am hosting a telephone town hall for my constituents on the coronavirus at 6:30 pm PT TODAY, March 23. The event is free and every resident of California’s 3rd Congressional District is invited to participate."
1241541043612499970,2020-03-22 01:43:46,"You are a good man and we need you, Mark. Fight hard! https://t.co/NPyWIr5Axd"
1241168009286352901,2020-03-21 01:01:27,"I will be joined by local health officials to listen to the community’s concerns and answer their questions related to the novel coronavirus.

Participants can join the call by calling (855) 962-1140"
1241168008313257984,2020-03-21 01:01:27,"I am hosting a telephone town hall for my constituents on the novel coronavirus at 6:30 pm PT on Monday, March 23. The event is free and every resident of California’s 3rd Congressional District is invited to participate."
1241123645910593537,2020-03-20 22:05:10,RT @RecordBee: Garamendi applauds signing of Families First Coronavirus Response Act into law https://t.co/GiDvLnaWx7
1241008275925204992,2020-03-20 14:26:44,"Due to the novel coronavirus, IRS has moved tax day from April 15 to July 15. Please see more information below: https://t.co/7MoUgHomyl"
1240847045222694912,2020-03-20 03:46:04,RT @CAgovernor: Governor @GavinNewsom issued a stay at home order to protect the health and well-being of all Californians and to establish…
1240659471510179845,2020-03-19 15:20:43,U.S. Department of Housing and Urban Development (HUD) announced it will suspend all evictions and foreclosures for 60 days during the coronavirus pandemic. https://t.co/bYdWpcIwDw
1240038654896111616,2020-03-17 22:13:48,"They are urging individuals stay at home and only leave their homes for essential purposes such as necessary medical appointments, grocery shopping or picking up meals at a restaurant, and traveling to perform essential job functions. https://t.co/HabXeXbR1N"
1240038653117837318,2020-03-17 22:13:48,Davis Residents: The City of Davis is urging residents to shelter in place due to the coronavirus outbreak.
1239641762643218432,2020-03-16 19:56:42,"The program will continue until further notice. Please call 530-668-0690 or email info@yolofoodbank.org to participate. 

https://t.co/Bv4WhDSixF"
1239641761737314309,2020-03-16 19:56:42,"Yolo County Residents: To address coronavirus mitigation-related barriers to food access for low-income seniors and other vulnerable populations in Yolo County, Yolo Food Bank will begin a free home-delivered food service this Monday."
1239316862489559047,2020-03-15 22:25:40,"RT @GavinNewsom: NEW: Those that are 65 and older or vulnerable to #COVIDー19 must practice home isolation.

Bars, night clubs, wineries, an…"
1239205549465624580,2020-03-15 15:03:20,Please see an important update on UC Davis’ spring quarter below: https://t.co/rQA4dBVUA2
1239201727590645761,2020-03-15 14:48:09,RT @vacareporter: Garamendi urges HHS to investigate concerns reported during quarantine at Travis AFB https://t.co/bahWpOM72g
1239201671009492993,2020-03-15 14:47:56,"RT @KPIXtv: Congressman John Garamendi sent a letter to President Trump, the Centers for Disease Control and others, detailing unsafe condi…"
1238585754453979137,2020-03-13 22:00:30,"Davis Residents: All Davis Joint Unified Schools will be closed beginning Monday, March 16, through Sunday, April 12, 2020 in light of COVID-19. https://t.co/zAlj41FB7Y"
1238486787313545218,2020-03-13 15:27:14,I am joining .@RepKatiePorter and 80 of my colleagues to demand that @US_FDA and @HHSGov expedite assistance on new and simple tests for COVID-19. We cannot wait any longer. https://t.co/ns31hly29v
1238481495372771328,2020-03-13 15:06:13,Proud to join @RepKatiePorter in this effort. https://t.co/EsfmnLCG8k
1238481380897628161,2020-03-13 15:05:45,RT @RecordBee: Legislators introduce bill requiring reimbursements for cancelled cruises https://t.co/6HlrUgIQJ9
1238304718436347904,2020-03-13 03:23:46,A very important thread https://t.co/XvmicHA25O
1238221599742005248,2020-03-12 21:53:29,RT @MariaBartiromo: House working quickly to pass stimulus: Rep. John Garamendi https://t.co/0oUBEanyNa @MorningsMaria @FoxBusiness
1238128868873179139,2020-03-12 15:45:00,"An important Census letter is making its way to you. It will provide a unique user code &amp; instructions on how to fill out the 2020 Census online, by phone, or via mail. Check your mail – it could arrive as early as today. For more info, visit https://t.co/DJEUbi9s4h #census2020"
1238086110728896518,2020-03-12 12:55:05,"RT @HASCDemocrats: This morning the Readiness Subcommittee, Chaired by @RepGaramendi, will convene a hearing to examine the readiness postu…"
1237942245858435073,2020-03-12 03:23:25,"RT @AppropsDems: 🚨NEW: @HouseDemocrats just introduced the Families First Coronavirus Response Act. As the #coronavirus pandemic continues,…"
1237845247813496832,2020-03-11 20:57:59,RT @TREA_DC: We are proud to support @RepGaramendi &amp; @RepAndyKimNJ as they introduced the “Support Our Military Working Dogs Act” (H.R.6188…
1237845037100068867,2020-03-11 20:57:09,"RT @servicedogsmag: Garamendi, Kim Introduce Support Our Military Working Dogs Act #MWD #K9VeteransDay #SemperK9 @repgaramendi @repAndyKimN…"
1237836080826724352,2020-03-11 20:21:34,"RT @ucdavis: We want to minimize face-to-face contact, in instruction and office hours, in workspaces and large gatherings. And we want to…"
1237836059519705089,2020-03-11 20:21:29,RT @UCDavisGrad: The latest #CoronaVirus update from @ucdavis (March 11 at 10:30 A.M.): @UCDavisResearch has posted a webpage on #research…
1237824579458027520,2020-03-11 19:35:52,"The Support Our Military Working Dogs Act ensures that our nation’s military dogs receive the best possible care and a path to their forever home once they retire from service.

https://t.co/f0PzjeLuRo"
1237824578619088898,2020-03-11 19:35:51,Military dogs serve on the front lines with our troops to defend our nation and provide recuperating services for our veterans and their former handlers. Caring for these dogs in the field and once they return home is a major concern that must be addressed.
1237824577859915776,2020-03-11 19:35:51,"This bill would authorize better veterinary care for retired military dogs and direct the U.S. Department of Defense to work with veterans’ service organizations and other nonprofits to support their long-term care, once adopted by their former handler’s into loving homes."
1237824577138561025,2020-03-11 19:35:51,Today .@RepAndyKimNJ and I introduced the “Support Our Military Working Dogs Act” (H.R.6188) in commemoration of National K9 Veterans Day.
1237807338968547329,2020-03-11 18:27:21,"I joined Cuomo Prime Time last night to discuss the novel coronavirus and other news of the day. You can watch our full conversation below.

You can go to https://t.co/w1R3B2Chzt to stay up-to-date on the virus and what you can do to protect yourself. https://t.co/n9o9OsOt9D"
1237743009317470220,2020-03-11 14:11:44,"Patti and I are saddened to hear about the passing of a woman in Sacramento County. As we face uncertain and trying times, let us keep all those affected by the coronavirus and their loved ones in our thoughts and prayers.
 
https://t.co/2IQgrAQVvP"
1237712971129860097,2020-03-11 12:12:22,RT @CuomoPrimeTime: Rep. John Garamendi says he believes Bernie Sanders will stay in the presidential race despite Joe Biden's strong perfo…
1237584263236599809,2020-03-11 03:40:56,"I’m joining @donlemon and @ChrisCuomo on @CNN at 1 am ET/10 pm PT to discuss tonight’s election results, coronavirus, and other news of the day."
1237499438823804928,2020-03-10 22:03:52,"RT @CNNnewsroom: ""I'll carry out my responsibility here in Washington and back in the district and I'll do my best to protect myself, no ha…"
1237489634860576770,2020-03-10 21:24:55,"Today, the U.S. Census Bureau launched its website with a host of important information on the 2020 Census. On Thursday, they will begin mailing out notices. You can respond online, by phone, or by mail. More information below on how you can participate: https://t.co/9XfA0xVxz4"
1237478784774922241,2020-03-10 20:41:48,.@GavinNewsom is providing an update on California's response to the novel coronavirus outbreak in our state. You can watch the update live below: https://t.co/30xVOvE64Z
1237474602739208192,2020-03-10 20:25:11,I joined Brooke Baldwin today to discuss the novel coronavirus and the steps we can take to protect ourselves from the virus. You can watch the full conversation below: https://t.co/RhUkL4bUR1
1237452440171053057,2020-03-10 18:57:07,I'm joining @BrookeBCNN at 3:30 pm ET/12:30 pm PT to discuss coronavirus and other news of the day. You can watch live on @CNNnewsroom.
1237097374151032834,2020-03-09 19:26:12,"Programs like Medicare and Social Security depend upon Census data on your community, and I strongly encourage everyone in my district to participate. For more information on the 2020 Census, please visit the website below:
 
https://t.co/SQBHNgCTGp"
1237097373479907330,2020-03-09 19:26:12,"By April 1st, homes across the country will receive an invitation to participate in the 2020 Census.  You can respond online, by phone, or by mail."
1236729346196418560,2020-03-08 19:03:48,"Today, on International Women's Day, we celebrate the achievements and advancements women have contributed to our world while reaffirming our commitment to raise awareness against the biases that work against women. When women succeed, America succeeds. https://t.co/GCkw0MXdss"
1236009642645434368,2020-03-06 19:23:57,"RT @CSAC_Counties: #CSAC applauds Rep. @JohnGaramendi for introducing the FEMA Disaster Preparedness Improvement Act, which makes a number…"
1235952931251290112,2020-03-06 15:38:36,"I joined CNN this morning to discuss coronavirus and the steps we can all take to prevent the spread of this virus. Right now, every American has the responsibility to wash their hands and avoid touching their eyes, nose or mouth with unwashed hands. https://t.co/AjSv2bxt9R"
1235948876005244928,2020-03-06 15:22:29,"RT @CNNnewsroom: “If you want to be patriotic in America, wash your hands, don't cough on people, use your coat to cough in … that's how re…"
1235934812168433664,2020-03-06 14:26:36,"I'm joining @jimsciutto on @CNNnewsroom at 9:40 am ET/6:40 am PT to discuss coronavirus, the Presidential election, and other news of the day. I hope you can tune in!"
1235676088313016326,2020-03-05 21:18:31,"This package, which includes support for state and local health agencies, vaccine and treatment development, and loans for affected small businesses, will soon become law."
1235676084731080710,2020-03-05 21:18:31,It was an honor to join @SpeakerPelosi in a bill signing ceremony to send the bipartisan $8.3 billion Coronavirus Emergency Response Package to the President’s desk. https://t.co/HqtVontxZy
1235668808867737620,2020-03-05 20:49:36,I’m joining @SpeakerPelosi to send the coronavirus emergency response package to the President’s desk. https://t.co/o4MDIOPmya
1235619118700728320,2020-03-05 17:32:09,"I'm joining @TeamCavuto on @FoxBusiness at 1:45 pm ET/10:45 am PT to discuss coronavirus, the Presidential election and other news of the day."
1235589958209015811,2020-03-05 15:36:16,RT @pcorpsconnect: Thank you to the co-chairs of the House #PeaceCorps Caucus for welcoming us to Capitol Hill this morning! @RepJoeKennedy…
1235585541720203266,2020-03-05 15:18:43,"RT @CAL_FIRE: #GrizzlyFire off Grizzly Flat Recreation Area, west of Orland in Glenn County is 154 acres &amp; 100% contained. https://t.co/JpN…"
1235422954478919681,2020-03-05 04:32:40,RT @DavisCAPatch: Garamendi Introduces FEMA Disaster Preparedness Improvement Act https://t.co/4wLF4AsHIe
1235323174201577472,2020-03-04 21:56:10,"I just voted to pass an $8.3 billion emergency coronavirus package, which includes support for state and local health agencies, vaccine and treatment development, and loans for affected small businesses."
1235319427991777282,2020-03-04 21:41:17,@jahimes @QueerEye plz help.
1235297163577565185,2020-03-04 20:12:49,"I’m joining @BillHemmer on Fox News in a few moments to discuss the new bill in Congress to help combat the spread of coronavirus, as well as other news of the day."
1235251000761610240,2020-03-04 17:09:23,"RT @CNNnewsroom: ""When will it be done? Well, take a deep breath, be patient and we’ll eventually find out,” @RepGaramendi says about the C…"
1235239707925192704,2020-03-04 16:24:30,I’m joining @KateBolduan on @CNN in a few moments to break down news of the day.
1235229026438000640,2020-03-04 15:42:04,Proud that my legislation honoring Merchant Marines from WWII is finally poised to become law. It’s a long overdue recognition for these heroes. https://t.co/c7BBSddAdw
1235206219939315713,2020-03-04 14:11:26,RT @ABC: Lawmakers are criticizing the U.S. Department of Health and Human Services after receiving a memo in lieu of a briefing in respons…
1235191745266229248,2020-03-04 13:13:55,"RT @KQEDnews: ""There were clearly people that had the virus amongst the evacuees, we know that now. To say that there was no exposure is ju…"
