id,created_at,text
1247302311724146696,2020-04-06 23:16:59,"This week, I'm hosting a #CA39 Facebook Live Town Hall focused on small businesses. I've invited reps from the SBA and SBDC to answer questions about critical resources for our small businesses affected by #COVID_19.

To RSVP &amp; submit questions, click➡️ https://t.co/m4vzBjiFnE https://t.co/ROMmhk6gEx"
1247267183429853184,2020-04-06 20:57:24,"Today marks the start of #NationalPublicHealthWeek.

Now more than ever, we must show our gratitude and give our support for the work and dedication of our public health professionals. Thank you for all you do, especially in the face of this pandemic. https://t.co/ZbWV5AXwwS"
1247243809177640961,2020-04-06 19:24:31,"Acting Secretary Modly, the only one who is embarrassing the Navy right now is you. Your chastising of Captain Crozier and the crew is a poor example of leadership and demonstrates that you are unfit to occupy the position of SECNAV. Time for you to move on. https://t.co/r1tgV1KfY2"
1247230643756466178,2020-04-06 18:32:12,"#CA39 cities &amp; counties are receiving $31+ million in #coronavirus aid from the #CARESAct. It's going to health facilities, child care centers, food banks, senior services, and other economic &amp; housing needs.

I'm committed to ensuring our communities get the support they need. https://t.co/EDA8GBaTzs"
1247208605985779713,2020-04-06 17:04:38,"#LosAngeles County has been opening up more drive-up mobile #coronavirus testing sites. 

As of right now, it's by appointment only. Here is what you need to know about testing eligibility and where you can get tested.
https://t.co/QiajEaTHp1"
1247184010121564160,2020-04-06 15:26:54,"RT @CDCgov: If you’re 65 and older or have an underlying medical condition, learn how you can take steps to protect yourself from #coronavi…"
1246838721854521344,2020-04-05 16:34:51,"On #GoldStarSpousesDay, we honor and remember the spouses of fallen servicemembers. Their sacrifice and service are not forgotten. Everyday, we continue to support our servicemembers, veterans, and their families. https://t.co/8ms5x46lqq"
1246569904385536002,2020-04-04 22:46:40,My #OrangeCounty colleagues and I are committed to making sure our heroic healthcare workers receive the proper PPE and medical supplies they need. #coronavirus #CA39 https://t.co/KtlAYmWtQa
1246488046331101185,2020-04-04 17:21:23,"In #CA39 and across Southern California, restaurants have been lending a helping hand to our community. 

Check out this article highlighting the places you can find help or donate to those in need. https://t.co/o5Cy01Ecv5"
1246466723701719043,2020-04-04 15:56:39,RT @OrangeCountyEOC: #OCCOVID19 | @OCGovCA is encouraging residents to create a family preparedness plan in the event they are impacted by…
1246228331076427776,2020-04-04 00:09:22,"Over the past couple weeks, I've been receiving a lot of questions from small business owners about #COVID19 relief. I've updated our small business guide to help our #CA39 community navigate this process—including info on @SBAgov resources. Check it out➡️ https://t.co/h1Xe1zRfX9 https://t.co/8HOAonwAyX"
1246196497676292096,2020-04-03 22:02:52,RT @JournoBrooke: CA-39 @RepGilCisneros wants Acting Navy Secretary Thomas Modly to tell Congress why he reneged on an earlier pledge not t…
1246167793265004544,2020-04-03 20:08:49,".@RepHarley &amp; I are leading the charge, joined by our #OrangeCounty House colleagues, to ensure our healthcare workers receive the necessary medical equipment &amp; supplies to safely combat #COVID_19.

Our heroic healthcare workers in #CA39 &amp; across the OC deserve the proper PPE. https://t.co/CCInM8eSnN"
1246165463333253124,2020-04-03 19:59:33,"@RepHarley &amp; I are leading the charge, joined by our #OrangeCounty House colleagues, to ensure our healthcare workers receive the necessary medical equipment &amp; supplies to safely combat #COVID_19.

Our heroic healthcare workers in #CA39 &amp; across the OC deserve the proper PPE. https://t.co/lE7wq4c99B"
1246138055897071617,2020-04-03 18:10:39,Acting Navy Secretary Modly needs to explain his unexpected decision and reversal in position to the House Armed Services Committee and Congress. Our Servicemembers at home and abroad need to know that we have their backs and that their health and safety are our top priorities.
1246137948460011520,2020-04-03 18:10:13,"While we continue to fight this global epidemic, this sudden change in procedure risks further confusion and uncertainty at a time when we need steadfast leadership and clear guidance to ensure the safety of our Servicemembers."
1246137792780013570,2020-04-03 18:09:36,"THREAD: As a Navy Veteran, I understand Captain Crozier’s concern about his crew’s health &amp; safety as the number of #coronavirus cases grew on his ship. I’m surprised he was removed from his post after Sec. Modly said it would ‘absolutely not result in any type of retaliation.’ https://t.co/7r2eyj4dA4"
1246106364444893187,2020-04-03 16:04:43,"RT @OrangeCountyEOC: #OCCOVID19: Leave the N95 and surgical masks for our brave
healthcare workers and first responders. Make your own face…"
1245830426138226688,2020-04-02 21:48:14,"While #CensusDay was yesterday, you still have time to fill it out. Your participation is important to ensuring #CA39 receives the resources and funding it needs for the next 10 years.

You can complete the #Census2020 online, by phone, or mail. It takes less than 10 minutes. https://t.co/lB8lLP3gBQ"
1245808722259083265,2020-04-02 20:22:00,"Over the past couple days, I've been getting a lot of questions about the stimulus checks. Check out the link below for what you need to know! ⬇️
https://t.co/GLlvy9pAiw"
