id,created_at,text
1247343297271603201,2020-04-07 01:59:51,RT @dcexaminer: .@realDonaldTrump announces that nearly 1.8 million coronavirus tests have been conducted in the US since start of pandemic…
1247337930651242496,2020-04-07 01:38:31,"President @realDonaldTrump: ""We built the greatest economy in the world and I'll do it a second time.”

 https://t.co/xcaksLEeM2"
1247313242684305408,2020-04-07 00:00:25,RT @GeneralBrnovich: You can stay up to date with the latest information regarding COVID-19 scams by visiting our website: https://t.co/GHw…
1247300979315392512,2020-04-06 23:11:41,Why is an outlet with such close ties to Communist China allowed in the White House briefing room? https://t.co/cw3QIrzuGw
1247291201918820359,2020-04-06 22:32:50,"RT @WhiteHouse: .@fema and @HHSGov have distributed 11.7 million N95 respirators, 26.5 million surgical masks, 5.3 million face shields, 4.…"
1247290578661974016,2020-04-06 22:30:22,"It is entirely too problematic to be dependent on foreign nationals for essential services.

The Wuhan #coronavirus has showed that we are too dependent on foreign nationals for essential services and supplies. Buy American and Hire American!

 https://t.co/37n7Yb3qQh"
1247290057398136834,2020-04-06 22:28:17,"Mr. President @realDonaldTrump,

Please enforce the “Buy American and Hire American” executive order. 

We do not need additional foreign workers at a time when millions of Americans face unemployment. Thanks to @LouDobbs for highlighting this. https://t.co/37n7Yb3qQh"
1247277946576011264,2020-04-06 21:40:10,"RT @SenMcSallyAZ: Tomorrow is Arizona Gives Day. Support one of your favorite local non-profits during this time of need. #AZinAction
https…"
1247263147263737862,2020-04-06 20:41:21,"For years, we civil libertarians were told that our concerns about the secret FISA court that oversees the FBI’s applications to monitor U.S. citizens were overblown.

Those assurances, as it turns out, were not very reliable. https://t.co/terBN1xVWu"
1247262109697744896,2020-04-06 20:37:14,"RT @SenMcSallyAZ: .@WSJ is right: WHO bows to China &amp; it’s harmed the global response to the coronavirus pandemic, which is why I’m calling…"
1247259326512795650,2020-04-06 20:26:11,.@CamEdwards explains why gun shops should be considered essential businesses and how the #coronavirus has affected firearms sales. #2A https://t.co/S356vCSufz
1247211581672431622,2020-04-06 17:16:27,"We must simultaneously tackle the challenge of the Wuhan #coronavirus and the challenge of keeping millions of American households afloat.

President @realDonaldTrump, we need a second task force focused on getting America back to work! https://t.co/dGAJLOH9Yn"
1247205065267576832,2020-04-06 16:50:34,"""If this becomes a fight between a president who realistically represents hope and reporters who reject it, that’s a fight the press can’t win.""
https://t.co/WpUvENMzKZ"
1247172715057905665,2020-04-06 14:42:01,"Stay Home: stay home unless you're leaving for an essential service.

Stay Healthy: remain physically active, wash your hands, cover your cough, and maintain healthy habits.

Stay Connected: find alternative ways to stay connected to family and friends. https://t.co/iZElXycg5B"
