id,created_at,text
1247307729800179713,2020-04-06 23:38:31,"Today, I announced the timelines for individuals to receive their #coronavirus relief payments which consist of up to $1,200 per adult &amp; $500 per child. The funds are being made available under the third #COVID19 relief package. Details: https://t.co/IoIpkdpk7B."
1247251013427507201,2020-04-06 19:53:09,"The @CDCgov has issued recommendations on the use of face coverings including how to wear, care for, and make them: https://t.co/YPfkG8Yh9r and https://t.co/cG48RNhCmU."
1247201006171164674,2020-04-06 16:34:26,"#Attention U.S. &amp; foreign airline carriers:

""...passengers should be refunded promptly when
their scheduled flights are cancelled or significantly delayed..."" due to #COVID19 per @USDOT.

I called for this change in policy on 3/10. Now, we see results. https://t.co/SUKRb3o7CV"
1247162922784174081,2020-04-06 14:03:06,"Congratulations to @frankhwu on becoming the new President of Queens College. Confident that under his leadership, the institution's success will soar even higher. I wish him nothing but the best, and look forward to working with him. https://t.co/VlEG5TmzUG @QC_News"
1246955233152040961,2020-04-06 00:17:49,"RT @NYCFirstLady: You are courageous @RepGraceMeng, @RepJudyChu and @RepMarkTakano. It is inaccurate and prejudiced to call the coronavirus…"
1246881242144014337,2020-04-05 19:23:48,"I’ve helped to introduce a bill that would provide #coronavirus relief payments to #immigrants. Just like millions of Americans, immigrants have bills to pay &amp; loved ones to support during the #COVID19 crisis. They too should receive these critical funds. https://t.co/omddyRasI6"
1246841592192925700,2020-04-05 16:46:15,"Thanks to @SenKamalaHarris, @SenDuckworth, @maziehirono for announcing the Senate version of my resolution to condemn discrimination against Asian Americans caused by the #COVID19 crisis. Congress must take a strong stand against this xenophobia &amp; bigotry. https://t.co/YBt28ICThD"
1246563129825398785,2020-04-04 22:19:44,"Joined @MaulikPancholy, @vivek_murthy &amp; @HudsonDYang for an important &amp; meaningful conversation on combating bullying and hate targeted at the Asian American community as a result of the #COVID19 pandemic. Thanks to @ActToChange for hosting. https://t.co/I46cHiO7cs #coronavirus"
1246445696582062080,2020-04-04 14:33:06,"Thanks @BrianLehrer for having me on this week to discuss the situation at #Elmhurst Hospital, the Trump administration’s response to the #coronavirus pandemic and other critical issues related to the #COVID19 crisis. https://t.co/3hhXyVBbCm @WNYC"
1246238165364588544,2020-04-04 00:48:27,"#TaxDay es ahora el 15 de julio para la presentación de declaraciones y pagos de impuestos federales, independientemente de la cantidad adeudada. Los contribuyentes no necesitan presentar ningún formulario o llamar para calificar para este alivio. Vea https://t.co/IuFBsCrScX"
1246204141363486721,2020-04-03 22:33:15,"Attention employees, the @USDOL has updated information on paid family and medical leave rights for specific reasons related to #COVID19. These new rules apply from April 1, 2020 to December 31, 2020. https://t.co/3b6IR6cOua"
1246146921552580613,2020-04-03 18:45:53,RT @Rho_Co: Rep. Grace Meng talks to me about New York City’s coronavirus crisis: 'We’re losing people needlessly' https://t.co/SwFfhfEtYd
1246127218193031171,2020-04-03 17:27:35,"Attention #Federal workers, the @USDOL has updated information on paid family and medical leave rights for specific reasons related to #COVID19. These new rules apply from April 1, 2020 to December 31, 2020. https://t.co/C3hy1qLhSj"
1246094500163981312,2020-04-03 15:17:34,#公告: 根据美国国税局和@USTreasury，因为#新型冠状病毒的原因， 老年人和社会保障金的领取者不需要填写简短的纳税申报单来领取支票。#COVID19 https://t.co/Sn7wXdslc4 https://t.co/keblggq2iU
1246064391243644936,2020-04-03 13:17:56,"#Anuncio: Las personas de la tercera edad y los beneficiarios del Seguro Social NO tienen que presentar una declaración de impuestos abreviada para recibir un cheque debido a la #coronavirus, por el #IRS y @USTreasury. #COVID19 https://t.co/Sn7wXdslc4 https://t.co/SXPsEMYTBK"
1245897680431218690,2020-04-03 02:15:29,Looking forward to participating! https://t.co/1IDmt1C4cN
1245875053985660928,2020-04-03 00:45:34,"#PSA: Senior citizens and Social Security recipients DO NOT have to file an abbreviated tax return to receive a check because of the #coronavirus, per #IRS and @USTreasury. #COVID19 https://t.co/Ye1SqS9kNL"
1245817532172419074,2020-04-02 20:57:00,"Important information from @nysdmv about license &amp; registration renewals, vehicle inspections, road tests and more during the #COVID19 crisis. https://t.co/fT06tVTZAp https://t.co/KbmhSgVziu"
1245784312441491456,2020-04-02 18:45:00,"#PSA: As we practice social distancing, many people, houses of worship, &amp; communities are turning to @zoom_us to stay connected. 
 
Let's be vigilant online as we are offline. 
 
I've compiled a list of tips to keep your virtual community safe during #COVID19. #zoom #Queens https://t.co/QLVId7JxRe"
1245761189923168258,2020-04-02 17:13:07,New York City playgrounds have been closed to prevent the spread of the #coronavirus. Open spaces will remain open. https://t.co/3uQVALXDhT
1245725404264005633,2020-04-02 14:50:55,"I’m working with #USPS to get mail service restarted in #Ridgewood, #Maspeth, #Glendale &amp; #MiddleVillage; communities where delivery has been delayed due to the #coronavirus. https://t.co/YAG86UsMu8 #Queens."
1245709840623730688,2020-04-02 13:49:04,"I'll be joining @BrianLehrer on @WNYC at 10 a.m. to talk about #Elmhurst Hospital, the response to the #COVID19 outbreak and other issues related to the #coronavirus."
1245479939807358976,2020-04-01 22:35:32,Alternate side parking has been suspended for another two weeks through April 14. https://t.co/5xAD4ibz42 #NYC #Queens #coronavirus
1245395500905435138,2020-04-01 17:00:00,"#COVID19 doesn’t discriminate based on ethnicity &amp; neither should you. If you’ve suffered from a hate crime or biased-based incident because of the virus, @NewYorkStateAG urges you 2 call 1-800-771-7755 or email Civil.Rights@ag.ny.gov to report it. #Queens https://t.co/Mf0vYFwTLU"
1245363427251544064,2020-04-01 14:52:33,Spoke with @AriMelber on @MSNBC about the needs of our local hospitals and how we must equip frontline health care workers with the tools they need to help save lives. #coronavirus #COVID19 @binajv https://t.co/MOkYo9fY38
1245337572131385344,2020-04-01 13:09:49,"तपाइँको सुरक्षित सामाजिक दूरीले अरूको जीवन जोगाउन सक्छ

Your social distancing saves lives. #COVID19 #Queens #NY https://t.co/TsZjnY6FEz"
1245153734914650116,2020-04-01 00:59:18,"The #COVID19 pandemic is shining a spotlight on why we need to support women &amp; families with equal pay, paid leave &amp; sick days, and affordable child care. #EqualPayDay"
1245127531860295680,2020-03-31 23:15:11,"We deserve access to food &amp; other critical supplies at an affordable cost as we combat #COVID19. Jacking prices up for cleaning supplies or hand sanitizer is wrong &amp; must be reported. To do so, feel free to call 1-800-697-1220 or file a complaint here: https://t.co/jPqVDNznph"
1245094437165961219,2020-03-31 21:03:41,"#COVID19 is a national pandemic but isn’t stopping us from coming together to combat it. If you are able, please think about becoming a volunteer or donating items to fight this pandemic. See here for more information: https://t.co/qR2kCli2FE"
1245000651085619200,2020-03-31 14:51:00,The @NYSomh has options available if you need someone to talk to and help you get through any mental health crisis. You are not alone. Visit: https://t.co/m4TChDKod0 or call their Emotional Support Line: 1-844-863-9314.
