id,created_at,text
1246200260734705671,2020-04-03 22:17:50,"STAY UP-TO-DATE: https://t.co/J44hhc3oPS
Find details about federal resources that are now available for families and businesses in Kentucky by visiting my website, along with frequently asked questions and rumor control. https://t.co/6Am93UqFfb"
1246108301458374666,2020-04-03 16:12:25,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246107634048151552,2020-04-03 16:09:46,"SMALL BUSINESS UPDATE: Applications open TODAY for small businesses and sole proprietorships to access Paycheck Protection Program loans, which were a part of the CARES Act passed by Congress and signed into law by the President last week. Apply at https://t.co/AFVHJMwR59. https://t.co/LAlnU38iRV"
1246107275351281664,2020-04-03 16:08:20,RT @GovAndyBeshear: To help process more #unemployment claims we need to prioritize who is calling. If you are able to complete your applic…
1245745292680531973,2020-04-02 16:09:57,RT @stevenmnuchin1: I encourage small business to apply for Paycheck Protection Program so you can keep your employees paid! Program will b…
1245715087618441224,2020-04-02 14:09:55,RT @stevenmnuchin1: .@SocialSecurity recipients don’t need to file a tax return to receive Economic Impact Payments. Recipients will receiv…
1245466587810988032,2020-04-01 21:42:28,RT @USTreasury: Treasury and IRS release FAQs to help small and midsize businesses navigate paid sick and family leave tax credits. https:/…
1245466560736759808,2020-04-01 21:42:22,RT @fema: ⚠ Please do not trust anyone who offers you financial help and then asks you for money or personal information. Federal and local…
1245466515501088768,2020-04-01 21:42:11,"RT @SBAgov: BREAKING: With $349 billion in emergency #smallbusiness capital cleared, SBA and @USTreasury begin unprecedented public-private…"
1245081597218631680,2020-03-31 20:12:39,Kentucky's Congressional Delegation sent a letter to President Trump in support of @GovAndyBeshear's request for a federal major disaster declaration as a result of deadly severe storms in February. Learn more @   https://t.co/1g3ZdiTdBc
1245067768594079746,2020-03-31 19:17:42,"I'm proud to see companies, like SEKRI in Southeastern Ky, stepping up to help w/ the shortage of personal protection gear by producing masks for healthcare workers. Special thanks to all the companies that are lending support during this pandemic! https://t.co/qnicl3xGWt"
1243640782717890560,2020-03-27 20:47:22,RT @realDonaldTrump: News conference live from the @WhiteHouse today. 5:30 P.M. Eastern!
1243640737683693573,2020-03-27 20:47:12,"RT @realDonaldTrump: I just signed the CARES Act, the single biggest economic relief package in American History – twice as large as any re…"
1243600738661662721,2020-03-27 18:08:15,The House just passed the historic CARES Act by voice vote! I applaud my colleagues for rallying together to extend hope and much-needed funding directly to families and individuals across the country. Read my statement at https://t.co/X8aVkKwAua https://t.co/CaGpbA5Twp
1243591494046568454,2020-03-27 17:31:31,RT @HouseAppropsGOP: JUST IN: The CARES Act passed the House. Relief is on its way to the American people! https://t.co/Sba9yJMSE9
1243553659004358658,2020-03-27 15:01:11,"RT @HouseGOP: The CARES Act brings much-needed relief to America’s families, workers, patients, health-care workers, first responders and s…"
1243549908885540865,2020-03-27 14:46:16,"One single no vote on the CARES Act will not stop this critical COVID-19 relief package. It would be a disappointing and unnecessary delay, but I want to assure Kentuckians that this bill will pass despite those who choose to put politics above the American people. #PassTheBill"
1243306089879347203,2020-03-26 22:37:25,RT @McConnellPress: #Kentucky Congressional Delegation contacts @POTUS expressing their support of @GovAndyBeshear’s request for a federal…
1241082486072934400,2020-03-20 19:21:37,RT @GovAndyBeshear: Temporarily waiving some unemployment insurance benefit rules during #COVID19 is one step I can take to help protect Ke…
1241082317415776258,2020-03-20 19:20:57,"RT @HouseGOP: 𝘋𝘪𝘥 𝘺𝘰𝘶 𝘬𝘯𝘰𝘸 𝘵𝘩𝘢𝘵 1 𝘶𝘯𝘪𝘵 𝘰𝘧 𝘥𝘰𝘯𝘢𝘵𝘦𝘥 𝘣𝘭𝘰𝘰𝘥 𝘤𝘢𝘯 𝘴𝘢𝘷𝘦 𝘶𝘱 𝘵𝘰 3 𝘭𝘪𝘷𝘦𝘴?
 
“During this crisis, we all need to pitch in. Please dona…"
1241029556011782146,2020-03-20 15:51:18,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/km5CdvLvGG
1241029480975605761,2020-03-20 15:51:00,"RT @stevenmnuchin1: At @realDonaldTrump’s direction, we are moving Tax Day from April 15 to July 15. All taxpayers and businesses will have…"
1240384593448120328,2020-03-18 21:08:26,"I applaud the Senate for passing the Families First Coronavirus Response Act, the 2nd round of legislation that has now been approved by this Congress to combat the COVID-19 crisis. Learn more about our united efforts at https://t.co/R784aaJgmB."
1240370908021370889,2020-03-18 20:14:04,"RT @WaysandMeansGOP: NEWS ➡️ TAX HELP IS HERE. Families and small businesses can defer tax payments for 90 days, in the wake of #coronaviru…"
