id,created_at,text
1247295691057135617,2020-04-06 22:50:41,"RT @AsmCottie: Tomorrow, I will be joined by @RepHarley @RepKatiePorter @SenatorUmberg @HJTA @cal_CPA in a FB Live Town Hall, to discuss lo…"
1247221890642579456,2020-04-06 17:57:25,"Communities are stepping up to provide childcare for the children of first responders and health care professionals. We must supply these frontline workers with the PPE they need to stay safe &amp; healthy.

Read my letter to @DHSGov and @HHSGov ⬇️⬇️

https://t.co/Bn9bLI0IXB"
1247172864127709184,2020-04-06 14:42:36,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1246853297954226178,2020-04-05 17:32:46,RT @RepGilCisneros: My #OrangeCounty colleagues and I are committed to making sure our heroic healthcare workers receive the proper PPE and…
1246130440345464833,2020-04-03 17:40:23,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246093893394931712,2020-04-03 15:15:10,"Rent is due. We sent $2.2 trillion in relief to the President to sign last week. Now, his administration is saying some folks have to wait 20 WEEKS to get their check. #WhereIsTheMoney https://t.co/T5qtBnBP3J"
1245879870258905095,2020-04-03 01:04:43,"We're live! Head to my Facebook to watch my second #COVID19 Virtual Town Hall 

https://t.co/3WUAwY4hCy"
1245831517105991680,2020-04-02 21:52:34,"Tune in TONIGHT @ 6:00 PM PT to get answers to questions like: How do I qualify for my $1,200 check? Can those collecting Social Security/disability get a check? How do I file for unemployment benefits?

I'll be joined by @SenatorUmberg and @AsmCottie. 

https://t.co/3WUAwY4hCy https://t.co/wgsoEnJ6Js"
1245825041142439937,2020-04-02 21:26:50,"Capt. Brett E. Crozier is a hero.

“We are not at war,” Captain Crozier wrote. “Sailors do not need to die. If we do not act now, we are failing to properly take care of our most trusted asset — our sailors.”

The U.S. Navy just removed him from his post for speaking out. https://t.co/BmFfsB0bBB"
1245818927235637248,2020-04-02 21:02:33,"Millions of Americans, particularly senior citizens, are being targeted by fraudulent #COVID19 scams. 

I sent a letter to @FCC and @TheJusticeDept requesting immediate action to protect the safety, security, health, and welfare of the Americans they serve.https://t.co/voQnqmRzxU"
1245733415929950213,2020-04-02 15:22:45,"Climate change increases the frequency and severity of natural disasters, like hurricanes.

On Tuesday, @realDonaldTrump rolled back Obama-era fuel efficiency standards — which will add nearly a billion tons more of CO2 into our atmosphere. https://t.co/8XrfYgUt0x"
1245493453196312576,2020-04-01 23:29:14,"Happy #CensusDay2020! Thanks for the challenge, @RepLouCorrea. 

Visit https://t.co/yAHyDj0Zk1 to fill out your census. 

I nominate @SenatorUmberg @SenatorMoorlach @SenatorPatBates @TylerDiep @AsmCottie @TaxFighterSteel @OCSupBartlett https://t.co/VcqvZM04TA"
1245441980324290562,2020-04-01 20:04:41,"@MarthaFifi Hi Martha — I will check in with @CityofCostaMesa, who are hosting today's town hall."
1245436795929669632,2020-04-01 19:44:05,"Attention Orange County: tune in @ 3:00 PM PT for a Facebook Live #COVID19 Town Hall. 

I'll be giving updates + answering questions about federal resources and how my office can serve you. https://t.co/lfE9m9FUKB"
1245394233453920262,2020-04-01 16:54:58,"Hi Akil — Please know that millions of Americans are walking in your shoes, and I am doing everything I can to help you and your family. 

My office can help with federal agencies, but your State Rep.,@AsmCottie, can assist with @CA_EDD claims. 

https://t.co/8enKsrrYby https://t.co/dV0harTCHY"
