id,created_at,text
1247324529699033089,2020-04-07 00:45:16,"As the freshman leader of New Dems, I’m working hard to put in place practical and pragmatic solutions to help weather this health and economic crisis. https://t.co/fO6o208MW9"
1247211484222021633,2020-04-06 17:16:04,RT @USRepMikeDoyle: Manufacturers that are producing supplies related to #COVID19 – or that can shift to producing these supplies - please…
1247178499099471873,2020-04-06 15:05:00,#InThisTogether https://t.co/b9T0QGWBVn
1247145721423372289,2020-04-06 12:54:45,Workers are being laid off through no fault of their own and are losing access to lifesaving health insurance during this #coronavirus pandemic. I stand with @GoIUPAT and am working in Congress to make sure these workers don't lose their coverage. https://t.co/lFTzicH1bz
1246511352560209927,2020-04-04 18:54:00,"🥫 Worked with my Democratic and Republican colleagues in the PA delegation to help our community food banks feed those in need during this crisis

Stay safe. Stay home. #InThisTogether"
1246511348206444546,2020-04-04 18:53:59,"Weekly Rundown:
 
👴 After hearing from a constituent on our 5th #coronavirus telephone town hall about rebates for those on social security, I took action to make sure that they receive their CARES Act benefits
 
🩸 Gave blood ➡️ I encourage all who are eligible to give to do so https://t.co/2S0xCNDE5N"
1246164231562694656,2020-04-03 19:54:40,"I'll be using the #InThisTogether hashtag to highlight efforts in our community to help each other during this trying time. I'm constantly inspired by the uplifting work we are all are doing, and I want to shine a light on it. Feel free to join me! #InThisTogether"
1246164230686064640,2020-04-03 19:54:39,"#InThisTogether 

https://t.co/kDS9MgLS1v"
1246070245330227206,2020-04-03 13:41:12,I also want to thank my brother and all the health care workers and first responders across this country who risk their lives to keep us safe. We're with you and we are so grateful to you. 🇺🇸
1246070120281243648,2020-04-03 13:40:42,"I joined @andersoncooper w/ my brother, a surgical/ER nurse in Iowa, to discuss the country's response to the coronavirus pandemic.  I'm working w/ Republicans &amp; Democrats at the federal &amp; local levels to protect this community, Commonwealth, &amp; country. We're in this together. https://t.co/yX2KeKYWyM"
1246038487196782592,2020-04-03 11:35:00,"Community guidelines are changing daily; please use our site as a resource! We have assisted thousands of constituents: seniors, students, small business owners and employees, and more.  If you have questions about #COVIDー19, reach out and connect with us! #PennsylvaniaStrong https://t.co/9qRl6lTcsj"
1245820574607331328,2020-04-02 21:09:05,"I consider it an honor and a privilege of a lifetime to serve the people of Pennsylvania, and I will continue to do so with openness each and every day I have this privilege of serving. 4/4"
1245820573789364229,2020-04-02 21:09:05,"Our way out of this crisis is by standing together in a united front, and to do that, leaders must earn the trust of their constituencies. I’m proud to be a finalist for the Democracy Awards in the Transparency and Accountability category. /3"
1245820573000830978,2020-04-02 21:09:05,"At all times, but particularly in this trying time, people look to their leaders to demonstrate honesty, compassion, and a willingness to stand for truth and facts. /2"
1245820571352535041,2020-04-02 21:09:05,"Since being sworn into office, my team and I have endeavored to build an office that answers directly to the people of my community in Pennsylvania. Being transparent with and available to those who sent me here is always my top priority. /1 https://t.co/BE2EsPTOgK"
1245817206967058432,2020-04-02 20:55:42,"🚨🚨 The deadline to apply for an exemption for PA businesses to remain open is tomorrow, 4/3. Businesses not on the Governor’s “life-sustaining” industries list can seek an exemption to keep their physical facilities open. Don’t miss out – apply online below ⬇️ https://t.co/qWv8Fvughs"
1245709060709761024,2020-04-02 13:45:58,No child should go hungry because they aren’t in school. Please use the resource below to find a free meal near you for your child. https://t.co/ntRVEAx2iC
1245669052749500416,2020-04-02 11:07:00,Our community is coming together to provide the resources and funds to fight the coronavrius. We need more testing and treatment sites. I was proud to join my Pennsylvania colleagues on this effort. https://t.co/VXVjYScRoI
1245521082498584576,2020-04-02 01:19:01,"This is a vulnerable time for our community, and we want to make sure no one is taken advantage of. There has been an increase in #coronavirus-related scams. Below are some tips to spot scams and protect ourselves. Find the full audio of our telephone town hall on our website. https://t.co/p1xpJO7pKL"
1245437175078027265,2020-04-01 19:45:36,The process is very well managed. They take your temperature and provide sanitized stations; social distancing is strictly observed. All of the technicians wore masks and gloves at all times. And cookies at the end! https://t.co/vkX1igSd55
1245437160586690565,2020-04-01 19:45:32,"Today, I went to the @RedCross to donate blood. The way we beat this pandemic is by working together and helping when and where we can. If you want to donate blood, you need to first make an appointment by either calling 1-800-RedCross or online at https://t.co/JpZlU9tBZN. https://t.co/Ph4BTSS3Tr"
1245408007313403906,2020-04-01 17:49:42,RT @SecretaryLevine: You're not alone—and it's okay to reach out for help if you need it.  Contact the @CrisisTextLine by texting PA to 741…
1245392742232064000,2020-04-01 16:49:02,"Fill out yours today! If you have questions, please contact our office, and we'll be glad to help. #GetCountedPA 3/3"
1245392741074448385,2020-04-01 16:49:02,"Filling out your #Census helps support our:

👩‍🎓 Schools/education 
🏥 Hospitals
🚒 Fire stations
🛣️ Roads, bridges, and infrastructure
🏛️ Congressional representation 
🥘 School lunches
🚊 Public transit
🌲 Public parks
🏘️Housing assistance
👴 Senior citizens

...and more! /2"
