id,created_at,text
1247329706992701440,2020-04-07 01:05:51,"The CARES Act is an important step to get small businesses, workers, &amp; families the resources you need throughout this unprecedented crisis. It’s not perfect by any means -- but it’s an important down payment that will make a real difference for millions across the US. https://t.co/uKKOvY9zbf"
1247299103484186624,2020-04-06 23:04:14,Scientists across the country are prevented from pursuing promising COVID-19 research using fetal tissue because of federal restrictions. We need to put science and public health first and immediately remove these unnecessary barriers. https://t.co/YkhwhXjKyf
1247222540126355456,2020-04-06 18:00:00,"Between all the drama and twists of #TigerKing, it’s easy to forget the real issue here: preventing the exploitation of animals, protecting not only them but humans as well. Here’s some ‘behind the scenes’ footage that’s worth a view -- @NRDems hearing on the #BigCatSafetyAct https://t.co/Fw2n3hx4Gt"
1247214870052962306,2020-04-06 17:29:31,Today's Humboldt Board of Supervisors meeting is streaming live! Tune in here as I present to the board on the recently passed CARES Act and Congress' ongoing plans to provide relief during and after the #coronavirus pandemic. https://t.co/yiWqBvYFcG
1247191521612488709,2020-04-06 15:56:45,"Remember – even if this isn’t an option in your state, you may still qualify for benefits under the #AffordableCareAct if you recently lost your job or health coverage. Learn more at https://t.co/fgAIn7r9Im"
1247191518601007104,2020-04-06 15:56:44,.@CoveredCA extended open enrollment for health care coverage – but most states don’t have that ability under current law. We’re calling on @HHSgov to follow states like CA’s example so folks across the country can get the health care coverage they need during this critical time. https://t.co/2EgVjCObsV
1246859423018102789,2020-04-05 17:57:06,"Threats from #COVID19 come in all forms - including robocall scams. We’re calling on the  
@FCC and @TheJusticeDept to use every tool available to protect Americans. https://t.co/ECSBwgril7"
1246527440916295682,2020-04-04 19:57:55,"People experiencing homelessness are being left behind, even as individual cases of coronavirus among the population rise. All levels of government have a responsibility to ensure our most vulnerable Americans are not forgotten and can receive the support they need. https://t.co/atBFBQaJHI"
1246250783978459136,2020-04-04 01:38:35,"Everyone is feeling the impacts of #COVID19, especially small businesses. The recently passed #CARES Act includes an array of initiatives to assist business owners, nonprofits, &amp; other employers. My staff is always here to help, contact us &amp; learn more → https://t.co/YPMswTGoV4 https://t.co/eaVBTIteLo"
1246215655684177921,2020-04-03 23:19:00,"The #COVID19 pandemic reinforces the challenges that underfunding of special education creates, especially as we move to remote learning. I led over 50 of my colleagues in a bipartisan letter asking leadership to prioritize full funding for #IDEA. https://t.co/n03R6EYaka"
1246166698857771011,2020-04-03 20:04:28,"Agricultural businesses are essential and shouldn’t be left out of CARES Act benefits designed to help workers weather the impacts of #COVID19. 

We called on @SBA to fix this: farmers and ag businesses need to be included in vital relief programs. https://t.co/sigJAo8UP4 https://t.co/treeLEpGpK"
1246084275100884992,2020-04-03 14:36:56,"The health, safety, and economic security of older Americans is at a heightened risk right now. AARP put together an array of free information, tools, and resources to help seniors during the #coronavirus pandemic.
https://t.co/KYrHSstjEn"
1245884534278762497,2020-04-03 01:23:15,And another one! @Barclays’ new policy rules out oil drilling in the Arctic Circle. Major players are waking up to the reality that fossil fuel exploration is bad business. We need less dirty energy and more #ClimateActionNow. #ProtectTheArctic https://t.co/XfWzGOrN8j
1245791915947298818,2020-04-02 19:15:13,"Social Security beneficiaries can now automatically get their CARES Act payments. Thank you to @RepRichardNeal for leading the fight to get Congress’ relief funds to our most vulnerable populations.
https://t.co/KW7WcTow8h"
