id,created_at,text
1244302459419398145,2020-03-29 16:36:39,"Today is National Vietnam War Veterans Day. Team Bergman wanted to thank all who served in the Vietnam War, including our boss. 

Below, General Bergman (then 2nd Lt.) was awarded the Vietnam Cross of Gallantry by the Commandant of the Vietnamese Marine Corps. 

- Team Bergman https://t.co/4BwmVJcU1h"
1243902027127836672,2020-03-28 14:05:28,"Thank you @POTUS for rapidly turning around Michigan’s much needed emergency disaster request! 

 https://t.co/njA7aI0iyr"
1243228518353375238,2020-03-26 17:29:11,"RT @HouseVetAffairs: THANK YOU to all the @DeptVetAffairs doctors, nurses, emergency personnel, police officers, and support staff who are…"
1241887412139196418,2020-03-23 00:40:06,"RT @SteveScalise: Now is NOT the time for politics.

Senate Dems &amp; Nancy Pelosi need to quit playing political games &amp; support the Coronavi…"
1241523484045578247,2020-03-22 00:33:59,"Cindy and I are keeping my friend @RepDeSaulnier and his family in our prayers, and wish him the best in the days ahead. https://t.co/4Ov01lPyCK"
1240626477525278720,2020-03-19 13:09:36,"RT @IvankaTrump: The Families First Coronavirus Response Act passed!

+ Free coronavirus testing

+ Paid Sick Leave

+ Paid Leave for careg…"
1240626097592680448,2020-03-19 13:08:06,"To all the First District dispatchers, law enforcement officers, paramedics, EMT’s, and firefighters continuing to protect our towns throughout these trying times - Thank you! https://t.co/os4akXOIna"
1240360188517011457,2020-03-18 19:31:28,RT @RepPaulMitchell: The #Michigan delegation just sent a letter to @SBAgov urging them to approve Michigan’s request for an Economic Injur…
1240356348673605634,2020-03-18 19:16:12,Cc: @RepFredUpton @RepHaleyStevens @RepLawrence @RepHuizenga @RepDanKildee @RepAndyLevin @RepPaulMitchell @RepWalberg @RepSlotkin @RepMoolenaar @RepRashida @RepDebDingell
1240356346735874051,2020-03-18 19:16:12,"Today, I joined with 12 Members of Michigan’s Congressional delegation, in support of Governor Gretchen Whitmer’s request for an Econimic Injury Disaster declaration from the U.S. Small Business Administration. 

Read our letter below: https://t.co/6YmBRBYnil"
1240299386372075521,2020-03-18 15:29:52,Thank you to the men and women keeping our supply chain flowing! 🇺🇸 https://t.co/C9C071ziEm
1239702758023888896,2020-03-16 23:59:04,"I was able to spend time in the office today talking with small business owners and other Mi01 constituents about challenges they are facing due to the Coronavirus response. 

These are challenging times, I’m confident we will make it through together. https://t.co/YTJp4jXuki"
1238805759116201984,2020-03-14 12:34:43,"This targeted approach ensures that everyone can get a COVID-19 test, that our children will still have access to vital nutrition programs even if schools are closed, and that our small business and families will have economic relief during this difficult time."
1238805758185259009,2020-03-14 12:34:43,"Last night I voted in favor of H.R. 6201, the Families First Coronavirus Response Act. This will bring relief to American families in this time of uncertainty."
1238216216600358913,2020-03-12 21:32:05,"RT @HouseVetAffairs: It is imperative that we all work together.

Below are some simple steps we can all take: 

🧼 wash your hands often
🤝…"
1237853255335436288,2020-03-11 21:29:48,Thanks for coming to the office today! Great seeing our First District Reps from @AMVETSHQ in the office today. https://t.co/E18dqxIYQg
1237204788196016128,2020-03-10 02:33:02,@RepTomGraves Cindy and I are continuing to pray for a swift recovery for John and for strength for the entire family.
1234949593852522498,2020-03-03 21:11:42,"It was great to meet with @AIPAC representatives at our Washington office today! The United Stated has a long-lasting relationship with Israel, and we must continue standing firmly with our nation’s closest ally in the Middle East. #AIPAC2020 https://t.co/67SV3oIv1J"
1233191418899959808,2020-02-28 00:45:20,RT @RepJimBanks: Thanks to @RepJackBergman for making sure our veterans get the care they deserve. I signed onto his common-sense bill this…
1233157027620413440,2020-02-27 22:28:40,#ThrowbackThursday to the early 2000’s at NAS Joint Reserve Base Fort Worth. #SemperFi https://t.co/dekzdbKKRW
1233085689597759488,2020-02-27 17:45:12,"RT @HouseVetAffairs: Thank you to all the organizations who joined us today for our 2nd joint hearing.

Your diligent work to empower our w…"
1231772958777135106,2020-02-24 02:48:53,"RT @USMC: Seventy-five years ago today during the Battle of #IwoJima75, Marines claimed Mount Suribachi and raised the American flag at its…"
1230591291853037568,2020-02-20 20:33:21,RT @SteveScalise: I can think of an example.
1230526254769745926,2020-02-20 16:14:55,"About 600,000 Americans die of heart disease annually. This represents almost 25% of all U.S. deaths. To raise awareness of this disease, February has been recognized as “American Heart Month.""

Read more from the CDC here --&gt; https://t.co/BJmIEHKVPO https://t.co/taUHRngnv4"
1230169233851604999,2020-02-19 16:36:15,"Fleet Admiral Chester Nimitz said it best – “Among the men who fought on Iwo Jima, uncommon valor was a common virtue.”

As we commemorate the 75th Anniversary of Iwo Jima, we remember what it means to be an American and what it means to be a United States Marine. https://t.co/JDlxL6j1Yg"
1229828436421681153,2020-02-18 18:02:03,"Cpt. Jonathan Turnbull’s courage and determination have been an inspiration to #Mi01, and we are proud and grateful for his service to our nation.

Our office was proud to welcome he and his family to DC - just over one year after sustaining life threatening injuries in Syria. https://t.co/uKEnM1NtjU"
1228386107240394752,2020-02-14 18:30:44,"Ready for an evening of racing and festivities at The UP200, Midnight Run, and Jack Pine 30. 

Enjoyed the chance to meet Ryan (Redington Mushing) who is here in Marquette with his team - all the way from Skagaway, Alaska! https://t.co/NWLGTZF27E"
1228386019176861696,2020-02-14 18:30:23,"RT @HouseVetAffairs: With three hearings on the docket, it was certainly a busy, productive, and informative week in Committee - see our we…"
