id,created_at,text
1247345989863845890,2020-04-07 02:10:33,March wasn’t easy and April won’t be either. The @GovofCO spoke tonight on how we’ll overcome this— with the innovation and resiliency that has driven Coloradans for decades. We‘ll get through this together and I’ll be working with Governor Polis every step of the way.
1247232880281075713,2020-04-06 18:41:05,"The only person who should be relieved of command is Acting @SECNAV Modly. Real leaders know respect is earned, not demanded. Secretary Modly's address to the crew of USS Roosevelt is a failure of leadership. https://t.co/WykHDP7wCx"
1247195291813646336,2020-04-06 16:11:43,"Seeing Coloradans serve our community right now in hospitals and supermarkets, one thing is clear -- not all heroes wear capes. 

To show our gratitude, we’re collecting digital notes with our new initiative, Thank You Notes for Local Heroes. 

Details: https://t.co/WN3BOVGwSx https://t.co/p2Tkf9DH7U"
1246840893996503040,2020-04-05 16:43:28,"The CARES Act is the first step to getting our local governments the resources to respond to the coronavirus and its impact. CD-6 is getting $4.7 million for our counties and cities, along with $327 million for state transportation programs. https://t.co/cviM23QDzb"
1246561057075757057,2020-04-04 22:11:30,"On @HouseSmallBiz, I’m working to get Colorado businessowners the support they need. We just launched a resource guide for small businesses, so you can easily find information on local and national services.
https://t.co/Rvw8gQbLjJ"
1246464222495727622,2020-04-04 15:46:43,"The President should be using every hour of his day working to contain COVID-19, instead he’s seeking revenge on members of our intelligence community who dared to perform their duty. 

This is more than a dismissal, it’s another assault on the rule-of-law. https://t.co/Up0HwsRJJI"
1246204351309365250,2020-04-03 22:34:05,"I helped pass the Paycheck Protection Program as part of the CARES Act to help small businesses stay afloat and support their employees as we address the coronavirus crisis. The application opened today! 

Details &amp; how to apply: https://t.co/7A2IyczJtO https://t.co/6p6UCSNgW5"
1246146970206515202,2020-04-03 18:46:04,"ICE detention centers are hotbeds for COVID-19's spread, posing a threat to detainees, staff, &amp; communities. Last week, I called on @ICEgov to grant humanitarian parole to vulnerable individuals with non-violent immigration charges during this crisis

https://t.co/Gdp2p61U92"
1246124718484344832,2020-04-03 17:17:39,"Amid this health crisis, we must ensure that our servicemembers get the support they need. I talked with senior leaders at @Buckley_AFB this week about how they’re working to conduct coronavirus tests &amp; protect servicemembers while continuing critical national security operations"
1245854195804037120,2020-04-02 23:22:41,"Last month, I joined Abbay Media to discuss Congress’ response to the coronavirus and my work to support small businesses during this difficult time. Thank you to Yofta for having me and Neb on. 

To find COVID-19 resources in Amharic visit: https://t.co/itGxmmcJoF https://t.co/vorCv9IkIu"
1245842184525545473,2020-04-02 22:34:58,"Leadership means taking responsibility.

CAPT Crozier knows that, he spoke up to protect his sailors. And it may have cost him his job.

We don’t play politics with the military, especially when lives are on the line.

The Navy owes our sailors, country, &amp; Congress an explanation https://t.co/VltTL6lERR"
1245805601835409410,2020-04-02 20:09:36,"Earlier this week, we held a small business webinar bringing over 150 small business owners and advocates together to answer their questions about the federal response to the COVID-19 crisis and highlight available resources. Check out the recording here: 
https://t.co/yv0qQ5cMsL"
1245774936037351425,2020-04-02 18:07:44,"As this public health crisis continues to unfold in Colorado, I want to make sure you have the information and assistance you need. We just launched a resource guide, so you can easily find helpful information. 

https://t.co/AzfKRtitSL"
1245738414340743168,2020-04-02 15:42:37,"This is the spirit of Colorado -- when Cherry Creek teachers and students were asked to help, they were ready. 

Thankful for their work to help keep our front line health care staff safe. 

https://t.co/XuFU1VWV7x"
1245536810748514304,2020-04-02 02:21:31,"It’s #CensusDay! Have you filled out the census yet? 

Over 1/3 of Coloradans have completed it &amp; in Colorado, our district has the highest rate -- 43%! The census will be vital to determining federal funding for our schools &amp; roads

Join your neighbors-- https://t.co/qEUAF75vYG"
1245462619944890371,2020-04-01 21:26:42,"Colorado’s small businesses need help. Not next week, not tomorrow, but right now. 

As a member of @HouseSmallBiz, I called on @SBAgov to immediately share any guidance businesses need for loans that we passed in the CARES Act.

https://t.co/WfcQFqZTbe"
1245442587043004417,2020-04-01 20:07:06,"Need a productive activity while you’re staying home? Complete your census at https://t.co/qEUAF75vYG!

The census is essential to ensuring that Colorado gets the funding for our schools and infrastructure projects that we need.

#CensusDay https://t.co/sPAyHRHPsR"
1245164337666424833,2020-04-01 01:41:26,"Spoke on the phone today with @GovofCO and Colorado’s congressional delegation. We’ve been flattening the curve, but our front line health care workers need more personal protective equipment. We’re working together to secure more test kits, masks, and ventilators for Colorado."
1245148678660198401,2020-04-01 00:39:13,No person should be denied health care because of who they are. We need to support every member of our community. #TransVisibilityDay https://t.co/vxy0mdTIlP
1245126082195578885,2020-03-31 23:09:25,"Let me be unequivocal here: Leave no man or woman behind. 

This is a crisis within the crisis. The administration needs to act. Lives are at stake. https://t.co/q7dg7LcGPX"
1245096879991459840,2020-03-31 21:13:23,"With libraries closed, Libby in Centennial took it into her own hands to share her love of books with neighbors. Staying at home isn’t easy, but this is how we’re going to get through it -- as a community.

https://t.co/YLEQ8QAccQ"
1245057816328654849,2020-03-31 18:38:10,"Do you run a small business that’s been affected by coronavirus?

I’ll be hosting a webinar to discuss available resources and answer your questions about getting the support you need. We’ll be on Facebook Live at 1 pm!

🔗: https://t.co/bhjyb4PsNS https://t.co/HvP23iYSLF"
1245056748425293840,2020-03-31 18:33:55,"To the Coloradans working every day to keep our streets clean, supermarket shelves stocked, and patients safe, thank you! Through May 17th, essential workers across Colorado are eligible for free childcare. You can find details here --

https://t.co/aTGIFn55MS"
1245019629879255044,2020-03-31 16:06:25,"Last week, Congress passed the CARES Act, which expands unemployment benefits to more Coloradans who need them. Here are some of the updates. 

For more information: https://t.co/qXJu4Xm7wr https://t.co/5uuiUIGw7K"
1245015428528775168,2020-03-31 15:49:44,"RT @codepted: CDE has compiled resources and guidance to help teachers, families and students as they learn from home. Visit our website to…"
1245013007299743747,2020-03-31 15:40:06,"RT @NydiaVelazquez: A good Q&amp;A piece on how small businesses can apply for help from @SBAgov. 

Thanks @washingtonpost for covering. 

http…"
1245008413886685185,2020-03-31 15:21:51,"RT @HouseSmallBiz: Are you a small business impacted by #COVID19 looking for more info following the passage of the #CARESAct?

Here's a fl…"
1244809411136237570,2020-03-31 02:11:05,"Tomorrow, I’m hosting a webinar on resources for small businesses affected by coronavirus with Angela Atkinson from the @NorthMetroSBDC. Small business owners are invited to join via Facebook to learn more about resources &amp; get your questions answered

🔗: https://t.co/bhjyb4PsNS https://t.co/2ZnZsxjsiA"
1244765310743429120,2020-03-30 23:15:51,"This #NationalDoctorsDay, I’m thankful for every doctor and the health care workers fighting on the front line of this pandemic to keep Coloradans safe. https://t.co/Yau6RR4DEL"
1244752406715523074,2020-03-30 22:24:34,"The coronavirus is keeping many of us at home, but that doesn’t mean our work in Congress stops. Every day, I’ve been talking to Coloradans over the phone or Zoom to hear about the challenges they’re facing. Looking forward to more video calls and phone calls this week."
1244683058953031683,2020-03-30 17:49:01,"While many of the 600,000 small businesses in Colorado are forced to temporarily close during this public health crisis, they need all the support they can get. That’s why I introduced new legislation to expedite loans for more small businesses. https://t.co/nKOPJ6UB8y"
1244657660219310083,2020-03-30 16:08:05,"One way to stay at home? Order delivery from one of our amazing local restaurants --

https://t.co/SVC3qh7g2V"
1244372433219522560,2020-03-29 21:14:42,"To the doctors, nurses, firefighters, police officers, supermarket workers, and other essential employees keeping Colorado running right now, thank you! 

We’re here to support you. 

You may be eligible for free childcare: 
https://t.co/UDYJF3aznv"
1244348661473120261,2020-03-29 19:40:14,"We need to get more masks, gowns, and ventilators for our hospitals. With a request from @GovofCO &amp; bipartisan support in our congressional delegation, Colorado was just declared a major disaster area, opening up more resources for our health care workers

https://t.co/4VKQHDJeW4"
1244015100564066304,2020-03-28 21:34:47,"This week, STRIDE Community Health Center opened up a drive-thru testing location so folks can easily be tested in Aurora without leaving their car. Details: 
https://t.co/54yz5WHJ1B"
1243726725193904128,2020-03-28 02:28:53,"This is what legislating in the era of COVID-19 looks like. Hosting a telephone town hall from the airport with a medical expert and nearly 4,000 Coloradans to discuss how to keep families safe, what to expect from the new stimulus bill, and your concerns. https://t.co/zA0K05xhPT"
1243709302424158209,2020-03-28 01:19:39,"LIVE: I’m doing a telephone town hall to answer your questions on the coronavirus and the CARES Act we passed today. Join here:
https://t.co/3Ow7a6M1PF"
1243652191056998401,2020-03-27 21:32:42,"TONIGHT: I’ll be hosting my second telephone town hall to answer your questions on coronavirus and the CARES Act that Congress just passed to provide funding for our health care workers and small businesses. Join me at 7:20 pm. 

RSVP: https://t.co/RnA4ZKSBns https://t.co/TYiZZHrctw"
1243633979007385600,2020-03-27 20:20:20,"I just voted for the #CARESAct to help Coloradans. Here’s what’s in it: 
• Over $2 billion in aid for CO
• $375+ billion in small business relief
• $200 billion for hospitals and health care workers
• Cash payments to many Americans
• $260 billion for unemployment benefits https://t.co/tF1lN0ZzdT"
1243577533532168192,2020-03-27 16:36:03,"Our country is dealing with a crisis. I know that we’ll get through this together as a country because that is what we do. Today’s bipartisan stimulus package is an urgently needed step for health care workers, small businesses, and families across Colorado. https://t.co/hMXQ0Q4mWB"
