id,created_at,text
1246819811168071681,2020-04-05 15:19:42,"During this coronavirus outbreak, our rural communities face unique challenges and require a different response than urban and suburban centers around the country. Unfortunately, these needs are not often understood in Washington.

MORE ⬇️ https://t.co/UWwP3FcJbR"
1246199680712802304,2020-04-03 22:15:31,"Thankfully, we have an ally in the White House. His Administration issued updated guidance this week that will make it easier to provide telehealth services in rural communities. 

MORE ⬇️
https://t.co/ihCiZWS6es"
1246199679966208001,2020-04-03 22:15:31,I immediately began urging the Trump Administration to change these rules so we could expand care to our seniors in rural America without requiring them to come to a doctors office.
1246199679244734465,2020-04-03 22:15:31,"When I spoke with 50 of our area’s doctors and medical providers about the ongoing Covid-19 crisis, one of the issues they highlighted was the restrictions for telehealth services, making phone only services impossible."
1245432175715065856,2020-04-01 19:25:44,"If you are a small business looking for the resources available to you during the #coronavirus outbreak, you can find more information from the @USTreasury here. ⬇️
https://t.co/FhKwOC5Whj"
1244720495502798856,2020-03-30 20:17:46,"This #NationalDoctorsDay, I hope you will join me in praying for their continued health and strength. https://t.co/whFNQ23vHk"
1244720487428694016,2020-03-30 20:17:44,This is especially true of our #rural doctors and health care workers. I’ve spoke with many of them in the past two weeks to express my personal appreciation and to hear how to best help them.
1244720486770266119,2020-03-30 20:17:44,"During the #coronavirus outbreak, we've been constantly reminded about the extraordinary doctors and medical professionals we have in this country working to keep us safe."
1243963345230802944,2020-03-28 18:09:07,"- #GreenNewDeal
- solar energy tax credits
- federalizing local elections
- corporate board diversity requirements
- emission standards for airlines

👆have nothing to do with the #coronavirus, yet they were the top priorities for Nancy Pelosi this week.
https://t.co/P5VNv2NEUK"
1243218218933727232,2020-03-26 16:48:15,"We must ensure the needs of our farmers are responded to during the #coronavirus outbreak. 

That's why I outlined what steps the Trump administration can take and what policies they can support to ease the burden on our famers during this difficult time. https://t.co/6OL5gHhsvA"
1242893080459698177,2020-03-25 19:16:16,"It’s unfortunate that some see a national crisis as a chance to take advantage of their fellow citizens. Thankfully, @realdonaldtrump took the first steps this week to implement my bill to protect American consumers from price gouging.

MORE ⬇️https://t.co/8V6Nb1hBOF"
1242541820632084483,2020-03-24 20:00:30,"While Nancy Pelosi wants to pass her partisan agenda, I’ve been on the phones with the people I represent in southern Missouri, listening to their concerns and hearing how the federal government can help. 

Those are the ideas we should be including! https://t.co/TYFBd7UNEF"
1242476996736831489,2020-03-24 15:42:54,"Leave it to Nancy Pelosi to leverage a national emergency to try and pass her partisan agenda, like the Green New Deal. 

It’s a disgrace. The farmers and families I represent in southern Missouri need help NOW!"
1242201096480862212,2020-03-23 21:26:35,Proud to see our local communities coming together to help those in need. https://t.co/KLuITRgysx
1241518670653898760,2020-03-22 00:14:52,"While a large federal response is helpful, Americans do not require a strong centralized government to control their lives in order to survive this pandemic. 

We need to solve this problem the #AmericanWay. 

MORE ⬇️ https://t.co/mZnhJTUmFr"
1241511089956847616,2020-03-21 23:44:44,"Incredibly sad to hear about the passing of Kenny Rogers. He was not only a legendary singer, but had a strong connection to our community. The @KRCCkids in Sikeston was named after him to honor his commitment to children with special needs. #RIP, Gambler."
1241142514905755650,2020-03-20 23:20:09,Here are some of the incredible teachers in Potosi who are going above &amp; beyond to serve their students &amp; the community. It’s been special to see local communities coming together to hold each other up. I know that we will get through this &amp; be stronger &amp; more united than before. https://t.co/hFPqI2IZ2N
