id,created_at,text
1246496353137631232,2020-04-04 17:54:24,"As New York grapples with COVID-19, no one has done more or sacrificed as much in the fight against the pandemic than our doctors, nurses, and other health care workers. They risk their lives every day to keep our city healthy.

We owe you a debt of gratitude we can never repay. https://t.co/FGTQGJaIVK"
1246487349737009154,2020-04-04 17:18:37,I am glad to see AG Barr taking action after ⁦@RepKarenBass⁩ and I called for DOJ to take steps to protect vulnerable prisoners who are at higher risk of contracting COVID-19.  https://t.co/BUNHt37vpR
1246486132042465285,2020-04-04 17:13:47,"RT @HouseJudiciary: . @RepJerryNadler: ""AG Barr has made a finding related to the COVID-19 pandemic that triggers expanded authority under…"
1246229603036921856,2020-04-04 00:14:25,"Scott, words cannot express the depth of Joyce and my sorrow for your loss. We feel privileged to have known Arlene as the wonderful, loving, dynamic person that she was. You and your family will be held close in our heart and in our thoughts.

May her memory be a blessing. https://t.co/5Q8yvxP2BU"
1246183138629496835,2020-04-03 21:09:47,As a @FordhamLawNYC alum I am saddened to learn of the passing of former @FordhamNYC President Father Joseph A. O’Hare. https://t.co/KXBp2LCKhw
1246133027782131718,2020-04-03 17:50:40,"I know I speak for all NYers in expressing my deepest gratitude to our transit workers, who have continued showing up to work throughout the COVID-19 crisis. At great personal risk, they've kept our city functional and connected. Thank you to @MTA @TWULocal100. #EverydayHeroes https://t.co/Y5FG58eI8A"
1246107803883798529,2020-04-03 16:10:26,RT @RepJerryNadler: The best way to fight the spread of COVID-19 is to stay healthy and make sure you’re informed. That's why my office mad…
1246093844376170497,2020-04-03 15:14:58,"Millions of small businesses are desperately searching for ways to stay afloat. Now they're hearing that thousands of U.S. banks are so concerned about your plan that they won't provide loans.

@realDonaldTrump, it's been a week. Fix it. #WhereIsTheMoney

https://t.co/Te7WDPJ2nL"
1246093843503755267,2020-04-03 15:14:58,"It’s been a week, @realDonaldTrump. For Americans recently laid off, trying to figure out how to make rent and pay the bills, it's felt a lot longer than that. So why are they hearing it could take 20 WEEKS to receive stimulus cash payments?

Unacceptable.
https://t.co/nkHgyxGoj9"
1246093842669019137,2020-04-03 15:14:58,"A week ago, Congress passed a $2.2 trillion stimulus bill to support working Americans struggling to make ends meet during the COVID-19 crisis.

So @realDonaldTrump, why can't the Treasury Department send direct deposits to people in need?

https://t.co/rQdjXwvsFy"
1245832938736025603,2020-04-02 21:58:13,"My office has been helping constituents abroad return home and will continue to do so. 

If you require assistance please call my office or contact me at: https://t.co/Eoo63Htrx6"
1245832937737719808,2020-04-02 21:58:13,"With @StateDept having issued a Global Level 4 Health Advisory, I urge all New Yorkers abroad to check in with State Dept and their local US Embassy. International travel may soon be restricted: if you do not immediately arrange to return home, you could have to shelter in place. https://t.co/rcfS8Py5wl"
1245819055111634944,2020-04-02 21:03:03,RT @NydiaVelazquez: In February I joined @RepJerryNadler calling for ICE to release Gaspar Hernandez. We've continued pushing for his relea…
1245818677653639175,2020-04-02 21:01:33,"We all should recognize the work of @UFT, helping students &amp; families stay healthy, safe and engaged through spring break. We all need to do our part, and that includes teachers going above and beyond. #UFTDoingTheRightThing
#NewYorkTough #FlattenTheCurve https://t.co/98WhaN90Hi"
