id,created_at,text
1247238448647483397,2020-04-06 19:03:13,"To all the farmers, grocery store workers, truck &amp; delivery drivers, I say thank you! Along with fellow Hoosiers we are grateful for your hard work and dedication helping everyone get through this difficult time. https://t.co/wkiyPi4LTB"
1245805232761774080,2020-04-02 20:08:08,"Tomorrow, small businesses will be able to apply for #PaycheckProtectionProgram (PPP) loans. This program will help businesses keep employees on the payroll and pay the bills

https://t.co/EcWYXtIgWk https://t.co/f0gHDs9jze"
1245735048755757057,2020-04-02 15:29:14,"As Hoosiers, we are all #INthistogether and it is important we all do our part. 

1. Social distance yourself from others-at least six feet
2. Wash your hands with soap
3. Stay home if you are feeling sick

Find more information here:
https://t.co/TWEvbQtQpk https://t.co/TlGBBuau97"
1245377738631983104,2020-04-01 15:49:25,"Today is #CensusDay. 

The data from the census helps allocate federal funds to hospitals, fire departments, schools, roads &amp; other resources.

You can complete the census online, by phone, or by mail.

Learn how here:
https://t.co/1rcqcQgVkJ"
1244984201486774272,2020-03-31 13:45:38,"With shipments from the federal government and help from Indiana businesses, the state has increased our inventory of personal protective equipment (PPE). This equipment helps protect doctors and nurses from COVID-19 while treating patients. https://t.co/ixmJSwYmCN"
1244665651601571840,2020-03-30 16:39:50,"On #NationalDoctorsDay, pray for all the medical professionals that are putting their lives on the line and helping save lives from COVID-19. https://t.co/8pI3jEf74V"
1244642290876010496,2020-03-30 15:07:01,"I encourage you to stay informed about all the changes to COVID-19 guidance, policy and resources. We are constantly updating the COVID-19 resource page with information, please visit this link if you have questions.
https://t.co/TWEvbQtQpk"
1244330080278626305,2020-03-29 18:26:24,"Today on #VietnamWarVeteransDay, please take the opportunity to reflect on the service and sacrifice of our Vietnam-era veterans. If you can, take the time to check on a veteran you know. https://t.co/UbjYZjyWKn"
1243601037870747648,2020-03-27 18:09:27,"The House passed the CARES Act. I support this bold legislation because it will provide direct relief to Hoosier families and small businesses. They need certainty that they will be able to pay the bills and put food on the table, this bill does that.  
https://t.co/rLnjOjRPfw https://t.co/AzfYz7Duoi"
1243183383586406400,2020-03-26 14:29:50,"Here are some ways you can help your fellow Hoosiers during these times. 
https://t.co/fH4rIqFmHq"
1242821131159166979,2020-03-25 14:30:22,"We’re here as a resource for you. During these challenging times of you may have a question about unemployment insurance in regards to COVID-19. If you do, I encourage you to check out this helpful FAQ from the Indiana Department of Workforce Development.

https://t.co/TpxY3Tvz7X"
1242526599745949696,2020-03-24 19:00:01,"Beware of scammers taking advantage of fears surrounding the Coronavirus. Visit the FTC's website for more information on how to identify and protect yourself from scams. 
https://t.co/hlu3zZNIkx https://t.co/y7tYD2ooCY"
1242446765242146821,2020-03-24 13:42:47,"A reminder, you can visit my web page for information and resources for small businesses and families impacted by COVID-19.

https://t.co/TWEvbQtQpk"
1242157711447425024,2020-03-23 18:34:11,"IMPORTANT: Due to COVID-19, the deadline to file your taxes has been pushed back to July 15.
https://t.co/Zn6YfsHWLz https://t.co/hTvMcmDUEw"
1242085585457725440,2020-03-23 13:47:35,"Help keep our food pantries open. The @FSSAIndiana is encouraging anyone who is not in a vulnerable population or demographic to answer the call to help at their local food pantry.

Read more here: 
https://t.co/ORh02Bq473"
1242080658727620609,2020-03-23 13:28:00,RT @FSSAIndiana: NEWS RELEASE: FSSA calls on Indiana food pantries to stay open and keep serving Hoosiers: https://t.co/trwWAgTO4a
1241092148075696128,2020-03-20 20:00:01,"Watch this video on the importance of social distancing as a preventative matter in the spread of COVID-19. 
https://t.co/AHlhfsfrV3"
1240988317585477634,2020-03-20 13:07:26,"These dedicated public servants are working 24/7 in the State Emergency Operations Center to keep Hoosiers safe from the COVID-19 pandemic. Executive Director of the Indiana Department of Homeland Security, Stephen Cox, gives an inside look of the EOC.

https://t.co/IW9RnpGb1x"
