id,created_at,text
1247230824661032962,2020-04-06 18:32:55,"“Execs from 3M and Honeywell told US officials that the Chinese gov in Jan. began blocking exports of N95 respirators, booties, gloves and other supplies produced by their factories in China.”
 
Fixing our supply chains after this is over is priority #1.
https://t.co/V8clnbWNBP"
1247189714886672384,2020-04-06 15:49:34,"Researchers are readying to deploy a new type of test that will determine who’s already had the coronavirus—and who’s developed immunity to it. This will be critical for us as we develop a plan to return to work.
https://t.co/zKQJPAcaID"
1247176593044373504,2020-04-06 14:57:25,"For millions of Americans, their faith is the most important thing in their life. It’s more “essential” than food or water. Public authorities that don’t recognize that are failing their constituencies.
 
https://t.co/YDRD8qxXwH"
1247155723953303552,2020-04-06 13:34:30,"""That Dems strongly opposed [Banks'] resolution condemning well-known #CCP missteps &amp; human rights abuses suggests China is swiftly becoming a partisan issue.""

A shame... Confronting the CCP shouldn't be partisan. Not too late to sign! @HouseDemocrats 
https://t.co/AQJE60M563"
1246922453353484299,2020-04-05 22:07:34,"Thank you @JimIrsay! 

Amazing to witness this kind of charity as leaders all across the Hoosier state join together to fight #COVID19. https://t.co/0rDDyKWVbT"
1246800119506391044,2020-04-05 14:01:27,"Is it too much to ask for an international health organization like @WHO to focus on saving lives during a pandemic, not ending them? 

Seems completely backwards from their intended purpose. https://t.co/OHtsuTnm3f"
1246577648530309120,2020-04-04 23:17:26,Doesn’t twitter ban content that “increases the chance that someone contracts or transmits” #covid19 and “denies expert guidance”??@twittersafety https://t.co/u6VzbTf69H
1246522536688484355,2020-04-04 19:38:26,"Why is @WHO, an international health organization, focused on ending life during a pandemic when it should be focused on protecting lives...? Like the infant in Connecticut that succumbed to COVID-19 just days ago. Completely backwards from their entire purpose!"
1246520889228828672,2020-04-04 19:31:53,I’m old enough to remember when abortion was simply about choice but now we’re told it’s essential. https://t.co/OHtsuTnm3f
1246136473612681216,2020-04-03 18:04:22,Captain Crozier knowingly sacrificed his career to save his ship. He’s a hero in my book. @USNavy https://t.co/O3Dmh2JTL4
1246102696056238087,2020-04-03 15:50:08,"The #CCP's persecution of whistlebowers is abominable &amp; harmed the int'l response to #COVID19. There need to be consequences, for the sake of justice  &amp; to punish the secrecy &amp; lies that've made this pandemic worse.
https://t.co/S0YohGssh7"
1246095979679490049,2020-04-03 15:23:27,"""Part of the #CCP’s strategy is to exacerbate divisions inside our political system and dismiss any criticism of Beijing’s actions as racist."" 

Great Op-ed on #CCP propaganda during #COVID19 from @joshrogin 👇
https://t.co/DWt03Di0MW"
1245854964712271878,2020-04-02 23:25:45,I’m old enough to remember when @SpeakerPelosi was a China Hawk. Via @kristina_wong  https://t.co/vTvQWyXoyb
1245845675599974401,2020-04-02 22:48:50,RT @kristina_wong: .@RepJimBanks Saw Coronavirus Threat Coming as Dems Pushed Impeachment https://t.co/FlTWq3GLbs via @BreitbartNews
1245800760664875008,2020-04-02 19:50:21,".@Google flip flops to allowing political ads about #COVID19. It comes after pressure from Dems who want to attack @realDonaldTrump's virus response.
 
Not even trying to hide its bias anymore.😡😡😡
https://t.co/cy0Qf3q6ZW"
1245784614360305664,2020-04-02 18:46:12,"""In late January, Banks compared the coronavirus to the 1918 flu epidemic and warned that China was likely to be underreporting cases of the illness""
https://t.co/p0BWE8U6Al"
1245782051690893315,2020-04-02 18:36:01,"@RichardGrenell Agreed, good decision &amp; leadership by @realDonaldTrump! Save a life and donate blood today by calling 1-800-RED-CROSS. They need it!!! #donateblood @INRedCross @RedCross"
1245739775157514240,2020-04-02 15:48:01,"RT @FaceTheNation: UPDATE: @RepJimBanks tells @FaceTheNation China responded to his letter on #COVIDー19: ""Hua Chunying, a spokeswoman for t…"
1245723781596930051,2020-04-02 14:44:28,"TOMORROW: Small businesses (with 500 or fewer employees) can begin participation in the Payment Protection Program. The program will provide businesses 8 weeks of cash flow assistance. If you have questions about participating, see my FAQ here:
https://t.co/RXW3bn1ZRr"
1245713046011551746,2020-04-02 14:01:49,Must read 👇 https://t.co/xW6788vcrl
1245712594855514114,2020-04-02 14:00:01,RT @RepMichaelWaltz: I join my colleague ⁦@RepJimBanks⁩ in demanding answers from #China  on the missing #coronawhistleblower doctors. The…
1245517470905110529,2020-04-02 01:04:40,"@RepBryanSteil @JackPosobiec @OANN Good job @RepBryanSteil, glad to support and co-sponsor this!"
1245491860719702017,2020-04-01 23:22:54,RT @MaryMargOlohan: .@RepJimBanks warned of the coronavirus pandemic as far back as January. He credits his foresight to his ongoing focus…
1245478860524748802,2020-04-01 22:31:14,RT @RepTipton: We will hold the Communist Regime of China accountable!
1245468718525747202,2020-04-01 21:50:56,"RT @FaceTheNation: NEW: @RepJimBanks calls for probe of disappeared journalists in China who reported on #COVIDー19, citing @margbrennan’s i…"
1245467767555477507,2020-04-01 21:47:10,RT @margbrennan: These videos shot by the disappeared journalists were picked up news outlets around the world. They were images of how bru…
1245460478870147072,2020-04-01 21:18:12,"RT @Kredo0: JUST IN: U.S. Does NOT Have More Coronavirus Deaths Than China, says @SenSasse, a member of the Senate's Intel Committee -- ""Th…"
1245460361312194562,2020-04-01 21:17:44,"As part of our investigation into the origins of this outbreak and subsequent cover-up by the #CCP, the U.S. should apply diplomatic pressure on the Chinese gov to find these journalists and ensure their safety.

We owe them a debt of gratitude for their sacrifice. 

My letter 👇 https://t.co/5gU0n6To32"
1245451979704471552,2020-04-01 20:44:25,"Three Chinese journalists that were critical to the world learning about the #COVID19 outbreak in Wuhan, prompting the Chinese government to acknowledge the crisis, are missing.

For the sake of justice, we must learn what happened to them. 

NEW: https://t.co/YwVSXCkjeL"
1245419901973643268,2020-04-01 18:36:58,RT @RepArrington: Thanks to @RepJimBanks for his leadership - we must get to the bottom of this!
1245418307567616001,2020-04-01 18:30:37,"So grateful to have a President who doesn't parrot #CCP lies or cheer against American's health!!
https://t.co/uTbsSDQxcS https://t.co/3jTWZlgEYe"
1245415948150022144,2020-04-01 18:21:15,RT @AmbJohnBolton: This is critical evidence confirming what we already knew to be true — China lied. China continues to lie. China must be…
1245415564983570437,2020-04-01 18:19:44,"RT @RepDLamborn: Due to China's lies and misinformation, #COVIDー19 was allowed to spread unchecked. This is why I have joined my colleague…"
1245415357671751682,2020-04-01 18:18:54,"Given the intelligence community‘s report today condemning the Chinese government’s handling of coronavirus, it makes sense there is growing interest in my resolution to hold #China accountable. Thank you @RepArrington and @RepTipton for signing on! https://t.co/XYwimwzwcJ"
1245402738168606720,2020-04-01 17:28:45,"RT @RepBobGibbs: This should surprise no one. It's why I signed on to support @RepJimBanks' resolution calling China out for, among many th…"
1245402714504380423,2020-04-01 17:28:40,"@DavidAFrench According to the University of Southampton, if Chinese Communist Party officials had acted three weeks earlier than they did, the number of coronavirus cases could have been reduced by 95% and its geographic spread limited. https://t.co/4CgHriRMhf"
1245401716515880962,2020-04-01 17:24:42,Shouldn’t be a partisan issue but sadly holding China &amp; #CCP accountable is far less important to Dems than attacking President Trump. https://t.co/PJpCqZvbq0
1245391030675017734,2020-04-01 16:42:14,"""Story courtesy of @RadioFreeAsia.... Why aren't more independent US outlets covering #CCP repression!!??  Check out which sites have been 👇 https://t.co/J3uHbi7N1G"
1245391029479649282,2020-04-01 16:42:14,"Heartbreaking story about Ai Fen, a Chinese doc who raised alarm about #COVID19 in early Dec &amp; is now missing.

@StateDept should investigate the many heroic Chinese COVID whistleblowers who've vanished &amp; punish the  #CCP officials responsible.  
https://t.co/jfbsnxZD91"
1245375088653975553,2020-04-01 15:38:53,The Chinese Communist Party must be held accountable for throwing doctors/journalists in jail who were warning of a pandemic &amp; misleading the world about the nature of this disease. That's why I've introduced a resolution to ensure their misdeeds are on the official record. https://t.co/RUwmLrME7f
1245366956112449536,2020-04-01 15:06:34,"Activists want ICE shut down, claiming (w/o evidence) that facilities are spreading #COVID19 while inciting protests - exposing more ppl - as they demand release of illegal aliens.
 
Outrageous.
 
It's safer for everyone to keep aliens isolated where they have healthcare access. https://t.co/kGcAvjOCHm"
1245357871367421952,2020-04-01 14:30:28,"Great to see Fort Wayne's @verabradley step up in a time of need and make personal protective equipment for medical professionals and fashionable masks for the public!
https://t.co/Ucq16vXJ4Y"
1245105263675408385,2020-03-31 21:46:42,Also @RepJackBergman @Robert_Aderholt @RepAlexMooney!
