id,created_at,text
1247288416259190784,2020-04-06 22:21:46,"The IRS is expected to make the first round of direct deposit payments to 60 million Americans beginning the week of April 13th. Find out more:

https://t.co/LfHqT6KQFe"
1247237563720577036,2020-04-06 18:59:42,"Hemos concentrada toda la información sobre COVID-19 que necesita en un lugar conveniente. Visita mi sitio web:

https://t.co/76zXZGcFnI

Si tenga preguntas o dudas especificas, por favor contacta mi oficina:

https://t.co/BL1hggmjvr
Fresno: (559) 495-1620
Merced: (209) 384-1620 https://t.co/sCmgDMbDge"
1246188603547549701,2020-04-03 21:31:30,"Our local hospitals are in desperate need of personal protective equipment.

Madera Community Hospital is accepting donations of all regular hospital PPE along with disposable and washable painter’s coveralls.

For other ways you can help, see below:

https://t.co/BcTCkxC1Ub"
1246178063697752064,2020-04-03 20:49:37,"Central Unified parents and students: the district will continue to provide meals during Spring Break, but on a modified schedule which is listed below. Please take note and plan accordingly. https://t.co/xlgoO9P5xn"
1246160174303383553,2020-04-03 19:38:32,"For more information, go here: 
https://t.co/zTd4XZmFv8 https://t.co/DF3RIG7UeK"
1246159955725606912,2020-04-03 19:37:40,I called on Health and Human Services Sec. Azar to quickly produce factual and informative materials that are easily accessible for everyone! We must do all we can to ensure every person in America has the information they need protect themselves and defeat this virus.
1246159897923850241,2020-04-03 19:37:26,"My district is home to one of the most diverse areas in our great nation, including many who live in our Hmong and Punjabi communities. But the lack of information for those who don’t use English as their first language puts them and their families at great risk."
1245858862466347008,2020-04-02 23:41:14,"This public health crisis underscores a simple truth: where you live shouldn’t determine your access to the internet. Our students, workers, and families need Congress to invest in expanding high-speed broadband access immediately! #FamiliesFirst https://t.co/nPjxNbMXiV"
1245810042768678912,2020-04-02 20:27:14,Many people continue to work throughout this health crisis to provide us with the resources we need on a daily basis. We can't thank them enough! https://t.co/0PTFpKloHn
1245786020324442112,2020-04-02 18:51:47,Food insecurity is a reality for too many people in our valley as we fight this coronavirus. Learn more about the resources available to you and your loved ones here: https://t.co/j4eld25TjP
1245782265902358532,2020-04-02 18:36:52,"Si tenga preguntas sobre los pagos de impacto económico, este sitio web le puede ayudar. Si todavía tenga problemas, por favor contacta mi oficina.

Fresno District Office: 559-495-1620
Merced District Office: 209-384-1620

https://t.co/cBY4u2pIFX"
1245760984721080327,2020-04-02 17:12:18,"Teachers might not be in the classroom, but they continue to tirelessly work to make sure their students have the resources they need during this crisis. Thank you teachers for your dedication! https://t.co/ZNMoDDksUw"
1245470887165509634,2020-04-01 21:59:33,"And as always, we are here to help. If you're having problems with a federal agency, contact my office:

Fresno District Office: 559-495-1620
Merced District Office: 209-384-1620

https://t.co/zTd4XZmFv8 https://t.co/vboPXRmdMM"
1245470804453793799,2020-04-01 21:59:14,My office is a resource for anyone who has questions or needs assistance during this healthcare crisis. Please visit my website if you have questions about ways to stay healthy or what you should do if you feel sick.
1245457198626594818,2020-04-01 21:05:10,RT @ucmerced: UC announces temporary measures to relax undergraduate admissions requirements for fall 2020 applicants and future years as a…
1245449462744522752,2020-04-01 20:34:25,Many of you have questions about how to get your stimulus check. The IRS has a dedicated page that aims to answer your questions. See below for more info: https://t.co/cjgpZfWL01
1245436698848190466,2020-04-01 19:43:42,"Today is #CensusDay!

Many of us are spending more time with our families indoors to flatten the curve. Use this time to help your community get the resources it needs by completing the 2020 Census online.

Go here to fill yours out today: https://t.co/HqnKiVNYYu https://t.co/ypK7cGcYsz"
1245133703350751233,2020-03-31 23:39:43,"This global crisis has shown us what we already knew: We are nothing without our workers.
 
This #CesarChavezDay, let us thank and honor our nation’s workers—especially those on the front lines of this crisis. https://t.co/moDFzGgicN"
1245120412255748097,2020-03-31 22:46:54,"On #EqualPayDay, let us not forget working from home is a privilege 70% of workers don’t have. Women are disproportionately on the frontlines as healthcare, food service, grocery store workers &amp; unpaid caregivers at home. Women’s labor is what keeps our nation &amp; economy running. https://t.co/vSnBxAJO2E"
1245075894172962816,2020-03-31 19:50:00,"HAPPENING NOW: I will be hosting a tele-town hall with public health experts in the Central Valley, Dr. Rais Vohra and Dr. Rebecca Nanyonjo. Don't forget to dial in to 888-480-3661 or RSVP using this link: https://t.co/l2s6iYtgk2 https://t.co/PcfpTNQf6L"
1245014481509416960,2020-03-31 15:45:58,"JOIN ME TODAY: I will be hosting a tele-town hall with public health experts in the Central Valley, Dr. Rais Vohra and Dr. Rebecca Nanyonjo. Don't forget to dial in to 888-480-3661 or RSVP using this link: https://t.co/l2s6iYbFsu https://t.co/L9XpCACDh1"
1244768646683144194,2020-03-30 23:29:06,"JOIN ME TOMORROW: I will be hosting a tele-town hall with public health experts in the Central Valley, Dr. Rais Vohra and Dr. Rebecca Nanyonjo. Don't forget to dial in to 888-480-3661 or RSVP using this link: https://t.co/l2s6iYbFsu https://t.co/NphFv77Xe8"
1243691391949176833,2020-03-28 00:08:29,"We’re all taking precautions now to save lives, giving blood is essential to saving lives, too.

Donating blood is considered an essential service and @CenCABlood is taking every safety measure possible.

If you’re healthy, go to https://t.co/ew0htQpawo to make an appointment. https://t.co/xag8znqGUo"
1243685304118267908,2020-03-27 23:44:17,"Folks, our fabulous Valley Children's Hospital is in desperate need of diapers for their tiniest patients. See the link below for how you can help them out during this difficult time. https://t.co/ZhfiRqmbe7"
1243659737671127041,2020-03-27 22:02:42,"Congress, now in three pieces of legislation, demonstrated to the American people that we can work together in a bipartisan fashion. https://t.co/OqyUzjAY7R"
1243625231979290624,2020-03-27 19:45:35,"RT @HispanicCaucus: During this COVID19 crisis, we thank the 27K #Dreamers on the frontlines.
We must protect #DACA so that 700k #Dreamers,…"
1243611729520713730,2020-03-27 18:51:56,"We will continue to find solutions to take care of American’s health and safety, and to get our economy back on track. #FamiliesFirst"
1243611687141486592,2020-03-27 18:51:46,"This legislation gives additional resources to combat this virus and provide relief to small business, workers, schools, students and farmers, among others."
1243611536494657536,2020-03-27 18:51:10,"With this third bipartisan bill, Congress has shown it can come together to deal with a health care crisis the likes of which we have never seen before. https://t.co/JP1E8LljOI"
1243583652694499331,2020-03-27 17:00:22,Working men &amp; women are facing tough times in the face of this public health crisis. I’m voting for the bipartisan CARES Act because it puts #FamiliesFirst #ForThePeople https://t.co/Sz6SLAwwSB
1243248363287367680,2020-03-26 18:48:02,Fresno residents: The city is extending its shelter-in-place order through April 12th. https://t.co/wAkzZE7sYw
1242971210927026176,2020-03-26 00:26:44,"Members of the Sikh and South Asian communities, here's how you can protect yourself and help prevent the spread of COVID-19.
For more ways to stay healthy, please visit: https://t.co/XYj4OpvMr2 https://t.co/92WhEqMnbH"
1242515721512419339,2020-03-24 18:16:47,"Today is National Ag Day and the perfect time to thank American farmers for all they provide for us. Now more than ever, and every day, we thank them for feeding our nation.
#AgDay20 https://t.co/E0QG86FXjo"
1242174369876639746,2020-03-23 19:40:22,"Happy Birthday #ACA! 10 years later, the #AffordableCareAct is protecting 130 million Americans with pre-existing conditions to ensure they access to the health care they need as we fight COVID-19. #ProtectOurCare https://t.co/4Gh6ucgUT0"
1242159690781425665,2020-03-23 18:42:03,"Fresno business, the @Fresno_Chamber can be a resource for you as we try to navigate through these uncertain times. https://t.co/qoXnJrwTau"
