id,created_at,text
1247319175606841346,2020-04-07 00:24:00,"Once fully implemented, the #CARESact will provide financial lifelines to people who lost their jobs because of #COVID19.

Watch my video to get a better picture of how the unemployment insurance element works &amp; how you can take advantage of all this package has to offer. ⬇️ https://t.co/MZjvRGIR5S"
1247289189734981632,2020-04-06 22:24:51,"I led members of CA’s Congressional Delegation in urging @USDOL to issue guidance letting our state and others implement enhanced benefits to unemployed workers authorized by Congress.

Delays in getting this money out are unacceptable. Unemployed workers don’t have time to wait. https://t.co/st3H5Pm8E0"
1247257023571537940,2020-04-06 20:17:01,"RT @CountyofLA: L.A. County officials deliver COVID-19 updates (April 6, 2020) https://t.co/71Zb5xvqel"
1247224206640766976,2020-04-06 18:06:37,"For those in #CA34 who are having trouble making ends meet in the wake of the #COVID19 pandemic, check out this list from @LAist of local resources to help out with everything from financial assistance for our #SmallBusiness community to information on food pantries &amp; food banks. https://t.co/VfXxYdA0yF"
1247192763411595264,2020-04-06 16:01:41,"The #COVID19 outbreak demanded a swift response from @WhiteHouse. Unfortunately that didn’t happen.

It took @realDonaldTrump far too long to take this #PublicHealth threat seriously.

This isn’t about politics. It’s about policy and sound judgment. And it should concern us all. https://t.co/hv6aR9Gr4z"
1247169269823156225,2020-04-06 14:28:19,"RT @HispanicCaucus: 1 in 3 US adults have a pre-existing condition that makes them especially vulnerable to coronavirus.
Please, be aware t…"
1246256562659868672,2020-04-04 02:01:33,#COVID19 has wreaked havoc on our #SmallBusiness community &amp; they need all the help they can get. That’s why I asked CA Insurance Commissioner Ricardo Lara to use his authority to ensure insurance companies comply with their business interruption policies. https://t.co/r51SCGzbAN
1246197235680976898,2020-04-03 22:05:48,"Happening NOW:

Join me for my @Facebook Town Hall Q&amp;A as I answer YOUR questions about the #COVID19 global pandemic.

We’ll also be talking about:

▪️Local &amp; federal resources available to you &amp; your family

▪️Info to keep you safe

Join the conversation: https://t.co/utcbvhbxlK https://t.co/9142uStes3"
1246167533499146244,2020-04-03 20:07:47,"RT @CountyofLA: L.A. County officials deliver COVID-19 updates (April 3, 2020) https://t.co/shjxR1r7jD"
1246164793569968129,2020-04-03 19:56:54,"RT @CountyofLA: Get the latest on #COVID19 in LA County. Tune in at 1 PM for today's briefing with County officials.

https://t.co/Ww27Sni1…"
1246136517480808455,2020-04-03 18:04:32,"RT @CAgovernor: Q: #AskGovNewsom What are you doing to address the serious EDD backlog?
- @yorrose

A: We have repurposed 200 state employe…"
1246121695615823873,2020-04-03 17:05:38,"Now more than ever, we need #POTUS to carry himself with integrity, employ good judgement &amp; demonstrate sensible leadership.

This letter to @SenSchumer is evidence that those traits are impossible for @realDonaldTrump to exhibit. He must take this #PublicHealth crisis seriously. https://t.co/L12oBjvsmp"
1245902486290006017,2020-04-03 02:34:35,RT @GreaterWilshire: FYI - this Friday at 3pm PT @RepJimmyGomez will be hosting a Facebook Live town hall event about the COVID-19 pandemic…
1245869138578292738,2020-04-03 00:22:04,RT @NBCLA: WATCH LIVE: Mayor Eric Garcetti provides updates on Coronavirus pandemic. https://t.co/QvVUoD38GW https://t.co/cp6XlQLEXA
1245861757404344320,2020-04-02 23:52:44,"Honestly, does anyone have any earthly idea what Jared’s talking about here? States need to tap into the federal stockpile. What the hell is the administration waiting for? And when is Jared going to realize that we’re in the midst of a national emergency, not a real estate deal? https://t.co/vsZymD3Pmn"
1245826639688130565,2020-04-02 21:33:11,"RT @RepRaulGrijalva: Republicans wanted to scale back relief for Native Americans. The White House wanted to give $0 to tribes.

Democrats…"
1245805867058036736,2020-04-02 20:10:39,"RT @CountyofLA: L.A. County officials deliver COVID-19 updates (April 2, 2020) https://t.co/ojyjr2kQ1n"
1245745951165349890,2020-04-02 16:12:34,"You might not be able to work because of:

▪️#SocialDistancing

▪️#COVID19 exposure

▪️Taking care of loved ones

Remember: You may qualify for state disability insurance or #PaidFamilyLeave.

Find out if you’re eligible for these benefits through @CA_EDD. https://t.co/AKCdJTrWUQ https://t.co/aSsJDWZAOK"
1245556636627783684,2020-04-02 03:40:18,👊🏽 thanks @MayorOfLA for taking the #CensusChallenge! Who’s got next? https://t.co/qStEQUIFmk
1245527976529342464,2020-04-02 01:46:25,"In these uncertain times, it’s normal to have questions about a wide range of topics, from relief checks and federal agencies to tax guidance and info to keep you and your family safe.

Join me this Friday at 3pm PT for a #COVID19 Facebook live town hall!

Submit your question ⬇️ https://t.co/CePxxX28OX"
1245476006112169991,2020-04-01 22:19:54,"1 episode of #TigerKing: 48min

1 episode of @gentefied: 30min

1 episode of @BritishBakeOff: 57min

1 episode of @BetterCallSaul: 61min

Filling out a #2020Census form at https://t.co/afBBSCtZTG: 10min or less

Yup, it’s that quick.

Let’s do this for our communities! #CensusDay https://t.co/HI3U74tunI"
1245443077222936576,2020-04-01 20:09:03,"She’s a force of nature, folks. #NotoriousRBG simply cannot be stopped. https://t.co/lzWmZvXudl"
1245442919781339136,2020-04-01 20:08:25,"RT @CountyofLA: L.A. County officials deliver COVID-19 updates (April 1, 2020) https://t.co/SoumzHnBgE"
1245440220700372994,2020-04-01 19:57:42,Thanks Attorney General! #CensusChallenge who’s next?! https://t.co/mbI7ntUyYL
