id,created_at,text
1247252894333775884,2020-04-06 20:00:37,"Lost among the viral characters and wild stories of Tiger King is an industry built on animal cruelty. 

We need to pass the #BigCatPublicSafetyAct now to end this cycle of abuse and protect big cats. https://t.co/R9tDXuLn6d"
1247227200216223744,2020-04-06 18:18:31,"Our Commonwealth needs 1,700 ventilators. 

FEMA offered 100. 

That’s absurd and it’s why I’m calling on @fema to do their job and save lives. https://t.co/IJi0vzQKEC"
1246405608468873216,2020-04-04 11:53:48,We love you Maeve. We love you Gideon. Our family has lost two of the brightest lights. Grateful for the prayers. Hold your loved ones tight.
1245777897404727298,2020-04-02 18:19:30,"Less than 24 hours ago, Mitch McConnell said workers didn’t need any more relief. https://t.co/emonURE0uG"
1245771735233896451,2020-04-02 17:55:01,"Tribes are uniquely threatened by the COVID-19 pandemic. 

We fought for critical emergency funding for Tribal communities. 

But we must do more to protect them from a deadly #CoronavirusIndianCountry outbreak. https://t.co/nZUVxnwmxq"
1245755606801305603,2020-04-02 16:50:56,RT @MassVOTE: TO OUR NON-PROFIT PARTNERS AND ALL MA NON-PROFITS - you are eligible for financial relief under the #PaycheckProtectionProgra…
1245400816112087040,2020-04-01 17:21:07,"In the aftermath of any natural disaster, it is absolutely critical for us all to be seen, to be heard and to be counted.

On #CensusDay, please take the time to fill out your census while you stay at home and save lives."
1245378124403167233,2020-04-01 15:50:57,"Standing in solidarity with gig workers striking today, I'm calling on the CEOs of @Uber, @Lyft, @Instacart and @DoorDash to guarantee personal protective equipment, hazard pay and permanent paid sick leave for all their workers. https://t.co/5a370H71vx"
1245378123593592833,2020-04-01 15:50:57,"COVID-19 did not create the economic injustices that exist for gig workers in our modern economy, but it exposed the depths of the pain caused by our failure to proactively protect their lives and livelihoods."
1245372585841287168,2020-04-01 15:28:57,"Thousands of people are dying and this President still believes too many Americans have access to health care.

Unconscionable. https://t.co/uzDUidgLv6"
1245306905708412935,2020-04-01 11:07:57,Proud to know you @RepMaxRose. https://t.co/hP3v1pEpKJ
1245150844263284737,2020-04-01 00:47:49,"Women deserve equal pay for equal work. 

It’s never been more complicated than that. 

It’s simply justice and equality."
1245127423630376964,2020-03-31 23:14:45,This Administration seems to believe that the best use of their time during an outbreak of an unprecedented respiratory virus is to pollute our air and make respiratory illnesses worse for future generations. https://t.co/luwhOFZxmH
1245057994901073923,2020-03-31 18:38:52,"No one should ever be priced out of our justice system, especially during an unprecedented public health pandemic. 

Any further Congressional COVID-19 packages should include emergency funding for @LSCtweets. https://t.co/iRFA6l0Jbh"
1245006652224479233,2020-03-31 15:14:51,"On #TransVisibilityDay, we commit to fighting with all transgender people to ensure they are never denied their health care or their humanity. 

Not during a global health pandemic. 

Not ever."
1244749966633025538,2020-03-30 22:14:53,"Doctors are risking their own health and sacrificing time with loved ones to keep us safe. 

The least we can do for them on #NationalDoctorDay is give them lifesaving PPE and stay home to stop the spread of COVID-19."
1244704153672339464,2020-03-30 19:12:50,"As we enter a pivotal month in the COVID-19 crisis, Congress must act now to:

1. Immediately enroll all uninsured people in Medicaid
2. Increase the amount of direct cash assistance for workers &amp; families
3. Enact a moratorium on all household and business debt, including rent"
1244648566309695495,2020-03-30 15:31:57,"This week, we're launching virtual #Tour34 office hours where #MA4 constituents can raise questions &amp; concerns about #COVID19 directly to me &amp; my staff. 

Any interested #MA4 residents can sign up at the link below - dates, times &amp; logistics to follow! https://t.co/rcdJhdRwHk"
1244644414892511237,2020-03-30 15:15:27,People will die because of them if they succeed. https://t.co/85YkfNuAvp
1244632546509492228,2020-03-30 14:28:17,"This decision not only ignores our history and legal precedent, it ignores the humanity of the Mashpee Wampanoag people. 

If Mitch McConnell would bring our Mashpee Wampanoag Tribe Reservation Reaffirmation Act up for a vote, we could immediately correct this historic injustice. https://t.co/QnIBf0Q9ZY"
1243734893693145093,2020-03-28 03:01:20,"This isn’t how laws work. 

We won’t let him and his friends pocket taxpayer funds. https://t.co/e0BPBHAZov"
1243679045881126913,2020-03-27 23:19:25,"If we retreat now, we will only regret that we were too scared to provide the relief that millions of Americans, health care providers, first responders, non-profit employees and small business owners desperately need."
1243679044882874369,2020-03-27 23:19:25,"Immediately enroll all uninsured people in Medicaid. Provide at least $4,000 in universal direct cash payments for lower- and middle-class Americans. Provide forbearance on all debt and relief for rental payments. Get more money, equipment &amp; resources to medical first responders."
1243679043863678978,2020-03-27 23:19:25,"But to be very clear, even on many of these fronts, critical relief and reforms were blocked by Republicans more focused on corporate bailouts than suffering workers. That’s why we still need to:"
1243679042483695617,2020-03-27 23:19:24,And critical reforms to Unemployment Insurance to guarantee relief is immediate and robust.
1243679041397428232,2020-03-27 23:19:24,$50 million for suicide prevention efforts.
1243679040491438083,2020-03-27 23:19:24,Nearly $300 million for PPE for federal and local first responders.
1243679039388295168,2020-03-27 23:19:24,$10 million to support biopharmaceutical research through the Manufacturing USA network created by my Revitalize American Manufacturing and Innovation Act.
1243679038041964558,2020-03-27 23:19:23,"$50 million for @LSCtweets that will provide legal assistance to Americans who will be unjustly targeted by landlords, banks, and insurers in the aftermath."
1243679037156929537,2020-03-27 23:19:23,$1.3 billion for the community health centers standing on the frontlines of this crisis.
1243679036209008642,2020-03-27 23:19:23,$3.5 billion for child care grants to help parents and staff navigate closures.
1243679035286261762,2020-03-27 23:19:23,"$100 billion to help hospitals, health care providers and testing centers like MA’s @broadinstitute make up for this Administration’s failure to prepare us for this pandemic."
1243679034191601667,2020-03-27 23:19:22,THREAD: Today’s CARES Act was an overdue and necessary step in the right direction. We fought for many critical policies and programs protecting the most vulnerable populations including:
1243644807194517504,2020-03-27 21:03:22,Took him long enough. https://t.co/lCg5ubh2kZ
1243637180360273920,2020-03-27 20:33:04,"Isolation and social distancing in the midst of the COVID-19 pandemic can leave survivors of domestic &amp; sexual violence at risk. 

If you or someone you know in MA is at risk - you are not alone, help is available. Please call 877-785-2020 or visit https://t.co/NairBxq5nz"
1243612372352237569,2020-03-27 18:54:29,"To repeat: a kid died of COVID-19 because he was uninsured.

We need immediate universal health care. https://t.co/V5lXEyo1KQ"
1243605108002258949,2020-03-27 18:25:37,"It is a dangerous myth that this COVID-19 pandemic spares young people. 

Grateful for my cousin @drkerrymeltzer's courageous work and for sharing these thoughts that everyone should read. https://t.co/K4Wsniemrg"
1243595058693185536,2020-03-27 17:45:41,"We need universal health care now. 

I’m calling on the federal government and states to immediately enroll every uninsured person in Medicaid today. 

It’s possible and it can’t wait."
1243585425379393536,2020-03-27 17:07:24,"Not a single person in this country should die or face financial ruin because of a lack of health care coverage in a global health pandemic.

We must immediately, automatically enroll all uninsured people who call this nation home in Medicaid TODAY."
1243583379238522880,2020-03-27 16:59:16,"To be clear, it’s not just members at risk because of a petty political stunt. 

It’s staff, family members and all who we will come in contact with for the next 14 days at least. https://t.co/1mB6AULmP6"
1243578480228536322,2020-03-27 16:39:48,"A bailout for the airline industry should invest in workers and consumers. 

Not corporate CEOs that have placed profit above people."
1243575451966111749,2020-03-27 16:27:46,"This Administration is now using its failure to confront the COVID-19 pandemic to undermine our environmental laws and affirmative action protections.
 
And those are only the few we’re aware of.
 
There is no bottom with these people."
1243546362144309256,2020-03-27 14:32:11,"They dismissed the warnings.

They dismissed the experts.

They dismissed the governors and mayors and doctors and nurses and hospitals and health centers and workers and families crying for help.

We’re out of time. 

Pass the bill and get back to work."
1243316207341711363,2020-03-26 23:17:38,"RT @jeremyherb: State officials and lawmakers say Trump should use DPA to ramp up production, which he just said is not necessary. ""You cou…"
