id,created_at,text
1247305491014979590,2020-04-06 23:29:37,Our ability to come together as a community and uplift each other in times of crisis has been so inspiring. Proud that Rochester is continuing to demonstrate innovative ways to keep our country safe. https://t.co/PgROjFxkUH
1247254182807076867,2020-04-06 20:05:44,"The @CDCgov has recommended all Americans wear cloth masks in public spaces to help prevent the spread of #COVID19 and protect the most vulnerable among us. In addition to wearing a cloth covering, remember to continue practicing social distancing and #StayHome whenever possible. https://t.co/fOApB3c8h3"
1247232752556138500,2020-04-06 18:40:35,"Social distancing means that unfortunately, I don't get to see my grandchildren as much as I'd like — but today, I got to drive by to see their art gallery and puppet show through the window! 

There are so many ways to stay connected while staying safe. #DoingMyPartRoc https://t.co/zMacEne39J"
1247203719860686849,2020-04-06 16:45:13,"Rochester has always been a leader in innovation, and I'm so grateful that we’re using our unique expertise to help fill a critical need for ventilators during this pandemic. RIT’s collaboration &amp; commitment to this project will save lives across our community, and our country. https://t.co/uUBXaMtAcy"
1247185060396249098,2020-04-06 15:31:04,"During National Public Health Week, let's highlight mental health - which is especially important during this time of uncertainty. 

It's okay to feel overwhelmed, and it's to reach out for help.

For resources, visit: https://t.co/fiw5PliTzG #NPHW https://t.co/EZuJx9CVgH"
1246850913031028736,2020-04-05 17:23:17,"With so much uncertainty in our future, families shouldn’t have to worry about the state of their health care. NY is reopening its enrollment to allow uninsured individuals to register for coverage through April 15. Click below to learn more &amp; get covered https://t.co/WpPr8Ne0Cj"
1246808241281142787,2020-04-05 14:33:43,"Si se enfrente con el desempleo, tiene problemas de casa, o necesita la alimentación a causa de COVID-19, mi oficina le puede ayudar. Por favor, visite mi sitio de web para más información. https://t.co/L3t2aLZ3g7"
1246520791463792646,2020-04-04 19:31:30,"Once every ten years, we conduct the #Census to ensure Americans get the resources they deserve. Do your part by filling out your form. Go to https://t.co/S712b9iAiR now — it only takes a few minutes! #CompleteCount"
1246465239136247814,2020-04-04 15:50:45,"Times like these highlight the amount of work that still needs to be done to protect survivors. A year ago today the House passed the Reauthorization of #VAWA – and I'll keep fighting to ensure survivors have the essential support they deserve, especially during this crisis.(4/4)"
1246465238142255106,2020-04-04 15:50:45,You can also call statewide and national domestic violence prevention hotlines (below): New York Office for the Prevention of Domestic Violence: 1-800-942-6906 24 hours a day National Domestic Violence Hotline: 1-800-799-7233. (3/4)
1246465237106200576,2020-04-04 15:50:45,"Even as we tackle this public health crisis, we want to make our community is safe from abusers and that you have all the resources available to you if you’re experiencing a dangerous domestic situation. (2/4)"
1246465235470487558,2020-04-04 15:50:44,"It's important we stop the spread of #COVID19, but sadly not everyone is safe in their home. Thankfully we have @WillowCenterROC working to provide survivors with access to critical resources. They're available 24/7 at 585.222.7233 and over text at 585.348.7233. Thread (1/4) https://t.co/hzCP4TjHyn"
1246428884293345280,2020-04-04 13:26:18,"I’m live on @1039WDKX answering questions about #COVID19 and discussing the actions Congress is taking to help provide relief for families during this global public health crisis.

Tune in now!"
1246201119300366337,2020-04-03 22:21:14,"My primary and immediate concern is ensuring our region has the resources it needs to serve the critical #COVID19 patients in our community. Unfortunately, our regional health systems have repeatedly indicated that excess ventilator capacity does not exist. 

My full statement: https://t.co/JRz2Y8mfZV"
1246185413032718347,2020-04-03 21:18:50,"UPDATE: The times for meal distribution at the R-Centers in the city have changed for next week.

⏰ April 6-9: 8 a.m. to 5:30 p.m.
⏰ April 10 (Good Friday): 8 a.m. to 3 p.m.

Read more here: https://t.co/KWYI2BKsKE https://t.co/guTVVlP10B"
1246151737142099968,2020-04-03 19:05:01,"#ICYMI @DrMikeMendoza, @CountyExecBello, and I answered more of your #COVID19 questions last night.

Watch the full broadcast here!

https://t.co/hY3boUftfU"
1246121326143823872,2020-04-03 17:04:10,"Grateful for the opportunity to join @evandawson and talk about the actions we’re taking in Congress to help American families get through this crisis.

Tune in now! https://t.co/UNwz2H2FKW"
1245870956276375553,2020-04-03 00:29:17,"I’ve heard from many people who are worried about having appropriate leave if they get sick during this crisis. That’s why we passed comprehensive, paid leave protections under the Family First Coronavirus Response Act - including for healthcare workers and emergency responders. https://t.co/UaANzXAEn9"
1245867722962956288,2020-04-03 00:16:26,If you’re uninsured and the cost of care is deterring you from seeking help- New York has re-opened enrollment in the health insurance marketplace and I urge anyone who is able to sign up for insurance to do so now. https://t.co/f1SyUxZGHn
1245862106060091393,2020-04-02 23:54:07,"College students and young adults need relief during this crisis, too. I’m proud to co-sponsor legislation to provide families $500 for each dependent child up to the age of 24, not just 16 - and I’ll continue working to find ways to support students in need. https://t.co/6ZS4Qw2PT4"
1245861855232311297,2020-04-02 23:53:07,"If you are out of work as a result of COVID-19, you don't have to conduct a work search while filing for unemployment. New York has also waived the typical 1 week waiting period-meaning if you're found eligible for benefits, you'll be credited from the 1st week of your claim. https://t.co/mH2HmnbN2w"
