id,created_at,text
1247353719919910914,2020-04-07 02:41:16,"Thank you @GovofCO for your steady, decisive and bold leadership as we work together across #Colorado to address the challenges ahead. 

We are a strong state. We are resilient.  
And we will get through this. 

Together. https://t.co/vr8MnhXaIW"
1247321422332071941,2020-04-07 00:32:55,RT @KDVR: LIVE: Gov. @jaredpolis is delivering a statewide address on coronavirus in Colorado. Live on FOX31 on TV. #covid19colorado https:…
1247243077070327815,2020-04-06 19:21:36,"Firefighters, police and first responders across our nation are on the frontlines of #COVID19 response and it is absolutely essential that they have access to coronavirus testing so they can continue to assist our communities 

Read my letter to @VP and @CDCgov ⬇️ https://t.co/FhbhYTORbR"
1247233529228021760,2020-04-06 18:43:40,"RT @TheBlackCaucus: To all of our delivery workers on the frontlines, thank you for your service.

#USPS #FedEx #UPS #DHL #delivery https:/…"
1247182453602689024,2020-04-06 15:20:43,"The FCC has received numerous reports of coronavirus-related robocall scams throughout this public health crisis. 

We need federal enforcement from @FCC and @TheJusticeDept to protect millions of Americans, particularly senior citizens who are being targeted with these scams. https://t.co/u2Ug7u9VAG"
1247172382877528064,2020-04-06 14:40:42,RT @larimerhealth: Governor Polis has asked everyone to wear a non-medical cloth face covering when they go outside the home for critical s…
1247149595735572483,2020-04-06 13:10:09,"The #COVID19 pandemic has been costly on communities of every size. 

Our cities, towns and small counties need direct stabilization funding to recover from this public health crisis and prosper in the future. 

https://t.co/MqTNpsbbHU"
1246855781317828608,2020-04-05 17:42:38,"We must ensure food insecure families have flexibility &amp; accessibility to utilize their SNAP and WIC benefits through #COVID19. 

I am advocating for nationwide grocery delivery accessibility for SNAP benefits &amp; the ability for beneficiaries to purchase basic household goods. https://t.co/0L9FZsXHn6"
1246592356754894850,2020-04-05 00:15:53,"RT @CO_CDHS: Thank you, @RepJoeNeguse, for working to update federal food assistance rules so that needy Coloradans will be eventually able…"
1246502087074209793,2020-04-04 18:17:11,"RT @fortcollinsgov: ""Please reach out to let us know how we can help during this trying time. And remember, we are strong, we are resilient…"
1246216493613953025,2020-04-03 23:22:20,"RT @hungerfreeco: Thank you to @RepJoeNeguse for ensuring our most vulnerable neighbors can access food, during #COVID19Colorado, through t…"
1246168136791064577,2020-04-03 20:10:11,"RT @COHealthAccess: 📣 .@C4HCO extends its Emergency Special Enrollment period due to #COVID19 until April 30, 2020! Coloradans who are curr…"
1246160037766021120,2020-04-03 19:38:00,"Yes! You are likely receiving a #coronavirus relief payment. Check your eligibility and how you’ll get the payment.👇

Have questions? Contact my office. 

https://t.co/vvcFnn922E"
1246142903191252994,2020-04-03 18:29:54,"We are working daily to ensure Coloradans have the relief and flexibility they need through #COVID19 

Today, I introduced 3 bills to: 

📌end price gouging 
📌ease restrictions on food security programs like SNAP &amp; WIC
📌and prohibit debt reporting on #COVID19 medical costs. https://t.co/0dry1xYCMW"
1246091738885881858,2020-04-03 15:06:36,"RT @GovofCO: At this point of the COVID-19 crisis, masks and gloves equals lives. Ventilators equals lives. We will continue to work with n…"
1245794879961251841,2020-04-02 19:26:59,"RT @SenMikeFoote: This afternoon, join @RepJoeNeguse for a telephone town hall regarding how federal relief funds can help small businesses…"
1245783177093881864,2020-04-02 18:40:29,"A group of women from Fort Collins has organized an effort to help feed overwhelmed northern Colorado hospital workers, named “FeedtheNoCoFrontline.”

I am inspired and encouraged by the hope and service in our community daily!

https://t.co/qboy9BAykG"
1245782408219295745,2020-04-02 18:37:26,@sonyala @SierraClub I signed on! Thanks @sonyala
1245772622534791169,2020-04-02 17:58:33,"Communities across our district are in need of direct assistance to respond to the #COVID19 pandemic.

We must ensure that every community in Colorado has the needed-relief and funds to equip our communities and recover from this public health emergency. https://t.co/uKaoOmR0L9"
1245771131342270467,2020-04-02 17:52:37,"RT @coloradoan: City of Fort Collins hosts 2 town halls for businesses and nonprofits. Rep. Joe Neguse hosts another, focused on small busi…"
1245767566410252290,2020-04-02 17:38:27,"Our communities need economic relief now, not later. 

We are working diligently to ensure that the funds authorized in the CARES Act are delivered to state and local entities in an expedited fashion so our communities can benefit immediately.

https://t.co/i4rgAjg2qp"
1245741990307913733,2020-04-02 15:56:49,"It is imperative that we adapt the rules of food security programs like SNAP and WIC to meet the pressing realities of #COVID19 and ensure Coloradans can continue to feed their families through social distancing 

https://t.co/YOQAkklh9Z"
1245703539969667072,2020-04-02 13:24:02,".@USTreasury has updated their guidance to ensure that Social Security beneficiaries will not need to file a tax return to receive direct cash assistance.

This decision will help countless seniors &amp; individuals with disabilities automatically receive much-needed cash relief. https://t.co/qTtQOPkGQ0"
1245471085438656512,2020-04-01 22:00:21,"The current shortage of PPE is an outrage and was brought up throughout our telephone town halls this week.

We continue to work to bring resources to Colorado. We will continue to do so until every one of our frontline health care workers have the equipment they need. https://t.co/dn3quqK36z"
1245447245731901442,2020-04-01 20:25:37,"RT @SBAgov: 4 ways to stay updated on SBA #COVID19 resources: 
🔎Connect with your district office: https://t.co/86lzeh6kfl
📱Follow them on…"
1245446909243854848,2020-04-01 20:24:17,"RT @CDPHE: This is not a vacation; it’s a pandemic. There are still an alarming number of people traveling to our mountain communities, put…"
1245435837719941126,2020-04-01 19:40:17,"Are you a small business owner? With questions about which CARES Act programs you can benefit from?

Join us for a small business telephone town hall tomorrow at 2pm. We will hear from @SBAgov and answer your questions. 

Register here: https://t.co/VW2s9QRsYu https://t.co/x4ZicY8pfa"
1245400488004268032,2020-04-01 17:19:49,"Today is #CensusDay

Filling out the #2020Census takes just a few minutes &amp; will determine how much funding our community gets for schools, hospitals, infrastructure, &amp; more. Make sure you are counted!

Respond today:
🖥️https://t.co/pe7YjIlho1
📞844-330-2020
📬By mail https://t.co/cMmBwKqVQU"
1245124159564283905,2020-03-31 23:01:47,"We'll be live in just a few minutes with local elected officials, public health and emergency response managers in Summit and Eagle County to answer your questions on #COVID19

Visit https://t.co/q4NINBLLPD to listen in to the conversation or dial 877-229-8493 
# 118790 https://t.co/WQH6JU142p"
1245091245522853893,2020-03-31 20:51:00,"Today I am introducing legislation to protect our frontline postal workers who are vulnerable to coronavirus &amp; equip our post offices to maintain on-time and consistent deliveries for Americans who are relying on mail services while they stay at home. 

https://t.co/usUBLrLtdW"
1245070417599049732,2020-03-31 19:28:14,"At a time when we should be doing all we can to boost public health it is deeply disappointing that the Trump Administration would move forward with this detrimental rule.

We cannot abandon the fight against climate change. Not now, not ever. 

https://t.co/jA1k7fFEiF"
1245057523390054400,2020-03-31 18:37:00,"In Eagle County, our health care workers &amp; first responders are working around the clock to keep our community safe and care for our vulnerable populations. Thank you for your service! 

We are strong, we are resilient &amp; we will get through this together. https://t.co/i8iUVaT1OO"
1245034582510055424,2020-03-31 17:05:50,"RT @coloradoan: In case you missed Monday's coronavirus town hall with U.S. Rep. Joe Neguse, Colorado Gov. Jared Polis and regional leaders…"
1245033308192477184,2020-03-31 17:00:46,Sending strength and gratitude to my dear friend and colleague @RepMaxRose who is stepping up to serve his constituents in a different capacity as this outbreak continues. https://t.co/xf9jAoWcLA
1245031836159553538,2020-03-31 16:54:55,"As we face a global crisis on this #EqualPayDay, ensuring ALL workers are treated equally is more crucial now than ever before.
 
The average woman in 2019 made just 81% of what her male counterpart earned. This is not right. We must ensure equal pay for equal work."
1245010464251281415,2020-03-31 15:30:00,"If you missed last night's telephone town hall on #COVID19, there's another chance to join tonight. 

Stream the discussion live at https://t.co/q4NINBLLPD at 5:05pm MT or dial-in at: 877-229-8493 
# 118790 https://t.co/1CsKfNxbY0"
1244716294554951699,2020-03-30 20:01:04,"The need to rapidly obtain and distribute PPE in response to the #COVID19 pandemic is urgent. 

We must ensure universities in Colorado and elsewhere are offered swift review to assess and develop PPE supplies so our frontline healthcare workers can get the protection they need. https://t.co/q4cLKdRV0o"
1244693176105013249,2020-03-30 18:29:13,"On tonight's telephone town hall we'll be joined by @GovofCo, @bouldercounty @LarimerCounty &amp; @JeffcoColorado 

Visit https://t.co/OdSOVXzYqJ to sign up or to stream the audio live at 6:05pm. Hope you can join us! https://t.co/Ffvp0uUpgf"
1244689898457780224,2020-03-30 18:16:11,"RT @CDPHE: Why are social distancing, isolation, &amp; quarantine so important?
✅Protect our vulnerable populations. 
✅Prevent the virus from s…"
1244632724125646852,2020-03-30 14:29:00,"I’ll be hosting a telephone town hall tonight to answer your questions on coronavirus and the CARES Act that Congress just passed to provide funding for our families, hospitals and small businesses. 

Sign up to join us at 6:05pm tonight by visiting https://t.co/q4NINBLLPD https://t.co/IfJWEOHXRH"
1244608837849616384,2020-03-30 12:54:05,"Colorado is facing extreme shortages of masks, ventilators &amp; other medical supplies

With a request from @GovofCO &amp; a bipartisan letter to @POTUS we were able designate Colorado as a major disaster area to open up more resources for our health care workers
https://t.co/9lAMTLQR5a"
1244284808462774272,2020-03-29 15:26:30,"We continue to work with the @StateDept to get every American home who is navigating closed borders, movement restrictions, mandatory quarantines, and canceled flights due to the #COVID19 pandemic

Thank you @JoyAnnReid for the opportunity to discuss. https://t.co/xGI8XFWwZL"
1244062256406712327,2020-03-29 00:42:10,"I've just learned that Colorado has been awarded a disaster declaration &amp; will now be eligible to receive additional federal resources to help address #COVID19 in CO. 

I'm honored to assist @GovofCO in this endeavor &amp; grateful to have secured these additional funds for our state https://t.co/KxIR6Ma2dd"
1243953538629275648,2020-03-28 17:30:09,"To the front line health care workers who are sacrificing their own health for the lives of others, to the first responders, grocery store workers, delivery drivers and countless community members who are stepping in to help through this crisis: THANK YOU! https://t.co/OArRE0Hqs7"
1243673942021287937,2020-03-27 22:59:08,"In response to #COVID19, the VA is consolidating clinic usage and urging vets not to visit in-person unless requested by their provider. Vets can arrange for care here: https://t.co/cfKFs9br5b. If vets have flu-like symptoms or shortness of breath, call (888) 336-8262, option 3."
1243648236943888384,2020-03-27 21:17:00,"The original version of the IDEA was enacted to ensure that all students with disabilities receive a free and appropriate public education. 

We cannot fall short on this promise amidst #COVID19

Proud to support this initiative from @RepAngieCraig &amp; @RepHuffman. https://t.co/74KCvLUwnS"
1243625084587139072,2020-03-27 19:45:00,We need the power of American manufacturing to get our healthcare professionals the supplies they need. I support the Medical Supply Chain Emergency Act to federalize our manufacturing efforts and beat the #COVID19 crisis once and for all.
1243612855758393356,2020-03-27 18:56:24,"This public health emergency places us on the precipice of a significant economic crisis. Unprecedented circumstances require an unprecedented and urgent response to provide immediate relief for American. 

Read more about the CARES Act here: https://t.co/woMC1xCMN4"
1243604301580316672,2020-03-27 18:22:25,"The CARES Act includes $16 billion to replenish the Strategic National Stockpile supply of pharmaceuticals, personal protective equipment, and other medical supplies that are desperately needed in hospitals across the country."
1243598933986811905,2020-03-27 18:01:05,"→ $2B for Colorado’s Coronavirus Relief Fund
→ $10M+ in emergency assistance for CO from CDC
→$42M to support CO child care &amp; early education
→$22M for CO homeless housing assistance
→$325M in transit assistance for Colorado
→$6M in CO election assistance"
1243598077648404482,2020-03-27 17:57:41,"The House just passed necessary economic and public health relief for our families, hospitals and businesses, including: 
→ direct cash payments for Americans 
→ historic expansion of unemployment insurance 
→ grants instead of loans for small businesses"
1243544641221386245,2020-03-27 14:25:21,"Coloradans need relief now.  

First responders, health care workers, small businesses and hospitals need relief now. 

We must meet this moment. https://t.co/kyDCGArWbe"
1243263882707308553,2020-03-26 19:49:43,"We are seeing tremendous shortages of vital medical supplies in communities across the country, which will only grow the longer we wait. 

The President must implement the Defense Production Act to begin mass production of these items. https://t.co/ik0mA5iKdZ"
1243253453713018880,2020-03-26 19:08:16,"RT @EagleCountyPIO: For questions about the State of Colorado's stay-at-home order, please call 2-1-1 . The order, as well as a link to an…"
1243244098020167680,2020-03-26 18:31:05,I urge @POTUS to immediately approve Colorado’s request for a Major Disaster Declaration to address the worsening #coronavirus pandemic. This crisis is beyond what the state can handle alone - it’s critical that this request be approved promptly. https://t.co/Fj7uDXwVWJ
1243243824014647296,2020-03-26 18:30:00,"For those who have questions about student meal distribution while schools are closed, I have compiled local resources and meal distribution resources for the counties in our district. 

Check it out here, and let us know if you have questions --&gt;

https://t.co/uOVZaatrCZ"
1243228722867527682,2020-03-26 17:30:00,"Amidst this crisis, I have seen members of our community coming together with compassion, service, and selflessness. Our first responders, health care providers, grocery workers, delivery drivers &amp; small businesses are stepping up daily to serve our community and keep up hope."
1243211542558113792,2020-03-26 16:21:44,"Stay home, stay safe, stay hopeful. Help #FlattenTheCurve https://t.co/waG9fwZ54L"
1243203840943456256,2020-03-26 15:51:07,"Testing. Masks. Ventilators.

We need more of them and now. 

The President must invoke the Defense Production Act to immediately mass produce and coordinate distribution of these vital supplies for the sake of Colorado families, hospitals and our public safety."
1243181574415400960,2020-03-26 14:22:39,"As Colorado moves swiftly to respond to the #COVID19 pandemic, it is crucial that our efforts be supported by a coordinated federal response from @fema including increased PPE resources &amp; mass production of medical supplies. https://t.co/oMV7xqS5n1"
1242956932207349762,2020-03-25 23:30:00,".@comcast is offering 2 months of free Internet Essentials service to families whose children are on Free and Reduced Lunch, SNAP, Medicaid, SSI, housing assistance, etc.  

Learn more at the link below --&gt; https://t.co/V4YliO41JP"
1242950828308279296,2020-03-25 23:05:45,"RT @bouldercounty: Here's a quick look at what ""Stay at Home"" means. Check https://t.co/RYDObGVK8n for details on essential reasons to leav…"
1242942335740190724,2020-03-25 22:32:00,"Direct cash assistance and increased unemployment insurance payments for low-income workers living paycheck to paycheck would have an immediate impact on our economy. 

I joined @RepDanKildee to call for much-needed relief for working Americans in the midst of #coronavirus https://t.co/t62jTSqXME"
1242941968730161155,2020-03-25 22:30:32,"RT @GovofCO: I’m here at the Emergency Operations Center in Centennial to announce an emergency, temporary Stay at Home Order for Colorado…"
1242926732786556929,2020-03-25 21:30:00,"My office is working around the clock to help constituents like Peyton and Will who are currently overseas and trying to get home. We’re here to help. If you or a loved one are stranded overseas during this pandemic, please contact my office at (970) 372-3971. https://t.co/dxb7fx42HK"
1242921654508040192,2020-03-25 21:09:49,"RT @larimerhealth: Larimer County Public Health Director Tom Gonzales has issued a Stay-At-Home order for Larimer County, effective at 5:00…"
1242904572454191105,2020-03-25 20:01:56,RT @CDPHE: Introducing #DoingMyPartCO Bingo to give you some ideas for safe social distancing. What have been some of your strategies? http…
1242903950640254979,2020-03-25 19:59:28,"If you are a healthcare professional in Colorado, including retired or a student, you can fill out this form with @CDPHE to be matched with a hospital, testing site or care facility to help throughout #coronavirus https://t.co/cHOlyIumKT"
1242899995113795586,2020-03-25 19:43:45,"During this pandemic, it is vital our communities can continue to rely on local first responders for protection &amp; emergency response.

Congress must ensure fire &amp; EMS departments have
access to PPE, testing &amp; needed staffing support to operate at full capacity during #coronavirus https://t.co/mimexJS7Qe"
1242869212386938889,2020-03-25 17:41:26,"RT @JeffcoColorado: Questions about what is considered essential during the Stay-At-Home Order, which was issued by @JeffcoPH? Read the ful…"
1242862112956964864,2020-03-25 17:13:13,RT @broomfield: Broomfield Issues Public Health Order Requiring Social Distancing and Encouraging All Broomfield Residents to Stay Home. Re…
1242860544585011202,2020-03-25 17:06:59,"RT @CongressmanRaja: This morning, I spoke on @NPR’s @UpFirst about my bill with @RepAOC and @RepJoeNeguse, the Ban Conflicted Trading Act,…"
1242858548645842945,2020-03-25 16:59:03,"Stay home, stay safe, stay hopeful. Help #FlattenTheCurve https://t.co/EQAMiFByL3"
1242841398459727872,2020-03-25 15:50:54,"The @US_FDA has responded to my letter and issued clarified guidance to ensure all distillers can utilize their alcohol supply to produce hand sanitizer to aid the health and safety of our communities throughout this public health emergency.

See my letter here 👇🏿 https://t.co/rVS1U8bEiM"
1242837359969873921,2020-03-25 15:34:52,"We cannot leave Colorado families  out in the cold. 

We must ensure no one is evicted due to financial hardships, business closures, and the wide-ranging economic effects of #coronavirus

Thank you @RepChuyGarcia &amp; @RepBarbaraLee for leading this effort. https://t.co/i3jMILgMq3"
1242826080228126723,2020-03-25 14:50:02,"RT @CDPHE: Colorado nears 1,000 cases. Here is today's COVID-19 case summary for the state:
912 cases (+192)
84 hospitalized (+12)
35 count…"
1242538921424293888,2020-03-24 19:48:58,"Completely agree with @NYGovCuomo @GovofCO &amp; so many of our governors — which is why today I joined @TimRyan &amp; @ChrisMurphyCT’s bill as an original co-sponsor, which would compel implementation of the Defense Production Act &amp; mass produce masks, gloves, ventilators &amp; much more. https://t.co/ZiPOhFnidV"
1242500807515426816,2020-03-24 17:17:31,"We cannot abandon our fellow Americans overseas. 

I implore the @StateDept to take comprehensive action to help all Americans get home and waive repatriation fees immediately. https://t.co/XJbcoQ7hLc"
1242480448409874433,2020-03-24 15:56:37,RT @USEMBASSYPERU: U.S. citizens in #Peru: We understand some people may no longer be receiving STEP messages. Be sure to update your accou…
1242478277777715201,2020-03-24 15:48:00,"In the midst of #coronavirus anxiety and economic turmoil, Coloradans are relying on compassion, hope and community to get through this public health crisis. 

Inspired and encouraged daily by my constituents! https://t.co/HIQpahFGpt"
