id,created_at,text
1247260002458521601,2020-04-06 20:28:52,"RT @CDCgov: Reduce spread of #COVID19. When in public, use a cloth face covering that 
✔️Reaches above nose &amp; below chin, completely coveri…"
1247259701630447616,2020-04-06 20:27:40,"RT @HouseGOP: We are all in this together.
 
Do your part to #slowthespread ↓ https://t.co/Lc9kIGd2iO"
1247196741226692610,2020-04-06 16:17:29,"Please join me for another Tele-Townhall on Thursday, April 9 from 6-7pm!

☎️Just dial 855-962-1075 to join the live, toll-free meeting. 

I will be sharing updates on the coronavirus and the work I’m doing in Congress to keep you healthy and safe. https://t.co/LyVrRSZpHB"
1246874035381731328,2020-04-05 18:55:10,"@todd_albright No, last month I was encouraging constituents to practice good hygiene and prepare for the increasing spread of the virus. 

https://t.co/QUjnYZ55Kf https://t.co/djXD0KAJXM"
1246618900835586048,2020-04-05 02:01:21,"Today's #COVID19 update: to mask or not to mask?

Remember:

1. Don't take away supplies intended for medical professionals. 

2. Wearing a mask doesn't keep you from picking up germs, it helps prevent you from sharing them. https://t.co/I6bYb3FmYh"
1246571404285313026,2020-04-04 22:52:37,"ICYMI: We've been making it work, digitally! #StayHome and #StaySafe.  https://t.co/MfCKiiJ4ly"
1246556440686284800,2020-04-04 21:53:10,"RT @WSJPolitics: Congress is on recess from Washington, but it isn’t a break. How @RepSpanberger @RepAnnWagner @RepJohnCurtis @RepKatiePort…"
1246286186253082625,2020-04-04 03:59:16,"RT @clintbetts: I’m in awe of what’s happening with https://t.co/jxcov24dXL.

The past 24 hours: 

- 2 locations running (Provo &amp; Orem)

-…"
1246245453982773249,2020-04-04 01:17:25,"RT @EpochTimes: “As Dr. Li Wenliang said, ‘A Healthy Society Shouldn’t Only Have One Voice.’”

@RepJohnCurtis joined Republicans to introdu…"
1246168514840481793,2020-04-03 20:11:41,"RT @GovHerbert: Today, after consultation with Washington County officials and the @Interior, we have determined it is appropriate and nece…"
1246146911071068165,2020-04-03 18:45:50,RT @JStuartAdams: I will be joining a conversation with @slcmayor and @RepJohnCurtis about what is being done to support Utah's business im…
1246141348639580163,2020-04-03 18:23:44,"🚨Calling Small Business Owners 🚨

Applications are now being accepted for the Paycheck Protection Program. 

These loans can help ensure your employees will continue getting paid during the #COVIDー19 pandemic. 

Apply here:
https://t.co/2UzTSO5sjK"
