id,created_at,text
1247257140743503875,2020-04-06 20:17:29,"All of us can do our part to slow the spread of coronavirus, protect our loved ones, and serve our neighbors. It's important for all of us to follow President Trump's Coronavirus Guidelines for the American People and to practice responsible social distancing. https://t.co/CQVf1djHd6"
1246958759030804481,2020-04-06 00:31:50,We’re #InItTogether. https://t.co/IRyheTValL
1246219655116718081,2020-04-03 23:34:54,"This afternoon, I held a call with more than 250 constituents in the small business community to discuss the relief programs &amp; assistance available during this coronavirus outbreak, including the #PaycheckProtectionProgram. Find more info at https://t.co/h6mput8f10. https://t.co/cvt12F6Ia9"
1245840149201575936,2020-04-02 22:26:52,"Starting tomorrow, the #PaycheckProtectionProgram will allow small businesses to apply for forgivable loans to cover payroll &amp; other key expenses so that they can keep their workers paid - protecting our workforce &amp; helping hardworking Americans. More: https://t.co/6m4oTrJKNN. https://t.co/bw9zix5eJ8"
1245048723119497216,2020-03-31 18:02:02,"Thank you to the grocery store workers, truck drivers, farmers, USPS and delivery workers, teachers, firstresponders, bankers, sanitation workers, frontline health care teams, and the many others who are serving our PA-13 community during the #coronavirus outbreak. #InItTogether https://t.co/mZhUnvJbGo"
1244675881995550724,2020-03-30 17:20:29,"As Americans combat #coronavirus, we are grateful to the doctors, nurses, and other health care workers on the frontlines of this fight. Thank you to all the health care heroes working tirelessly to care for patients in PA and beyond. #NationalDoctorsDay https://t.co/D16opLY1F8"
1244407448334630913,2020-03-29 23:33:50,"Mr. President, we are proud that you are our @POTUS. 

Thank you, President @realDonaldTrump. https://t.co/CFgi8Mro3z"
1243625277927931906,2020-03-27 19:45:46,"We cannot allow #coronavirus to shut down the American Dream. 

The CARES Act will deliver compassionate, targeted relief to those who need it most - families, workers, small businesses &amp; frontline health care workers - and safeguard our economy. https://t.co/OBuvVnqi6m"
1243302751850901510,2020-03-26 22:24:10,"RT @CDCgov: Staying at home helps to protect you, your family, healthcare workers and first responders and slow the spread of #coronavirus.…"
1243254502985207812,2020-03-26 19:12:26,The Chinese government must be held accountable for its role in the #coronavirus pandemic. Proud to join with @RepJimBanks and bipartisan Members of Congress to condemn China for its gross mishandling of this crisis. https://t.co/73FD1ATuzq
1242590390416478211,2020-03-24 23:13:29,"Unfortunately, bad actors are taking advantage of the #coronavirus outbreak and targeting Americans with scams online and over the phone. Get the latest tips from the @FTC to guard against these malicious scams. https://t.co/INniP6anXJ"
1242262711892918272,2020-03-24 01:31:25,".@Sheetz, thank you for being vigilant and protecting our community. We're #InItTogether. https://t.co/1vr3fFqtsp"
1242217191048720390,2020-03-23 22:30:32,"Again, the American people are counting on us to get this done. 

It is well past time for Democrats to return to the table, make a sensible agreement, and put the interests of the American people first."
1242216646728658951,2020-03-23 22:28:22,It is shameful that Democrats in Congress are attempting to inject the politics of the radical Green New Deal - which have nothing to do with keeping the doors open for Main Street businesses or keeping American families working - into this aid package.
1242215322725294081,2020-03-23 22:23:06,The second failed vote in the Senate on a coronavirus relief package is more proof that Speaker Pelosi &amp; Senator Schumer put politics before the American people. This legislation is needed now to help millions of families &amp; small businesses impacted by the coronavirus outbreak.
1242068269462368256,2020-03-23 12:38:46,"It's unconscionable that Speaker Pelosi would play politics &amp; walk away from bipartisan talks with the Senate on coronavirus aid. Pennsylvanians need results to help families &amp; small businesses navigate this challenge.

Americans are counting on Congress to get this done."
1241491323028410373,2020-03-21 22:26:11,Grateful for the dedicated men and women of @USPS who are serving PA-13 during this challenging time. https://t.co/V21hO55f2g
1241118497347899392,2020-03-20 21:44:43,"During this public health crisis, we must combat misinformation. Follow @CDCgov for the latest coronavirus updates and guidance. #Covid_19 #InItTogether https://t.co/PBz0IeF676"
1240816312164777985,2020-03-20 01:43:56,All of us can do our part to #SlowTheSpread. We’re #InItTogether. https://t.co/RfDWoctu34
1240414510286090241,2020-03-18 23:07:19,"Today I was saddened to learn that we have lost a fellow Pennsylvanian to coronavirus. This highly-contagious illness is continuing to spread, and it's up to all of us to do our part to protect our neighbors. https://t.co/v66WPm2I21"
1240300749638242305,2020-03-18 15:35:17,"The American people are resilient. We’re in this together, and we’re going to get through this together. https://t.co/PiWdjRUHhR"
1240246396483141632,2020-03-18 11:59:18,"There is no country more capable to manage a health crisis than the United States of America. 

We are going to defeat coronavirus together. https://t.co/KQphmppd9z"
1239647145491402754,2020-03-16 20:18:05,All of us can do our part to #StopTheSpread of coronavirus and protect Americans in PA-13 and across the country. https://t.co/g8CuEaoOWM
1239191634664992768,2020-03-15 14:08:03,"On this #NationalDayOfPrayer, Alice and I ask you to join us in praying for PA &amp; our country as we combat coronavirus. As we ask God for guidance, we also pray for those who have been affected by this illness &amp; for those who are on the front lines of this fight. https://t.co/9MpuVfeO1E"
1238549313913053184,2020-03-13 19:35:42,"Today, I updated the PA State Senators and PA State Representstives who serve the people of PA-13 on the U.S. response to coronavirus. It’s important that we work together to protect our constituents in southcentral PA. https://t.co/8av4zcJ9li"
1238532826494054400,2020-03-13 18:30:11,"At the same time, I encourage everyone to take commonsense precautions to prevent the spread of coronavirus. Follow @CDCgov and @PAHealthDept for the latest guidance and updates."
1238532598940545025,2020-03-13 18:29:17,"While you may have heard that the Capitol has been closed to visitors, I am here working for the people of PA-13. My offices in Washington and across the district are open, and my team and I are available to serve to you. https://t.co/Vey84Tqnsv"
1238237351425572867,2020-03-12 22:56:04,"Earlier this week, I had a productive meeting with Joe Sheetz about protecting local businesses from potential cyber risks. It's a privilege to share a hometown with @sheetz! https://t.co/rHy87fUDoL"
1237930681881288707,2020-03-12 02:37:28,"RT @WhiteHouse: ""We are all in this together. We must put politics aside, stop the partisanship, and unify together as one nation and one f…"
1237917496478482434,2020-03-12 01:45:05,"As @POTUS @realDonaldTrump said in his address to the nation this evening, smart action today will prevent the spread of coronavirus tomorrow. Each of us has a role to play in defeating this virus. 

All of us can take simple preventative measures to protect our community. https://t.co/uXqApwo3Rz"
1237547970653868033,2020-03-11 01:16:43,"RT @GOPLeader: Here we go again.→ Democrats are trying to score political points by calling Republicans racist.

Coronavirus is a China-bor…"
