id,created_at,text
1246173571992477701,2020-04-03 20:31:47,https://t.co/ujZRYmmoN7
1246145125388038149,2020-04-03 18:38:44,RT @RobertHarding: Katko: No Social Security cuts for retired healthcare workers aiding COVID-19 response https://t.co/6jyTmcgbdT https://t…
1246130862921482245,2020-04-03 17:42:04,RT @MarkWeinerDC: GOP @RepJohnKatko wants independent probe of US #coronavirus response https://t.co/2yoteKo6br
1246081717351387136,2020-04-03 14:26:47,RT @MarkWeinerDC: .@RepJohnKatko says retired docs who fight #coronavirus shouldn’t face Social Security cuts https://t.co/yGsKOqAueF
1246037473915998215,2020-04-03 11:30:58,"RT @WRVOnews: @RepJohnKatko says local hospitals are feeling a huge financial pinch, losing money every day. That's why he wants federal st…"
1245457668858355712,2020-04-01 21:07:02,"I am working with @RepBrindisi to urge @HHSGov to immediately direct a proportional amount of newly appropriated CARES Act funding to support hospitals in CNY. To flatten the curve and stop the spread of COVID-19, we have to provide immediate support to our local hospitals. https://t.co/QkubM11TwA"
1244740567369744386,2020-03-30 21:37:32,"To ensure local businesses and 501c3 non-profits have access to important resources and federal programs that can help provide relief during this crisis, I created a comprehensive packet that can be viewed below. https://t.co/BeiBY98dot"
1243896102069448707,2020-03-28 13:41:55,"RT @syracusedotcom: Reps. Katko and Brindisi: Help is on the way for CNY families, businesses, hospitals (Commentary) https://t.co/HYNCuA7V…"
1243618218943696897,2020-03-27 19:17:43,https://t.co/f2vLZkm4bW
1243509479313997824,2020-03-27 12:05:37,RT @MarkWeinerDC: What’s in federal coronavirus relief bill for New York? https://t.co/hHsTkeV9Sn
1243284684617981952,2020-03-26 21:12:22,"RT @RobertHarding: Katko: Auburn, Syracuse health centers get federal grants for COVID-19 response https://t.co/TaZS5o3j8Q https://t.co/TIc…"
1243219861339287554,2020-03-26 16:54:47,"RT @CenterStateCEO: Join us Friday, Mar. 26 for a Federal Economic Stimulus Live Webinar with @RepJohnKatko &amp; Rob Simpson. This webinar is…"
1243190301382098944,2020-03-26 14:57:19,"Glad to be on @NewsChannel9 last night to discuss the CARES Act, a bill that will provide relief to working families and small businesses in CNY, and ensure frontline providers have the necessary resources to protect themselves and care for patients.  https://t.co/BWmDesn2Ja"
1242865432459186178,2020-03-25 17:26:25,Our number one priority has to be addressing the shortages in medical supplies that hospitals and medical facilities in Central New York face. Without sufficient supplies we handcuff the response effort and leave frontline providers vulnerable to infection.https://t.co/U0yXTivzAG
1242548381735673856,2020-03-24 20:26:34,"A great story from the The Citizen. With the Coronavirus now dramatically altering everyday life for our community, now more than ever, it is imperative we lend a hand to our neighbors in-need. Together, we can, and will get through this. https://t.co/oeCDkyWYFm"
1242488549359960064,2020-03-24 16:28:49,"Thanks to everyone who listened in last night and to my guests Karen Belcher from @FoodBankofCNY and Dr. Robert Corona from @UpstateNews. We provided listerners with an update on the ongoing coronavirus pandemic, while answering questions and clearing up misconceptions. https://t.co/zYjP7sUrK3"
1242466816783290369,2020-03-24 15:02:27,"With widespread efforts underway to prevent the spread of Coronavirus, I recognize the toll this is taking on many small businesses and CNY’s workforce. My website has important information and resources for small businesses, accessible at the link below. https://t.co/KnMhPBjWmD"
1242441295081230337,2020-03-24 13:21:02,RT @RobertHarding: What's Congress doing to address COVID-19? Katko provides update on tele-town hall https://t.co/qyB8tHJVGq https://t.co/…
1242199826839805959,2020-03-23 21:21:32,"Right now I'm hosting a Telephone Town Hall on the Coronavirus with specialists from @UpstateNews and @FoodBankofCNY. To listen in or ask a question, please click the link below.

https://t.co/KAgbUMdsgO"
1242102201910165505,2020-03-23 14:53:36,RT @RobertHarding: .@RepJohnKatko urges Senate to pass a COVID-19 relief package. #NY24 https://t.co/NGujuv3gvI
1241705780031688705,2020-03-22 12:38:22,RT @The_Citizen: U.S. Rep. John Katko will discuss the federal and local response to the novel coronavirus pandemic during an upcoming tele…
1241372468595642368,2020-03-21 14:33:54,"RT @RobertHarding: Brindisi, Katko to Trump: Work with manufacturers to address CNY hospital supply shortage https://t.co/udp8CKbKBn https:…"
1241342087523700736,2020-03-21 12:33:11,RT @RobertHarding: .@RepJohnKatko praises President Trump's approval of a major disaster declaration for New York. Katko and @RepBrindisi s…
1241130260638433280,2020-03-20 22:31:27,RT @MarkWeinerDC: Coronavirus in NY: .@RepJohnKatko to hold telephone town hall meeting with #NY24 residents https://t.co/6AyKmauKD2
1241023246050435073,2020-03-20 15:26:13,"I called on the @IRSnews to issue an extension for the tax filing deadline due to the Coronavirus – and I’m glad to see this agency act swiftly to do so by moving it to July 15th. We must continue to take all necessary steps to provide relief to CNY.

https://t.co/gIrfGN0USC"
1240699007329914880,2020-03-19 17:57:49,"To ensure health care workers in Central New York are able to stay healthy and remain on the frontlines to combat the Coronavirus pandemic, today with @RepBrindisi, I urged @HHSGov to prioritize sending a proportionate share of supplies to our region.

https://t.co/sf3jraD2mO"
1240656293825839105,2020-03-19 15:08:05,"With a growing percentage of our workforce now teleworking, as Ranking Member of the @HomelandGOP  Cybersecurity Subcommittee, I issued a cyber resource guide to ensure CNY has the information and resources to protect themselves against cyber threats. 

https://t.co/ohZVI0Dwv4"
1240643695726211075,2020-03-19 14:18:01,"RT @magmill95: The top Republican on the House Homeland Security Committee’s cyber panel, @RepJohnKatko, today put out a guide with steps p…"
