id,created_at,text
1247330843808468992,2020-04-07 01:10:22,This bill will establish a federal Commission to help ensure our nation's government and industries are better prepared for the next crisis. (2/2)
1247330842680188931,2020-04-07 01:10:21,"I recently helped introduce the bipartisan  Made in America Emergency Preparedness Act. We simply can’t rely on the rest of the world to build our ventilators, supply our medicine, and construct our masks and gowns. (1/2)
https://t.co/SBUYCsv3aG"
1247264024783355920,2020-04-06 20:44:51,"We have to stop NJ's kids from going hungry. 

That's why I'm asking @USDA to waive restrictions on NJ schools, so they can continue to receive federal investment for providing free &amp; reduced price meals to students in need, especially during scheduled spring breaks. https://t.co/3EZczqRdS0"
1247250885115293696,2020-04-06 19:52:38,RT @IRSnews: Social Security beneficiaries who are not typically required to file tax returns will not need to file to receive an economic…
1247214947307794434,2020-04-06 17:29:50,"RT @NJ211: Over 100,000 people have signed up to receive important COVID-19 alerts and information. Have you signed up? https://t.co/tDBrnE…"
1247178053492641793,2020-04-06 15:03:14,"...not to mention the rest of my District.

Visit my website for a guide to #COVID19 resources: https://t.co/gM5wfHPZD5 (2/2)"
1247178051978477569,2020-04-06 15:03:13,"Here is a summary of the major items in the bipartisan CARES Act recently passed by Congress and signed into law by the President, including hundreds of millions in direct aid and grants to residents and small businesses in Sussex and Warren Counties... (1/2) https://t.co/6Et07wixmg"
1247170249520230402,2020-04-06 14:32:13,"NEW: Warren County is opening a free drive-thru #COVID19 testing site at Warren County Technical School beginning Wed. 4/8, available to county residents

Each patient must be screened &amp; pre-approved by a @myStLukes provider to schedule an appt

Info here:
https://t.co/n5Y2GDK2wS"
1246953757184790529,2020-04-06 00:11:57,"Last night, I spoke with @WolfBlitzer on @CNN on how we need to come together, help flatten the curve, support our first responder and front-line health care workers, and safely restart the American economy after this pandemic. Watch here: https://t.co/bDG6zIIZDo"
1246932552750956545,2020-04-05 22:47:42,"RT @SBAgov: The #CARESAct has established new programs to help small businesses impacted by #COVID19 including:
1️⃣ Paycheck Protection Pro…"
1246894232671064064,2020-04-05 20:15:25,"Earlier today, I formally asked @FEMA to stand up an additional #coronavirus testing site specifically to serve the residents of Warren and Sussex Counties. 

Accurate detection and containment of the virus is our best chance to flatten the curve and reduce the spread the virus. https://t.co/IXKybtKc1B"
