id,created_at,text
1247230731685957632,2020-04-06 18:32:33,"To survive this crisis we need to 1) contain the coronavirus and 2) make sure all workers get support they deserve. For this to work, we can't discriminate against immigrants. My bill, HR 6437 will ensure access to healthcare w/out punishment &amp; food/cash benefits to all taxpayers"
1247206123402407937,2020-04-06 16:54:46,"Treating coronavirus can cost from $30,000-$75,000 w/out insurance. So far, 13k Californians have gotten sick, w/ peak still weeks away. Not having insurance is not an option. That's why, in addition to covering #COVID19 costs, we must protect ACA from GOP attacks #protectourcare"
1246217371716550656,2020-04-03 23:25:49,The coronavirus doesn't discriminate and neither should Congress. The $2 trillion recovery bill we passed is meant to help the whole country get through this. That doesn't work if we exclude whole communities. We must include immigrants in the recovery https://t.co/HnKsXb659m
1246092771150180352,2020-04-03 15:10:42,10 million Americans are filing for unemployment in just the last month alone. And millions are frustrated by the process. I understand. That's why I set up a resource page at https://t.co/C6DlonFIL8 to help you navigate applying for UI and more.
1245768358848536578,2020-04-02 17:41:36,"More than 6 million people filed for unemployment last week alone. If you're one of them, it's not your fault and there is help for you. I've set up a resource page at https://t.co/xvQAvSxPwe with information on how &amp; where to apply for benefits."
1245421823430443010,2020-04-01 18:44:36,"If you want to help us prepare for a future pandemic, there's a simple action you can take today: go to https://t.co/1ASxiOLFin and #BeCounted! 
 
It's not just about Congressional seats. We need to know who lives where so we can get aid where it's needed. #Census2020 https://t.co/FOxVB6nWii"
1245411301310038017,2020-04-01 18:02:47,"You can't go to school, a restaurant, or church because of coronavirus social distancing, but gun stores are still open. Even during a pandemic, Donald Trump will find a way to value profits for the gun industry over people's lives. https://t.co/49V4ZwXezB"
1245385420596273160,2020-04-01 16:19:57,Do you have questions about what resources are available for your family or small business? Want to know about the checks that are coming your way? I set up a page to help. Visit https://t.co/NtBFpgJpVg for information and resources.
1245364381384429569,2020-04-01 14:56:20,Nobody needs to go without health insurance. Especially not during a pandemic. The Administration should reverse this decision. https://t.co/1hO2ooOeaD
1245356894434267137,2020-04-01 14:26:35,"The next 10 years in our country will be determined by the results of the next few months. We must make sure everyone is counted. Over $1 trillion of federal aid is at stake! 

And you can do it safely from home. Go online to https://t.co/1ASxiOLFin to be counted! #CensusDay"
1245340145492115456,2020-04-01 13:20:02,"RT @hansilowang: IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'S CENSUS DAY!
IT'…"
1245320204265173000,2020-04-01 12:00:48,"RT @MSNBC: Rep. Judy Chu on the increase of anti-Asian incidents in the US:

""These are very, very alarming and they're not helped by Presi…"
1245099816381792256,2020-03-31 21:25:03,"Confused by this tweet without context? Well, today, the President rolled back clean emissions standards for vehicles - against even the wishes of car makers. But polluting the air is unpopular so he's doing what he does and is lying to you, claiming to have done the opposite https://t.co/Pe8onXn1L1"
1245079020653477890,2020-03-31 20:02:25,"RT @CAPAC: This #EqualPayDay, remember that AAPI women are not a homogeneous group. If you disaggregate AAPI data, it shows that Southeast…"
1245049161684340737,2020-03-31 18:03:46,"The #wagegap cannot be explained away. It persists across industry and occupation, regardless of experience or education and has devastating effects of women's ability to care for themselves and their families. #EqualPayDay https://t.co/9oPbQzKInH"
1245010051062005761,2020-03-31 15:28:21,"Every time President Trump refers to the ""Chinese virus,"" he is stoking anger and fear, which puts AAPI's at risk. My @MSNBC interview today on xenophobia and what more Congress can do to help us through this crisis. https://t.co/myKROvZBQT"
1245005790945173504,2020-03-31 15:11:26,"RT @aaldef: .@RepJudyChu tells @AymanM @MSNBC that at least 1,000 incidents of anti-Asian violence due to #coronavirus were reported in las…"
1244994136782123009,2020-03-31 14:25:07,"Going live on @MSNBC with @AymanM at ~10:30 am ET today to talk about coronavirus, anti-Asian xenophobia, and what else Congress needs to do to help our country get through this. Join me!"
1244741307182047233,2020-03-30 21:40:28,So grateful for friends and allies like you. Trump has tried to pit immigrant and communities of color against each other - but we have never been more united in standing up to xenophobia and bigotry. https://t.co/LoNglG1ftc
1244738649746538496,2020-03-30 21:29:54,"RT @RepBarbaraLee: Powerful words from my friends @RepGraceMeng, @RepJudyChu, and @RepMarkTakano. Calling coronavirus the “China Virus” isn…"
1244710372675911705,2020-03-30 19:37:33,"RT @CAgovernor: If you have a background in health care, your state needs you!
 
Medical providers, behavioral health professionals &amp; healt…"
1244697884529999872,2020-03-30 18:47:55,The President admitted on national TV today that part of his reelection strategy is by disenfranchising Democrats. In a democracy we should not fear letting the people – all the people – vote. https://t.co/6uXIwXrzGy
1244686021599641601,2020-03-30 18:00:47,FACT: Legal protections ensure that data collected during the Census is kept confidential and cannot be traced back to any individual. Census data CANNOT be shared with other government agencies or outside groups. Fill yours out today at https://t.co/jkiXym5hXB. #Census2020
1244665328895959042,2020-03-30 16:38:33,"RT @IAmAmnaNawaz: I asked about what #AsianAmericans in smaller, more rural communities - who don't feel empowered to report hate incidents…"
1244664231502450689,2020-03-30 16:34:12,"RT @IAmAmnaNawaz: .@RepJudyChu says their reporting tool has received 100+ reports a day of anti-Asian American incidents. That, she believ…"
1244627844506030080,2020-03-30 14:09:36,"Here's to all the women - especially women of color - who have been told their strength is anger or their determination is threatening, and who have been strong enough not to quit https://t.co/m6JQxfE8W6"
1244396483107082242,2020-03-29 22:50:15,"RT @nytpolitics: “These stereotypes have been here for decades,” Representative Judy Chu, Democrat of California, said. “They’re always kin…"
1243615916027531264,2020-03-27 19:08:34,"This bill isn't perfect and it isn't sufficient - we still must do more to support families during this crisis. But it's bipartisan, timely, and targeted and I'm proud that we are getting support and $$ to healthcare workers and families across the US https://t.co/sT7aR2lmKm"
1243605956094763009,2020-03-27 18:28:59,Our healthcare workers are putting themselves at risk to fight #coronavirus &amp; they deserve our help. That is why President Trump must use the Defense Production Act to immediately begin production on masks and ventilators. We cannot wait. #DefenseProductionActNOW #MasksNow https://t.co/gqa1V4uiSi
1243553719217795072,2020-03-27 15:01:25,"EPA's regulations are meant to keep people safe and healthy, particularly from respiratory illnesses. It's irresponsible &amp; unforgivable to use a pandemic as an excuse to make more people sick so oil companies can profit. https://t.co/xHrETMM6CM"
1243539784318046212,2020-03-27 14:06:03,"RT @CAPAC: It's not hard. Here are some concrete measures to take:
- Stop calling it the ""Chinese"" or ""Wuhan virus""
- Translate federal #CO…"
1243280008614940674,2020-03-26 20:53:47,Thank you @sethmoulton for taking the time to talk to me about this resolution and the Asian Americans who it impacted. I look forward to continuing our work together. https://t.co/bN3bLPQlah
1243253251853729794,2020-03-26 19:07:28,"Happy birthday to @SpeakerPelosi, a true leader! https://t.co/KE8DKtFHsG"
1243204466494619652,2020-03-26 15:53:37,"President Trump has refused to fill many high level gov't positions, because, in his words, ""We don't need all of the people. You know, it's called cost-saving."" He's also said, ""I'm the only one that matters."" But he's not, and we're all paying the price. https://t.co/gQOXFZFTNS"
