id,created_at,text
1247286770183651329,2020-04-06 22:15:14,"People in prison can't practice social distancing. 

How can you maintain proper hygiene without access to soap and water? 

We need to test people in prison. 

We need to protect high risk individuals. 

This is not that.
https://t.co/ZVlBZi1VB8"
1247167815720845312,2020-04-06 14:22:33,RT @lapublichealth: #SaferAtHome Mejores prácticas: Estar en casa no significa estar aislado de sus amigos y familiares. Tómese el tiempo p…
1247167801128706053,2020-04-06 14:22:29,RT @lapublichealth: #SaferAtHome Best Practices: Being at home doesn’t have to mean being cut off from your friends and family. Take time t…
1247167216321208321,2020-04-06 14:20:10,"No one should die in jail from COVID-19 because they couldn’t post a $1,000 bail."
1246884562820612096,2020-04-05 19:37:00,Leadership during an outbreak matters. https://t.co/T4BR7buN7v
1246855842223345665,2020-04-05 17:42:52,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1246296754162741248,2020-04-04 04:41:15,RT @AprilDRyan: Growing racial disparity in #coronavirus related illness and deaths. @aurnonline convo with @RepKarenBass about @TheBlackCa…
1246139263713976325,2020-04-03 18:15:27,"RT @CDCgov: Is someone in your home sick with #COVID19? Before eating or preparing food, make sure to wash your hands with soap and water f…"
1246129820129538048,2020-04-03 17:37:55,"Some, times in our lives, 
we all have pain,
we all have sorrow;
But, if we are wise,
we know that there's,
always tomorrow.

Lean on me.

Thank you Bill Withers for your voice, your words and your songs, which remind us in the end, joy, happiness and love will transcend time. https://t.co/qxueTFfFtn"
1245858122737934336,2020-04-02 23:38:18,We MUST ensure they receive the assistance they need if we want our public health to recover. 2/2
1245858027283988481,2020-04-02 23:37:55,"There are hundreds of thousands of immigrants in this country that are on the frontlines of this pandemic. 

They are in our hospitals, our factories, and our grocery stores. 

The latest stimulus leaves many of them out, especially our #Dreamers. 1/"
1245823110965837824,2020-04-02 21:19:10,RT @lapublichealth: #SaferAtHome Best Practices: Limit your trips out and offer to pick up essentials for neighbors. Less people out = flat…
1245771871007789056,2020-04-02 17:55:34,"It’s the beginning of the month.

Landlords in the City of Los Angeles are prohibited from evicting residential tenants during this emergency period if the tenant is unable to pay rent due to circumstances related to the pandemic.

Know your rights: https://t.co/kl63cJltyp"
1245734046279360512,2020-04-02 15:25:15,"Millions of people have lost their job in the past month, and with it - their health coverage. A special enrollment period could have extended the opportunity for them to seek out newly-needed coverage.

The President is incapable of feeling empathy for another human being. https://t.co/utQWQHSgG7"
1245490099221147653,2020-04-01 23:15:54,"RT @TheBlackCaucus: For the first time ever, the #2020Census is available online! Complete your household’s Census form safely from your ho…"
1245198892712570882,2020-04-01 03:58:45,"“We can’t seek achievement for ourselves and forget about progress and prosperity for our community... Our ambitions must be broad enough to include the aspirations and needs of others, for their sakes and for our own.”

Today, we honor a leader, an activist &amp; more - Cesar Chavez"
1245053786508406786,2020-03-31 18:22:09,"Today, on the one year anniversary of his death, we celebrate the life he lived and the spirit he left. 

The legacy of Nipsey Hussle endures. 
https://t.co/WzXh0WKf4D"
1245052244543836166,2020-03-31 18:16:01,"We still feel that love and we show it right back.

You can see our love for him on our clothes.

You can see our love for him in our work.

You can see our love for him in the murals on our walls throughout the neighborhoods of South LA. https://t.co/k4RGVLyd4R"
1245051825625194497,2020-03-31 18:14:21,"Nipsey Hussle was a visionary.

You can see the love he had for the community in his investments.

You can see the love he had for the community in his philanthropy.

You can see the love he had for the community in initiatives like @destinationshaw, which just broke ground. https://t.co/w4HL28MZ4Z"
1244611834256207873,2020-03-30 13:05:59,RT @TheBlackCaucus: .@TheBlackCaucus Chair @RepKarenBass discussing accessing the resources of the CARE Act in our community and the next s…
1244374010571436032,2020-03-29 21:20:58,"Focus on getting people their much-needed checks like Congress has ordered you to do. 

Focus on following the recommendations of the health professionals around you. 

Focus on coordinating an INTERNATIONAL coalition to address this crisis. 

Focus on doing your JOB."
1244373757717893125,2020-03-29 21:19:57,"Here’s an idea: 

Focus on getting our hospitals respirators. 

Focus on getting our medical professionals sufficient equipment. 

Focus on taking central command of resources so states don’t have to bid against each other for supplies."
