id,created_at,text
1247255597885652992,2020-04-06 20:11:22,Thank you @NYGovCuomo for asking the Trump Administration to take COVID-19 patients on the USNS Comfort. @MichaelJDowling was right about this last week - @USNavy and @DeptofDefense must allow the use of this ship for the fight against coronavirus. https://t.co/wM7OZZLCjv
1247194776233000960,2020-04-06 16:09:41,Thank you to those operating public transportation throughout this crisis and helping essential employees report for duty. https://t.co/q5rN3qeoxX
1246806347603226624,2020-04-05 14:26:12,"Local businesses mean so much to our community, and I will continue to fight in Congress to make sure they have continued federal support.  Please reach out to us at (516) 739-3008 or email NY04.SmallBusiness@mail.house.gov if you have questions or need assistance.
(4 of 4)"
1246806346474885122,2020-04-05 14:26:12,"Paycheck Protection Program (PPP) loans help small businesses keep their workforce employed during the crisis. Please note this program went live on Friday, and further guidance is still forthcoming. Find out more here: https://t.co/KXGZKCTaSN
(3 of 4)"
1246806345237647363,2020-04-05 14:26:11,"Economic Injury Disaster Loans (EIDL) are available for working capital to small businesses suffering from substantial economic injury as result of the coronavirus outbreak. Find out more here: https://t.co/76WMij7pPe 
(2 of 4)"
1246806344142852096,2020-04-05 14:26:11,Attention #NY04small businesses: Congress has authorized two new @SBAgov small relief programs for small businesses that are currently accepting applications. (1 of 4)
1246105612032921601,2020-04-03 16:01:44,Proud to lead this effort with @NewDemCoalition leadership to urge continued and comprehensive response to the coronavirus pandemic. https://t.co/oW0u8n87i5
1246082733950013440,2020-04-03 14:30:49,"Since day 1 we’ve known that Jared Kushner was nothing more than a product of nepotism. Entirely inexperienced, unqualified and ill-informed for the position he held. 

But during this crisis, he poses a direct threat to American lives. He needs to resign or be fired immediately."
1246058526486728706,2020-04-03 12:54:38,Thank you for your leadership @MichaelJDowling. The USS Comfort should be made available for the treatment of COVID-19 patients. https://t.co/oKjAt87BtU
1245800643912175617,2020-04-02 19:49:54,"Pleased the NYS 2021 budget closes the out-of-state gun loophole by prohibiting individuals from buying a firearm in NY if they committed a serious offense elsewhere.
 
This is especially important w/ gun sales rising during this crisis. 
 
Thanks @NYGovCuomo for your leadership!"
1245753613277958144,2020-04-02 16:43:01,"Some government services on Long Island have been disrupted by the coronavirus outbreak. See the link below for a comprehensive list. 
 
If you have questions or require assistance with a federal agency, please give my office a call at (516) 739-3008.

https://t.co/N07we768C6"
1245730361444904960,2020-04-02 15:10:37,Thank you to the postal workers and delivery people who are making sure essential products are still getting where they're needed throughout this crisis. https://t.co/wNTDEXrAK1
1245457462750257152,2020-04-01 21:06:13,"Just reaching out to wish you and your family good health &amp; safety.
 
My office is a resource for you. You can visit https://t.co/aocKEa0lYJ for the latest information or call us at (516) 739-3008 if you have any questions.
 
Please stay healthy, stay safe and stay positive! https://t.co/NUBnIk1YH2"
1245414508161630209,2020-04-01 18:15:32,"Today is #CensusDay2020. Filling out the #2020Census is an important and productive activity to do at home - and it takes less than 15 minutes on https://t.co/dptIWY8tDA. 
 
Long Island Counts! Be home. Be safe. Be counted. https://t.co/SOWZt3Ocie"
1245397872264216576,2020-04-01 17:09:25,"Our phones go everywhere with us, and they pick-up germs along the way.

Keeping your phone clean is another good practice to stay healthy and safe. https://t.co/U35ayHLMAn"
1245369959171215360,2020-04-01 15:18:30,"Despite the President refusing to reopen ACA marketplaces nationwide, NYS has opened a health insurance enrollment period thru April 15.

If you're uninsured or recently lost your coverage, you can find a quality, affordable plan for you &amp; your family through @NYStateofHealth."
1245339462248402944,2020-04-01 13:17:19,"A lot of us are feeling nervous and anxious right now. But from doctors to child care providers, people across our communities are stepping up and giving us hope. 
 
Reply to this post with someone who you know that is making a difference!"
1245183613580316674,2020-04-01 02:58:02,"This public health crisis is a reminder that no one should ever be denied health care or discriminated against simply for being themselves. 
 
That's why I'm proud to support the fight for trans rights and recognize today as #TransDayOfVisibility."
1245100722334699520,2020-03-31 21:28:39,"Nassau County is still accepting donations of medical supplies for local first responders and healthcare workers. 

More info below! https://t.co/b09ZdkHar2"
1245063830583074823,2020-03-31 19:02:04,"The IRS has announced that it will begin distributing direct payments to Americans in the next three weeks with no action needed by most people, other than some groups who typically do not file tax returns. 
 
Initial guidance can be found here: https://t.co/9O7plAeHDF"
1245038970028920836,2020-03-31 17:23:16,"REMINDER: If you see “extraordinarily inflated prices” on sanitary items, such as soaps or hand sanitizers, please email pricegouging@nassaucountyny.gov or call (800) 697-1220.
 
Thank you @NassauExecutive for cracking down on price-gouging during this crisis!"
1244996951042555904,2020-03-31 14:36:18,"Social distancing works. Staying home works.

Please keep following these restrictions and help save lives. We will get through this! 
https://t.co/ac2EBjwA5D"
1244986246109237248,2020-03-31 13:53:46,.@NorthportVAMC is hiring clinical staff to support treatment and care of veterans in New York State and New Jersey. Further information is below⬇️ https://t.co/R9oEy9ATD9
1244703940219940864,2020-03-30 19:11:59,"Our neighborhood restaurants have been among the hardest hit by the economic fallout of this crisis. However, many are still open offering takeout and delivery and finding other creative ways to serve Long Island customers. https://t.co/6agmK4MBkl"
1244683124543553544,2020-03-30 17:49:16,"My deepest condolences go out to the family and loved ones of Josef Neuman. It breaks my heart knowing his life came to an end as a result of such a senseless act of violence.

Even in difficult times, we must always speak out against bigotry and hatred. 
https://t.co/SFohHQdFFv"
1244671974284185608,2020-03-30 17:04:58,"We are forever indebted to every single doctor fighting this pandemic. Each day you put your lives at risk to keep the rest of us safe, and for that we will always be grateful. Thank you! #NationalDoctorsDay 
https://t.co/NvsNon3k1M"
1244611240661565440,2020-03-30 13:03:38,"My thoughts and prayers are with the friends and family of Joseph Lewinger, especially his wife Maura and three young children.

This is a sad reminder that COVID-19 can be dangerous to all ages. Please keep following CDC guidelines. 
https://t.co/MBEGzaYnUt"
1244415050108014592,2020-03-30 00:04:02,"It’s National Vietnam War Veterans Day. 

Today we say thank you to the Vietnam War veterans who served our nation with honor. #WelcomeHome"
1244374543428456448,2020-03-29 21:23:05,"Health care workers are true heroes. Thank you, thank you, thank you for your courage and determination in the face of this crisis. https://t.co/JL7CT0u9Sw"
1244293347939880961,2020-03-29 16:00:26,"Long Island programs to help people with Alzheimer's are going remote. Thank you to the local organizations working hard to make sure these important services continue. 

The article below lists resources for people with Alzheimer's and their families. https://t.co/xOIztfvOmh"
1244275098812588033,2020-03-29 14:47:55,"RT @NYGovCuomo: NEW: We will move our presidential primary to June 23rd.

Public health is our number one priority and we will carry out th…"
1244022235767201793,2020-03-28 22:03:08,We are incredibly grateful to all the emergency and medical personnel fighting this pandemic. We will keep doing everything we can to support you and keep you safe. THANK YOU! https://t.co/joAHwPHYrJ
1243962681813590016,2020-03-28 18:06:29,"La pandemia ha causado una carencia de la sangre donada en los EE.UU. Mucha gente no sabe si es seguro donar sangre. 

@NYBloodCenter tiene información sobre donar durante la crisis: https://t.co/vBUa2Re6cj"
1243959344070373379,2020-03-28 17:53:13,"The coronavirus pandemic has caused shortages of donated blood across the country, and many are unsure if it is safe to give. 

@NYBloodCenter has information about donating blood during this crisis: https://t.co/vBUa2Re6cj"
1243943567678156801,2020-03-28 16:50:32,Las escuelas en Nueva York estarán cerradas hasta al menos el 15 de abril. Puedes aprender sobre aprendizaje en casa y dónde recoger almuerzos escolares en este sitio: https://t.co/aocKEa0lYJ
