id,created_at,text
1247318216583589889,2020-04-07 00:20:11,"While I was sounding the alarm on #Covid_19, President Trump was encouraging companies to *increase* exports of medical supplies—as recently as the beginning of March. 

This and more in my new report on the Administration's catastrophic mismanagement ⬇️⬇️
https://t.co/8si6IYUzWM"
1247304432854937600,2020-04-06 23:25:25,"RT @OversightDems: In a recent interview w/ @voxdotcom, @RepKatiePorter said #oversight is one of the most important things Congress can do…"
1247280632323026945,2020-04-06 21:50:50,"Kids count! 👶👧🧒👦

Census Day was last week, but for those who still haven’t filled out their census forms, remember to count every person in your household—including young children. This will help ensure kids in our communities get the resources they need. https://t.co/fo6ce1SiVO"
1246658652834074624,2020-04-05 04:39:19,"Oversight 👏🏼 shouldn’t 👏🏼 be 👏🏼 political 👏🏼

This is a stark reminder of the importance of the Congressional Oversight Commission, which is not part of the executive branch. We have a shot at real accountability, but we need to act quickly. https://t.co/h4p2chwkY3"
1246199785348050946,2020-04-03 22:15:56,"The President should have started using the Defense Production Act weeks ago, across our economy. If he had, we wouldn’t be choosing between export bans and global partnership. Another unforced error that will cost lives. https://t.co/VVmoPb6gay"
1245789607465279490,2020-04-02 19:06:02,"Wellness Matrix Group told consumers their product was “FDA vetted and approved”—even
 though the FDA hasn’t approved ANY at-home COVID test. @CongressmanRaja and I have launched an investigation, but our work isn't done. I'm staying on the case and seeing this through. https://t.co/pDUkxYpGTy"
1245774361061187585,2020-04-02 18:05:27,"ICYMI: I am hosting a live virtual town hall on my Facebook page TODAY at 1:00PM PDT!

Head over to https://t.co/ZEUCod6rk4 to tune in 📺"
1245747411483594753,2020-04-02 16:18:22,"BTW, one of the reasons the already-too-high number of families in medical debt will skyrocket is because this Administration has failed to make COVID-19 *treatment* free for Americans who need it. Of course, the President continues to lie about this, too. https://t.co/hZoNxtN94C"
1245747408077836291,2020-04-02 16:18:21,"As this pandemic threatens to crush more and more Americans with medical debt, @CFPBDirector is pushing policies that put patients’ private medical information at risk. I’m following up to demand answers for American families—repeated sidestepping is simply not good enough. https://t.co/Zw0p7Yhsd2"
1245534681627537409,2020-04-02 02:13:03,"A message from my daughter Betsy and me for #CensusDay2020. Fill out your census, then RT to encourage your friends and family to do the same! #GetCounted

(I can confirm it’s quick, easy, and fun for the whole family 👩‍👧‍👦) https://t.co/iB0m10uLxZ"
