id,created_at,text
1246485237200273411,2020-04-04 17:10:13,"I’m on air with @randycorporon talking about China's involvement in the coronavirus pandemic.

Tune in to @710KNUS and listen live! https://t.co/HMnpoDWWjM"
1246162188504629249,2020-04-03 19:46:32,I joined a bipartisan group of legislators in a letter asking the FCC and DOJ to combat coronavirus-related scammers and protect the safety and welfare of all Americans. https://t.co/xRUh8nyoiS
1246152991486259201,2020-04-03 19:10:00,"The Chinese government has covered up its involvement in the coronavirus crisis since the beginning.

It is absolutely necessary that we lead the world community in making sure that China is held accountable in the future. https://t.co/gFp0ILsJ3g"
1246121018239967233,2020-04-03 17:02:57,"Rural Health Clinics and Critical Access Hospitals are on the frontlines of the #COVID_19 pandemic in #CO04. 

@SBAgov must take immediate steps to ensure CAHs and RHCs are eligible for loan programs so they can continue to serve the community and keep fighting the coronavirus. https://t.co/CKfms7wpG8"
1246086962185895943,2020-04-03 14:47:37,"Starting today, small business owners are able to apply for #PaycheckProtectionProgram loans to provide eight weeks of cash flow to small businesses who maintain their payroll during this emergency. 

Apply here 👇 https://t.co/eNs8a3b7JJ https://t.co/ds4er0hmRT"
1245771514588401674,2020-04-02 17:54:09,"Great news! #CO04’s own Aytu Bioscience is stepping up to the plate to provide healthcare professionals with #COVID_19 rapid test kits.

My staff and I have been working consistently with the FDA to approve these rapid tests and I’m pleased Aytu can finally get the ball rolling. https://t.co/hX8cmyQoNn"
1245702572855439361,2020-04-02 13:20:12,"The CCP’s irresponsible handling of the coronavirus and its false propaganda have worsened this global health crisis.

It’s time we as a Congress take a strong stand against China’s nefarious actions. 

https://t.co/GxqDGok9iJ"
1245385175799906308,2020-04-01 16:18:58,"#CO04: Today is #CensusDay. 

Don’t forget to fill out the census by going to https://t.co/l0b11JcUF3, it takes just a few minutes to complete.

After you fill it out, encourage your friends and family to do the same! https://t.co/jkyQakhExO"
1245368920745353219,2020-04-01 15:14:23,"If you or someone you know is stranded abroad due to #COVID_19, please reach out to my office for assistance. https://t.co/GlTtoUxWsm"
1245368918962823168,2020-04-01 15:14:22,"I have received word that Chris McLeroy of Castle Pines has made it home after being stranded in Peru for weeks.
 
Thankfully, Chris reached out to my office and we connected him with U.S. officials who got him on a plane back home.
https://t.co/GYJnxj3PpV"
1245366584656486400,2020-04-01 15:05:06,"RT @WeldCountyDA: Right now during the #COVIDー19 pandemic, scammers are looking to cash in on your vulnerability! DON'T GIVE IN.

Here are…"
1245327576857542656,2020-04-01 12:30:06,The United States and the rest of the world need to reconsider our relationship with China. https://t.co/od0UFyjien
1245025005370585089,2020-03-31 16:27:47,"""How can I volunteer to help during the coronavirus crisis?""

""What kind of assistance is provided for small businesses?""

""How do I file for unemployment?""

Please use my website as a resource for answers to any questions you may have about #COVID_19 ⤵️ https://t.co/s9yWFL2AC1 https://t.co/w0Fa7UVzEl"
1245022441606451200,2020-03-31 16:17:36,"RT @JudiciaryGOP: James Comey's FBI should be embarrassed. 
https://t.co/SHvhuDYXjE"
1244647147720630281,2020-03-30 15:26:19,"I’m proud to lead an effort requesting @realDonaldTrump and @VP reevaluate the threat that China poses to our economic and national security.

We must take steps to reduce our dependence on China and prioritize the American people today, tomorrow, and forever. https://t.co/SbWxcbvAIe"
1244632326564446208,2020-03-30 14:27:25,"Thank you to the selfless medical professionals who are on the frontlines of this national crisis.

Our country is forever grateful for the sacrifices you’ve made, I’m saying an extra prayer for you today.

#NationalDoctorsDay https://t.co/dnhQ9PI6ax"
1244020228125863936,2020-03-28 21:55:09,So where exactly is that $25 million carve out going? https://t.co/621J3Mc3Pi
1243607163760717826,2020-03-27 18:33:47,"Unfortunately, the CARES Act will harm our future generations in ways that the coronavirus never could — by drastically increasing our national debt by stuffing this bill with pork.

My full statement: https://t.co/POphGdmNQ3"
1243567485544280074,2020-03-27 15:56:07,"We must face the facts: This cure is far worse than the problem itself.

@realDonaldTrump has shown strong leadership, seeking to help struggling Americans. Congress must do the same, but we cannot do so at the expense of our children and grandchildren’s future. https://t.co/DrdBMwBORy"
1243537627086827520,2020-03-27 13:57:28,"Still, I’m finding policies that are straight off of the Democrats’ wishlist in this “coronavirus response” bill. 

Page 628 includes a provision that gives sanctuary cities access to $850,000,000 in law enforcement grants. https://t.co/VES4XkeXKl"
1243293364612669443,2020-03-26 21:46:52,"Doomsday-like predictions of #COVID_19 have created unnecessary panic and reactionary policy decisions. 

We need to instill confidence in the American people and hyperbolic reports like Mr. Ferguson’s are making matters worse. https://t.co/amrIBDNny6"
1242942063328595976,2020-03-25 22:30:55,"Oh, great. There’s a special carveout for union bosses too. 

In the bill’s current state, mid-sized businesses won’t receive assistance if they oppose any union organizing efforts. https://t.co/at92tpTv5R"
1242935268551864320,2020-03-25 22:03:55,"Funding for “Washington’s Opera House” has no place in a coronavirus response bill.
 
We need to focus on policy that will instill confidence in the American people and get our economy back up and running. https://t.co/wykYeD0eHb"
1242904288021696512,2020-03-25 20:00:48,"This “coronavirus response” package has special carveouts of $75M for public broadcasting and $50M for museums/libraries. 

That’s $125M for pet projects instead of for struggling families and businesses. 

Dems are again exploiting a crisis to fund their liberal wishlist. https://t.co/l7hEaN2c6w"
1242835843368333314,2020-03-25 15:28:50,"Relying on unfriendly nations hinders our ability to respond in a crisis. 

Moving forward, we must take steps to reduce our dependence on China and prioritize the American people today, tomorrow, and forever.
https://t.co/i3KbEL07Gz"
1242809443047428098,2020-03-25 13:43:56,"What I’m reading this morning ⬇️
https://t.co/3HXjVuCutE"
1242569651390943232,2020-03-24 21:51:05,"RT @USDA: To those who:

Do
Dig
Sow
Milk
Pick
Plow
Herd
Lead
Feed
Care
Grow
Plant
Shear
Water
Teach
Ranch
Shovel
Inspire
Irrigate
Manage
Ha…"
1242551642727288832,2020-03-24 20:39:31,"Nothing can come between me and my homemade lasagna. 

The hunt was totally worth it to be able to cook a birthday dinner for my daughter. Happy Birthday, Kaitlin! https://t.co/Nz83zw0FkO"
1242524525817978882,2020-03-24 18:51:46,"I’ve heard from small business owners across #CO04 and they need our help. 

I’m happy to announce that @SBAgov has granted my request and will offer low-interest disaster loans to small business owners in Colorado. 

🚨 Apply here: https://t.co/YtwCSvWRpU"
1242498723445460992,2020-03-24 17:09:14,"I’ve said this since Day 1: We cannot let fear push our nation over the brink. 

Authoritarian limits on business activity are hurting American workers &amp; small businesses. We need to get healthy people back to work &amp; focus resources on the most vulnerable. https://t.co/erYV2p1SBr"
