id,created_at,text
1247158884529254400,2020-04-06 13:47:03,Small business owners - do you have questions about @SBAgov loans? We’re here to help. Join us today at 5PM for a webinar to discuss the help available to small business owners in response to COVID-19. Register here ➡️ https://t.co/2tkpCjG6Oe https://t.co/jSjxowMbXZ
1246177651389325312,2020-04-03 20:47:59,"On Monday, April 6, at 5PM, I'm hosting a webinar for local small businesses to discuss resources available under the SBA and the CARES Act. I want to make sure Oklahoma small businesses have the tools they need to stay afloat. To participate RSVP here: https://t.co/p1mAX21Abg https://t.co/C9pCYiIhtE"
1246050568856092672,2020-04-03 12:23:00,"Any future stimulus package must be targeted towards helping struggling Americans get the health and economic resources they need. No political pet projects! We must direct aid where it's needed, we can't let partisanship get in the way. https://t.co/ejkaOECahD"
1245732715619594240,2020-04-02 15:19:58,"I'm proud to be nominated for this year's Constituent Service #DemocracyAwards! It's an honor to deliver help and support for constituents in Oklahoma's 5th District. If you need help with a federal agency, call our office at (405) 602-3074. https://t.co/VoDfLq1hvZ"
1245530863338749952,2020-04-02 01:57:53,Updated link to the Treasury's release: https://t.co/yCE2WERkD6
1245523936487641089,2020-04-02 01:30:21,"I’m happy to see @USTreasury making the right choice: Social Security recipients will receive economic impact payments automatically, no need to file an additional return. Thank you to those who joined my call for timely assistance for seniors and vets! https://t.co/YIPLw0JX3H"
1245460948132990977,2020-04-01 21:20:04,"I agree with the Governor, Mayor Holt, and the state's Medical, Hospital and Nursing Associations - as well as science - that sheltering in place is the way we meet the Oklahoma Standard and #flattenthecurve.

Stay safe, and for your neighbors and family, stay at home."
1245414993383784451,2020-04-01 18:17:27,You can also complete your Census by calling (844) 330-2020 or by mail.  #shapeyourfuture
1245414990888210433,2020-04-01 18:17:27,"For the first time ever, the #2020Census is available online! You can complete your Census form by going to https://t.co/KrgTJ51qyv. The Census is quick, easy, and makes sure that our communities receive funding for things like schools, hospitals, and roads. https://t.co/Tos3oU5xP2"
1245403577956339712,2020-04-01 17:32:06,"I'm calling on the IRS to make it easier for seniors, disabled vets, and others not required to file taxes to receive stimulus payments. There's no reason these Americans should have to file a return when the government already has their information!
https://t.co/xMKrnbq73j"
1245034686088458243,2020-03-31 17:06:15,"@okchealth and Variety Care have teamed up on a hotline for the uninsured and those without a primary care provider. If you are experiencing symptoms, call (405) 425-4489. https://t.co/idR2YdxMhT"
1244646789380222976,2020-03-30 15:24:53,Oklahomans need and want answers during this time of uncertainty. Every day on Facebook Live I’m answering questions from Oklahomans about the COVID-19 health and economic crisis and the federal response. Ask your question at https://t.co/0DSd4gSTkc
1243950443937566721,2020-03-28 17:17:51,My thoughts and prayers are with Dr. Coburn’s wife Carolyn and their family during this this time of loss. https://t.co/IdSxjipEhk
1243627887649005569,2020-03-27 19:56:08,"Oklahomans need relief now. Though imperfect, today’s bipartisan deal focuses support and relief where it is most needed and takes immediate and necessary action to address the health and economic crisis we face. #CARESActStatement https://t.co/vYKPNNFZGW"
1243240730103107584,2020-03-26 18:17:43,@KOCOMaggie @CNN @SenatorLankford @JimInhofe Confirmed!
1242848174110359557,2020-03-25 16:17:50,"This deal is a bipartisan compromise. No one got everything they wanted, but the bill is a step forward in our work to deliver relief for workers, businesses and families. We have more work to do. We must pass relief now to help to struggling Americans."
1242848173258932225,2020-03-25 16:17:50,"Earlier this week, I was disappointed by partisanship and unproductive stimulus proposals. As a member of the bipartisan @ProbSolveCaucus, I will continue to put solutions ahead of party, and urge both sides to come together to respond to COVID-19."
1242848172516524034,2020-03-25 16:17:49,"Health care workers are at the front lines of this fight. I'm happy to see a ""Marshall Plan"" for our nation's health care system in today's deal, including a historic investment in hospitals, protective equipment, ventilators, testing supplies and new construction."
1242848171841269761,2020-03-25 16:17:49,"The bipartisan deal reached today takes immediate action to address the health and economic crises facing our nation. Oklahomans need relief now. This deal would deliver direct payments to Americans, expand unemployment benefits, and help businesses of all sizes."
1242568610515570688,2020-03-24 21:46:57,Thank you Bill for the joy you brought to Oklahoma - you will be missed. https://t.co/FIFh1mae53
1242539631041806336,2020-03-24 19:51:47,"More than half of Oklahoma's workforce is employed by small businesses. I introduced the Too Small To Fail Act to get our small businesses and nonprofits the support they need to keep their lights on, pay their bills, and support their workers. Here's how my bill works: https://t.co/jYCW1iuQbJ"
1242525386921119745,2020-03-24 18:55:11,"Any stimulus bill must be laser focused on getting workers, businesses, and families the help they need. It's not time to score political points with unrelated provisions that get us nowhere. We need both parties to come together on a bipartisan package for the American people."
1242455942341550081,2020-03-24 14:19:15,"As we work to combat COVID-19 it is critical that Tribal Nations have the tools to protect their communities and save lives. This week, I introduced a bipartisan bill to provide Tribal Nations access to the Strategic National Stockpile of medical supplies. https://t.co/dHaOhhejJ7"
1242440680854695946,2020-03-24 13:18:36,"Small businesses: @OKcommerce is hosting an instructional conference call on SBA Disaster Loans today at 2 PM.

https://t.co/qKmtzr8b6a"
1242140817655021577,2020-03-23 17:27:03,Our small businesses are job creators and engines of opportunity. When they suffer so do our workers and families. I'm proud to introduce the Too Small To Fail Act with @RepChrisPappas. Our bill would provide immediate grant assistance and zero interest loans to small businesses. https://t.co/l6DJoIFCSG
1242128447616450562,2020-03-23 16:37:54,"If you are self-employed, this bill provides a refundable tax credit equal to 100% of your sick-leave equivalent amount plus 67% of the sick-leave equivalent amount for taking care of a sick family member or taking care of your child following the closing of your child’s school."
1242128445821288455,2020-03-23 16:37:53,"During last night's tele-town hall, I heard many questions about paid leave in the Families First Coronavirus Act. Here's a graphic with more details. This legislation was a bipartisan compromise. We have more work to do and I am fighting for those left uncovered by this bill. https://t.co/oKWjxrS1ZJ"
1241895208196898816,2020-03-23 01:11:05,"A big thank you to the health experts who joined tonight’s telephone town hall and to the 6,000 Oklahomans who dialed in to hear the latest on our response to COVID-19. I will continue my fight to get answers and resources for people in our state."
1241757722095357952,2020-03-22 16:04:46,"Today at 5PM CT join me for a COVID-19 Telephone Town Hall. I'll be hosting the town hall with local health experts to answer your questions and discuss the response to the COVID-19 pandemic. To join, stream live on our website at https://t.co/Tz9zS4y6dU or dial (855) 962-1157."
1241743053041405953,2020-03-22 15:06:28,"Two weeks ago we passed emergency legislation including health funds for Tribal Nations. HHS only just released those funds after a bipartisan letter from members including @RepMullin and myself. A step forward, but we must continue to hold this Administration accountable. https://t.co/0GJqunKGAN"
1241727529171460096,2020-03-22 14:04:47,Small business disaster assistance loans are now available in all 77 counties in Oklahoma. Small businesses impacted by COVID-19 are eligible to apply for assistance with SBA here: https://t.co/Kuhx1AJqFC
1241061811652366336,2020-03-20 17:59:28,We need to make sure the funding we passed in the Families First Coronavirus Response Act gets to the people who need it. Today I stood with lawmakers from both parties urging the Administration to distribute funds to Tribal Nations fighting to address the COVID-19 pandemic. https://t.co/fj3YqezAIJ
1240763789584277505,2020-03-19 22:15:14,"COVID-19 is disrupting our lives and our communities in many ways, including the ability to make ends meet for many Oklahomans. We are all in this together. As I fight to deliver help and answers, I want to hear your story and the challenges you’re facing. https://t.co/B1labu0sUf"
1240680905649336320,2020-03-19 16:45:53,"To join the telephone town hall, you can sign up to receive a call at the start of the town hall at https://t.co/mOs1NhoJIY. Or, Sunday at 5 PM you can dial (855) 962-1157 to join or stream the event on my website, https://t.co/mOs1NhoJIY."
1240680904185589760,2020-03-19 16:45:52,"This Sunday, March 22, at 5PM I will be hosting a Telephone Town Hall with medical professionals to share the best information about how to protect yourself &amp; your community in the wake of COVID-19. Participants will have an opportunity to ask questions during the tele-town hall. https://t.co/OdJ6U4qwNF"
1240606349282537472,2020-03-19 11:49:37,"COVID-19 has disrupted lives across Oklahoma. After contact with Rep. Ben McAdams last week, I am going into a precautionary two-week self-quarantine at my doctor’s advice. I will continue my work to deliver answers and resources to Oklahomans. We are all in this together."
1240386598652588032,2020-03-18 21:16:25,"BREAKING: The Senate has passed the bipartisan Families First Coronavirus Response Act. People need access to testing, paid leave, and food aid, this bill takes action to deliver help now. We still have work to do to support our communities, but this is an important step forward."
1240345816872693760,2020-03-18 18:34:21,RT @OkCountySheriff: Effective immediately Sheriff PD Taylor has suspended residential eviction service due to the ongoing #COVID19 health…
1240285571941007369,2020-03-18 14:34:58,Four days ago the House passed bipartisan legislation to provide free testing for everyone in the U.S. who needs it and paid leave for 87 million U.S. workers. It's time for the Senate to act. Let's get this legislation signed into law and get help to struggling Oklahomans.
1240024199244189699,2020-03-17 21:16:22,"RT @cityofokc: #OKC Mayor @davidfholt will modify the proclamation of a state of emergency to order all bars, gyms and theaters to close, a…"
1239689528165765124,2020-03-16 23:06:30,"RT @oksde: Vote 4-0, motion carries. Oklahoma public schools are closed March 17-April 6 due to #COVID19. #oklaed"
1239625659170918402,2020-03-16 18:52:42,"Please note, this report is strictly for documenting economic injury to small businesses and private/non-profit organizations related to COVID-19, it is not an application for assistance."
1239625658327797764,2020-03-16 18:52:42,Is your small business being hit hard by the economic impact of COVID-19? If so please take a moment to share your information as state and local officials conduct an assessment of economic injury: https://t.co/BNpoBwNPml
1239612095215349760,2020-03-16 17:58:49,Veterans: @DeptVetAffairs has a new #COVID19 page on their website to update veterans on the latest information. https://t.co/PopFeRYEaV
1239348726805803008,2020-03-16 00:32:17,Thanks to everyone who joined us in our fight for water access and thank you to Mayor @davidfholt and the City of Oklahoma City for delivering water to those in need. We are all in this together. #1OKC
1239348725295788032,2020-03-16 00:32:16,The Mayor’s Office has announced that Oklahoma City will temporarily suspend all water shutoffs for OKC residents as we respond to the COVID-19 public health emergency. Thousands more families will now have access to running water and can wash their hands and protect themselves.
1239206589128675328,2020-03-15 15:07:28,Talking to our kids about COVID-19 can be challenging. Here’s a great resource from @PBS to help you navigate good health practices with little ones. https://t.co/DpOZJG2dBV
1238862708826673160,2020-03-14 16:21:01,I am proud to see Members of both parties work together in our response to this public health emergency. The coronavirus does not distinguish between Republicans and Democrats. We must speak with one voice and work together across the aisle to deliver relief.
1238862707987755008,2020-03-14 16:21:01,We still have work to do to address this public health crisis and its economic impact. We must respond to a lack of access to water for many residents in OKC and provide oversight to ensure free testing kits are put into action quickly and efficiently by this Administration.
1238862707031449600,2020-03-14 16:21:00,"We must provide relief now for Oklahomans whose hours have been cut, who have no access to testing, for those who have children sent home from school, and for Oklahomans struggling to put food on the table. This bill is a first step towards meeting those needs."
1238862706163298307,2020-03-14 16:21:00,"Last night, I worked with lawmakers from both parties to pass the bipartisan Families First Coronavirus Response Act. This bill delivers help for those hardest-hit by the spread of COVID-19 and the associated economic impact."
1238839090793021441,2020-03-14 14:47:10,I encourage all Oklahomans to take the precautionary measures necessary to protect our community and keep up-to-date on the latest information from @CDCgov and @okchealth.
1238839090067509248,2020-03-14 14:47:10,"Staff in both offices will continue to work full-time for constituents of OK’s 5th District. Our offices will continue to receive and respond to phone calls, provide casework assistance, answer correspondence, and hold meetings via telephone and video-conference."
1238839085676052482,2020-03-14 14:47:09,"In light of public health concerns, and in accordance with guidelines from the Centers for Disease Control, my offices will implement remote work measures to mitigate the risk of COVID-19 spread. https://t.co/26tpdjclbK"
1238483510047932416,2020-03-13 15:14:13,Happening now: a COVID-19 round table with experts and officials in Oklahoma City. I’m joining by video as we prepare for votes in Congress. Follow along here: https://t.co/8HWXcZHMTs https://t.co/LLRrgxhppy
1238271514736234501,2020-03-13 01:11:49,"I am encouraged by the indication that Oklahoma City may temporarily turn water back on for residents experiencing a water shut off. To prevent the spread of illness, we must provide all Oklahomans with access to water. Everyone should be able to wash their hands regularly."
1238174149178163200,2020-03-12 18:44:55,"As a 4th generation Girl Scout, I was shaped by scouting like so many girls and women across the country, from my great grandmother to my grandmother to my mother. Thank you to the @girlscouts for giving so many girls the courage, confidence and character to pursue their dreams. https://t.co/mcJs6NNHGB"
1238174147932557312,2020-03-12 18:44:55,"#HBD to the Girl Scouts!! Today I introduced a bipartisan bill recognizing the @girlscouts for their work to empower America’s young women to be leaders, risk takers, problem solvers, and go-getters. Girl scouts make the world a better place. 108 years strong!! https://t.co/5CdgK7SFbP"
1238166713935503362,2020-03-12 18:15:23,"For more info on COVID-19 and how to prevent illness, please visit https://t.co/DFaxTbBebv and https://t.co/YTvwUyrNhk. If you have questions, you can call the Oklahoma State Department of Health Community Hotline at (877) 215-8336, Monday-Friday from 9AM-4PM."
1238166712878608385,2020-03-12 18:15:23,"Remember the ABCD's of illness prevention:
A - Avoid sick people
B - Be sure to wash your hands
C - Cough into your elbow
D - Don't touch your face"
1238166710986911746,2020-03-12 18:15:22,"In light of public health concerns, and in accordance with best practices from the Centers for Disease Control, we are cancelling Saturday's Tribal Community Town Hall in Shawnee. The safety and well-being of attendees is my highest priority. https://t.co/jEHVmb2wTE"
1238130396518367234,2020-03-12 15:51:04,Any stimulus package Congress considers must help those Oklahomans who are most in need. Keeping water on and giving everyone access to wash their hands regularly is a critical step we can take to increase healthy practices in our communities. https://t.co/vHNJBBAaDE
1237952924921315330,2020-03-12 04:05:52,"We are monitoring and coordinating with local and state officials on COVID-19 in OKC. For updates locally, follow @okchealth and check https://t.co/pXiacaguBB. The @CDCgov also provides information on how to protect yourself and your community at https://t.co/feRVbJUXxO"
1237952924170555392,2020-03-12 04:05:51,"Tonight there was a report of a Jazz player who tested positive for COVID-19. Our response to this crisis cannot be partisan. It must be based on information and transparency. It’s the OK standard: no one gets left behind, everyone gets the help they need."
1237867009163046912,2020-03-11 22:24:28,There’s a right and wrong way to keep a check on the Administration and make long-term security decisions. Partisan politics is the wrong way. Using our constitutional authority to set clear and strategic boundaries about how and when Armed Forces are used is the right way.
1237867007967559683,2020-03-11 22:24:27,"The AUMF defines where and when Armed Forces can be used, but the last time Congress passed an AUMF was in 2002. We must update existing AUMFs to account for current security threats."
1237867006814064640,2020-03-11 22:24:27,My vote today on the Kaine War Powers Resolution was not a go-ahead for the President to engage in any military conflict. I want to see both parties work together to pass an updated Authorization for the Use of Military Force (AUMF).
1237835510011301888,2020-03-11 20:19:18,"Today I cosponsored legislation to deliver paid sick leave to workers diagnosed with coronavirus or told to quarantine at home. As we fight this public health crisis, we must give Oklahomans the tools they need to protect themselves and their communities. https://t.co/KCNp6PRP38"
1237763114474582019,2020-03-11 15:31:37,I invite you to join us and our expert panelists at the Citizen Potawatomi Nation Cultural Heritage Center from 1-3 PM. All are welcome!
1237763113262501888,2020-03-11 15:31:37,"This Saturday, March 14, I am hosting a Tribal Community Town Hall in Shawnee to discuss the critical issues impacting Tribal Nations. This dialogue will help us better recognize and honor the sovereignty of Tribes and uphold our federal trust obligations. https://t.co/ktWwkYbYtb"
1237449307307102209,2020-03-10 18:44:40,It's been one year since I voted to pass #HR1 - an anti-corruption clean elections bill to empower American voters over big-money donors. Our democracy should always put people first. Now it's time for the Senate to take action and pass the #ForThePeople Act! https://t.co/kLuBfIfZXD
1237369575282479106,2020-03-10 13:27:50,And Oklahoma City is glad we've got you @mynameisJabee https://t.co/PTguH8YXvD
1237135905300905986,2020-03-09 21:59:19,"Remember the ABCD's of illness prevention:

A - Avoid sick people
B - Be sure to wash your hands
C - Cough into your elbow
D - Don't touch your face

For more info on how to prevent illness visit https://t.co/LuUUft8lPR."
1237135903375724544,2020-03-09 21:59:18,"This weekend, we hosted a health care town hall with local public health officials. I will continue my fight to push for a coordinated, fully-funded, whole-of-government response to #COVID19. https://t.co/SZmP6DYjLg"
1235334722957561858,2020-03-04 22:42:04,"Today’s bipartisan emergency funding bill will deliver critical support that experts and medical teams need to respond to the coronavirus. This is a step forward, but I will keep fighting to make sure Oklahomans have the info and access to care they need to protect themselves!"
1235275819213377538,2020-03-04 18:48:00,I've heard from too many Oklahomans forced to choose between putting food on the table and affording prescription medications. We can't allow people to fall through the cracks of our health care system. The Senate must take up the Lower Drug Costs Now Act. https://t.co/wCz57erVGf
1235252003296751617,2020-03-04 17:13:22,"Sadly Larch-Miller died the day after her famous speech in 1920, and didn’t live to see Oklahoma’s ratification 26 days later. Larch-Miller was inducted into the inaugural class of the Oklahoma Women’s Hall of Fame."
1235252001832828933,2020-03-04 17:13:21,"This #WomensHistoryMonth, we recognize Aloysius Larch-Miller, a suffragette and women’s rights activist from Shawnee best known for her speech which led to Oklahoma’s ratification of the 19th Amendment. https://t.co/nx2WG7lokU"
1234968329653301249,2020-03-03 22:26:09,"The NASA Authorization Act is the product of expert testimony and bipartisan teamwork. I'm proud to announce the endorsement of Oklahoma's own General Thomas P. Stafford, a #NASA astronaut and pioneer in space. Read Gen. Stafford's endorsement here: https://t.co/hbsGoeKhDb https://t.co/VdI3Zt3jdj"
