id,created_at,text
1247253786206310400,2020-04-06 20:04:10,"I’m praying for our friend @BorisJohnson, and everyone with this terrible virus.  We are all in this together, and America and England stand together."
1246909424372977664,2020-04-05 21:15:47,"TAKE IT BACK, DANA!! https://t.co/Uj7prh9l2P"
1246115247943036928,2020-04-03 16:40:01,"There’s a lot of news &amp; misinformation out there on #COVID19 &amp; it can be really overwhelming. To help, I've made a #coronavirus resource page on my website &amp; will continue to share important updates. We are #InItTogether &amp; we WILL get through this. https://t.co/QQgz4fdidl"
1246112711341211648,2020-04-03 16:29:56,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1245687844846346240,2020-04-02 12:21:40,"While the rest of the world comes together to take action &amp; help stop this global pandemic, the Communist Party of China continues to cover-up its origin &amp; spread conspiracy theories rather than step up &amp; share with the world what they know about the virus."
1245447030593503232,2020-04-01 20:24:46,"Great news! @WhiskeyAcres is back to work, restarting their production on making hand sanitizer for our local health facilities. #IL16 #InItTogether https://t.co/q8zU9d2uGk"
1245428957635379200,2020-04-01 19:12:57,"RT @WCMY: Cong. Kinzinger is concerned about what the corona virus relief bill will do to the national debt, but he says it must be done to…"
1245428567686733824,2020-04-01 19:11:24,"RT @rrstar: ""We can and will rise to the occasion and serve as an example to the rest of the world as we utilize our ingenuity, work ethic…"
1245055110759305217,2020-03-31 18:27:25,Get well my friend. https://t.co/fkSGvYkgB0
1245043700264251392,2020-03-31 17:42:04,@nuclear94 Nice work!
1245035517730750464,2020-03-31 17:09:33,"The #2020Census is important to determine funding for our communities, especially in times of crises like we’re facing now. https://t.co/bEjZ4quFkN

The survey is quick &amp; easy to complete, so fill it out today! Learn more at the @uscensusbureau website."
1244971600954482689,2020-03-31 12:55:34,RT @WashTimes: Several Chinese state media outlets in recent months touted the virus research on bats and lionized in particular a key rese…
1244656749279395841,2020-03-30 16:04:28,"To the men &amp; women on the front lines of this global health crisis, we thank you. #NationalDoctorsDay is a way to share our unwavering gratitude to the medical professionals in #IL16 &amp; across the country who are dedicated to saving lives &amp; fighting #COVID19. #InItTogether https://t.co/krOZvoDhtp"
1244602746965295105,2020-03-30 12:29:53,"RT @DailyCaller: Chinese Markets Reopen — And They Still Sell Bats, Dogs And Cats https://t.co/tJ204omZrb"
1244602575921598465,2020-03-30 12:29:12,"RT @Hagstrom_Anders: How many stories did we have to read this week about how ""China is positioning itself as the new global leader""? https…"
1244277430224904192,2020-03-29 14:57:11,RT @newsmax: 80% of virus test kits from China sent to Czech Republic have resulted in faulty results https://t.co/3GqGKt1FO6 https://t.co/…
1244272771338829826,2020-03-29 14:38:40,"At a time when companies are stepping up to help their fellow Americans, @US_FDA is putting up roadblocks. This is not the time to change the rules &amp; prevent great distilleries like @WhiskeyAcres in #IL16 from providing a product so urgently needed. https://t.co/wQAvGkL64M"
1243926264668393473,2020-03-28 15:41:47,"Our region is going to be hit by severe storms today, #IL16. Be prepared, stay aware of changing weather conditions @weatherchannel @NWSChicago, know where to seek shelter, and please stay safe. More tips from @ReadyIllinois here: https://t.co/Rf8VGYispY"
1243919131642077184,2020-03-28 15:13:26,"RT @NWSChicago: Severe storms likely today across the area this afternoon and evening. Large hail, damaging winds, and tornadoes are all po…"
1243628957557194752,2020-03-27 20:00:23,"Proud to see the House pass #CARESAct by voice today--a #coronavirus relief effort to save countless lives &amp; our economy. These are trying times, but we're #InItTogether &amp; the sacrifices we make now will put us on a stronger path to a brighter future. https://t.co/qlNSZN6zcR"
1243628586159964163,2020-03-27 19:58:55,RT @ABC7Chicago: Having difficulty filing for unemployment in Illinois? Try these tips during the coronavirus crisis https://t.co/kHzEnO2o3…
1243218252299489281,2020-03-26 16:48:23,"American workers need relief—and not being able to access the #IDES website 💻 or get through to their hotline ☎️ is unacceptable. While I understand the surge happening, the state needs to get a handle on this with the resources they’ve received from the federal government."
1242984824614391808,2020-03-26 01:20:50,"No family should have to endure what the Levinson’s have these last 13 years. Bob Levinson was an American hero &amp; it’s shameful that he was left behind, wrongfully held by the Iranian regime. I stand w/ Bob’s family in seeking justice, starting w/ the swift return of his body. https://t.co/ECTvYIJzVh"
1242846706611433473,2020-03-25 16:12:00,"Wishing a very happy birthday to my bride, Sofia! 🎉 In five weeks of marriage, we're proving you CAN survive isolation together. 👍 Clearly, I'm a very lucky man. Cheers to my wife! https://t.co/G014bwBnVv"
1242818641302822912,2020-03-25 14:20:29,"RT @Joliet_HN: Kinzinger: COVID-19 relief should help rural hospitals, combat misinformation https://t.co/X9uCioaxOW"
1242794272409206786,2020-03-25 12:43:39,"RT @DeptofDefense: Today is National #MedalofHonorDay, a time to remember the 3,500+ heroes who received the nation’s highest award for val…"
1242618150136483841,2020-03-25 01:03:48,"Our agriculture community works tirelessly to provide for American families. In the midst of a global health crisis, they continue to be our rock. On #NationalAgDay &amp; every day, we celebrate our farmers, ranchers, producers, &amp; food suppliers in #IL16 &amp; across the country. https://t.co/iJKKTGG1rf"
1242587686298419200,2020-03-24 23:02:45,"Heroes don’t choose to be heroes, but when circumstances call and they run into danger, they earn that label.  These are the moments we realize our medical professional have been heroes all along.  Thank you!"
1242563769160609792,2020-03-24 21:27:42,Great phone call with @A_Talakvadze about #Georgia and their fight against #covid19 as well as economic challenges we will all face.  Our friendship and bond remains as strong as ever. https://t.co/3HQZkhflLE
1242517744584704001,2020-03-24 18:24:49,"RT @marcorubio: #AmericansStuckInPeru is due to lack or urgency by some in mid-level of @StateDept 

We didn’t need you to “track”this,we n…"
1242476468069941249,2020-03-24 15:40:48,"“Do Democrats even care?” That’s a good question, @WSJ. Hard to say when you’ve got @SpeakerPelosi holding a bipartisan #COVID19 relief bill as her own political hostage. https://t.co/JKiOcclDZN"
1242476427066388480,2020-03-24 15:40:38,"RT @fema: ⚠ Due to the large amount of speculation regarding #COVID19, this is a reminder to rely on OFFICIAL sources for accurate informat…"
1242476018901889024,2020-03-24 15:39:01,RT @RepJimBanks: Proud to work with @SethMoulton to introduce a bipartisan resolution in the House today that condemns the Chinese Communis…
1242224805400715265,2020-03-23 23:00:47,Thanks Dr. Brito!  We appreciate all your work and sharing this vital information with us! https://t.co/g7dyQ0YtQX
1242121481968062464,2020-03-23 16:10:13,"The Senate must act on the #CARESAct now. This is not the time for political posturing. This is a time for action. We must protect the critical healthcare infrastructure providing care within our communities, including rural areas. #COVID19 https://t.co/kNxXwUhVWw"
1241860771195367426,2020-03-22 22:54:15,"My prayers for @MittRomney @RandPaul and every American facing this virus.  No petty shots please, until this all passes. https://t.co/LMRsODJ9Zp"
1241487991325024257,2020-03-21 22:12:57,"RT @rrstar: ""There is a need in our community."" https://t.co/o0nFLrsmHz"
1241154187154599937,2020-03-21 00:06:32,"RT @SenatorRezin: Under this order, many things won’t change. You’ll still be able to leave your house to go to the doctor, buy groceries,…"
1241135695542079490,2020-03-20 22:53:03,"For more information on this order, please visit my website for a FAQs from the Governor's Office. The PDF Fact Sheet can be found under 'Illinois Response' on my 'Coronavirus Information' webpage here: https://t.co/QQgz4fdidl"
1241112827638829057,2020-03-20 21:22:11,"The spread of the #coronavirus is very serious, and it needs to be contained. I know it’s not what we want to do, but a shelter in place is what we NEED to do—especially as we learn more about #COVID19. This is the right call, folks. Staying home WILL save lives. https://t.co/mR0HNV1cLO"
1241075485511225344,2020-03-20 18:53:48,"This week, I’ve worked with colleagues across the aisle to take action on issues related to #Covid_19:
📝 to @StateDept @USDA on visas for ag workers
📝 for @SBAgov emergency💰
📝 to @HHSGov @GovPritzker on PPE &amp; Medicaid
More info on these &amp; others here: https://t.co/QQgz4fdidl"
1241024228104773634,2020-03-20 15:30:07,"Thank you to all those on the front lines who are working tirelessly—risking their own lives—to keep us stocked, safe, and healthy - you are critical to our fight against the #coronavirus. #IL16 #InItTogether https://t.co/pCMwNwF5ra"
1241023302988111872,2020-03-20 15:26:27,"RT @HouseCommerce: MORE GOOD NEWS: Nearly 400 companies have pledged to #KeepAmericansConnected. @FCC 

This is critical as Americans acros…"
1241003364105760769,2020-03-20 14:07:13,There are many sick Americans today because #Chinahidthevirus
1240687863978536960,2020-03-19 17:13:32,"HEADS UP! These text messages are FAKE and should NOT be clicked on. Disturbing to see such spam efforts trying to take advantage of people during this pandemic. Stay vigilant, everyone. #InItTogether https://t.co/yvWY228KF0"
1240656530627874818,2020-03-19 15:09:01,"Dec 10: first COVID19 victim
Dec 31: Docs post on internet, promptly arrested by China. China orders destruction of samples.
Jan 21: First mention by China in China Daily newspaper
Jan 31: US travel restrictions

For two months, #Chinahidthevirus"
1240631961540067331,2020-03-19 13:31:24,@steven_maines German.  Why do you ask?
1240390306295676928,2020-03-18 21:31:09,"interesting study.  It’s not about race at all, it’s about holding a foreign government accountable for actions that cost lives and money. https://t.co/ZxYqo4bshw"
1240372237879959553,2020-03-18 20:19:21,"RT @SenateGOP: ✓ PASSED: The Families First Coronavirus Response Act

Here's what it includes ⤵️

+ Free coronavirus testing

+ Paid sick l…"
1240304525849825281,2020-03-18 15:50:17,"Just going to leave this here from January from the WHO, courtesy of China when #Chinahidthevirus https://t.co/CP2QERnKRN"
1240294970084507648,2020-03-18 15:12:19,"With schools closed across Illinois due to #coronavirus concerns, kids need a creative outlet now more than ever. Starting today, my office will be collecting art submissions for the 2020 Congressional Art Competition. More details for #IL16 here: https://t.co/a7JTnIMH8L https://t.co/I7Xdkjq1US"
1240287208579502081,2020-03-18 14:41:28,https://t.co/dtxHWJTHiK
1240277271140859905,2020-03-18 14:01:59,Daily reminder:  you are in your home now because #Chinahidthevirus
1240272445392793606,2020-03-18 13:42:48,@ChixRivahVA @GrundyLaSalleIn Let’s explore.  Holding China accountable for hiding this is now xenophobic.  Why? We’re you upset when i made many statements condemning Russia?  Or Syrian Govt?  Or Turkey?  Why is it now wrong to engage in foreign policy?
1240270645663019008,2020-03-18 13:35:39,"@GrundyLaSalleIn China knew dec 1, but you save your outrage for Americans and give China a pass huh?"
1240270155055345665,2020-03-18 13:33:42,"@Redpainter1 No but nations can hide viruses that originated there, and that is what happened."
1240266576605126659,2020-03-18 13:19:29,RT @joshrogin: China’s coronavirus propaganda campaign is putting lives at risk https://t.co/NIlxkY2ozF by me @PostOpinions
1240266438725771267,2020-03-18 13:18:56,"Absolutely.  China hid this virus for months and allowed their people to fly with it.  China doesn’t have a right to be outraged or offended, and they should pay a price. https://t.co/7fYLaA5X2M"
1239972364915367939,2020-03-17 17:50:24,"Hearing from folks at home asking about the #coronavirus concerns versus those of the common flu. So, I wanted to address that AND encourage folks to take 'social distancing' seriously. #IL16 https://t.co/3aPyAqumyN"
1239971657722159105,2020-03-17 17:47:35,RT @CDCgov: Social distancing can help slow the spread of #COVID19 in affected communities. This means avoiding crowded places and maintain…
1239920531161460738,2020-03-17 14:24:25,RT @NikkiHaley: 80% of ingredients used to make American drugs are from overseas. Most of that comes from China. Time for the US to realize…
1239902293228650496,2020-03-17 13:11:57,"Thank you to all who participated in our #IL16 veterans card drive for #StPatricksDay. Due to #coronavirus concerns, I will no longer deliver these to the LaSalle Veterans Home directly. Luckily, the nurses will still share the cards, limericks, &amp; well-wishes to our heroes. 🍀 https://t.co/r7Dxbw8lCe"
1239701979129094149,2020-03-16 23:55:59,"Quick update from here in Washington, DC on the latest with #coronavirus information vs misinformation. https://t.co/0UcVzBsOIs"
1239581831827161094,2020-03-16 15:58:33,"@OKnox rumors, i didn’t receive anything but many have."
1239550432067883009,2020-03-16 13:53:47,"Be advised.  If you received this it is fake, and meant to cause panic. https://t.co/P6lIh7gcnD"
1239544147335356416,2020-03-16 13:28:48,RT @CDCgov: Everyone can help prevent the spread of #COVID19. Practice healthy habits like avoiding close contact with people who are sick.…
1239323010265464832,2020-03-15 22:50:05,RT @RealJamesWoods: Get a shopping list from any elderly person near you or in your life. Many are too timid to ask for help. Get their sho…
1239314013110112256,2020-03-15 22:14:20,"@emmylouhay I don’t disagree.  We need to understand who knew what, when, and what were the recommendations of health professionals.  Again, now the focus is getting through this"
1239313008796590080,2020-03-15 22:10:21,@schcrt Just old school anti-communist i guess.
1239312871412154374,2020-03-15 22:09:48,"@RuisiJoseph Agreed.  We can think about what it will look like after, but for now we need to be in this together, Republican, Democrat, and everything in between"
1239312559364345856,2020-03-15 22:08:34,"@JellyKind China knew in November and when we found out, we stopped travel.  Some were mad about that."
1239310594756534279,2020-03-15 22:00:45,"Right now, we need to focus on our people and get through this crisis.  When this is over, China must be held accountable for hiding this for so long.  Communism fails every time."
1239212494419382272,2020-03-15 15:30:56,"“God is our refuge and strength, an ever-present help in trouble. Therefore, we will not fear...” - Psalms 46:1-2
 
Let’s come together and take a moment to say a little prayer for the world today. #NationalDayOfPrayer"
