id,created_at,text
1247290538224766976,2020-04-06 22:30:12,"There are definitely ""some troubling echoes from the past in the current response to COVID-19.""

#flattenthecurve

https://t.co/c1nYhjjcAQ"
1247267890895753216,2020-04-06 21:00:12,"Gov. Ducey needs to meet the gravity of this moment by creating a centralized system to prepare our medical workers. We cannot leave our healthcare professionals without PPE and leave their fate in the hands of individual donors. 

https://t.co/CU7gonvaGL"
1247257846623993858,2020-04-06 20:20:18,"There have been 13 known deaths in Pima County. My heart goes out to their loved ones. Stay home to help prevent more deaths.

https://t.co/Co08Damq6V"
1247206336909258760,2020-04-06 16:55:37,"If you are an essential worker and need to find child care, click the link below to find available resources.

https://t.co/LaYIjpYBRe"
1246935801281339392,2020-04-05 23:00:36,Southern Arizonans have asked about unemployment benefits. Here's what we know: https://t.co/c6FeySVj8i
1246905600593858565,2020-04-05 21:00:36,Southern Arizonans have asked about relief checks. Here's what we know: https://t.co/G2ArDytgNF
1246860355671908353,2020-04-05 18:00:48,Southern Arizonans have asked medical costs during this public health crisis. Here's what we know: https://t.co/XvYKUzRMWO
1246573409108217869,2020-04-04 23:00:35,Southern Arizonans have asked about relief checks. Here's what we know: https://t.co/bEr7wnWTQh
1246543227311751174,2020-04-04 21:00:39,Southern Arizonans have asked about unemployment. Here's what we know: https://t.co/FMCn78AVvn
1246497894489903106,2020-04-04 18:00:31,Southern Arizonans have asked about paying taxes on time. Here's what we know: https://t.co/zxBqlUUfKN
1246195883445755910,2020-04-03 22:00:26,"Thank you to the Arizona Daily Star for compiling this list of useful Tucson resources. Read more below for information such as unemployment benefits, childcare, stimulus checks and more.

https://t.co/KkfoJNuxsh"
1246189413459247104,2020-04-03 21:34:43,RT @azcentral: Fort Huachuca Army base in southern Arizona announces 1st confirmed coronavirus case https://t.co/qwXt0FdpZZ
1246180771792117761,2020-04-03 21:00:23,"Any business in which people physically interact should close, unless medically necessary. We can reschedule our hair cuts and nail appointments. Gov. Ducey needs to take the proper and necessary steps to save Arizonan lives.

https://t.co/uWbVaQLwEU"
1246165691847319552,2020-04-03 20:00:28,"All call center workers should be given means to work from home, or should be given paid leave. We cannot #FlattenTheCurve when we risk the lives of Arizonans and their families.

https://t.co/NKjSJ2IdKd"
1246148270348435459,2020-04-03 18:51:14,RT @RepRubenGallego: Last week we passed $8B in COVID-19 relief for Indian Country. The entire AZ delegation is urging @stevenmnuchin1 &amp; @S…
