id,created_at,text
1246220774425403394,2020-04-03 23:39:20,"RT @SBAgov: BREAKING: With $349 billion in emergency #smallbusiness capital cleared, SBA and @USTreasury begin unprecedented public-private…"
1246140051811172354,2020-04-03 18:18:35,"The CARES Act provides $16 billion for the Strategic National Stockpile to procure personal protective equipment (PPE), ventilators, diagnostic test and other medical supplies that are much needed by our health care professionals who are working tirelessly to keep us safe. https://t.co/GJ6U3trjuC"
1245746447619940352,2020-04-02 16:14:32,The CARES Act provides much-needed support for American workers by making a significant investment to expand access to unemployment benefits. https://t.co/AbsD9FScWK
1245454416028798976,2020-04-01 20:54:06,RT @realDonaldTrump: https://t.co/cawqG2DGXV
1245454262198468608,2020-04-01 20:53:30,"RT @GOPLeader: As major legislation from the first 3 phases is implemented, the American people cannot afford continued attempts to force p…"
1245398529927008256,2020-04-01 17:12:02,"Happy Census Day!
Census Day is important, because whenever you complete your #2020Census, you should count everyone living (or sleeping) in your home most of the time as of April 1—whether you are related to them or not. Respond now at https://t.co/HVHHIaMEQC"
1245383835010977795,2020-04-01 16:13:39,The CARES Act provides much needed relief to Hoosier farmers with $9.5 billion for the U.S. Department of Agriculture to support agricultural producers impacted by COVID-19. https://t.co/F379FSql7x
1245101428739358726,2020-03-31 21:31:28,RT @michaelcburgess: After House Democrats held up vital aid to hardworking families it is disappointing to see the Kennedy Center lay off…
1245013150702895104,2020-03-31 15:40:41,"The CARES Act provides $25.06 billion in additional funding for food and nutrition assistance programs, including certain child nutrition programs, to ensure families and children have access to meals during this crisis. https://t.co/q15kCvgrcW"
1244765619725180928,2020-03-30 23:17:05,"Today is National Doctor’s Day. As a physician, I understand the debt we owe to my fellow physicians working tirelessly to help our friends, family, and neighbors during this health care crisis. https://t.co/NZzp3qrIGm"
1244305248656687105,2020-03-29 16:47:44,"RT @GOPLeader: WATCH: The #CARESact is more than a rescue—it’s a commitment from your government.
➡ To health care providers
➡ ️To small bu…"
1243911226377277441,2020-03-28 14:42:01,"R.I.P. former Senator Tom Coburn, M.D. When I decided to run for Congress Tom was one of the first people in D.C. I met with. As a fellow physician, he gave me insight into the transition to government. He was a principled person who worked hard to improve healthcare in the USA."
1243594820003811329,2020-03-27 17:44:44,We are giving America a fighting chance to both get through this health care crisis and save Main Street jobs that so many families depend on. https://t.co/wk7HeChEXd https://t.co/NWxf7nM1Gn
1243571775574859782,2020-03-27 16:13:10,"These unprecedented times call for unity to help Hoosiers and all Americans who are struggling medically and/or financially through no fault of their own, which is why I support the CARES Act. https://t.co/Wd2y47QT7x"
1243308133033938946,2020-03-26 22:45:33,When @realDonaldTrump gave a goal of Easter to begin opening up our country the media and liberals criticized him. How will they respond when Cuomo says essentially the same thing? https://t.co/55RyxNFPJB
1242935093150220288,2020-03-25 22:03:13,"RT @HouseCommerce: ➡️Making hand sanitizer 
➡️Creating medical masks
➡️Packing lunches for kids
 
All ways people are lending helping hands…"
1242597648621764608,2020-03-24 23:42:20,@realDonaldTrump is listening to the advice of healthcare professionals. The President’s opponents need to quit misleading the American people.    https://t.co/VO8Y8nYy7J
1241900298223968264,2020-03-23 01:31:19,RT @WhiteHouse: President @realDonaldTrump gave an update on the medical equipment and supplies being moved from our federal stockpile to t…
1241900203130654729,2020-03-23 01:30:56,RT @Mike_Pence: Thank you to the American people who are responding to President @realDonaldTrump’s 15 Days to Slow the Spread Guidelines a…
1241179503113703424,2020-03-21 01:47:08,RT @SecPompeo: We must not allow disinformation to undermine our efforts to fight #coronavirus. We're delivering good outcomes for the Amer…
1241179417830993923,2020-03-21 01:46:47,"RT @SecPompeo: Disinformation is not only coming from random actors around the world - but also from the Chinese Communist Party, Russia, a…"
1241093597488918535,2020-03-20 20:05:46,RT @Mike_Pence: https://t.co/jgqb4Q6kxz
1240770760886693889,2020-03-19 22:42:56,RT @FLOTUS: https://t.co/3KXrAP0A35
1240485957633298432,2020-03-19 03:51:14,"RT @realDonaldTrump: STRONG &amp; UNITED, WE WILL PREVAIL! https://t.co/T6UCyaPRIy"
1240420662449233924,2020-03-18 23:31:46,"RT @WhiteHouse: With America's full cooperation, we will turn the corner on Coronavirus!

More from @Surgeon_General: https://t.co/qJ7p3r32…"
1240420594870636545,2020-03-18 23:31:30,"RT @WhiteHouse: Who needs to be tested for Coronavirus?

First, the patients at highest medical risk and the helpers working on the front l…"
1239674878837641218,2020-03-16 22:08:17,"The President’s Coronavirus Guidelines for America 15 Days to Slow the Spread. We can come together as a nation and take actions to protect ourselves and each other. 
#coronavirus https://t.co/cpS31xZolZ"
1239641062248976385,2020-03-16 19:53:55,"RT @StateHealthIN: Today, @GovHolcomb provided guidance to hospitals and ambulatory surgical centers to cancel and/or postpone elective and…"
1239353607956369409,2020-03-16 00:51:40,RT @Mike_Pence: https://t.co/znMIlR0yiJ
1239201275838857216,2020-03-15 14:46:22,RT @realDonaldTrump: The @CDCgov has published guidelines on https://t.co/p9j7kZsD7b to enable every American to respond to this epidemic a…
1238934719481421824,2020-03-14 21:07:10,RT @Mike_Pence: https://t.co/uNXsJX2TvO
1238497799072894977,2020-03-13 16:11:00,"RT @HouseGOP: Everyone can help decrease the spread of the coronavirus.
 
Use these practical and important tips from the @WhiteHouse Coron…"
1238230790367920128,2020-03-12 22:30:00,A message on #coronavirus #TipsFromDocCaucus. https://t.co/U0bg3ffkjg
1238210966724194307,2020-03-12 21:11:13,"It is important that the potential cost burden of diagnostic tests, and eventual vaccine for #coronavirus, do not hinder patients from seeking proper and preventative medical attention. @RepSchakowsky 
https://t.co/j4qwWVqXjm https://t.co/r9tsYyH3JH"
1237924370586185729,2020-03-12 02:12:24,RT @realDonaldTrump: https://t.co/YioC9eARdP
1237753775667978241,2020-03-11 14:54:31,RT @Mike_Pence: https://t.co/ov2gv8tT3e
1237032524389515265,2020-03-09 15:08:31,"RT @realDonaldTrump: So last year 37,000 Americans died from the common Flu. It averages between 27,000 and 70,000 per year. Nothing is shu…"
1236313155866771456,2020-03-07 15:30:00,"The #coronavirus is receiving a lot of media attention, and while it is important to stay updated, I want to clarify a few things. https://t.co/z75yM6WlGY"
1236032038890868739,2020-03-06 20:52:57,RT @Mike_Pence: President @realDonaldTrump has no higher priority than the health &amp; safety of the American people. The passage of an almost…
1236021497065541639,2020-03-06 20:11:03,Thank you @ScottGottliebMD for your work as FDA Commissioner and for your input on this important legislation. https://t.co/gv8KF7yEE2
1235940635883995136,2020-03-06 14:49:44,"RT @HouseGOP: BREAKING: Last month 273,000 jobs were created, crushing expectations. 

President Trump and Republicans continue to work for…"
