id,created_at,text
1247254552145006603,2020-04-06 20:07:12,"Our farmers, grocery store employees, truck drivers, and warehouse operators have shown incredible determination as we fight the spread of COVID-19. Thank you for keeping our shelves stocked and putting food on our tables during these challenging times. https://t.co/d2niZsxwRj"
1247238443479990273,2020-04-06 19:03:12,"Click below to read my latest newsletter with updates from President Trump and the White House Coronavirus Task Force, as well as progress being made when it comes to developing therapeutics: https://t.co/KbBkkFT9gj https://t.co/zQ2HYbr8Ts"
1246190487213608961,2020-04-03 21:38:59,"Starting today, Wyoming small business owners can apply for Paycheck Protection Plan loans. These loans can be used to help keep employees on your payroll. Learn more in my latest newsletter: https://t.co/K2OAflUSJG https://t.co/2ZM8owG1Ai"
1246125874602262529,2020-04-03 17:22:15,"I’m pleased to see the EPA support empowering states like Wyoming to have control over our carbon sequestration enforcement. This will enhance Wyoming’s energy production opportunities, creating more jobs and economic growth for our state. Learn more: https://t.co/1VIAfNH3xL https://t.co/PLapEEBq21"
1245862610567720966,2020-04-02 23:56:08,Click below to see my latest newsletter with updates on resources available for small businesses and workers impacted by coronavirus: https://t.co/OiJwCtp9eB https://t.co/1X1JjU6wkw
1245837157438230531,2020-04-02 22:14:59,It’s despicable that Speaker Pelosi is attempting to use this crisis to try and enact her radical agenda. I talked about that and more on the radio with Al Harris earlier today https://t.co/dR2o3Gyeto
1245741000540205058,2020-04-02 15:52:53,"Yesterday, I joined the Wyoming Business and Industry Federation to answer questions about what we have done in Congress to combat coronavirus and the resources available to help Wyoming small businesses. You can listen to the webinar here: https://t.co/octNiPx16z"
1245489680591831040,2020-04-01 23:14:14,Click the link below to get the latest updates on what Congress has done in response to the spread of coronavirus and what you need to know moving forward: https://t.co/fjY68SN3RW https://t.co/EpY8XRLeGw
1245471777201049606,2020-04-01 22:03:06,"To ensure America continues its international energy dominance while also helping to protect essential Wyoming jobs, I joined 29 of my colleagues in sending a letter requesting federal support for our coal and soda ash industries. Learn more: https://t.co/dStaQcFUyC"
1245443361080737792,2020-04-01 20:10:11,Today I joined 143 members of Congress requesting swift financial support for our cattle ranchers impacted by coronavirus. Click here to learn more: https://t.co/G8GWXxJJzP
1245429389082464261,2020-04-01 19:14:39,"The Treasury Department and the IRS announced that distribution of economic impact payments will begin in the next 3 weeks.

Read here to see if you are eligible for economic impact payments and if you need to take any action: https://t.co/uSjHHHma34 https://t.co/HZGZZWVDHe"
1245411384529170432,2020-04-01 18:03:07,Wyoming small business owners: The CARES Act provides $349 billion in loans through the Paycheck Protection Program (PPP). The loans provide 8 weeks of cash-flow assistance to small businesses who maintain their payroll. Learn more on applying here: https://t.co/vwBpkwUEMx
1245073501914103817,2020-03-31 19:40:29,"Here's the latest update about action being taken to combat and defeat coronavirus, as well as answers to important questions about the distribution of economic impact payments that were a part of the CARES Act: https://t.co/v4V4EENecS https://t.co/coAcdSONe3"
1245013728875208706,2020-03-31 15:42:58,"Students at Kelly Walsh High School in Casper, WY are going digital to ensure their annual Rodstock concert continues. I’m proud of these students for finding a creative &amp; safe alternative to keep this tradition alive. Watch these talented musicians here: https://t.co/HDU7mrCsMu"
1244694765083463682,2020-03-30 18:35:31,Click on the link below to learn more about the updated social distancing guidance announced by the Coronavirus Task Force: https://t.co/ER3hWefF8g https://t.co/Miz4gkZydQ
1244677544005304323,2020-03-30 17:27:06,"Never before in our nation’s history have our doctors played such a critical role in leading us through a crisis. These heroes have worked around the clock, risking their lives &amp; separating themselves from their families in order to defeat this virus. Thank you for your service. https://t.co/HV4FgDsUlI"
1243637715297546240,2020-03-27 20:35:11,"Following its passage in the House, President Trump is signing the CARES Act into law today. Click the link below to learn more about how this bill provides emergency aid for Wyoming workers, families, small businesses, and hospitals: https://t.co/tqUYztpPzY https://t.co/d3ldm9Hfjm"
