id,created_at,text
1247290886943318027,2020-04-06 22:31:35,"Captain Crozier was fired for urging protection for his crew and confronting Trump with stark reality of his mismanagement. I wish him a speedy recovery.

Like others in uniform who have told the truth, only to be scorned by Trump, he put our Nation first.
https://t.co/BybLvIKbWH"
1247253247120814086,2020-04-06 20:02:01,"San Marcos will receive nearly $7 million from COVID-19 stimulus. Mayor Hughson and the council can determine how best to apply this to meet our many challenges; essential social distancing will not slow our working together. More in @sanmarcosrecord:
https://t.co/MWzA1cQGXN"
1247249453532221442,2020-04-06 19:46:57,"RT @jensmithWSJ: “... critics say that the administration was encouraging American exports of masks and other protective gear, even as it s…"
1247249060228214790,2020-04-06 19:45:23,"RT @DaveDrolet: "" In Jan &amp; Feb, ignoring the need to prep for pandemic, Trump pushed much higher export of masks, ventilators, other vital…"
1247248519779495938,2020-04-06 19:43:14,"RT @UniversityStar: U.S. Rep. Lloyd Doggett announced April 3, 
#SMTX will be receiving over $6 million in federal funding for housing and…"
1247248497109319687,2020-04-06 19:43:09,RT @AustinChronicle: U.S. Rep. Lloyd Doggett announces $122 million in COVID-19 relief. https://t.co/5qhj8hnTPt
1247227760856219649,2020-04-06 18:20:45,Sharing my thoughts as we begin this week on what I am hearing from our communities and the importance of maintaining social distancing: https://t.co/3zhSfDI1Pm
1247199138703454214,2020-04-06 16:27:01,"This Administration was urging American companies to ship critical medical supplies abroad—right as this pandemic was hitting the U.S. Shared my analysis with @nytimes, below.

Full story here:
https://t.co/hDVdsiJmfG https://t.co/c0r4appyBs"
1247173143401299981,2020-04-06 14:43:43,"Longtime Travis County DA Ronnie Earle passed away yesterday after a long illness. As municipal judge, legislator, and DA, Ronnie was committed to security and justice for all.  My sympathies to his wife Twila, daughter Judge Elizabeth Earle, son Jason, and stepdaughter Nicki. https://t.co/qu7RyAl0UY"
1246913458664353792,2020-04-05 21:31:49,"San Antonio has been leading efforts to ensure our community’s safety during the COVID-19 pandemic.

Infectious disease physicians at UT Health San Antonio are among the first in the nation to test an investigational drug developed to treat #Covid_19.
https://t.co/0sMBKiPEZ9"
1246838398033235969,2020-04-05 16:33:33,Those who continue gathering endanger their fellow congregants and our community. https://t.co/IGDpcZ7yNA
1246838306337361922,2020-04-05 16:33:12,"This is Wesley United Methodist across the street from my home, ably led by our neighbor Rev Sylvester Chase. I salute him and the many other religious leaders who have the good judgment to protect their congregations by not having them gather in the traditional way. https://t.co/C7PfhkjbBV"
1246819008311103492,2020-04-05 15:16:31,"Who could have possibly known that we would need to prepare for a crisis like that which we are enduring?  Well, the White House knew. But apparently a report from top White House economists, like so many other warnings, was ignored by Trump.

https://t.co/hLebIequ4y"
1246601175148920832,2020-04-05 00:50:55,"The cost of placing personal politics over public health: “Under the best scenario…Mr. Trump will see more Americans die…than Presidents Truman, Eisenhower, JFK, LBJ, and Nixon saw die in the Korean and Vietnam wars combined.” https://t.co/FSWaGLlKUV"
1246479523174060034,2020-04-04 16:47:31,"Taxpayers will have spent over $7 billion on research for COVID-19 treatments and vaccines. I have long advocated the use of taxpayer protection rights to ensure they see a return on their substantial investment, with affordable access for every patient. https://t.co/kHUGDsvDp1"
1246249957348253697,2020-04-04 01:35:18,"Governors across the U.S. are desperately seeking essential medical equipment, with one GOP governor noting Trump’s claim about testing kit availability is “just not true.”

Trump wants governors to “be appreciative.”

Gov. Abbott continues to praise him. https://t.co/wZsMQs90dC"
1246201240796741634,2020-04-03 22:21:43,"RT @LesHugTX: Please read this. This is from my Representative in Congress, ⁦@RepLloydDoggett⁩
I’m so grateful for him, it would be impossi…"
1246200886868746241,2020-04-03 22:20:19,"RT @RogelioSaenz42: U.S. Rep. Lloyd Doggett (D, TX): ""Stay 6 feet apart from one another, or more Texans will be 6 feet under."" Trump fails…"
1246200739778748418,2020-04-03 22:19:44,"RT @impactnews_lcp: U.S. Rep. Lloyd Doggett said $104 million will be coming from Washington, D.C., to Austin for public transportation. ht…"
1246200562028367874,2020-04-03 22:19:01,"RT @RepLloydDoggett: Today, the @ExpressNews published my op-ed on the response needed to save lives during this pandemic.
https://t.co/5Qk…"
1246199107057745921,2020-04-03 22:13:15,"Spoke with @TPRNews/@KUT today about funding Texas is poised to receive from the stimulus—and why that money should be used expeditiously to start implementing statewide vote-by-mail.

They need to act now to ensure all can safely exercise the right to vote come November. Listen: https://t.co/O3MGdUMUut"
1246182464676036609,2020-04-03 21:07:07,"The painful price of Trump’s incompetence.

https://t.co/KaGQfwgR2x"
1246175561418002432,2020-04-03 20:39:41,RT @JakobRyRod: JUST IN: @RepLloydDoggett announces over $6 million in federal funding for housing and public transportation in San Marcos…
1246162417400393728,2020-04-03 19:47:27,"While my first priority is trying to speed up urgently-needed help for those suddenly jobless or struggling to keep a small business afloat, relief legislation is also delivering for vital housing, transportation, health, and other needs.

Together, we will endure this storm. https://t.co/OZ7KWWRFIj"
1246161764636639235,2020-04-03 19:44:51,"NEW: Announcing that over $122 million dollars from the recently-passed CARES Act is secured for Central Texas.

More details here in the @statesman: https://t.co/p5a9Dw3uGd"
1246106691357282310,2020-04-03 16:06:01,"Today, the @ExpressNews published my op-ed on the response needed to save lives during this pandemic.
https://t.co/5QksmVwy90"
1246073658713538560,2020-04-03 13:54:45,"This year, my San Antonio office looked back on past years #CardboardKidsSA for yesterday's Reveal Day. Thank you to @ChildSafe for continuing to raise awareness about the thousands of children in our community who are victims of child abuse and neglect. #CardboardkidsSA https://t.co/Thch5r3RgN"
1245841750591234054,2020-04-02 22:33:14,The outbreak at a nursing home on the South Side reminds us of the severe impact #coronavirus can have on our most vulnerable. My prayers are with those affected and gratitude to SA Fire Department first responders assisting in testing residents and staff. https://t.co/mxUR2MHtFY
1245805054394761217,2020-04-02 20:07:25,"If only talk could pave roads. 
https://t.co/bNlx6IoEOB"
1245768310576361472,2020-04-02 17:41:25,"While normally we might meet at community events, neighborhood office hours, or town halls, our contact for now must be online. If you want periodic updates during the #CoronavirusPandemic, include your name, full address, and email. https://t.co/TtPQ7mpTBt"
1245752993665998854,2020-04-02 16:40:33,"RT @RepTedDeutch: On March 13, I joined @RepLloydDoggett calling for a special enrollment period &amp; will continue to fight for funding to pa…"
1245747306730868736,2020-04-02 16:17:57,"This is all very painful for our active and community-minded city. But staying at home protects the health of our families and our neighbors.
#COVID19 https://t.co/cMlSsxaQ1w"
1245746877292781572,2020-04-02 16:16:15,"In trying times like these, staying apart is an act of solidarity. Powerful message from Austin video production company Big Flavor Films, with an inspiring message at the end.

Though apart, we will endure #COVID19 storm together. 
https://t.co/AGyrpq6oAn"
1245706140907982848,2020-04-02 13:34:22,"In this time of crisis, some are panicking and seeking any way to keep their family safe from #COVID19. Beware of conspiracy theories and predatory behavior. Trust your doctor’s judgment and informed science. https://t.co/b8ARQPZtJk"
1245511804521984000,2020-04-02 00:42:09,"I’ve authored legislation to ensure open enrollment periods in public health emergencies and led 100 of my colleagues in urging the Trump Administration to use their existing authority to allow Americans to get health insurance NOW, when they need it the most.
#COVID19Pandemic https://t.co/VixpbY76bs"
1245510870182092810,2020-04-02 00:38:26,"Unconscionable that uninsured neighbors will struggle to afford and access treatment in this horrible pandemic—and the Trump Admin won’t lift a finger to help them protect themselves.

We are all safer when we are all covered.
#COVID19Pandemic 
https://t.co/b7IRWBCT1O"
1245456366313058307,2020-04-01 21:01:51,"From my observations on my daily 10+ mile cycling ride, most are social distancing—other than these truant turtles. Don’t be slow to join the effort to save lives by staying 6 feet apart. #COVID19 https://t.co/LGjL2MFaoh"
1245434453138321408,2020-04-01 19:34:47,"And more info on how to respond here: https://t.co/uuyScjDzYV

#CensusDay https://t.co/hNBk3ZpMH6"
1245434048497037312,2020-04-01 19:33:10,"Today is #CensusDay, and Texans’ choice is simple: Get counted, or get left behind.

If your family is working and studying from home today, you’re already doing one very important civic duty—why not do another by filling out the census?
https://t.co/fPUiVbJULQ"
1245387970049384449,2020-04-01 16:30:04,"Some tips from their piece:

- Best time to access online portal is between 1 AM &amp; 6 AM. App takes about 7 min.

- You can still apply for unemployment benefits via phone at 1-800-939-6631, Monday through Friday from 8 AM to 6 PM and Saturday from 8 AM to 5 PM. https://t.co/zGbuuOwCTw"
1245381147342897152,2020-04-01 16:02:58,"As the unemployment site struggles to handle the influx of suddenly jobless Texans, @statesman outlines a few things you can do right now to keep accessing services as they are scaling up:
https://t.co/bP3ZLkt8m3"
1245356845788729344,2020-04-01 14:26:24,"RT @RepLloydDoggett: Tomorrow is Census Day, but you don’t have to count down the minutes until April 1 to be counted in the #2020Census.…"
