id,created_at,text
1247264528259301389,2020-04-06 20:46:51,"Yes, you read that headline right. FEMA sent only 100 of the 1,700 ventilators Massachusetts needs. 

@FEMA owes states like ours answers on how they’re distributing PPE and lifesaving medical equipment. Lives are hanging in the balance.

https://t.co/OYK3p5Mgfh"
1247229519347449856,2020-04-06 18:27:44,"RT @SBAgov: #DidYouKnow small businesses impacted by #COVID19 can get a loan advance of up to $10,000? The loan advance does not need to be…"
1247229117998731264,2020-04-06 18:26:08,"RT @JenBenson_ABL: Si usted o alguien que conozca necesita asistencia de comida, llame @projectbread’s FoodSource Hotline https://t.co/ptFw…"
1247205908788252672,2020-04-06 16:53:55,"Thank you to the food pantries across #MA3 that are fueling our communities during this difficult time. Their acts of kindness and support are a reminder that we are all in this together.

https://t.co/bQfPPYTLJH"
1247192177945559041,2020-04-06 15:59:21,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1247167550426931200,2020-04-06 14:21:29,"TOMORROW: I will host our first Children's Town Hall Live Event - an opportunity for your kids to ask questions about the #coronavirus, social distancing, remote learning, and more.

If your child has a question, they can submit it HERE: 
https://t.co/iOAGhEMDIx https://t.co/zLaSSQdCzj"
1247165884923121671,2020-04-06 14:14:52,"Attention all high school artists in #MA3:🎨Due to ongoing health concerns, submissions for the 2020 Congressional Art Competition will be processed digitally. Learn more⬇️
https://t.co/GUfNS9dmYl"
1246449235895222274,2020-04-04 14:47:10,@joekennedy Heartbreaking to hear this tragic news. I am so sorry for your loss. My prayers are with you and your entire family.
1246194723695603722,2020-04-03 21:55:49,"Cities and towns are battling to protect residents from #COVID19, and they desperately need direct aid from the federal government. Let’s be sure they get the help they deserve. https://t.co/1bOP5R0Nif"
1246191073220755458,2020-04-03 21:41:19,"On April 7th I will host our first Children's Town Hall Live Event - an opportunity for your kids to ask questions about the #coronavirus, social distancing, remote learning, and more.

If your child has a question they can submit it HERE: https://t.co/iOAGhEMDIx https://t.co/ZnvEGo9eZs"
1246139290779869191,2020-04-03 18:15:33,"I am LIVE on Instagram discussing the #CARESAct, #coronavirus public health response, and more. 
Join me ⬇️⬇️
https://t.co/zfhWqeEL92"
1246120343095390212,2020-04-03 17:00:16,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246119083457871872,2020-04-03 16:55:15,"As we combat #Coronavirus, we need to ensure our family, friends &amp; neighbors have access to the nutritious food they need. Learn more about available SNAP benefits here in #MA⬇️
https://t.co/ccn7kb6xIt"
