id,created_at,text
1247311437703327746,2020-04-06 23:53:15,My best wishes go out to Prime Minister Boris Johnson at this critical time. I wish him a speedy and safe recovery.
1247240406711930880,2020-04-06 19:11:00,To all those making sacrifices to make life possible as we stay home: thank you. We owe you a great debt that cannot be forgotten. https://t.co/jmEv955xiQ
1247217002604826625,2020-04-06 17:38:00,".@SBAgov is now accepting applications from small businesses for #PaycheckProtectionProgram. Small businesses should go to portal today. The program is still in its early stages, but don’t wait: https://t.co/2073z56o6O"
1247217002592251907,2020-04-06 17:38:00,The CARES act provides critical resources to support employers and families during this difficult time. Don’t wait to explore available resources. See more at: https://t.co/KCPDG8UdvC
1247181926932283393,2020-04-06 15:18:37,Today we mark the first day of National Public Health Week. The public health professionals on the front lines of our fight against the coronavirus have never been more critical. We must do everything we can to support their efforts.
1247170875268517888,2020-04-06 14:34:42,"RT @HouseDemocrats: Staying home during this crisis is difficult for many, but especially for those who experience abuse. 

If you or a lov…"
1246891608529948672,2020-04-05 20:05:00,"More stimulus funding is needed, quickly. State and local governments need additional resources to fight this disease on the front lines. Small businesses will need more help. Families need more help."
1246854363039125505,2020-04-05 17:37:00,Explore resources available to businesses and families under the CARES act at my website: https://t.co/KCPDG8UdvC
1246809316197371904,2020-04-05 14:38:00,"Stay home and save lives. If you do go out, wear a face covering to ensure that you and those around you are protected. This is not a substitute for other social distancing measures—but it is an important step!"
1246528214052139008,2020-04-04 20:01:00,I’m glad the administration reconsidered their disastrous plan to make elderly Americans file tax forms in order to receive their CARES act funding—but they must do more to get payments out immediately. The American people are hurting.
1246474610809290754,2020-04-04 16:28:00,The CARES Act will provide critical support to families and to employers. We’re expanding unemployment benefits and providing direct cash payments to working families. Businesses can access low interest loans and other grants. Find more here: https://t.co/KCPDG9bOna
1246462279442448389,2020-04-04 15:39:00,"The CARES act took critical action to expand unemployment benefits. Unemployed Americans can receive an extra $600 per week, and self-employed, contract, and gig workers are eligible for aid. Learn more at: https://t.co/8kFfWTLvx8"
1246445045865238528,2020-04-04 14:30:31,"Dr. Fauci is entirely correct. The whole country needs to stay home as we confront this crisis together. I joined my congressional colleagues to call for a national shutdown last week, and we’re still waiting for leadership from the federal government. https://t.co/S84xbgxOBu"
1246153243157135360,2020-04-03 19:11:00,Vulnerable people in ICE custody are in danger. Detention facilities make social distancing and basic precautions impossible. I’m proud to lead 34 of my colleagues to call for the immediate release of anyone at high medical risk of Covid 19. https://t.co/HpoWKtuAMF
1246128832391737346,2020-04-03 17:34:00,"Today’s unemployment numbers are heartbreaking. We’ll do everything we can to support families during this critical time. If you are an employer, help is available. See more at https://t.co/OkQFy51Ipv"
1246111719564308482,2020-04-03 16:26:00,Wondering how the CARES act will impact you? Comprehensive guides are available here. Find out how to access vital resources and more: https://t.co/KCPDG9bOna
1246106858118660097,2020-04-03 16:06:41,"We may be social distancing, but we must still care for each other. Stay Home. Save Lives. Check In. https://t.co/B0M5hRruxB"
1246093571326869504,2020-04-03 15:13:53,Important update: most Social Security recipients do NOT need to file a tax return in order to receive direct federal payments under the CARES Act. Read more at: https://t.co/3kjVUBJiio
1246065414599102468,2020-04-03 13:22:00,"We live in an interconnected world. For as long as the virus rages anywhere, either at home or abroad, it will be a threat. We need a global response. https://t.co/9PnK8ZvPU8"
1245816020964540417,2020-04-02 20:51:00,New CARES Act programs provide direct relief to small businesses and non-profits. Don’t wait to get assistance—apply ASAP! Learn more: https://t.co/OkQFy51Ipv
1245778775654060033,2020-04-02 18:23:00,Employee retention credits can help businesses keep their workers on payroll and facilitate a quick recovery when social distancing lifts. https://t.co/NFMby1oIXZ
1245763172931440640,2020-04-02 17:21:00,"Proud of this critical effort, right here in the 47th district! https://t.co/8rr6wAgpex"
1245742830720561153,2020-04-02 16:00:10,"I am deeply disappointed by the administration’s decision not to allow open Obamacare enrollment nationwide in response to the current crisis—but for Californians, help is available. https://t.co/GoLyAjxgHw"
1245712841434378245,2020-04-02 14:01:00,Seniors are uniquely vulnerable during this crisis. Proud that California is showing this leadership. https://t.co/hCceroan8F
1245686814725345281,2020-04-02 12:17:35,Here is what you need to know about the CARES Act payments to individuals. I have urged the administration to make these critical funds available as quickly and smoothly as possible. https://t.co/bMzjuVmjyX
1245469296601505792,2020-04-01 21:53:14,The CARES Act will provide critical support to families and to employers. We’re expanding unemployment benefits and providing direct cash payments to working families. Businesses can access low interest loans and other grants. Find more here: https://t.co/KCPDG8UdvC
1245435765544357890,2020-04-01 19:40:00,Today is Census Day! Stand up and be counted. Do your part to bring our community the resources it needs! https://t.co/OXSnF02kky
1245402294872489984,2020-04-01 17:27:00,"This is no time for the administration to move ahead with radical measures to weaken emissions standards. The threat of climate change remains as real as ever. This rule change is bad for manufacturers, consumers, and the public. https://t.co/rnv9mbgZTZ"
1245380652460937216,2020-04-01 16:01:00,"The U.S. Small Business Administration has launched a new website detailing how small businesses can access the $349 billion in forgivable loans that Congress approved last week.

https://t.co/cEJatqWuj4"
1245366973292257281,2020-04-01 15:06:38,States are wasting vital time and resources competing for the PPE and supplies they need. We need the federal government to step up to get supplies where they are needed most—and full use of the Defense Production Act! https://t.co/pkmtjz350S
1245127114678046727,2020-03-31 23:13:32,RT @LBHealthDept: Do your part and stay 6 feet apart. #PhysicalDistancing
1245099801701580801,2020-03-31 21:25:00,An accurate census will bring our community vital federal resources. Don’t wait: everyone must be counted! https://t.co/Gq9rP9VgJM
1245068848077975554,2020-03-31 19:22:00,"Social distancing is paying off. We can defeat coronavirus if we all do our part. Congress must continue to do its part too. We must continue to provide all the resources our country and our economy need, for as long as it takes."
1245028330933489664,2020-03-31 16:41:00,"Frontline healthcare workers still lack essential protective equipment. We still need more ventilators. Testing is improving, but insufficient. We need to use the Defense Production Act to the fullest possible extent."
1245012224810160130,2020-03-31 15:37:00,Billions of dollars in federal assistance are available to small businesses during this critical time. Learn more: https://t.co/Cx57hRLZxc
1244993098901360640,2020-03-31 14:21:00,"During this difficult time, join me in recognizing Transgender Day of Visibility. The LGBTQ+ Community faces unique challenges in accessing health care- the fight for full equality has never been more critical. https://t.co/4z9cQTLJS9"
1244741683410898944,2020-03-30 21:41:58,"RT @tccfamilyhealth: Every single day TCC’s medical staff is dedicated to keeping you informed, healthy, and safe. TCC would like to thank…"
1244732394424487941,2020-03-30 21:05:03,"RT @LBHealthDept: Health professionals, California needs you! ⬇️ https://t.co/7oqtEabyKa"
1244732352229711874,2020-03-30 21:04:53,RT @ochealth: #OC Medical Supply Providers — We are in need of personal protective equipment and medical supplies. We are reaching out to o…
1244673418638905344,2020-03-30 17:10:42,"RT @LongBeachCity: We are taking extra steps to ensure everyone's safety during this time. 

Listen to @LongBeachMayor &amp; @LBFD discuss what…"
1244665943051010054,2020-03-30 16:41:00,Our request for an extension in the public comment period to protect migratory birds was denied by the Trump Admin even though they have requested two extensions in court in a case against their policy. Their actions are unacceptable. https://t.co/v4LiPuk9jo
1244635492777263109,2020-03-30 14:40:00,"If you are a small business owner, you are eligible for assistance under the CARES act! Check out programs that can assist you here: https://t.co/Cx57hRLZxc"
1244630517523374080,2020-03-30 14:20:14,"RT @lapublichealth: If you’re feeling stressed, depressed or anxious and need to talk with someone, call @LACDMH 24/7 Access Line (800) 854…"
1244384666188161026,2020-03-29 22:03:18,Join me in expressing our undying gratitude to the men and women working tirelessly through this crisis. Health care workers. First responders. Grocery workers. Local government staff. Your sacrifices and bravery are inspiring.
1244296050627743745,2020-03-29 16:11:11,A public health crisis is no excuse to relax regulations that protect public health! I urge the EPA to reconsider this drastically misguided effort! https://t.co/j7AhOUgWm0
1244250203546423299,2020-03-29 13:09:00,#FamiliesFirst means direct aid to people who need it. Helpful information on direct cash assistance is available here: https://t.co/xum9crbbnU
1244237471321374721,2020-03-29 12:18:24,"The CARES Act puts #FamiliesFirst. We’re providing direct cash support to people who need it. We’re making sure gig workers are supported. We’re providing aid to small businesses and non-profits. But we can’t stop now! As long as there is suffering, we’ll keep fighting!"
1243981932289032194,2020-03-28 19:22:59,Proud to support this critical effort. https://t.co/EjU2BogbDE
1243887783690883072,2020-03-28 13:08:52,"We need more tests, and we need them now. If we can quickly identify and trace cases, we can ease social distancing measures and restart the economy. Without test capacity, we’re stuck. We MUST use the Defense Production Act to the fullest extent! https://t.co/ksFgm0jAqY"
1243663465576837121,2020-03-27 22:17:31,"The CARES act is a vital step forward in our battle against this pandemic. More will be needed, but we’re providing billions to support hospitals, workers, families and businesses. My statement: https://t.co/vYjUWZJLoS"
1243644308814811144,2020-03-27 21:01:23,"RT @Defenders: Retweet to thank @SenatorCarper, @ChrisVanHollen, @RepLowenthal, @RepRooney &amp; the other bird champions in the House &amp; Senate…"
1243614514991583233,2020-03-27 19:03:00,"As we work in Congress to protect families impacted by this pandemic, I applaud this decisive measure by @LongBeachCity. We need to make sure that families and businesses can quickly return to normal when the crisis ends. https://t.co/iAs50pyjTm"
1243576262901153792,2020-03-27 16:31:00,"In the wealthiest country on Earth, doctors and nurses are fighting a devastating disease without proper masks. We still don’t have enough ventilators. Testing is still inadequate. We need to mobilize everything we have. Mr. President, use the Defense Production Act in full!"
1243558336454447114,2020-03-27 15:19:46,"@HouseDemocrats We can’t afford to declare victory, through. More will be needed. We’re just beginning to understand the full scope of the impact. Local governments will need more resources. So will health care providers. And we need to fight for working families at every turn. 4/4"
1243558286982549506,2020-03-27 15:19:34,"The bills we are passing are huge, by any measure. They will provide critical assistance, and I am proud of the tireless efforts by @HouseDemocrats to secure the best possible deal for working families, and proud that we reached bipartisan agreements. 3/4"
1243558204698693635,2020-03-27 15:19:14,"We will provide assistance to employers to make sure businesses survive, and to make sure they can quickly return to normal operations, as soon as possible. 2/4"
1243558097207033865,2020-03-27 15:18:49,"This week's unemployment numbers are a sobering reminder of the devastating impact of this pandemic. Congress will make sure that unemployment benefits are larger &amp; more expansive, and make sure cash goes out to working families. 1/4"
1243547070683738112,2020-03-27 14:35:00,Stand up and be counted! An accurate census is vital for getting our community the resources it needs. https://t.co/7HzZwaScw4
1243526937794002944,2020-03-27 13:15:00,"This disease could impact anyone. Young people are not immune. Please, take every measure to protect yourself and your loved ones. Stay home. https://t.co/1otExS0CvM"
1243302515212460032,2020-03-26 22:23:13,"Happy birthday to @SpeakerPelosi. As a Member of congress, and more importantly, as an American, I am grateful every day for her leadership and determination. Now, more than ever."
1243248855300231168,2020-03-26 18:50:00,I applaud the leadership of governors across the country who have taken robust measures to ensure social distancing. There’s no current alternative. https://t.co/9dBVYXDoat
1243248617135247360,2020-03-26 18:49:03,RT @LBDisasterPrep: Stay one step ahead of disasters with Alert Long Beach!
1243231554853318657,2020-03-26 17:41:15,RT @CAgovernor: Californians economically impacted by #COVID19 may receive 90-day grace periods to make mortgage payments and financial ins…
1243224444509847552,2020-03-26 17:13:00,".@NYtimes is correct: https://t.co/zaMMu4muU2 
Nationwide measures are needed to defeat this pandemic. Protecting unaffected areas now will allow us to surge resources in the most vulnerable regions.   I joined my colleagues led by @RepRoKhanna to call for these bold steps. https://t.co/1KmTz469xO"
1243208841946374144,2020-03-26 16:11:00,"Correctional facilities are dangerous places during a public health emergency—social distancing is impossible, and treatment is difficult. Glad @CAgovernor is taking this issue seriously. More action will be needed to save lives. https://t.co/60mjGW6ZVN"
1243203021955387393,2020-03-26 15:47:52,"RT @LongBeachCity: We are so grateful for our first responders on the frontlines, always helping to protect Long Beach. 🙌🏽 #LongBeachStrong"
1243187656730857475,2020-03-26 14:46:49,"More will likely be needed as the crisis continues to unfold. I know that a rapid response is essential, though: bills are coming due. Employers and workers need our help now. 2/2"
1243187593921155073,2020-03-26 14:46:34,"I am carefully reviewing the stimulus package but am encouraged by important provisions: cash support for working families, billions for hospitals and care providers, support for state and local governments, small business assistance, and safeguards on corporate assistance. 1/2"
