id,created_at,text
1247275747888201728,2020-04-06 21:31:26,"My website has a new page devoted to the coronavirus. On it, you can find resources on prevention, government programs to help with economic distress due to the outbreak, legislation, and more: https://t.co/JCwxdJymme"
1247204238272462849,2020-04-06 16:47:16,"Congressman Griffith's Weekly E-Newsletter 4.6.20 Topic:
Frequently Asked Questions About Coronavirus Legislation https://t.co/NMVBvqwxME"
1247173073234690049,2020-04-06 14:43:26,"ICYMI: “Apply for everything you can get to keep your business afloat,” Rep. Morgan Griffith, R-Salem, told more than 60 people on a video call hosted by the Roanoke-Blacksburg Technology Council on Friday.      https://t.co/1LTPgPPz5E"
1246454545556942850,2020-04-04 15:08:16,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246103441904152581,2020-04-03 15:53:06,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1245807116197277698,2020-04-02 20:15:37,I joined a bipartisan group of congressmen and senators earlier this week in urging the U.S. Department of Health and Human Services to prioritize financial relief to rural hospitals. https://t.co/yLxXbKo187
1245744423138463746,2020-04-02 16:06:29,Important update from @USTreasury. https://t.co/GYc3l7hXE5
1245481837075587072,2020-04-01 22:43:04,This is a forward-thinking proposal that will increase spectrum for broadband use. More good work from @AjitPaiFCC to expand broadband access to all Americans. https://t.co/P9sYZJWkdG
1245445834373763081,2020-04-01 20:20:00,"Important information on economic impact payments from the IRS.
https://t.co/gqcey0ALRr"
1245394278597173251,2020-04-01 16:55:08,Contact a Small Business Development Center in your area for additional assistance. https://t.co/ZMUE83RiTa
1245393887717359617,2020-04-01 16:53:35,"The Paycheck Protection Program helps small businesses keep employees on the payroll despite the impact of the coronavirus. 

Find out more, including the application a small business would need to submit to its SBA participating lender ⬇️.
https://t.co/diI1xxu0DK"
1245152922888998914,2020-04-01 00:56:05,RT @stevenmnuchin1: Americans will begin receiving economic impact payments in the next 3 weeks. Most people will receive these payments au…
1245069952324960257,2020-03-31 19:26:23,Nice work @AppPharm! https://t.co/3qrmiYqva3
1245002191213035528,2020-03-31 14:57:08,"🚨@HUDgov has awarded $640,972 in funding to four jurisdictions in Virginia’s Ninth Congressional District through the Community Development Block Grant program. This funding was authorized by the CARES Act.

Read more ⬇️
https://t.co/xbgBcx9bSy"
1244667131477790720,2020-03-30 16:45:43,Congressman Griffith's Weekly E-Newsletter 3.30.20 Topics: The CARES Act; Ninth District Constituent Services https://t.co/O7DqUj1WiI
1244371551367151623,2020-03-29 21:11:11,The Ninth District has suffered our first fatality due to the coronavirus. My condolences to the family of the deceased on this loss. https://t.co/f7YCCIZfUC
1244332475284967424,2020-03-29 18:35:55,"Today is Vietnam War Veterans Day. Thousands of Virginians fought in Vietnam, and more than 1,300 died there. The soldiers, sailors, airmen, and Marines who served there deserve our gratitude. Let’s use this day to honor them. https://t.co/aIcWHk9Ktr"
1244297617774989315,2020-03-29 16:17:24,What’s in the CARES Act? Aid to employers and small businesses. https://t.co/f7P3MZrp2f
1244032998883893249,2020-03-28 22:45:54,What’s in the CARES Act? Economic support for Americans. https://t.co/KBgRy0cz7r
1243601184612646912,2020-03-27 18:10:02,"I have read the complete text of the CARES Act. While I do not agree with everything in the bill, I believe that it will deliver on its most important goals.

Read my full statement on the CARES Act and what's in the bill ⬇️
https://t.co/UDqKOZNU57"
