id,created_at,text
1247295673902530560,2020-04-06 22:50:36,"Many small business owners who purchased business interruption policies are being informed that their plans do not cover #COVID19 related losses. Today, Tom reached out to the Chair of the House Small Business Committee to elevate their concerns, and advocate for a solution https://t.co/KWS8eSkuEM"
1247235694872985606,2020-04-06 18:52:16,"RT @GovMurphy: In real time, we’re seeing a DECLINE in the growth rate of new cases, from 24% day-over-day on March 30th, to roughly 12% to…"
1246492736494227461,2020-04-04 17:40:01,"Next week Tom is kicking off Congress in Your Kitchen, a series of virtual meet-ups with constituents across the six counties in our district, starting with Hunterdon County on Monday. Space is limited so make sure to rsvp: https://t.co/5Z2N4QJMQF https://t.co/YRlaEWfa0Q"
1246492524837036037,2020-04-04 17:39:11,RT @marensmags: The Hunterdon Art Museum is now showcasing artwork by North Hunterdon High School students!  Check it out through the virtu…
1246484033913176066,2020-04-04 17:05:26,RT @ChrisCapodice: Great job Springfield EMS and all of our first responders! https://t.co/DF9vb3cOeB https://t.co/JUTBHG6j1k
1246164569782960130,2020-04-03 19:56:00,Join Tom and reps from the @SBAgov for a webinar for small businesses and non-profits who have been impacted by #COVID19. Learn about new loan and grant programs established by recent stimulus legislation and get guidance on how to apply. RSVP below https://t.co/KIGcFEaWxG
1245861264636530688,2020-04-02 23:50:47,"RT @HouseSmallBiz: Small farms are small businesses, and they deserve the same support as other Main Street firms during this crisis. 

Tod…"
1245821396074344449,2020-04-02 21:12:21,RT @RepSteveChabot: NEWS: Representatives Chabot and @RepMalinowski Lead Letter Urging White House to Help American Passengers on Corona-St…
1245817512551424000,2020-04-02 20:56:55,This is great news for New Jersey's seniors. Social Security recipients who do not typically file a return will not have to file in order to receive their direct cash payment. Visit https://t.co/SDynrgCAA6 for additional guidance. https://t.co/VWorMe7v64
1245770894347288576,2020-04-02 17:51:41,"NJ has the 2nd highest rate of #COVID19 cases in the country, and our economy is feeling the effects. The least the fed gov can do is ease the tax burden of middle class Americans struggling to make ends meet during this crisis by lifting the #SALT cap-TM https://t.co/DFFGUgKilK"
1245731015135559684,2020-04-02 15:13:13,"RT @GovMurphy: We welcome anyone with prior medical experience to help us here in New Jersey.

Visit https://t.co/inf3CNJoOL. Your talents…"
