id,created_at,text
1247279253839896584,2020-04-06 21:45:22,"RT @NYGovCuomo: #BREAKING: I spoke to the president and he has agreed to our request to treat  #COVID patients on the USNS Comfort.

This m…"
1247253746813480960,2020-04-06 20:04:00,"RT @NYCMayor: THIS is a beautiful New York City moment. On behalf of all New Yorkers, thank you to our first responders and health care wor…"
1247246597089562628,2020-04-06 19:35:36,"The #2020Census is incredibly important for our nation and it is critical that everyone #GetCounted! Read more about #WhyCensusMatters ⬇️
https://t.co/lJitxGwd6W"
1247241308374290432,2020-04-06 19:14:35,RT @NYCSchools: Meal Hubs sites operate from 7:30AM-11:30AM for children and families and 11:30AM-1:30PM for adults. Vegetarian and halal o…
1247232931598340096,2020-04-06 18:41:18,"#NY12 #Coronavirus Update for Monday, April 6th:

Including:
- NY PAUSE executive order extended to April 29th 
- Maximum fine for social distancing violations increase from $500 to $1,000
- NYC dog runs and parks closed as of today

https://t.co/Gh5SVkmK8c"
1247228829980078081,2020-04-06 18:25:00,"Fashion with a purpose! Thank you to these incredible designers and companies for answering New York's call for help and producing these much needed face masks. 
 
We’re incredibly grateful! 
https://t.co/oW5AvSFLuf"
1247219745444814852,2020-04-06 17:48:54,"RT @GavinNewsom: In times of crisis, it’s more important than ever we are the UNITED States of America. CA is answering the call for Americ…"
1247215028404658177,2020-04-06 17:30:09,"IMPORTANT: Please share ⤵️
https://t.co/3WnqAotJZl"
1247213967581368321,2020-04-06 17:25:56,"RT @CarlinaRivera: I know food shopping has become challenging for some. If you’re able, and looking for basics like bread and produce, @Gr…"
1247205039933984771,2020-04-06 16:50:28,"I am deeply saddened by the passing of retired US Army Lt. Col. James ""Maggie"" Megellas. He was one of the most decorated US officers, a WWII hero who liberated concentration camps, and a proud Greek-American. 

I'm blessed to have known him and hope his legacy lives on forever. https://t.co/fy8RTrOk1K"
1247200821319798784,2020-04-06 16:33:42,RT @NYCSpeakerCoJo: The Actors Fund has partnered with several industry organizations to provide emergency financial assistance to those wi…
1247192480631660545,2020-04-06 16:00:33,"The last thing recently unemployed New Yorkers need is to incur additional stress from just filling out their unemployment application. I’m communicating with my NYS colleagues to help @NYSLabor handle their 2,674% increase in claims and fix these issues.
https://t.co/sepsJVxpAX"
1247184848487415808,2020-04-06 15:30:14,"Asian-Americans have been viciously targeted and subjected to violent attacks, discrimination, and intolerance during the #COVID19 crisis. Racist violence is NEVER okay and will not be tolerated in NYC. 
 
This disgusting persecution must stop.
https://t.co/DJMS57Do2i"
1247184346580123651,2020-04-06 15:28:14,RT @NYCSchools: Does your student need a device for remote learning?🧑🏽‍💻We are lending internet-enabled iPads to support remote learning fo…
