id,created_at,text
1247294288368742401,2020-04-06 22:45:06,"Nearly 10 million people filed for unemployment in the last two weeks alone. 

We cannot allow our fellow Americans to go hungry during this unprecedented crisis.

I joined 100+ of my colleagues in urging Congress to prioritize anti-hunger provisions in the next relief package. https://t.co/MQHrNnX68i"
1247257020815872012,2020-04-06 20:17:01,"Stay alert, stay informed, and don’t panic. https://t.co/9DpCNfurwj"
1247233250235502597,2020-04-06 18:42:33,"The #CARESAct passed by Congress includes direct payments of $1,200 for eligible adults and $500 for each child.  

Have a question about whether you are eligible or when or how these payments will be made?  Visit https://t.co/qiInlAuuxp."
1247199082793361408,2020-04-06 16:26:47,"The coronavirus is exacerbating inequality and exposing racial disparities in health.

Vulnerable Americans and communities of color need equal access to testing &amp; treatment.

Going forward, we must address the inequalities that endanger the health of poor &amp; minority communities. https://t.co/u3yWM5M9wp"
1247174527303536645,2020-04-06 14:49:13,"Millions of Americans already face barriers to voting.

With the ongoing coronavirus pandemic, it is imperative states take swift action to make voting safe and even more accessible to ensure every eligible voter can be heard in November. https://t.co/505ftq9HWJ"
1247158750101766144,2020-04-06 13:46:31,Community Health Centers are on the frontlines of the fight against the coronavirus. We need to make sure they have the resources needed to continue to care for the low-income and uninsured Americans they serve. https://t.co/WczIhm0kZ1
1246521804694401024,2020-04-04 19:35:32,"It’s been one year since the House voted to reauthorize and expand the Violence Against Women Act. 

This bill supports survivors and prevents domestic violence, but still sits on Leader McConnell’s desk collecting dust.  

We need to reauthorize #VAWA now. https://t.co/DTNFOpbEXQ"
1246462195107598336,2020-04-04 15:38:40,"Today marks the 52nd anniversary of the assassination of Rev. Martin Luther King, Jr.

He was in Memphis to support black sanitation workers who were protesting racial &amp; economic injustice.

Let us remember his pursuit of justice as we fight to reach the “Promised Land” today."
1246171143511343108,2020-04-03 20:22:08,Did you miss my #coronavirus telephone town hall last night? You can listen to a recording of the call on my Facebook page by visiting https://t.co/5cUP2kj9hW.
1246128339422793732,2020-04-03 17:32:02,Food banks across the country are seeing a massive increase in demand for food assistance as a result of the pandemic. Thanks to all of the @OhioFoodbanks for stepping up and supporting our friends and neighbors during this difficult time. https://t.co/zmoM0cw9yc
1246112823639506946,2020-04-03 16:30:23,"Stay Home. Stay Safe. Thank an essential employee. 

Remember, we are #InThisTogetherOhio. https://t.co/C6aAQ3TUIG"
1246087892314750977,2020-04-03 14:51:19,"Unemployment claims in Ohio:

Last 2 weeks: 468,000
All of 2019: 365,000

We need to get expanded unemployment benefits into the hands of the families who need them ASAP. Americans cannot afford to wait!"
1245832051384819712,2020-04-02 21:54:42,"HAPPENING SOON: My #coronavirus telephone town hall is about to begin. 

Call 877-229-8493 (PIN: 116718) to join or stream on Facebook by visiting https://t.co/vcpOXee74u. https://t.co/IY0XoOQU79"
1245801564851310593,2020-04-02 19:53:33,"All registered voters in Ohio will soon receive a postcard informing them of how they can request a ballot for the state’s vote-by-mail primary.

You can get your absentee ballot request form online at https://t.co/gLmwvTQMKl. https://t.co/7iCB8ZwWBT https://t.co/2050QbDCUG"
1245765200915173376,2020-04-02 17:29:03,"HAPPENING TODAY: At 6:00 p.m., I will host a #coronavirus tele-town hall to provide updates on #coronavirus pandemic and answer your questions. #COVID19 https://t.co/IY0XoOQU79"
1245741683658182656,2020-04-02 15:55:36,This is good news! Seniors and individuals with disabilities may automatically receive their stimulus checks without having to file tax returns. https://t.co/Ngkoyky9J4
1245476362892324865,2020-04-01 22:21:19,"Proud to join members of the Ohio delegation in urging @USDA to approve @OhioJFS’ application to operate the Disaster Household Feeding Program. By giving food banks additional flexibility, the program will help protect the health of Ohioans and reduce the spread of #COVID19. https://t.co/x9KNzTl7W1"
1245447696061739010,2020-04-01 20:27:24,"The bill also created Economic Injury Disaster Loans to make smaller amounts of capital to small businesses to help them overcome the temporary loss of revenue they are experiencing.

For more information, visit https://t.co/ppb9uONfpB."
1245447693184491520,2020-04-01 20:27:24,"The #CARESAct established the Paycheck Protection Program, which helps small businesses cover the cost of retaining employees. 

For a sample application, visit https://t.co/q8kPu3XLKf."
1245444801459302403,2020-04-01 20:15:54,"We are in the middle of a public health crisis, and the President is denying Americans the ability to obtain health care coverage.

Quality, affordable health care saves lives and is critical to battling this pandemic. 

Open a special enrollment period! https://t.co/7LgG8BcVWq"
