id,created_at,text
1247256464382734336,2020-04-06 20:14:48,I'm also sorry to hear he's been diagnosed with COVID-19. I pray for his swift and full recovery.
1247256463678017538,2020-04-06 20:14:48,"I'm deeply grateful for his service and sacrifice, and I support calls for the Pentagon Inspector General to investigate the handling of the infection and the Captain’s subsequent removal."
1247256462843396097,2020-04-06 20:14:48,Captain Crozier acted heroically to protect the Navy’s most precious asset: our sailors. His leadership &amp; selfless dedication to duty and the health and well-being of the sailors serving under his command will save lives aboard the USS Theodore Roosevelt. https://t.co/LjAAcSjVyd
1245796411494608897,2020-04-02 19:33:04,This is why we need President Trump to immediately use the Defense Production Act to its FULL capacity. This country must ramp up production of medical equipment. Time is running out and Trump’s reluctance risks the well being of thousands of Americans. https://t.co/4v0fiAhEXu
1245764343544889345,2020-04-02 17:25:39,The vast number of Americans who’ve filed for unemployment in recent weeks is absolutely staggering. 10M Americans are recently unemployed and the number is growing every hour. These unprecedented times will take unprecedented action to get through it. https://t.co/bjbqLerOLl
1245712261009866754,2020-04-02 13:58:41,"Just stunning. A new level of cruelty from this Administration as our nation battles a deadly, global pandemic: “Obamacare Markets Will Not Reopen, Trump Decides.” https://t.co/aLfBHnwwwI"
1245707668553109506,2020-04-02 13:40:26,"RT @OhioFoodbanks: Special thanks to @senrobportman, @SenSherrodBrown, @RepMarciaFudge, &amp; @RepMarcyKaptur for spearheading this bipartisan…"
1245471822319099904,2020-04-01 22:03:16,"The burden President Trump is asking of our seniors, which would likely result in people leaving their homes during a pandemic to seek help from a tax adviser, is a complete and utter leadership failure of this Administration. https://t.co/NtFS4z6tPU"
1245471159749140483,2020-04-01 22:00:38,"Its wrong for President Trump to force seniors to jump through hoops and fill out unnecessary paperwork to receive their coronavirus stimulus checks, which Congress authorized on a bipartisan basis. Trump and Mnuchin should reverse course and not pass the buck to seniors."
1245391616036274176,2020-04-01 16:44:34,"Earlier this week, I joined the call for President Trump to grant a federal disaster designation to Ohio, which would free up critical funding and assistance from @fema to address COVID-19 in our state. I’m glad the President has approved that request. https://t.co/01SxQCXKdW"
1245103927269474306,2020-03-31 21:41:23,"From the assembly line to the hospital to the grocery store, we must guarantee — now more than ever — that ALL our workers receive #EqualPay. https://t.co/nHUPtC5hsA"
1245080397253410821,2020-03-31 20:07:53,"President Trump must heed the lessons of history &amp; fully implement the Defense Production Act to order the production of critical medical supplies, including ventilators, test kits, and face masks. Read my op-ed in the Toledo Blade today 👇 @toledonews https://t.co/FRPqFooYAt"
1244727643318222850,2020-03-30 20:46:10,"I'm concerned to see Hungary, a US ally in the heart of NATO and the EU, continue its slide toward authoritarianism.  Elections are now suspended and Orban has absolute emergency powers. Democracy is about guiding people through crisis, not consolidating power at their expense. https://t.co/hJ3BU3V0zX"
1244274029785231360,2020-03-29 14:43:40,"RT @HouseDPCC: .@realdonaldtrump: Mr. Pres, this is abt getting $ to the American ppl as soon as possible, not abt getting credit. Don’t de…"
1243641932028485637,2020-03-27 20:51:57,This is the right move. We have to do everything in our capacity to give our students a fighting chance as our country faces this unprecedented economic and public health crisis. https://t.co/nFZH3m9Dhj
1243627785400262657,2020-03-27 19:55:44,"RT @RepBillFoster: UPDATE: After @RepMarcyKaptur and I called on student loan servicers to provide relief for borrowers with private loans,…"
1243627064114151426,2020-03-27 19:52:52,"This bill includes investments to help families, workers, seniors, healthcare professionals, and small businesses across Northern Ohio at this historic time. I'm glad to support it. https://t.co/8HLLjCYury"
