id,created_at,text
1247245367378423812,2020-04-06 19:30:42,Visit https://t.co/73fz9VBHvT for all information regarding Alabama's efforts in response to #COVID19.
1247245362781446145,2020-04-06 19:30:41,.@GovernorKayIvey today announced the launch of a new online platform providing assistance for individuals &amp; businesses across Alabama that have been impacted by #COVID19 &amp; for Alabamians who wish to offer aid &amp; support to those affected.
1247204953170628608,2020-04-06 16:50:07,GOOD NEWS: the @SBAgov Paycheck Protection Program is now accepting applications from small businesses impacted by #COVID19. Learn more information here: https://t.co/Uw1Rg4Bpmd
1246831386448756737,2020-04-05 16:05:42,"If you have the opportunity to show your appreciation for any of these heroic workers, I encourage you to do so in any way you are able."
1246831384955686912,2020-04-05 16:05:41,"Thank you to all the men &amp; women on the frontlines who continue to serve Americans day in &amp; day out as our nation combats #COVID19. We are grateful for the efforts of our healthcare workers, first responders, law enforcement, delivery drivers, grocery workers, &amp; many others."
1246542974097543168,2020-04-04 20:59:39,It’s critical for the health &amp; safety of all Alabamians that we do our part &amp; follow guidance from our state &amp; local leaders in order to slow the spread of #COVID19. Read more from my Weekly Column via @yhn: https://t.co/1Jr6CWLRFl
1246222812362268682,2020-04-03 23:47:26,"RT @CDCgov: Breaking: CDC’s recommendation on use of cloth face coverings, especially in areas of significant community-based transmission…"
1246168022789865479,2020-04-03 20:09:43,"RT @ServeAlabama: If you do not feel up to volunteering at a food bank, you can always donate. Food banks are providing more meals than eve…"
1246108708603662336,2020-04-03 16:14:02,"RT @CDCgov: To slow the spread of #COVID19, stay at home except to get groceries, medications, or other essentials. Avoid outings you don’t…"
1245846177079341056,2020-04-02 22:50:49,"RT @ALPublicHealth: The ADPH Office of Oral Health is accepting donations of personal protective equipment such as masks, gloves, and gowns…"
1245709036194074625,2020-04-02 13:45:53,It can be easy for disinformation to circulate as our nation continues to combat the spread of #COVID19. It's critical to get your facts &amp; information from a trusted source during these unprecedented times. Read more from @fema about rumor control here: https://t.co/4BllXQfjVv
1245442243479179265,2020-04-01 20:05:44,Here's a list of #COVID19 screening site locations across #AL02. It’s important to remember @ALPublicHealth’s recommendation to contact your doctor before immediately seeking testing if you think you may be sick. https://t.co/hqKKZC32Sp
1245409677212516352,2020-04-01 17:56:20,"The #2020Census will greatly impact the future of our community, &amp; it's important to make sure your family counts. If you haven't already, you can quickly fill yours out here: https://t.co/bbX7vowahW Please encourage your family &amp; friends to do the same! https://t.co/aDtVticHvV"
1245404811077603336,2020-04-01 17:37:00,"To determine if an entity impacted by #COVID19 is eligible for @SBAgov disaster loan, fill out this information here: https://t.co/Cz0VPAkMW4"
1245398430337425409,2020-04-01 17:11:38,RT @MadeinAL: IMPACT: The @SBAgov Paycheck Protection Program will help small businesses across Alabama keep their workers on the payroll.…
1245398292382593028,2020-04-01 17:11:05,RT @BreakForAPlate: Finding sites serving FREE school closure meals near you is easier than ever. Simply text 'FOOD' to 877-877 to receive…
1245343985666871296,2020-04-01 13:35:18,https://t.co/1eOSKcbSUN
1245121001240879105,2020-03-31 22:49:14,It’s imperative that all Americans - regardless of age - continue to follow the @CDCgov &amp; @WhiteHouse guidelines to slow the spread of #COVID19 over the next 30 days. #DoYourPart https://t.co/PUtNHRV7ai
1245008238996750336,2020-03-31 15:21:09,"Strong storms are moving through the Second District this morning into early afternoon. Be sure to stay informed on the latest weather alerts in your community, &amp; discuss a plan w/ your family in case of any severe weather warnings in your area. #ALWeather #StaySafe https://t.co/Osgf5Bu1i0"
1244786515621883905,2020-03-31 00:40:06,"Every Monday night, I send an e-newsletter w/ important info &amp; updates from my office. If you are not already signed up &amp; would like to receive my e-newsletter, you can subscribe here: https://t.co/JFolj6aTWq"
1244636093124878339,2020-03-30 14:42:23,"A special THANK YOU to all of our nation's doctors today as we celebrate #NationalDoctorsDay. Our doctors have a significant impact on individual lives &amp; local communities. Your meaningful work is appreciated by all, especially as we continue to combat #COVID19."
1244627046199934977,2020-03-30 14:06:26,"RT @ALPublicHealth: The Alabama Department of Public Health would like to thank Apple &amp; @tim_cook for the donation of 100,000 surgical mask…"
1244325712758214659,2020-03-29 18:09:03,"As #COVID19 continues to spread across Alabama, I remain committed to providing my constituents w/ continuous updates. Read my Weekly Column below:  https://t.co/IWNBPFPrXK"
1244306372847644674,2020-03-29 16:52:12,"RT @CDCgov: Domestic Travel Advisory: Due to extensive community transmission of #COVID19 in New York, New Jersey, and Connecticut, CDC urg…"
1243897193238597633,2020-03-28 13:46:16,"Thanks @ALPublicHealth for putting together helpful information on the statewide public health order going into effect tonight, March 28, at 5pm. See below for FAQs: https://t.co/BdSjN5M7jW"
1243605529928269827,2020-03-27 18:27:18,"I am pleased the House passed the CARES Act today, providing critical support for American families &amp; businesses impacted by #COVID19. Read my full statement below: https://t.co/L5VosPHd4A"
1243560503269625858,2020-03-27 15:28:22,"RT @ALPublicHealth: ADPH will provide an update on #COVID19 at 11 a.m. CT. In an effort to maintain social distancing, we will offer video…"
1243297954540195843,2020-03-26 22:05:06,"Attention Alabamians: the STAR ID deadline has been pushed back a year to October 1, 2021. Check below for more information: https://t.co/KUzpDAou9k"
1243280712649838617,2020-03-26 20:56:35,RT @wsfa12news: LIVESTREAM: Gov. Ivey will hold a joint news conference with state health and education officials at 4 p.m. https://t.co/gB…
1243229506128826376,2020-03-26 17:33:07,"RT @ALPublicHealth: .@GovernorKayIvey, State Superintendent @egmackey
 and State Health Officer Dr. Scott Harris will hold a joint press co…"
1242891928473161728,2020-03-25 19:11:42,"Great reminder from @ALPublicHealth. Our electronic devices can carry many germs, &amp; it's important to regularly disinfect these items. https://t.co/YOQRt5isqs"
1242846564579782658,2020-03-25 16:11:26,Thank you to all of our men &amp; women in uniform who have given the ultimate sacrifice to defend our nation. https://t.co/GDyOBQo3GU
1242839819610476544,2020-03-25 15:44:38,These unprecedented times can bring new challenges for parents who are schooling their children from home while also working from home. Here are some helpful tips on how to do both: https://t.co/7BxG9I0Tn3
1242546843780816903,2020-03-24 20:20:27,RT @ALPublicHealth: Our #COVID19 Data &amp; Surveillance Dashboard: https://t.co/GTqQp3nNQU now provides a map of testing sites. These faciliti…
1242520088202403843,2020-03-24 18:34:08,"REMINDER: Health professionals have stated it's not necessary to immediately seek testing if you are not experiencing symptoms of #COVID19. If you think you may be sick &amp; have symptoms of the virus, call your primary care physician before seeking medical care. https://t.co/MlXll57rfU"
1242501771408420866,2020-03-24 17:21:21,RT @GovernorKayIvey: .@wsfa12news has put together a great list of resources our state agencies &amp; local organizations are providing during…
1242212385588498433,2020-03-23 22:11:26,RT @ALPublicHealth: We have activated a statewide informational hotline and a general information e-mail address to field questions from th…
1242209094951473153,2020-03-23 21:58:22,RT @WhiteHouse: 🚨Watch today's Coronavirus Task Force briefing LIVE at 5:30 p.m. ET: https://t.co/EmsdctGWtd https://t.co/TEbmfgzYR3
1242166044426416131,2020-03-23 19:07:17,Listen in shortly for an update from @ALPublicHealth regarding #COVID19 across our state: https://t.co/PCj4ux9dex
1242163535477706760,2020-03-23 18:57:19,GREAT NEWS: Baptist Health has added a second drive-up #COVID19 testing location in Prattville. More information from @wsfa12news here: https://t.co/GqAY25r5uP
