id,created_at,text
1247305053003812865,2020-04-06 23:27:53,"RT @GregAbbott_TX: COVID-19 PPE is here!

Over the past week Texas distributed
1,676,510 face masks
209,856 face shields
2,721,350 gloves
1…"
1247262583909908481,2020-04-06 20:39:07,"RT @HouseForeignGOP: LR @RepMcCaul: ""I am saddened to hear that Prime Minister @BorisJohnson has been moved to intensive care after his #co…"
1247225105983381507,2020-04-06 18:10:12,Praying this member of your team @SheriffEd_HCSO. Grateful for the efforts of Harris Co. officers to keep our community safe and healthy. https://t.co/11M77QKlRr
1247175766980407296,2020-04-06 14:54:08,"My office has been in coordination with the @StateDept to help bring Americans home safely. Glad to help these Texans return home from Peru! 
https://t.co/XAp8FaOtJ4"
1247165723463614464,2020-04-06 14:14:14,"Thank you to @RiceUniversity for supporting the men and women on the frontlines fighting #COVID19. #TexansHelpingTexans  

https://t.co/AvAIJKFZnX"
1246988027123113984,2020-04-06 02:28:08,"I wrote to @US_FDA &amp; @HHSGov asking how they plan to fast-track treatments for #COVIDー19. 

@ScottGottliebMD perfectly explains why #COVIDー19 treatments are vital  in saving lives &amp; restoring our everyday freedoms.👇🏼 
https://t.co/3xg3sHAWDf"
1246536458816585729,2020-04-04 20:33:45,RT @HouseForeignGOP: “I urge leaders in Saudi Arabia and Russia to move past their dangerous oil price dispute and convene next week’s OPEC…
1246209117871620096,2020-04-03 22:53:01,RT @HouseForeignGOP: “I strongly condemn the harassment &amp; brief detention of Dr. Vasilyeva simply for telling the truth about shortcomings…
1246201073871785986,2020-04-03 22:21:03,"RT @HouseForeignGOP: Appalling that the #ChineseCommunistParty has a voice on the UN Human Rights Council. The CCP:

❌ Censors media &amp; cont…"
1246145259719077893,2020-04-03 18:39:16,Thank you to our doctors and nurses working around the clock to save lives! 👏🏻👏🏻👏🏻 https://t.co/wtSp41luQQ
1246133123110273024,2020-04-03 17:51:03,TX Small Business owners who have been impacted by #COVID19  ➞  Follow this link for resources on guidance on applying for loans. https://t.co/QjNnLakPQk
1246103892586385409,2020-04-03 15:54:54,RT @HouseForeignGOP: LR @RepMcCaul: “This is yet another reminder of why the US needs full transparency and accountability from China-based…
1246085283998765058,2020-04-03 14:40:57,"#DYK? $25 billion went to support operating assistance to transit agencies, including those in large urban areas as well as pay transit workers across the country not working because of the public health emergency.
https://t.co/VyRpD9EfK0"
1245826701134872576,2020-04-02 21:33:26,"#ICYMI: I sent letters to @HHSGov and @US_FDA about fast-tracking treatments for #COVIDー19.
Life saving treatments and vaccines are critical as we see an increase in COVID-19 cases and fatalities.

READ more👇🏼
 
https://t.co/zaZJdEN5bS"
1245768056225378308,2020-04-02 17:40:24,"RT @HouseForeignGOP: LR @RepMcCaul: ""I have long warned about China’s Military Civil Fusion program &amp; am pleased the Administration is work…"
1245763847404863491,2020-04-02 17:23:41,Over the next few weeks we will seen an increase of #COVID19 cases. We can all do our part and practice #SocialDistanacing to slow the spread and save lives. #StayHomeTexas https://t.co/JtnHjlBT9U
1245730647836065798,2020-04-02 15:11:45,RT @HouseForeignGOP: LR @RepMcCaul: “Pleased by President @realDonaldTrump's announcement that Saudi Arabia &amp; Russia are expected to cut oi…
1245471000009080835,2020-04-01 22:00:00,"The #2020Census determines how much federal funding each state receives. Be sure to be counted!

👇🏼

https://t.co/jQcSPoTb2L"
1245465988356886528,2020-04-01 21:40:05,"RT @HouseForeignGOP: LR @RepMcCaul: “As Dr. Birx said yesterday, concealed data &amp; underreported cases by the #ChineseCommunistParty changed…"
1245444529525850117,2020-04-01 20:14:49,"RT @HouseForeignGOP: LR @RepMcCaul: ""Even before news of this report was released it was clear that the #ChineseCommunistParty is not a tru…"
1245394479240052736,2020-04-01 16:55:56,"TX-10 small business owners  ⇨ This Friday I will be hosting a conference call with a member of the TX Small Business Association to help answer your questions on small business loans. Sign-up here👇🏻
https://t.co/lD2vdNkWh8"
1245383569624743936,2020-04-01 16:12:35,"RT @HouseForeignGOP: LR @RepMcCaul: “The U.S. is grateful to the people of Taiwan, a country that continually proves itself as a key democr…"
1245106781157801984,2020-03-31 21:52:44,"Congress created the Paycheck Protection Program to help small businesses that have been impacted bc the #COVID19 outbreak.
If you are a small business owner and have questions regarding the small business loan program please follow the below link.👇🏼
https://t.co/lD2vdNkWh8"
1245047122954764295,2020-03-31 17:55:40,"RT @HouseForeignGOP: LR @RepMcCaul: “As of this morning, the @StateDept has repatriated over 26,000 American citizens from over 50 countrie…"
1245042614677704705,2020-03-31 17:37:45,Thank you to our TX officers working around the clock to help keep our communities healthy and safe! https://t.co/TTydTbrjxG
1245035045695430656,2020-03-31 17:07:41,"RT @HurdOnTheHill: My friend @RepMcCaul is right. The Chinese Communist Party keeps lying about this virus. 

We must hold the CCP accounta…"
1245017050478784519,2020-03-31 15:56:10,"RT @HouseForeignGOP: LR @RepMcCaul: ""The #ChineseCommunistParty is worsening the pandemic they allowed to spread by selling faulty medical…"
1245004252940034052,2020-03-31 15:05:19,"#ICYMI: @TitosVodka is producing hand sanitizer and donating it community-wide! Austin Public Health clinics, COVID-19 test sites, and Austin Animal Services received their first supply yesterday.  #TexansHelpingTexans #InThisTogether"
1245003815612559360,2020-03-31 15:03:35,RT @HouseForeignGOP: LR @RepMcCaul: “Huawei making threats for the #ChineseCommunistParty is further evidence that the company is not priva…
1244754377082101765,2020-03-30 22:32:24,"#TexansHelpingTexans👇🏻 

https://t.co/e9In83MOjv"
1244746653036355586,2020-03-30 22:01:43,RT @HouseForeignGOP: LR @RepMcCaul: “I am seriously concerned about the law that passed in Hungary today that declares an indefinite state…
1244735847498493956,2020-03-30 21:18:46,"American ingenuity and unrivaled workers will help us beat #COVID19 Thank you, @Ford! 

https://t.co/NpklgvS53r"
1244705152545828870,2020-03-30 19:16:48,Thank you to our doctors and nurses who go to work each day to save lives. Your sacrifice and dedication do not go unnoticed - thank you for being on the frontlines combatting  #COVID19. #NationalDoctorDay
1244686022224551936,2020-03-30 18:00:47,"Have questions on small business loans like:
1. Am I eligible? 
2. What are lenders looking for? 
3. How much can I borrow? 
4. Will this loan be forgiven?

READ here to find those answers👇🏼

https://t.co/1sNEfVNJto https://t.co/8qoSSZujra"
1244625248147906564,2020-03-30 13:59:17,"China committed one of the worst cover-ups in human history. 

READ👇🏼

https://t.co/MSzwcRUo9G"
1244390076534140929,2020-03-29 22:24:48,"🚨 @US_FDA has quickly approved the transfusion of blood plasma from patients who recovered from #COVID19 to help those who are currently battling this virus. 

Houston Methodist is the first try this new therapy 👇🏼

https://t.co/8hwyC2jlRg"
1244350879765073921,2020-03-29 19:49:03,RT @HouseForeignGOP: LR @RepMcCaul: “Numerous reports suggest that the number of deaths in Wuhan from #COVID19 may be vastly under reported…
1244315159151153153,2020-03-29 17:27:06,"An important reminder to follow the @CDCgov guidelines during this time. It is going to get worse before it gets better, but we can all play a part in #flatteningthecurve by exercising #SocialDistancing. We are #InThisTogether. 🇺🇸 https://t.co/g4CWv4FyZF"
1244072640043716613,2020-03-29 01:23:25,RT @HouseForeignGOP: New Op-Ed from LR @RepMcCaul: “Expelling American journalists who are attempting to report the truth – and then lying…
1243917957056602118,2020-03-28 15:08:46,"This is BIG news!

@AbbottNews is launching a new #COVID19 test that will deliver positive results in 5 min &amp; negative results in 13 min.

Tests will be available next week - delivering 50K tests per day. 

https://t.co/mMmpjli2AF"
1243653270205280259,2020-03-27 21:37:00,"Thank you to our nurses, doctors and first responders who are on the front lines each day! #SolidarityAt8 

https://t.co/G99GB1b1l6"
1243611291387932675,2020-03-27 18:50:11,"Thank you, @sundarpichai and @Google! We will get through this together, united as a country. https://t.co/xlAwgD5iva"
1243599289382772737,2020-03-27 18:02:30,"Read more about the #CARESAct here 👇🏼 
https://t.co/ebGLjHJ8hu"
1243599287054995457,2020-03-27 18:02:29,🚨Bipartisan emergency financial relief coming soon! https://t.co/d2RkfYBJKA
1243596794174504960,2020-03-27 17:52:35,🚨Bipartisan emergency financial relief is coming soon! https://t.co/2lL3DHL4OL
1243574839035789314,2020-03-27 16:25:20,"I traveled to DC to vote for the #CARESAct bc it will bring relief to hospitals, small businesses, core industries, &amp; most importantly workers in TX. I will continue to work tirelessly to bring relief to the people of TX as we stand together, united as a country. (3/3)"
1243574837903265797,2020-03-27 16:25:20,"My colleague Rep. Massie’s threat to hold up this legislation after it passed unanimously in the Senate, demanding that Members of Congress risk further spreading the COVID-19 virus by traveling from all corners of the country to D.C., is unconscionable. (2/3)"
1243574835210584065,2020-03-27 16:25:19,"This is an unprecedented moment – the #CoronavirusOubreak will go down in history as one of the worst crises our nation has faced: people are losing loved ones, their jobs, and small businesses built over a lifetime are failing. (1/3)"
