id,created_at,text
1247344908761006081,2020-04-07 02:06:15,"RT @NASA: If you can, tomorrow night is the perfect time to look outside and #ObserveTheMoon. The April 7 full Moon will appear larger than…"
1247313137130303488,2020-04-07 00:00:00,Handy reminder of how far apart we should be social distancing through 4/30! 🐊 https://t.co/AKSMXgoQ8f
1247301515678830594,2020-04-06 23:13:49,RT @SteveScalise: #GoodNewsOfTheDay → @Allstate is returning over $600 million in auto insurance premiums to more than 10 million customers…
1247300972713586689,2020-04-06 23:11:40,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1247275319482089473,2020-04-06 21:29:44,"IMPORTANT UPDATE: All churches are automatically eligible for the @SBAgov's Paycheck Protection Program. 

Please make sure to check the ""501(c)(3) nonprofit"" box on the application regardless of previous filing status. 

To learn more, click below ⬇
https://t.co/CiSA1htRfT"
1247258590454394888,2020-04-06 20:23:15,"Beijing took advantage of Italy's generosity and allegedly forced them to buy back the PPE they had donated to China.

Completely disingenuous.

When #coronavirus is over, #China's Communist Party is going to have a lot to answer for. https://t.co/QBCjQKcXJm"
1247230540887007239,2020-04-06 18:31:48,RT @dbnewsjournal: Coronavirus: Answering your questions about  relief checks and more | U.S. REP. MICHAEL WALTZ https://t.co/CcDFloMJ8I
1247229350551961602,2020-04-06 18:27:04,"Our @USNationalGuard is helping in the fight against #coronavirus all around the US.
 
I'm proud to join them in the fight and relay what I'm learning on the ground for the health and well-being of Floridians in Congress.
https://t.co/TPFX8D5CbZ"
1247220342382305282,2020-04-06 17:51:16,RT @WhiteHouse: Practicing strict hygiene is one of the most important things you and your household can do to slow the spread. https://t.c…
1247218474088386560,2020-04-06 17:43:51,Important FYI for families: @FloridaPrepaid has deferred payments until July. https://t.co/IgPqafAczS
1247215804862681090,2020-04-06 17:33:14,Can't help but dance along with you! God bless you and keep those dance moves coming! https://t.co/V38Af8UlOK
1247206018511142914,2020-04-06 16:54:21,"Great resource on how to sanitize your home and protect your family from #COVID19.
https://t.co/eWvZhIlIur"
1247176892316344325,2020-04-06 14:58:37,"Many Floridians are struggling to make ends meet as a result of #coronavirus.

I want to help — and that includes providing information &amp; tools to get through this together.

For answers to FAQs you may have, read my @dbnewsjournal op-ed below ⬇ https://t.co/3VFwUakkvd"
1247171596361641989,2020-04-06 14:37:34,"Thanks for reminding us we are all #OneTeam and #InItTogether, @AnheuserBusch. https://t.co/qwxXX0g5Ns"
1247147041551200257,2020-04-06 13:00:00,"LIVE RADIO ALERT 🚨

Coming up at 9:35 AM on @foxnewsradio with @kilmeade to talk about #coronavirus and @USNationalGuard.

📻 Tune in or listen here 👇
https://t.co/S5ykJvOYyh"
1246905893599547394,2020-04-05 21:01:46,RT @USNationalGuard: Go Guard! https://t.co/PUaG8rbXmT
1246887640135278592,2020-04-05 19:49:14,RT @VAVetBenefits: Today we recognize and honor the sacrifices made by military spouses. This recognition is all at once a memorial for the…
1246842428398735363,2020-04-05 16:49:34,RT @WhiteHouse: Do your part: Fight the spread of Coronavirus by practicing good hygiene! https://t.co/VzDK2WJ9rT
1246830167428861953,2020-04-05 16:00:51,Today is a day to thank and pray for those fighting for our safety and health. God bless you and your loved ones. Wishing all a safe and joyous #PalmSunday. https://t.co/QgCdFdgRMa
1246637221920325632,2020-04-05 03:14:09,"List of the abused NOT consulted before the #UN decided to put #China on its human rights panel:
- #Uighurs 
- #Tibetans 
- #HongKong 
- #Coronaviruswhistleblowers!!! https://t.co/ERi6JoHgGF"
1246532440216256512,2020-04-04 20:17:47,"RT @USNationalGuard: Today more than 19,900 National Guard Citizen-Soldiers and -Airmen continue to assist the multi-agency response to sto…"
1246514579120836608,2020-04-04 19:06:49,We stand ready to support America’s small businesses @realDonaldTrump ! 👊🇺🇸 #ppploan https://t.co/EgEIDW6Gkx
1246423465420361729,2020-04-04 13:04:46,".@USNationalGuard troops are stepping up to fight the #coronavirus pandemic in their communities.

I'm one of them.

Spoke with @PeteHegseth this AM about the National Guard's efforts to prepare &amp; set up hospital &amp; testing sites across the country 🇺🇸 https://t.co/yoSKg11mY7"
1246392069582508032,2020-04-04 11:00:00,"LIVE TV ALERT 🚨

Coming up at 7:30 AM on @foxandfriends with @PeteHegseth to talk about #coronavirus and the @USNationalGuard.

📺 Be sure to tune in!"
1246184611417403392,2020-04-03 21:15:39,"Key points on the new CDC MASK guidance:

1) The cloth masks are as much a measure to protect others from you, as they are to protect you from others. 

2) Please save the N95 masks for health care workers. 

3) Still keep social distancing! 
https://t.co/0TvSAxqAak"
