id,created_at,text
1247324891214417921,2020-04-07 00:46:42,RT @shannonelizfdn: There are a lot of moments in #TigerKing that show how cruel this industry is but none more than this one. There are no…
1247283982078808065,2020-04-06 22:04:09,RT @WhitneyCummings: If you were as horrified by the scenes of abuse in #TigerKing as I was there is something you can do. Join the fight i…
1247272083975024642,2020-04-06 21:16:52,Transit workers are essential in helping all those who rely on public transportation to get to work and essential stores. I want to thank transit workers for continually coming to work and I wish them good health. https://t.co/48BUufMJh1
1247260235301076995,2020-04-06 20:29:47,RT @RepFletcher: If you're one of the many who have been watching #TigerKing thinking it would be good to have laws against dangerous roads…
1247255357795250183,2020-04-06 20:10:24,"RT @RepJoeKennedy: Lost among the viral characters and wild stories of Tiger King is an industry built on animal cruelty. 

We need to pass…"
1247250163707584513,2020-04-06 19:49:46,"RT @NRDems: We held a hearing on @RepMikeQuigley's #BigCatPublicSafetyAct in 2019. This bill keeps animals and Americans safe. 

“It’s impo…"
1247237702753320965,2020-04-06 19:00:15,"RT @RepValDemings: With #TigerKing all the rage right now, I'd like to note that @RepMikeQuigley's #BigCatPublicSafetyAct, which I've cospo…"
1247236298458501121,2020-04-06 18:54:40,"RT @HSLegFund: We are definitely on team ""save the kitties"" and you should be too! 

No one should keep wild cats as pets or patronize road…"
1247235880777134085,2020-04-06 18:53:01,"RT @RepDMP: I hear that #TigerKing is the show to watch in quarantine. While I haven’t seen it, I am aware of the abuse of wild animals tha…"
1247235195130044417,2020-04-06 18:50:17,RT @BornFreeUSA: #TigerKing Spoiler Alert: Private ownership of #bigcats is still legal so abusers like #JoeExotic are free to keep traumat…
1247233962545643521,2020-04-06 18:45:23,RT @AllysonSpellman: Since we're all home watching #TigerKing now is a good time to remind you that the cub petting industry is abusive. Se…
1247233863882924032,2020-04-06 18:45:00,"Between all the twists and turns of #TigerKing are reminders of how dangerous big cats are. If even one had escaped, first responders could have faced a horrifying situation. Passing the #BigCactPublicSafetyAct isn't just about saving the animals, it's about saving people too. https://t.co/KPnqG1iKMz"
1247233003639767042,2020-04-06 18:41:35,RT @RepScottPeters: Watched #TigerKing? There's a bill in the works that could put an end to the animal abuse seen throughout the series. A…
1247232173658300417,2020-04-06 18:38:17,RT @LanceBass: If you were as horrified by the scenes of abuse in #TigerKing as I was there is something you can do. Join the fight in Cong…
1247230766150553600,2020-04-06 18:32:41,RT @detroitzoo: Have you watched #TigerKing? Join the fight to pass @RepMikeQuigley's #BigCatPublicSafetyAct to shut down roadside zoos and…
1247230089713999872,2020-04-06 18:30:00,There are a lot of moments in #TigerKing that show how cruel this industry is but none more than this one. There are no words for how disturbing it is to watch these animals be torn from their mothers when they're only minutes old. We need the #BigCatPublicSafetyAct to end this. https://t.co/K7W0etrM7a
1247229938438230018,2020-04-06 18:29:24,"RT @BornFreeUSA: Netflix's #TigerKing is ab #AnimalAbuse &amp; commodification, with #BigCats treated like objects to be produced, used, abused…"
1247229079805362182,2020-04-06 18:25:59,RT @peta: Don’t be fooled by exhibitors like Joe Exotic &amp; Doc Antle in #TigerKing—they take cubs away from their moms &amp; force them to take…
1247228142198145024,2020-04-06 18:22:16,"RT @HumaneSociety: We are definitely on team ""save the kitties"" and you should be too! Learn more about the #BigCatPublicSafetyAct and urge…"
