id,created_at,text
1247183087563350017,2020-04-06 15:23:14,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1247140437955092481,2020-04-06 12:33:45,"RT @USDOL: Learn how the #CARESAct expands unemployment insurance benefits:
• Benefits for workers not normally eligible for unemployment,…"
1247139976246149120,2020-04-06 12:31:55,"RT @SBAgov: The #CARESAct has established new programs to help small businesses impacted by #COVID19 including:
1️⃣ Paycheck Protection Pro…"
1245773222336966658,2020-04-02 18:00:56,"RT @SBAgov: Small businesses can get up to a $10,000 advance on an Economic Injury Disaster Loan even if your previous application was decl…"
1245762312608374785,2020-04-02 17:17:35,Cornerstone Research Group in Miamisburg has received a $7M defense contract made possible by a provision I included in #FY20NDAA. #OH10 continues to be at the forefront of providing equipment necessary for @DeptofDefense's top national security programs. https://t.co/RiDyDX6ffD
1245727335795625991,2020-04-02 14:58:36,RT @RepMarciaFudge: Proud to join members of the Ohio delegation in urging @USDA to approve @OhioJFS’ application to operate the Disaster H…
1245727135442010112,2020-04-02 14:57:48,"RT @HUDgov: Today, we announced mortgage payment relief options for @FHAgov single-family homeowners facing financial hardship due to #COVI…"
1245435145022210048,2020-04-01 19:37:32,"In a substantial win for @WrightPattAFB, @SpaceForceDoD announced its intention to transfer 5 units @ WPAFB from @usairforce to the Space Force. This announcement comes after months of my advocacy of Wright-Patt's unique capabilities in space. More info➡️https://t.co/2kQPfkZ1ht https://t.co/xGWkTkFXCP"
1245406473196376065,2020-04-01 17:43:36,"RT @RepStefanik: Thanks to @RepGallagher, @RepTrentKelly, @RepDLamborn &amp; @RepMikeTurner for joining my Resolution with @HawleyMO to hold Ch…"
1245406178378735621,2020-04-01 17:42:26,"Today I led several of my #OH colleagues in requesting the @DeptofDefense to provide guidance to the defense industrial base, specifically those supporting the @AFResearchLab at @WrightPattAFB during the #COVID19 pandemic. Full letter here: https://t.co/xOXtQABYhZ"
