id,created_at,text
1247190851308093447,2020-04-06 15:54:05,"Good news for faith-based organizations! You are eligible for the Paycheck Protection Program and the Economic Injury Disaster Loan through @SBAgov. 

Questions? Click here -&gt; https://t.co/JsAtKsCq9j"
1246168864154693635,2020-04-03 20:13:04,"RT @HouseGOP: Thanks to the #CARESAct signed by President Trump last week, a new program for #smallbiz relief begins today.

The #PaycheckP…"
1246152611365076993,2020-04-03 19:08:29,"RT @RepJeffDuncan: By filling the SPR with oil from American producers, we are rightfully putting energy &amp; national security first! Read th…"
1246130371953123330,2020-04-03 17:40:07,"RT @HouseGOP: The #CARESAct is truly an example of a whole government approach to fighting this pandemic.

As a country, we will help our n…"
1246072181068640256,2020-04-03 13:48:53,"You can apply through any existing SBA 7(a) lender or through any federally insured depository institution, federally insured credit union, and Farm Credit System institution that is participating. Visit this website for more information -&gt; https://t.co/0oWUpSDVPJ"
1246072180351414273,2020-04-03 13:48:53,Small Businesses can apply for the Paycheck Protection Program starting today. This is a forgivable loan for small businesses to pay their employees during the COVID-19 crisis.
1245806002756345856,2020-04-02 20:11:11,"My girls, Larra, Lynette, and Ivy, are praying for everyone affected by coronavirus and hoping you all stay healthy! https://t.co/NMp99MObbI"
1245796544118472704,2020-04-02 19:33:36,"RT @HouseCommerce: .@repmullin explains how the CARES Act is delivering help during #COVID19 and how we're all #InItTogether

https://t.co/…"
1245750339279548418,2020-04-02 16:30:00,Do you have questions about getting your COVID rebate check? Visit my website for more information -&gt; https://t.co/cjCFWrpT1V
1245727204304134144,2020-04-02 14:58:04,You can find the updated guidance from the IRS at https://t.co/wMAv5PNp4U.
1245727203154935808,2020-04-02 14:58:04,"Attention seniors who are Social Security recipients &amp; railroad retirees! @USTreasury announced that you will not be required to file a tax return to get your COVID-19 rebate check. You will receive these rebates as a direct deposit or by paper check, just as you would normally."
1245466938991656962,2020-04-01 21:43:52,Our country has faced many challenges in the past and there is no way we can’t overcome this one. https://t.co/UViMHtbsbP
1245451506347900928,2020-04-01 20:42:33,Today is Census Day! The Census is required by the Constitution and the data collected is important for our communities. Visit https://t.co/PM8tuTRTev to make sure you are counted. https://t.co/cYYNT6lLUh
1245085611104571397,2020-03-31 20:28:36,RT @HouseGOP: 𝐖𝐞 𝐜𝐚𝐧 𝐚𝐥𝐥 𝐝𝐨 𝐨𝐮𝐫 𝐩𝐚𝐫𝐭 𝐭𝐨 𝐟𝐥𝐚𝐭𝐭𝐞𝐧 𝐭𝐡𝐞 𝐜𝐮𝐫𝐯𝐞 𝐚𝐧𝐝 𝐬𝐥𝐨𝐰 𝐭𝐡𝐞 𝐬𝐩𝐫𝐞𝐚𝐝. ⤵ https://t.co/gYmBAgWp1R
1245050413776138240,2020-03-31 18:08:45,@ChrisCuomo Praying for you and wishing you a speedy recovery!
1244717705623633930,2020-03-30 20:06:41,"RT @okstatechamber: Our congressional town halls continue. Don’t miss the latest regarding #COVID19.

@RepMullin 
March 30 @ 3 pm
Register:…"
1244671992953016320,2020-03-30 17:05:02,Thank you to all the doctors who are on the front lines working to keep our communities healthy and safe. #NationalDoctorsDay https://t.co/ma5LhuppAd
1243934641381392384,2020-03-28 16:15:04,We join so many others across Oklahoma in praying for Dr. Coburn’s family during this time of loss.
1243587442491392001,2020-03-27 17:15:25,"You can read my pros and cons of the bill here -&gt; https://t.co/wa0CJkQSkl

You can also read the full bill text here -&gt; https://t.co/NV2IzwhBes"
1243587441631662082,2020-03-27 17:15:25,"The House will vote soon on the third COVID-19 response bill, the CARES Act. It’s not a perfect bill, but there is no such thing as a perfect bill. This will bring much needed relief to the American people and help us to recover from the pandemic."
1243555009037557765,2020-03-27 15:06:32,"I flew to DC last night to vote on the coronavirus stimulus package today. Shortly after I landed, my wife called &amp; told me my son Jim had an accident &amp; was being airlifted to the hospital. He is improving, but I am on my way back to OK to be with him. Thank you for your prayers. https://t.co/QGNd3ZHOb6"
1243280976354119699,2020-03-26 20:57:38,"And if you have children, you will receive an additional $500 per child. Payments are phased out above those thresholds. Those with incomes exceeding $99,000 for individuals and $198,000 for joint filers will not receive this payment. 5/5"
1243280975339102208,2020-03-26 20:57:38,"The full credit amount ($1,200 for individuals or $2,400 for couples filing jointly, + an extra $500 for each child) is available for individuals with income at or below $75,000 ($112,500 for heads of household), and joint filers with income at or below $150,000. 4/5"
1243280974609371138,2020-03-26 20:57:38,Individuals who are in our country illegally ARE NOT eligible. 3/5
1243280973615239169,2020-03-26 20:57:37,"In order to receive this federal money, individuals must have a valid Social Security number. This means that those who receive welfare, Social Security benefits and veterans benefits ARE eligible for this assistance. THERE IS NO MINIMUM INCOME REQUIRED TO GET IT. 2/5"
1243280972776386562,2020-03-26 20:57:37,"THREAD: Tomorrow, the House will pass the CARES Act and once it is signed into law by President Trump, most Americans will receive a cash rebate. 1/5"
1243247815867990019,2020-03-26 18:45:52,Today is a Statewide Day of Prayer in Oklahoma and I hope you'll join me in praying for all those affected by COVID-19. https://t.co/25brr2ZI2Q
1242895409862914048,2020-03-25 19:25:32,"Beware of scammers! Currently, there are not any credible home test kits on the market for COVID-19.

https://t.co/X8PdxPvycR"
1242836517749436417,2020-03-25 15:31:31,"RT @HouseCommerce: NEW: More than 500 companies have pledged to #KeepAmericansConnected during #COVID19. Thank you, @FCC, for this importan…"
1242814524308230145,2020-03-25 14:04:07,"Today, we honor the life of Technical Sgt. Marshal D. Roberts as he returns home. Thank you for making the ultimate sacrifice. #tsgtmarshalroberts https://t.co/AAC3xMuj5t"
1242529006106312708,2020-03-24 19:09:34,"We are going through a tough time right now. But, as a country, we are going to survive this. https://t.co/riE9NFaXp9"
1242522485855268866,2020-03-24 18:43:40,"RT @JimLangevin: I’ve joined @RepDonBacon, @RepKarenBass, and @RepMullin to highlight the need for targeted supports for foster youth so th…"
