id,created_at,text
1247350885023449089,2020-04-07 02:30:00,ICYMI: I sent a letter to congressional leadership stressing the importance of bipartisan collaboration in the next legislative package to address the negative effects of the coronavirus. Now is not the time for partisan politics or pet projects. #AZ01 https://t.co/hv9Vzpq5kM
1247309361065496577,2020-04-06 23:45:00,The CDC has awarded an additional $4.5 million to AZ to support COVID-19 response efforts. #AZ01 health care facilities are struggling &amp; hardworking health care professionals are working around the clock to serve sick families. This funding is needed now. https://t.co/6h5S7sv730
1247286409792192512,2020-04-06 22:13:48,"I was heartbroken to learn of Ak Chin Indian Community Chairman Louis Manuel's passing. Louis was a kind &amp; genuine friend &amp; a champion for the Ak Chin Indian Community, whose work improved the lives of countless #AZ01 families. https://t.co/N1d82ZgYmg"
1247249350562123776,2020-04-06 19:46:32,"#AZ01: The president approved Gov. Ducey's &amp; our delegation's request for a Major Disaster Declaration in AZ, which will provide more resources to combat the spread of COVID-19. Last week, I joined the AZ delegation on a letter of support for this step. https://t.co/FUKCO797rS"
1247206780523995142,2020-04-06 16:57:23,"Tribal governments fighting the spread of COVID-19 were promised $8 billion in critical economic relief through the CARES Act. Last week, @RepRubenGallego and I led the AZ delegation on a letter calling for the timely distribution of these funds. #AZ01 https://t.co/oUM6TOGoSO"
1246795455167635458,2020-04-05 13:42:55,"RT @NNPrezNez: 321 total positive cases of COVID-19 for the Navajo Nation, one more death confirmed https://t.co/7yCHYlh2UG"
1246561936109703177,2020-04-04 22:15:00,ICYMI: @RepRubenGallego and I led the AZ delegation on a letter urging the speedy distribution of $8 billion of economic relief allocated to Tribal governments under the CARES Act. #AZ01 tribes need the resources they were promised to fight COVID-19. https://t.co/MerDkap67N
1246509087853953024,2020-04-04 18:45:00,"Today, on the 52nd anniversary of the assassination of Rev. Martin Luther King Jr., join me in reflecting on his courageous leadership that has shaped the civil rights movement and our society to this day. #AZ01 https://t.co/T2kpAkK9KU"
1246259946347364353,2020-04-04 02:15:00,"As we put together our next legislative package, we must remain focused on addressing this pandemic, not partisan pet projects. I'm urging both parties to work together to ensure the next stimulus package provides the relief that #AZ01 families need. https://t.co/hv9VzpHGck"
1246227228867932162,2020-04-04 00:04:59,@DaveBngDave 4-5
