id,created_at,text
1246167092623282176,2020-04-03 20:06:02,"#ICYMI: This week I sent out a newsletter that further explains the different individual, business, and health care provisions in the #CARESAct. Click below to view ⬇️

https://t.co/LLqaYFXHUP"
1246091533700550657,2020-04-03 15:05:47,"Today the @SBAgov released guidelines for the #PaycheckProtectionProgram, a provision of the CARES Act that provides small businesses funds to maintain their operations.
 
For guidance &amp; more information, visit the SBA’s site below⬇️
https://t.co/l7Beh8RGef"
1245731810857947143,2020-04-02 15:16:22,"There is no action needed by most people to get their payments, however I encourage you to visit the site below to find answers to many of the questions you may have. ⬇️
https://t.co/IU83SnQ9oB"
1245731809939394560,2020-04-02 15:16:22,"🚨 Coronavirus Update: The Economic Impact Payments created by the #CARESAct are coming very soon. Within the next few weeks, qualified individuals will begin receiving their direct payment from the federal government.
https://t.co/IU83SnQ9oB"
1245397256423030785,2020-04-01 17:06:58,"Today is #CensusDay. It’s important every Michigander is counted in the 2020 census as this impacts our communities for years to come. You can respond to the census questionnaire:

💻 Online at https://t.co/K69DkMEwkL
☎️ By phone at 1-844-330-2020
✉️ By mail https://t.co/fwjClbbaGo"
1245103596364013570,2020-03-31 21:40:04,"For more resources and the most up-to-date information on the Coronavirus and the federal government's response, visit my website. ⬇️

https://t.co/wWhr5Bfl1F"
1245103594174582784,2020-03-31 21:40:04,I spent today leading webinars for #SmallBusinesses and local officials in the Thumb to make them aware of the resources the #CARESAct provides for addressing the Coronavirus. https://t.co/7AYViqpqDq
1244740442576556032,2020-03-30 21:37:02,"#Michigan manufacturers are stepping up to help meet the need for ventilators.

Read how they're helping battle the Coronavirus. ⬇️

https://t.co/zwmf64dMIi"
1244660540716220416,2020-03-30 16:19:32,"Today is #NationalDoctorsDay. Now, more than ever, we take a moment to say thank you to our doctors on the frontlines of this pandemic fighting selflessly to keep people safe and healthy. 

Thank you to all medical providers on the frontlines – our country appreciates you. https://t.co/QxE8EySRlW"
1243598533992873984,2020-03-27 17:59:30,"🚨Coronavirus Update: The House just passed the CARES Act. 

The CARES Act is the result of tireless, bipartisan work to provide direct relief to workers, families, &amp; small businesses who have been impacted by this pandemic.

Read my statement ⬇️

https://t.co/ENAbNjMTkt"
1243568948743933952,2020-03-27 16:01:56,"I just spoke on the House floor in support of the CARES Act. 
 
We must ensure this aid is delivered to the American people as soon as possible.  Watch below ⬇️ https://t.co/4whZa0Esl3"
1243524571350937600,2020-03-27 13:05:36,On my way to the House floor to speak on the #coronavirus relief bill. Very quiet in the Capitol this morning. https://t.co/ZOkAGJWeJt
1243253489335242752,2020-03-26 19:08:25,There is an urgent need for increased PPE for our medical professionals on the front lines &amp; for widespread testing. The entire #Michigan delegation is doing everything in our power as your federal representatives to ensure resources are made available to Michigan.
1243253487569428481,2020-03-26 19:08:24,"Yesterday, I joined my colleagues in the #Michigan delegation in sending a letter to @VP urging him to increase the amount of personal protective equipment (PPE) &amp; COVID-19 testing materials available in our state. https://t.co/G5HtVlmITC"
1242921842693812227,2020-03-25 21:10:34,"ICYMI: Check out this week’s newsletter with #Coronavirus updates and resources. ⬇️

https://t.co/3mnL6XPgjn"
1242833941113044993,2020-03-25 15:21:16,"There's a lot of information out there about the Coronavirus &amp; the government’s response, &amp; sometimes it can be difficult to distinguish between myth &amp; fact. @fema has created a rumor control site so you can ensure you have the most accurate information⬇️
https://t.co/oIcNiTghNF"
1242561661988491265,2020-03-24 21:19:20,"The Senate is close to a negotiated bill that provides funds for:
 
✅Small &amp; medium business to keep people employed
✅Health centers &amp; hospitals
✅Individuals &amp; families who need assistance
 
Let’s stop the political games and get Americans the help they need."
1242543185227845632,2020-03-24 20:05:55,RT @wjrradio: Where does the stimulus package stand? @RepPaulMitchell joins @newsGuy760 to update us on that now.
1242513044992819206,2020-03-24 18:06:09,"Today is #NationalAgDay. Thank you to our farmers, ranchers, and all agricultural workers who keep our food supplies stocked and American families fed. Now more than ever, we appreciate your dedication to maintaining reliable food supplies for our families. 🌾 🚜 https://t.co/fo1o3u8BnR"
1242456023195160581,2020-03-24 14:19:34,"It’s great to see stories of Michiganders coming together to support their neighbors and communities during these times. This story shows some important work that's going on in response to the Coronavirus, and demonstrates we are #InItTogether

https://t.co/Qast4RpSEe"
1242201639324434433,2020-03-23 21:28:44,The public health and economic stability of our nation are hanging in the balance. Let’s get rid of these (and many other) unrelated policy items and focus on helping American families who are looking to us to act. https://t.co/Zr1xZaZXkU
1242201638502371329,2020-03-23 21:28:44,"Why are Democrats trying to include provisions in their Coronavirus relief bill that have nothing to do with #COVID19? Here are a few: 
 
❌Wind &amp; Solar Tax Credits
❌Airline Emissions Standards 
❌A federal takeover of elections 

These have nothing to do with Coronavirus."
1242201637592207361,2020-03-23 21:28:44,"The Senate’s #Coronavirus relief bill includes provisions that Republicans and Democrats agree on, provisions that would quickly help workers, families, and small businesses. Unfortunately, Speaker Pelosi has abandoned this approach in favor of pushing partisan priorities."
1241025092131467266,2020-03-20 15:33:33,This is a welcome and necessary move. Yesterday @RepJoshG  and I sent a letter to the Treasury Secretary urging this action to give Americans flexibility during this time. Read the full letter ⬇️ https://t.co/N0f79JjUuj https://t.co/3TUSrZSW4u
1240735623423700992,2020-03-19 20:23:19,"🚨 Coronavirus Update: @SBAgov has approved Michigan’s request for an Economic Injury Disaster declaration. #SmallBusinesses looking to apply for these loans can visit the website below for more information and guidance. ⬇️
https://t.co/sYX9TQIPVg"
1240656756696649728,2020-03-19 15:09:55,"It's our responsibility to be reasonable consumers when shopping. While grocery shelves may appear empty, meat, dairy &amp; other producers are confident there are enough supplies to go around. Remember to be patient with &amp; kind to your local grocery stores.🛒
https://t.co/r082Fveb2t"
1240650835505360897,2020-03-19 14:46:24,RT @HouseVetAffairs: The @DeptVetAffairs is here to help in the midst of this pandemic and is posting regular updates on their website for…
1240360061412814848,2020-03-18 19:30:58,The #Michigan delegation just sent a letter to @SBAgov urging them to approve Michigan’s request for an Economic Injury Disaster declaration. This declaration will make it possible for #SmallBusinesses to access disaster based loans that will provide vital economic support. https://t.co/ckVAPPrYzh
1240312768315756546,2020-03-18 16:23:02,"Read my full statement.⬇️

https://t.co/hfQyDtfqmg"
1240312767476830212,2020-03-18 16:23:02,"If possible, taxpayers should continue to file their taxes by April 15 as normal. Many taxpayers will get refunds and this will help provide additional funding to families that need it. However, if an eligible taxpayer owes a tax payment, they have the option to defer."
1240312766679920644,2020-03-18 16:23:02,"Americans should be focused on the health and safety of their families and communities, and this move by the IRS gives much needed financial flexibility during this time. #COVID19"
1240312765912436738,2020-03-18 16:23:01,"🚨 #Coronavirus Update: Yesterday, Treasury Secretary Steve Mnuchin announced the IRS will defer tax payment due dates &amp; associated tax penalties for 90 days for individuals and small businesses. #COVID19"
1239995757807181824,2020-03-17 19:23:21,The full weight of the federal government is behind slowing the spread of #COVID19 and preparing our communities to cope with potential economic and public health consequences. I will continue to provide updates and resources as we work through this pandemic together.
1239995757119365126,2020-03-17 19:23:21,"The bill passed the House with wide bipartisan support, and is now awaiting passage in the Senate before it is sent to the President for his signature."
1239995756196626432,2020-03-17 19:23:20,"The Families First Coronavirus Response Act:

✔️ Bolsters unemployment insurance
✔️ Provides emergency nutritional assistance for vulnerable Americans
✔️ Ensures free #COVID19 testing for all Americans
✔️ Requires paid sick leave for impacted workers"
1239995755504508929,2020-03-17 19:23:20,#ICYMI: The House of Representatives voted last week to provide direct assistance to the American people during these unprecedented times driven by the #Coronavirus.
1239971007844069376,2020-03-17 17:45:00,RT @migov: .@mieducation announces an online map for the Unanticipated School Closure Summer Food Service Program (SFSP). Map helps familie…
1239966534069452805,2020-03-17 17:27:13,RT @CDCgov: Older adults appear to be twice as likely to have serious #COVID19 illness. Take everyday precautions to reduce your risk of ex…
1239957535064502280,2020-03-17 16:51:28,"If you’re a #SmallBusiness owner and looking for guidance and resources during this time, visit this site frequently for information and updates, since this will continue to evolve rapidly as Congress passes more legislation. #COVID19

⬇️⬇️⬇️
https://t.co/AqzApGuUW4"
1239907010277187586,2020-03-17 13:30:42,"RT @RepJoshG: In Case You Missed It:

As we continue to combat #coronavirus, I'm urging the IRS to extend the tax filing deadline by 90 day…"
1239669348417011722,2020-03-16 21:46:19,We must all do our part to mitigate the spread of #Coronavirus. See below for guidelines on how to slow the spread the disease. ⬇️ https://t.co/cvfnHHFP01
1239669082133315590,2020-03-16 21:45:15,This money will support public health leaders as they implement critical steps to contain the spread of the virus in our communities.
