id,created_at,text
1247233412815036417,2020-04-06 18:43:12,"Please check out my webpage at https://t.co/4rw1UGHNuw or contact my office to find resources available to local nonprofits responding to the #COVID19 pandemic.
2/2"
1247233410772406274,2020-04-06 18:43:12,"NONPROFITS: Tuesday, April 7 at 3PM, the National Council of Nonprofits will host a FREE webinar offering information on provisions of the #CARESAct and #FamiliesFirst Coronavirus Response Act and what they mean for your organizations.

Register below:
https://t.co/vHRyJ9XJ2q
1/2"
1247147681945980928,2020-04-06 13:02:32,"STARTING TODAY: The Capital Region will have a new #COVID19 drive-through testing site on the UAlbany campus. 

Individuals who would like to be tested must make an appointment by calling 888-364-3065.
https://t.co/lHCJbp0Dy0"
1246151509764722689,2020-04-03 19:04:06,"Companies can email Covid19supplies@esd.ny.gov or call 212-803-3100 to help alleviate this shortage and receive state funding.

Your vital efforts will protect our frontline medical professionals and save countless Americans."
1246151507839500290,2020-04-03 19:04:06,Many incredible companies in our Capital Region are working around the clock to manufacture critically needed supplies to fight the #COVID19 pandemic—but New York is in desperate need of more. https://t.co/gnmpF9J6IP
1245830778971357184,2020-04-02 21:49:38,"Social Security recipients WILL receive rebate checks automatically without having to take any extra steps.

This essential action taken will benefit so many Americans. Thanks @RepRichardNeal and my colleagues for their efforts to set this right.
https://t.co/zuy7Kl4BME"
1245807134958387200,2020-04-02 20:15:41,"The #CARESAct took vital steps to tackle #COVID19, but we must keep working to ensure our small communities do not miss out on needed resources &amp; funding.

That’s why I joined 120+ bipartisan members in a letter to make sure no American is left behind because of where they live. https://t.co/iE1uAoHQ7y"
1245473293773266944,2020-04-01 22:09:07,"HAPPENING NOW: I am hosting a Coronavirus Telephone Town Hall with local health and economic experts on #COVID19.

Follow the link below to listen to the conversation!

https://t.co/3yD7lpde4d"
1245441746647035908,2020-04-01 20:03:46,"HAPPENING SOON: I am hosting a Coronavirus Telephone Town Hall with local health and economic development experts as we provide information and updates about #COVID19.

Follow the link below to tune into the conversation!

https://t.co/3yD7lpde4d"
1245413421081931783,2020-04-01 18:11:12,"The #2020Census will determine over $1 TRILLION in federal funds to:

Disaster relief
Infrastructure
Schools
Hospitals
Seniors
Businesses
Transportation
Emergency response
AND MORE 

Help ensure our communities count by completing the Census at https://t.co/Mn9dudMR7e. #CensusDay https://t.co/J8HoKDn7i1"
