id,created_at,text
1247344760920182785,2020-04-07 02:05:40,"If we all do our part now, we can save lives and get back to life as we knew it sooner rather than later. Thank you @GovofCO for your leadership during this difficult time. #DoingMyPartCO #covid19colorado https://t.co/rhYiDlH9f4"
1247299571115573248,2020-04-06 23:06:06,RT @GovofCO: Join me tonight at 6:30 for an address to the state on COVID-19 in Colorado. https://t.co/KYfrbPec1O
1247282486859780098,2020-04-06 21:58:12,"This has been a harrowing experience for the Fellmans &amp; other families working to return to the US &amp; get home safely. My office has been working w/several CO families to try &amp; get them home as quickly as possible but it's certainly a difficult situation.

https://t.co/qvewIO8HXY"
1247268538433355777,2020-04-06 21:02:47,"Click below for answers to your face mask questions including how to wear it, how it protects you and how to care for it. #ColoradoMaskProject #DoingMyPartCO 
https://t.co/2Lo8goKwpC"
1247222447696461825,2020-04-06 17:59:38,"I found the perfect use for this balaclava in April, compliments of the National Ski Patrol. 

What are you using for your homemade face mask? 

 #ColoradoMaskProject #DoingMyPartCO #COVID19Colorado https://t.co/QV9ZiATQCH"
1246929357303623680,2020-04-05 22:35:00,"Thank you to many of our local distilleries who have stepped up to meet the needs of our community and provide an alternative source for hand sanitizer. #DoingMyPartCO
https://t.co/beP79SNj8U"
1246838760576344064,2020-04-05 16:35:00,"The #COVID19Colorado pandemic has brought tremendous acts of kindness &amp; generosity for the greater good of our community. Thank you to Hestra for donating these gloves &amp; protective equipment to protect our police officers &amp; firefighters. #DoingMyPartCO 
https://t.co/VevnWfkbF0"
1246832468914769922,2020-04-05 16:10:00,RT @DORAColorado: DORA’s Public Utilities Commission and the Office of Consumer Counsel want you to be aware of scammers targeting utility…
1246786106630307841,2020-04-05 13:05:46,"RT @GovofCO: Be creative about your masks! Whether it’s an old t-shirt or a ski buff, I’d love to see what you come up with! Get creative!…"
1246422700135985152,2020-04-04 13:01:43,"Inspector General Atkinson was a public servant who did his job to protect the Constitution &amp; our national security, In the midst of a global pandemic, @realDonaldTrump prioritizes this act of retaliation and continues to act as if he is above the law. https://t.co/nxlR5JhDpm"
1246253906470019072,2020-04-04 01:51:00,"Birthdays can be difficult to celebrate during this time but thank you to these #Arvada police officers for going above and beyond to help celebrate Susie's 102nd birthday. #DoingMyPartCO
https://t.co/d0FhicC5Yo"
1246200131801829376,2020-04-03 22:17:19,RT @CDPHE: Use a cloth face covering when going out for necessary items like groceries or medications. It helps protect you and others. Lea…
1246193972877430795,2020-04-03 21:52:50,You can make your own mask without leaving your house. This is another important step to help contain the contagion but does not take the place of any other measures such as social distancing or no large gatherings. #COVID19Colorado #DoingMyPartCO https://t.co/pm768TM8EC
1246156599250599937,2020-04-03 19:24:20,"This includes Adams 12 Five Star Schools, Adams 14 Schools, Jeffco Public Schools, Mapleton Public Schools, and Westminster Public Schools. Classrooms will remain closed and online learning will take its place for the remainder of the school year. https://t.co/rWdsUi5Kor"
1245826990176743424,2020-04-02 21:34:35,Good news! Enroll today to ensure you and your family have coverage starting May 1st. #COVID19Colorado https://t.co/eJ8nXZluuR
1245796744597835778,2020-04-02 19:34:24,RT @CDCgov: Social distancing can help slow the spread of #COVID19 in affected communities. This means avoiding crowded places and maintain…
1245753358142455809,2020-04-02 16:42:00,Thank you for having me on this morning. Congress is continuing to work to address the various public health and economic issues associated with the #COVID19 pandemic. It won't be easy but we will get through this together. #COVID19Colorado https://t.co/jjPOVJ0E1v
1245734175837167618,2020-04-02 15:25:46,IMPORTANT: Social Security beneficiaries who are not typically required to file tax returns will not need to file an abbreviated tax return to receive an Economic Impact Payment. Payments will be automatically deposited into their bank accounts. https://t.co/BIDvYPQN0U
1245443056507203584,2020-04-01 20:08:58,"I filled out my #2020Census. Have you?

I know many in our community are concerned about the capacity of our hospitals right now. This is your chance to ensure we receive critical funding for hospitals, schools &amp; roads. 

Fill out your #2020Census TODAY @ https://t.co/DShNvaJs1C. https://t.co/WLlhg6WuL1"
1245432609808793608,2020-04-01 19:27:27,"RT @DenverChannel: Today, April 1, is #CensusDay, the date the government uses as a reference for the once-a-decade headcount.

You've prob…"
1245384175596630017,2020-04-01 16:15:00,"Have you been counted yet? 

As we deal with the impacts of #COVID19, it's important to remember the funding and resources for our communities is based on 2010 Census data. Let's make sure our community gets its fair share for the next 10 years. #WeCount https://t.co/YJcMC1ZEXH"
1245379940343844864,2020-04-01 15:58:10,@73lanthony I would reach out to the state's Innovation Response Team by visiting https://t.co/9Pj94s76iP.
1245353453658034179,2020-04-01 14:12:55,"This is devastating. I'm glad it appears no one was hurt but this is a big loss for our community.

https://t.co/Qg1oHwkpd8"
