id,created_at,text
1246920972030160900,2020-04-05 22:01:41,I'm live now on Facebook to answer your questions and give an update on the coronavirus situation in our region. Join me here: https://t.co/U5k7p22861
1246149074656600071,2020-04-03 18:54:26,"The #PaycheckProtectionProgram is a no-fee, forgivable loan program and applications are open today! Inland Empire businesses affected by the coronavirus crisis can learn more here: https://t.co/k9mzBftPNR https://t.co/lxqyufIiki"
1245882161816895488,2020-04-03 01:13:49,"I'm live now on Facebook taking your questions about the federal response to the coronavirus crisis and the resources available in our community. 
Join me here: https://t.co/HXyxCPCmv2"
1245857111130562561,2020-04-02 23:34:16,See you soon! https://t.co/P6RWdhoS1Q
1245830485600645122,2020-04-02 21:48:28,"If your small business has been affected by the coronavirus crisis, the Paycheck Protection Program might be able to help by providing forgivable loans to cover payroll and operating costs. The application period opens tomorrow, April 3. More info here:https://t.co/bAA4wsMDmH"
1245448694507462658,2020-04-01 20:31:22,"🚨TODAY IS CENSUS DAY🚨

From schools to hospitals, an accurate census count determines the amount of federal resources that go to key services in our community. You can fill out your #Census2020 form today or anytime in the next few weeks at https://t.co/48YUCj4asb."
1245408508482392064,2020-04-01 17:51:41,"Tomorrow at 6:00PM, I'll be live on Facebook to answer your questions about the federal response to the coronavirus crisis and resources available for affected workers and small business owners in the Inland Empire. What are some of the questions you'd like answers to? https://t.co/OhcudBzxlg"
1245382343386374144,2020-04-01 16:07:43,"Due to the coronavirus crisis, we’ve had to make some changes to this year’s Congressional Art Competition. Find out more here: https://t.co/5SyW2yZNT6 https://t.co/DY0OHVQMn9"
1245092456770740225,2020-03-31 20:55:49,"These are difficult and unprecedented times, but we're seeing members of our community step up to meet the challenge. Find out how you can safely give back here.
https://t.co/gfmb9eSDbJ"
1245044575472963587,2020-03-31 17:45:33,"Nobody's a more dedicated public servant or answers the call for his community and country like @RepMaxRose. There's no one I'd rather have fighting for us (pound for pound, that is). https://t.co/11Bk7CvN5q"
1244734408982134790,2020-03-30 21:13:03,"To ensure the health and safety of census employees and postal workers, the best way to fill out your #2020Census is online. It only takes a few minutes, and is one of the best ways you can support our community today! https://t.co/cLzz5FUrnG"
1243676283684429826,2020-03-27 23:08:27,👇👇👇 https://t.co/9aeq8D3xeQ
1243625303563534337,2020-03-27 19:45:52,"Today, I voted to ensure the Inland Empire will be able to stay afloat during this crisis. From direct cash payments to working Americans, to increased funding for our hospitals, this bill gives our community the resources we need to meet this challenge. https://t.co/rfjXTN6Wxr"
1243563739732946949,2020-03-27 15:41:14,"I’m back in Washington today to help pass the CARES Act, crucial legislation to provide immediate financial relief to working Americans, support for small businesses, increased funding for our health care systems and much more. https://t.co/Ekbehse3av"
1243240711237054466,2020-03-26 18:17:38,"In the midst of this crisis, I'd like to take a moment to thank the health care workers who are working the long hours to keep our country and our communities safe. Thank you for all you do. https://t.co/QpqrokObQt"
1242921043863502850,2020-03-25 21:07:23,"Whether you're an employee facing layoffs or reduced wages, or a small business owner unsure what the next steps are, there are resources available to help Inland Empire residents navigate this crisis. Visit my website to learn more. https://t.co/JnxSqad4gD"
1242207774387441664,2020-03-23 21:53:07,"I'll be joined tonight by Corwin Porter, Assistant Director of the San Bernardino County Department of Public Health and Dr. Veronica Kelley, Director of the County's Department of Behavioral Health. Dial-in info at the link below: https://t.co/hlGW76remm"
1241106869453717504,2020-03-20 20:58:30,"On Monday, March 23rd from 6-7pm, I'm holding a telephone town hall to answer your questions about the coronavirus crisis and share resources available to our community. More here:
https://t.co/kXWzCygx42"
1241062250334629898,2020-03-20 18:01:12,"Giving blood saves lives, and together we can work to end the shortages blood banks like @lifestreamblood are facing. Right now, it’s more important than ever to do what we can to help those in need. Visit https://t.co/uNUJaJTDSL to make an appointment! https://t.co/VuymiovGgL"
1240751154000269312,2020-03-19 21:25:01,"From guaranteeing paid sick leave to strengthening unemployment programs, the #FamiliesFirst Coronavirus Response Act helps working families access the resources they need to meet the challenges posed by the spread of #COVID19. https://t.co/HYo2T6oCIL"
1240420239696973824,2020-03-18 23:30:05,"Wishing you a speedy recovery, my friend. Thanks for setting an example for how we can beat this thing together. https://t.co/Jf5caqe6Vn"
1240358743382069252,2020-03-18 19:25:43,"If you have any questions or need assistance, please contact our team at (909) 890-4445 or by email at RepPeteAguilar@mail.house.gov. Our staff is available to help Inland Empire residents during this difficult time. Please don’t hesitate to contact us for assistance. (7/7)"
1240358742182580224,2020-03-18 19:25:43,"VETERANS
To help limit the spread of COVID-19 throughout our veterans' health system, veterans feeling symptoms such as shortness of breath, cough, or fever should call the Loma Linda VA at (909) 825-7084 ext. 5085 prior to visiting a medical center. (6/7) https://t.co/KrgOBLP5kV"
1240358741058433024,2020-03-18 19:25:43,"SMALL BUSINESSES
Resources are available for small businesses affected by recent closures and restrictions. The Small Business Administration is now offering Economic Injury Disaster Loans to businesses in need of assistance.(5/7)https://t.co/qXw0rbFEEH"
1240358739678572547,2020-03-18 19:25:42,"MEALS FOR STUDENTS
There are meals available to students in our region through individual school districts. For hours and locations, visit your school district's website. Links to each district website for CA-31 are available here at the link below. (4/7) https://t.co/j9J84Wov8S"
1240358738600566787,2020-03-18 19:25:42,"PUBLIC HEALTH INFORMATION
Further guidance on how to best care for yourself and your loved ones, including what to do if you feel sick, can be found though the San Bernardino County Department of Public Health coronavirus information website. (3/7) https://t.co/bJmR3T9Txg"
1240358737610706945,2020-03-18 19:25:42,"If you have non-medical questions about COVID-19, its effects in our community or resources available, I encourage you to call the San Bernardino County Department of Public Health's coronavirus hotline at (909) 387-3911 or email coronavirus@dph.sbcounty.gov (2/7)"
1240358736520249345,2020-03-18 19:25:42,"THREAD: From free meals for students to financial assistance for small businesses, there are resources available for San Bernardino County residents affected by coronavirus. These resources can be found on my website as well as in this thread. (1/7) https://t.co/j9J84Wov8S"
1240093878792921095,2020-03-18 01:53:15,"I guess “warp speed” means after a weekend off and two days of debate for @SenateGOP. 
https://t.co/bkJueDYSFA"
1239995220915339264,2020-03-17 19:21:13,"If you have questions about COVID-19 or resources available in our community, the County of San Bernardino has set up a coronavirus hotline at (909) 387-3911. 

For medical calls, or if you are feeling sick, you should contact your health care provider. 
https://t.co/bJmR3T9Txg"
1239634134064074757,2020-03-16 19:26:23,"The effects of coronavirus have forced every American to make sacrifices, but we will get through this. By following the guidance of experts and working together to practice social distancing, we can overcome this crisis. https://t.co/HqTT0gRkry"
1238693806767321089,2020-03-14 05:09:52,"From providing free testing to guaranteeing paid sick leave, this was an important step toward making sure American families have the resources they need to overcome this crisis. #FamiliesFirst https://t.co/4qJAqKsqDu"
1238564913620176897,2020-03-13 20:37:41,That’s not how this works. https://t.co/ABlb30k8A3
1238528757599789058,2020-03-13 18:14:01,"Check your mailbox! An important letter with instructions on how to participate in the #2020Census is on its way and may have already arrived. For more info, visit https://t.co/48YUCj4asb https://t.co/eZ4FbONYFh"
1238225838795079681,2020-03-12 22:10:19,The #FamiliesFirst Coronavirus Response Act would give our community the tools we need to take this crisis head on. Congress must pass this legislation to provide free coronavirus tests for those who need them and paid sick leave for working Americans. https://t.co/FGibQK9Y5a
1238174078181298178,2020-03-12 18:44:39,"Discrimination has no place in our efforts to combat coronavirus. As we continue to work together to ensure the health and safety of our communities, we must also stand together against racism and xenophobia. https://t.co/DROLYP4lIY"
1237843392257617921,2020-03-11 20:50:37,"Today, the Acting Director of ICE confirmed what we already knew—the Trump Administration cannot be trusted to #ProtectDreamers. The Senate must take up the Dream and Promise Act immediately to ensure #DACA recipients can live without the fear of deportation. https://t.co/hIqky5Yag8"
1237842190887350286,2020-03-11 20:45:50,RT @UNITEDWEDREAM: THANK YOU @RepPeteAguilar for asking the right questions and pressuring the acting director of ICE Matthew Albence to co…
1237796746958438402,2020-03-11 17:45:16,This is why @HouseDemocrats passed the Dream and Promise Act. #DACA recipients deserve to know they won’t lose the futures they’ve built here. https://t.co/6owduwhRJD
1237081767347130369,2020-03-09 18:24:11,"The risk to San Bernardino County residents is still low, but it's important to be prepared and take the necessary precautions. Visit the link below for a list of local resources and information on COVID-19. https://t.co/bJmR3T9Txg"
1235614494757474305,2020-03-05 17:13:46,This isn’t the time for misinformation or “hunches” from the president. This is the time to empower experts and listen to what the science is telling us. https://t.co/l2kcrcKjgy
1235320317939265540,2020-03-04 21:44:49,"Solving homelessness in regions like the Inland Empire will require bipartisan cooperation and an innovative approach. As Vice Chair of @AppropsDems, I'll continue working to ensure Congress and the Trump Administration stay focused on this issue. https://t.co/kgyZizWWR3"
1235263322875924481,2020-03-04 17:58:20,Hey @Dodgers should I just grab this for you now? https://t.co/U3bRHS1Kfv
1234930861314801671,2020-03-03 19:57:15,"ICYMI: Our region recently got a big boost for local housing and jobs programs as a result of the funding packages put together last year by @AppropsDems. 
Read more here⬇️⬇️⬇️ 
https://t.co/It1SRP8k2s"
1234557771737190402,2020-03-02 19:14:44,RT @City_of_Upland: https://t.co/B9FMR8DFK4
1233522977913872391,2020-02-28 22:42:50,"As we continue to monitor and learn more about #COVID19, there are important steps you can take to keep yourself and your family healthy. 

➡️Wash your hands regularly with soap and water
➡️Disinfect frequently-touched surfaces
➡️Avoid touching your eyes, nose and mouth https://t.co/Y3ndLDAQbP"
1233459160278339587,2020-02-28 18:29:15,"I'm proud to announce over $900,000 in federal funding to help working families in our region find good jobs and affordable housing. I'll continue to advocate for programs that give every Inland Empire resident an opportunity to succeed. https://t.co/KsYV96Zdgw"
1233147987477569537,2020-02-27 21:52:45,"I've seen enough. This pattern of harassment and abuse is unacceptable, and Mayor Valdivia needs to step down immediately. I believe these women, and I admire their courage to come forward. https://t.co/RtnjXoH1Ow"
1232779013560655873,2020-02-26 21:26:35,"Whether they want to admit it or not, the Trump Administration's #RemainInMexico policy puts asylum seekers and refugees in harm's way. These are people fleeing unimaginable violence in their home countries. They should not be subjected to that same violence when they reach ours. https://t.co/WaCJmp0eqc"
1232772639581753349,2020-02-26 21:01:15,RT @MSF_USA: @humanrights1st @RepPeteAguilar @KennjiKizuka Here's the MSF report on the damaging health impacts of US-Mexico migration poli…
1232772589577261059,2020-02-26 21:01:03,"RT @humanrights1st: 👀
Glad to see congress holding the responsible accountable. Our team has documented over 800 cases of violent attacks o…"
1230538868966985729,2020-02-20 17:05:03,It was great to be back at my alma mater this week to talk with students about what's going on in Congress and answer questions about some of the issues facing our community. Thanks to @UofRedlands for having me! https://t.co/go7CvAXoOj
1228544683544064000,2020-02-15 05:00:52,"Roses are red
Violets are blue
I love job training programs 
And you should too! 

Thanks to Inland Empire Job Corps for the #ValentinesDay cards! https://t.co/QZ9bpgiD9m"
1228047073687298049,2020-02-13 20:03:33,"Today we took an important step forward in the fight for full equality for all Americans. There's still work to be done, but I was proud to support this legislation to make men and women equal under the Constitution. #ERANow 
https://t.co/Umk6B31njt"
1227710271650762753,2020-02-12 21:45:13,"From fighting to desegregate our region's schools to restoring the statue of Dr. King in San Bernardino, Frances Grice's advocacy made her a hero in our community. During #BlackHistoryMonth, we honor her legacy.   https://t.co/rUYSuOOvWg"
1227675402992332802,2020-02-12 19:26:39,RT @HispanicCaucus: Trump's #RemainInMexico - now in effect for over 1 yr - has caused human &amp; civil rights violations &amp; suffering of nearl…
1227368754318905344,2020-02-11 23:08:09,Great meeting today with @ChrisEvans and @MarkKassen to talk about bipartisanship and making progress in Congress. Also top secret Avengers training. But mostly bipartisanship. https://t.co/eLmtpss9bN
1227326893868933120,2020-02-11 20:21:48,"I was proud to advocate for this funding, which will help our region's homeless veterans and families access the housing and resources they need. https://t.co/UQchl2eV6n"
1226957205712392192,2020-02-10 19:52:48,"Despite his promises, the #TrumpBudget cuts billions of dollars from programs like Social Security. These benefits are earned over a lifetime of work, and I won't stand by while the president tries to take them away. https://t.co/U9bjINU6sw"
1225170641852293120,2020-02-05 21:33:38,"The story of the Latino experience in our country is complex and inspiring, and it deserves to be told. Today, we took another step toward establishing the National Museum of the American Latino on the National Mall. https://t.co/aJv9uWfEN0"
1224905343672692736,2020-02-05 03:59:26,My full response to the president's #SOTU : https://t.co/BtRB2AbE27
1224750810745200646,2020-02-04 17:45:22,The #2020Census will shape the future of our region. That's why I'm working to make sure every Inland Empire resident is counted. Listen to the full @EmpireKVCR story on my latest Census workshop here: https://t.co/on617DfO2y
1224736948172087296,2020-02-04 16:50:17,RT @SBCFireChief: Honored to represent the women and men of @SBCOUNTYFIRE and the California Fire Service at next weeks #2020SOTU. Thank yo…
1224407205962797058,2020-02-03 19:00:00,"This year, one of the best ways to help improve our region is to spread the word about the #2020Census. Help me make sure every member of our community is counted. https://t.co/wX3LvRVZ5p"
1223372347111100416,2020-01-31 22:27:51,I'm proud to announce that San Bernardino County Fire Chief Daniel Munsey will join me at the president's State of the Union address next week. Read more here -&gt; https://t.co/q36JINCxyf
1222967454659465217,2020-01-30 19:38:57,RT @MENTORnational: Thanks to @reppeteaguilar for meeting with us today to talk about youth mentoring priorities! #MentorIRL #MentoringSumm…
1222922095409221632,2020-01-30 16:38:42,"Molly, a former shelter dog and now our official office greeter, was very excited to learn I got a 100% on the @HumaneSociety legislative scorecard. My favorite meeting of the day so far. https://t.co/cWHISQhDjJ"
1222647751525060610,2020-01-29 22:28:34,The only thing more impressive than Varun's coding ability is his drive to fight climate change by educating his community. Proud to name him as the winner of this year's Congressional App Challenge. https://t.co/dthRIZuXeH
1221919946042761217,2020-01-27 22:16:31,"Our country was founded on the principle that anyone, from anywhere, can work to build a better life here. I’m tired of the Trump Administration rewriting American values. https://t.co/ker47rAc14"
1221559660035166208,2020-01-26 22:24:53,I’m heartbroken by the news of Kobe Bryant’s passing. Kobe’s legacy means so much to so many kids from Southern California. My thoughts are with the Bryant family. #RIPKobe https://t.co/ApKWOSpuPg
1220811639836024834,2020-01-24 20:52:31,DACA recipients represent some of the best and brightest young people in our communities. This country is their home. We must stand up and speak out against the Trump Administration's constant attacks against Dreamers. https://t.co/wCMUwkhGms
1220102823880404999,2020-01-22 21:55:56,"I’m proud to announce this funding for our region, and I look forward to seeing more Inland Empire residents become homeowners as a result. https://t.co/NjotUVmoPB"
1220062856940597250,2020-01-22 19:17:07,"Today marks the anniversary of #RoevWade. 

I won't stop fighting to make sure all Americans have access to the quality reproductive health care they deserve. #ProtectRoe https://t.co/9npRm7BgcL"
1219689070034595840,2020-01-21 18:31:49,"Proud to have earned an ""A"" on the End Citizens United Action Fund's Congressional Scorecard for fighting the influence of dark money and working to increase transparency in our elections. My priority will always be standing up for Inland Empire residents, not special interests. https://t.co/y93hW4kcmj"
1219390871549988867,2020-01-20 22:46:53,"Dr. King dedicated his life to the fight for equality, justice, and the opportunity to succeed for every American. Today as we honor his life and legacy, we must also recommit ourselves to his cause. https://t.co/nElxxvLJdp"
1217907110836604928,2020-01-16 20:30:57,"Borrowers shouldn't be weighed down by student loan debt after they've been defrauded by for-profit colleges. Today, the House voted to reverse Secretary DeVos' latest attempt to put for-profit institutions ahead of students. https://t.co/Nn8rqiCgo5"
1217855151685414914,2020-01-16 17:04:29,"Last month, we lost a hero. Tim Staples lived a life of selfless service dedicated to his students, friends, family and community. His loss is a tragedy for all of San Bernardino County. https://t.co/hcBPNsm9J0"
1217218006608228352,2020-01-14 22:52:42,"The president is trying to take money from the men and women of our military to build a wall that’s already proven to be useless. Remind me—how does this make us safer, @realDonaldtrump?
https://t.co/i382raZDBu"
1216830269535268866,2020-01-13 21:11:58,"The president has spent most of his time in office trying to take health care coverage away from millions of Americans, including those with pre-existing conditions. We’re not going to let that happen.
https://t.co/Z1meHvJE5U"
1216782529388318722,2020-01-13 18:02:16,There's still time to #GetCovered for 2020! Visit @CoveredCA to find a health care plan that works for you and your family. https://t.co/LLi4P9Te3v
1214598283206762497,2020-01-07 17:22:51,"By ignoring this problem, the Trump Administration will only make it worse. We should be working to end patterns of segregation to make sure every American has fair access to housing. 
https://t.co/MQG1wKfSyD"
