id,created_at,text
1246115199960178688,2020-04-03 16:39:50,RT @CardinalDolan: Thank you @realDonaldTrump for including not-for-profits and religious institutions in the stimulus package! They are mo…
1246100918787084290,2020-04-03 15:43:05,Commend religious leaders including @CardinalDolan &amp; Rabbi @JoePotasnik for advocacy efforts to obtain lifesaving supplies for NY. Thank God for them!
1246061184035500033,2020-04-03 13:05:11,"Sincere thanks to engineers, conductors, and all track, platform and station workers and every transit employee who keep the @LIRR &amp; @NYCTSubway running during pandemic. Really appreciate you!"
1245730984500367363,2020-04-02 15:13:05,"Congress must take urgent action to protect painters and other building trades on healthcare, wages, pensions and infrastructure. Urgent!"
1243595215828549635,2020-03-27 17:46:18,"House passes pandemic emergency bill. Victory for America. Large number of Congress Members had to be in House Chamber and risk infection to themselves &amp; others because of 1 arrogant Member. If anyone gets infected, blood is on @RepThomasMassie’s hands!"
1243492216720539653,2020-03-27 10:57:02,Heading to Washington to vote on pandemic legislation. Because of one Member of Congress refusing to allow emergency action entire Congress must be called back to vote in House. Risk of infection and risk of legislation being delayed. Disgraceful. Irresponsible.
1242790629274464258,2020-03-25 12:29:10,Essential that Senate pass Stimulus Bill ASAP. NY &amp; LI being hit so hard by virus. Emergency funding absolutely vital! Must work together &amp; stand united!!
1242155160731869185,2020-03-23 18:24:03,I support lockdown policies but if curve levels out vital to ease some restrictions to save economy &amp; restore sense of normalcy. US/NY has lower fatality rate than other countries. @NYGovCuomo talks of “risk stratification”; @POTUS Trump warns of cure not being worse than disease
1241725078955573249,2020-03-22 13:55:03,Proud to stand in bipartisan solidarity with @RepJeffries from Brooklyn who is Caucus Chair of Democrat Conference. We are urging both party leaders to fully fund @MTA. @LIRR is essential to transporting healthcare workers and first responders. https://t.co/weLveCUCTU
1241041211139469312,2020-03-20 16:37:36,Orders issued today by @NYGovCuomo today are tough but essential to control and crush Coronavirus. Excellent NY leadership. Must have learned it in Queens!!
1240653692975661057,2020-03-19 14:57:45,Americans always show strength and basic decency in time of crisis. Are doing it again and will come through Coronavirus stronger than ever! Never give in!! God Bless America!!
1240264079039778818,2020-03-18 13:09:34,Kudos to @POTUS Trump and @NYGovCuomo for working together vs. Coronavirus. America at its best. This is what we need to defeat virus and save lives. God Bless America!!
1240036086946181121,2020-03-17 22:03:36,Time for millennials on spring break to grow up. Stop swarming beaches and bars and spreading Coronavirus. Forget your selfishness. Show some responsibility like previous generations made America greatest nation on earth.
1240027987573178370,2020-03-17 21:31:25,Thoughts and prayers for family of John Venditto. Good man and good friend. John Venditto R.I.P.
1239609595015974912,2020-03-16 17:48:52,Islip Terrace teenager Janissa Lloyd is an outstanding advocate for the Down Syndrome community. Met with Janissa and her mother Elvia today as I do every year to honor #WorldDownSyndromeDay. Wish Janissa all the best! https://t.co/jh6eOZDYjN
