id,created_at,text
1247305747295350784,2020-04-06 23:30:38,"As we continue to fight COVID-19, it is important that we remember to thank the farmers, grocery store employees, truck drivers, and warehouse operators who are working tirelessly to keep food on our tables. We are so grateful to all of these incredible Americans! https://t.co/nRB1JxnD90"
1247201239152111617,2020-04-06 16:35:21,"Visit my official coronavirus resources page to learn more about how the recently passed CARES Act will help you and other important resources. This page is updated every day. 

Please reach out to my office at 202-225-6211 if you have further questions. https://t.co/Kji0yblYX5"
1246154687763660800,2020-04-03 19:16:44,"Today is the first day small businesses can apply for loans under the Paycheck Protection Program! These loans will be FORGIVEN IN FULL so long as they are used for payroll, mortgage, rent, or utilities.  

Visit https://t.co/LY0PPpkfX3 to learn more. https://t.co/nSZBqWqHCb"
1246117868351168513,2020-04-03 16:50:26,Be sure to tune in! https://t.co/xFKVOgYPhL
1245829503902875648,2020-04-02 21:44:34,"Scammers are using illegal robocalls to profit from coronavirus-related fears, so I joined a bipartisan group of lawmakers in sending a letter urging the FCC &amp; DOJ to take all necessary steps to protect Americans from these terrible scams. Read the letter: https://t.co/wlysGici0x"
1245758356683448320,2020-04-02 17:01:51,Important update for Social Security recipients. You do NOT need to file a tax return to receive an economic impact payment. https://t.co/kPrxOTj4SB
1245404421850365953,2020-04-01 17:35:27,"Last Friday, the CARES Act passed out of the House &amp; was signed into law by @POTUS. This legislation created the Paycheck Protection Program, which provides impacted small businesses with funds to pay up to 8 weeks of payroll costs. Learn more here: https://t.co/QndSJazTA8"
1245062639711145986,2020-03-31 18:57:20,RT @GovTimWalz: Stay At Home should never mean you stay somewhere unsafe. There are places of sanctuary open for anyone facing abuse or vio…
1245046644975992833,2020-03-31 17:53:46,"Your voices matter, which is why I urge residents of Minnesota’s Eighth District to fill out the #2020Census! 

You can find more information at https://t.co/RqA1gmtwyG. https://t.co/jlg6CFkm7e"
1244747047690960898,2020-03-30 22:03:17,"This afternoon, my wife Jodi, my son Levi, and my staffer Isaac joined me in donating blood at the Memorial Blood Center in Duluth.

Our nation is facing a severe blood shortage due to COVID-19. If you are healthy and able, I encourage you to consider donating blood. https://t.co/soy56ZOLUe"
1244708571008417795,2020-03-30 19:30:23,"On National Doctors Day, I want to thank Minnesota’s doctors and medical professionals on the front lines! We will win this fight against COVID-19 because of your compassion and professionalism. https://t.co/bTKk1b5euB"
1244660218014941190,2020-03-30 16:18:15,"Attn residents of #MN08: tonight at 6:00 PM CT, I will host a live telephone town hall to discuss COVID-19. During this call, you will have the chance to ask me your questions directly. To join this event, fill out the following form: https://t.co/u9HxGcnFWf"
1244642956059049985,2020-03-30 15:09:39,"Over the past few weeks, it has been wonderful to hear stories of neighbors helping neighbors in communities across Minnesota and beyond.

If you are wondering how you can help and where to donate, click the following link: https://t.co/QxTms1l9xj"
1244349534316253184,2020-03-29 19:43:42,"On Friday, major COVID-19 relief legislation was signed into law. But what does this legislation mean for you? 

Please take a look at the following link, which will continuously be updated w/answers to frequently asked questions about the CARES Act. https://t.co/kuR9g5zOHe"
1243610222091997184,2020-03-27 18:45:56,"Great news! The CARES Act passed out of the House with strong bipartisan support and is now headed to President Trump's desk. 

With its passage, my message to all Minnesotans is this: relief is on the way.

Read my full statement HERE: https://t.co/oEEPNHlO42"
1243515505530601473,2020-03-27 12:29:34,RT @RepDustyJohnson: A bipartisan (and socially distanced) flight to DC this morning to vote on Coronavirus economic relief. @RepPeteStaube…
