id,created_at,text
1246609613874749441,2020-04-05 01:24:27,Incredible! 🇺🇸 https://t.co/khxh2uIuIm
1246173403964411907,2020-04-03 20:31:06,RT @FreedomWorks: FreedomWorks is proud to honor @RepRalphNorman (R-S.C.) as our member of the month for April 2020! #ampFW https://t.co/MS…
1246152015329112064,2020-04-03 19:06:07,"@annamarienzi @LeadershipInst Thank you, Annamarie! 🇺🇸"
1246151132143144962,2020-04-03 19:02:36,"I am honored by this recognition from @FreedomWorks for my leadership in Congress on limiting government spending.

So much work is still to be done, we all have a part in fiscal restraint for a brighter future.

🇺🇸 #FreedomFighter https://t.co/5FVR7ColSN"
1245890927694135303,2020-04-03 01:48:39,"Transparency and accountability saves lives. China’s authoritarian and closed system has cost the world great suffering. 

The Chinese government should be held responsible for its censorship and false propaganda.

#WeWontForget https://t.co/pAMRkEHxpv"
1245398365489303554,2020-04-01 17:11:23,"It takes less than 10 minutes, and is one of the easiest responsibilities you have as an American citizen. 

While you're staying safe inside, why not take a moment to complete the #2020Census?

https://t.co/Pql7cRWY6u"
1245390613132034048,2020-04-01 16:40:35,"LIVE now with @jimmyfailla on Fox Across America 📻

https://t.co/AWRTOKUfcU"
1245147470574870528,2020-04-01 00:34:25,"🚨BREAKING🚨

South Carolina Governor @henrymcmaster has order all non-essential businesses to be CLOSED effective Wednesday, April 1st due to #COVID19 

Details:
https://t.co/NFeLWr0Rbx https://t.co/0uhHBhNOes"
1244787908999098368,2020-03-31 00:45:39,"To all of our doctors and health care workers on the front lines, we salute you. 

You are our strongest warriors against today’s most unjust enemy. Because of you, we will get through this. Thank you! 

#NationalDoctorsDay"
1243600582545485824,2020-03-27 18:07:38,"This was a critical day for the House of Representatives. 

While I disagree with some provisions in this bill, the good far outweighs the bad. 

It’s the right thing to do because Americans need relief and it’s about time they get it. #CaresAct https://t.co/dqag5iN5NK"
1243291553445052418,2020-03-26 21:39:40,"We also must be prepared down the road to address federal spending and debt, lest we not be able to respond the next time an unforeseen crisis hits."
1243291551574491139,2020-03-26 21:39:39,"Although the bill is not perfect, I am supporting its passage in the House.  For the good of the nation there must be compromise, particularly in this time of crisis. #CARESact

https://t.co/63Ai7cNKXB"
1243259514457075712,2020-03-26 19:32:21,RT @AdamNewshound12: INBOX: @RepJeffDuncan and @RepRalphNorman among lawmakers airing concerns to @TheJusticeDept over expanded police powe…
1242928615702044677,2020-03-25 21:37:29,"To all of our #heroes, thank you!🇺🇸 https://t.co/F605SRpiT9"
1242820047606874116,2020-03-25 14:26:04,"Incredible to see the community coming together to defeat our common enemy. 

We need more of this! Well done, Composite and CAT resources.👏#InItTogether https://t.co/gxWPin8z8m"
1242480693558591488,2020-03-24 15:57:36,"Thank you to #farmers across South Carolina who continue to work around the clock to put food on our table.

We owe you now more than ever🇺🇸 https://t.co/ZIQsUsnaxd"
1242234513452826625,2020-03-23 23:39:22,"In the midst of a crisis, Nancy Pelosi &amp; Co. are actively engaged in mindless obstruction. 

Her 1,119-page version of Bill #3 in the House is truly outrageous. Check out a few of her baked in items. 

https://t.co/TDh1h6M8ar"
1242191443365683204,2020-03-23 20:48:13,"It's truly remarkable to see how many people are reaching out to my office to ask how they can help the community &amp; our nation combat #COVID19. 

If you or your business are willing &amp; ready to assist in relief efforts, please see ➡️ @fema for #HowToHelp https://t.co/6BV6UQp9g2"
1241887574949597184,2020-03-23 00:40:45,LIVE now on @BreitbartNews Sunday 📻
1241887316307820544,2020-03-23 00:39:44,"RT @SiriusXMPatriot: Coming up on @BreitbartNews Sunday with host @joelpollak, @SenRickScott, @mcuban, @LilaGraceRose, @Paula_White, @SenBi…"
1241151259568148487,2020-03-20 23:54:54,"RT @henrymcmaster: Tonight, two more South Carolinians have succumbed to COVID-19.  Please join me in praying for their families and for th…"
1241151237602639873,2020-03-20 23:54:49,RT @henrymcmaster: The time is now for everyone to take this situation seriously and to follow the instructions of national and state offic…
1241138264200880128,2020-03-20 23:03:16,Thank you! 🇺🇸 https://t.co/wkKVRgwfTS
