id,created_at,text
1247281083596578822,2020-04-06 21:52:38,"#ICYMI: My sisters in service @RepAOC and @RepPressley urged House leadership to mandate the @federalreserve save them from financial collapse: https://t.co/RBIifyDDdq.

And I expanded on this need in an @FreepOpinion piece you can read here: https://t.co/tYvRsr1iTp. #MinttheCoin"
1247281081772056580,2020-04-06 21:52:37,A cornerstone of my work since the onset of the #COVID19 pandemic has been centered on making sure our state and local governments are provided economic relief in much the same way big banks were during the Great Recession. https://t.co/mj1r3LF39O
1247184907153092608,2020-04-06 15:30:28,"Our seniors are among the most vulnerable in the #COVID19 crisis. Please help us make sure they're aware of meal delivery and check-in call services that'll help keep them safe and well through this difficult time. 

They can sign up here: https://t.co/VtfJX0OVS4. https://t.co/eTsAR1vnPC"
1246180023783981056,2020-04-03 20:57:25,"Every day of this crisis, I'm going to be working to keep you updated and to secure the resources our community needs, #13thDistrictStrong. Here's just some of what I did this week. Visit https://t.co/tHAA6cCW4q for more info. #COVID19 https://t.co/HDyLdys5MJ"
1245756972395356168,2020-04-02 16:56:21,Frontline @TSA employees at @DTWeetin have bravely continued to report for duty during the #COVIDー19 pandemic—but the agency's efforts to protect them have been insufficient. Read the letter @RepDebDingell &amp; I sent to @TSA_Pekoske asking it safeguard their health &amp; wellbeing: https://t.co/DV6TSAeOW5
1245448746223140870,2020-04-01 20:31:35,"Hey, #13thDistrictStrong! Here’s a special #CensusDay message from the Tlaib family to you reminding you not to miss your chance to ensure our community receives critical funding for hospitals, schools, and more. Fill out your #2020Census TODAY at https://t.co/EU0f27J2qw. https://t.co/1JByL6wUwn"
1245380265679171585,2020-04-01 15:59:28,HAPPENING NOW: The Detroit Economic Growth Corporation is hosting an informational call on the new Detroit #smallbusiness relief fund grant. Join via zoom here: https://t.co/j5QEPOv2RN (meeting ID 870544375). More info below: https://t.co/fv5lkJnZxW
1245352931005730817,2020-04-01 14:10:50,"Over 2,000 Michigan companies are looking to fill immediate vacancies to support work during the #COVIDー19 pandemic. To search and connect to these job openings, visit https://t.co/AwOEEnhLid. https://t.co/TpXNC1TFpI"
1245096251978285056,2020-03-31 21:10:53,Our home state of Michigan has already suffered the consequences of giving corporate polluters any sort of leeway. Here's just one example: https://t.co/tVfA5b3378
1245096250304802816,2020-03-31 21:10:53,"The #COVIDー19 crisis, when our #healthcare system is overloaded &amp; our public health resources are strained, is the wrong time for the @EPA to retreat from its environmental protection duties. Read the letter @RepAndyLevin &amp; I led MI lawmakers in sending to @EPAAWheeler below: https://t.co/rC6kzs9pvR"
